# Matter power spectrum P(k) at redshift z=0
# for k=1.00946e-05 to 124.492 h/Mpc,
# number of wavenumbers equal to 713
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.009462240743e-05       6.421828799160e+01 
       2.254505961125e-05       1.405340558982e+02 
       3.503639398545e-05       2.148503402616e+02 
       4.760002062644e-05       2.884479009046e+02 
       6.026781993044e-05       3.618755678674e+02 
       7.307242324431e-05       4.354857647865e+02 
       8.604748647405e-05       5.095542094036e+02 
       9.922797506845e-05       5.843256189172e+02 
       1.126504638230e-04       6.600163705074e+02 
       1.263534549787e-04       7.369008087680e+02 
       1.403777181064e-04       8.152320514335e+02 
       1.547666552383e-04       8.952521116304e+02 
       1.695666946080e-04       9.772311632500e+02 
       1.848277161308e-04       1.061435698843e+03 
       2.006035113408e-04       1.148150147729e+03 
       2.169522798142e-04       1.237679547207e+03 
       2.339371630338e-04       1.330364226781e+03 
       2.516268150538e-04       1.426546424524e+03 
       2.700960070185e-04       1.526618735583e+03 
       2.894262593624e-04       1.630975515148e+03 
       3.097064911117e-04       1.740072750891e+03 
       3.310336698328e-04       1.854382012398e+03 
       3.535134381426e-04       1.974425386972e+03 
       3.772606830569e-04       2.100753465829e+03 
       4.024000026768e-04       2.233964403120e+03 
       4.290660109132e-04       2.374690474565e+03 
       4.574034056474e-04       2.523607177724e+03 
       4.875667101125e-04       2.681421487752e+03 
       5.197195834170e-04       2.848869706711e+03 
       5.540335872574e-04       3.026707261800e+03 
       5.906862964197e-04       3.215696796666e+03 
       6.298586561349e-04       3.416590536139e+03 
       6.717315254505e-04       3.630111570375e+03 
       7.164814070611e-04       3.856927942657e+03 
       7.642754516026e-04       4.097627254688e+03 
       8.152659333972e-04       4.352688102260e+03 
       8.695845120546e-04       4.622448898535e+03 
       9.273366989552e-04       4.907086141875e+03 
       9.885970128911e-04       5.206589737574e+03 
       1.053405309852e-03       5.520751318697e+03 
       1.121764693252e-03       5.849159989389e+03 
       1.193641256173e-03       6.191211769698e+03 
       1.268965700769e-03       6.546120341109e+03 
       1.347636662007e-03       6.912913129498e+03 
       1.429525377859e-03       7.290546447192e+03 
       1.514481230526e-03       7.677887058322e+03 
       1.602337648742e-03       8.073736847459e+03 
       1.692917903541e-03       8.476879169638e+03 
       1.786040426791e-03       8.886105554746e+03 
       1.881523404750e-03       9.300244016957e+03 
       1.979188521292e-03       9.718173406312e+03 
       2.078863828915e-03       1.013883860591e+04 
       2.180385801262e-03       1.056126213861e+04 
       2.283600667431e-03       1.098453967444e+04 
       2.388365150148e-03       1.140785507062e+04 
       2.494546733058e-03       1.183046838365e+04 
       2.602023573595e-03       1.225171326118e+04 
       2.710684162595e-03       1.267099633510e+04 
       2.820426814059e-03       1.308779412643e+04 
       2.931159050965e-03       1.350163981793e+04 
       3.042796937197e-03       1.391213915349e+04 
       3.155264392250e-03       1.431892620677e+04 
       3.268492514502e-03       1.472168766636e+04 
       3.382418930307e-03       1.512016822013e+04 
       3.496987179726e-03       1.551412601566e+04 
       3.612146144974e-03       1.590336551959e+04 
       3.727849524222e-03       1.628771595437e+04 
       3.844055351094e-03       1.666703112057e+04 
       3.960725558586e-03       1.704119792233e+04 
       4.077825585161e-03       1.741010618426e+04 
       4.195324020231e-03       1.777368428106e+04 
       4.313192285913e-03       1.813185193664e+04 
       4.431404351909e-03       1.848457377760e+04 
       4.549936480402e-03       1.883179996025e+04 
       4.668766998006e-03       1.917350143416e+04 
       4.787876091995e-03       1.950965121038e+04 
       4.907245628250e-03       1.984028028518e+04 
       5.026858988601e-03       2.016536527622e+04 
       5.146700925436e-03       2.048491730331e+04 
       5.266757431696e-03       2.079894925954e+04 
       5.387015624539e-03       2.110747599993e+04 
       5.507463641157e-03       2.141052614600e+04 
       5.628090545409e-03       2.170812867326e+04 
       5.748886244053e-03       2.200029882917e+04 
       5.869841411523e-03       2.228707999113e+04 
       5.990947422313e-03       2.256851636528e+04 
       6.112196290122e-03       2.284463403531e+04 
       6.233580613033e-03       2.311547918223e+04 
       6.355093524064e-03       2.338109217828e+04 
       6.476728646525e-03       2.364150878216e+04 
       6.598480053652e-03       2.389678767991e+04 
       6.720342232080e-03       2.414698690687e+04 
       6.842310048746e-03       2.439211305472e+04 
       6.964378720865e-03       2.463226232207e+04 
       7.086543788662e-03       2.486745519201e+04 
       7.208801090585e-03       2.509772514775e+04 
       7.331146740743e-03       2.532316778933e+04 
       7.453577108344e-03       2.554386713114e+04 
       7.576088798944e-03       2.575975906695e+04 
       7.698678637324e-03       2.597094307703e+04 
       7.821343651836e-03       2.617748397828e+04 
       7.944081060080e-03       2.637941764864e+04 
       8.066888255784e-03       2.657680707185e+04 
       8.189762796781e-03       2.676969935334e+04 
       8.312702393963e-03       2.695813745436e+04 
       8.435704901149e-03       2.714216699562e+04 
       8.558768305756e-03       2.732184730270e+04 
       8.681890720227e-03       2.749721496128e+04 
       8.805070374121e-03       2.766833078064e+04 
       8.928305606838e-03       2.783523922998e+04 
       9.051594860891e-03       2.799797722438e+04 
       9.174936675710e-03       2.815661356797e+04 
       9.298329681906e-03       2.831118662429e+04 
       9.421772595969e-03       2.846174174162e+04 
       9.545264215367e-03       2.860833476127e+04 
       9.668803414005e-03       2.875099936585e+04 
       9.792389138016e-03       2.888978368634e+04 
       9.916020401862e-03       2.902473436147e+04 
       1.003969628471e-02       2.915589461669e+04 
       1.016341592710e-02       2.928330287248e+04 
       1.028717852779e-02       2.940700910875e+04 
       1.041098334087e-02       2.952705601182e+04 
       1.053482967311e-02       2.964349898286e+04 
       1.065871688139e-02       2.975637194231e+04 
       1.078264437043e-02       2.986571949129e+04 
       1.090661159061e-02       2.997158830728e+04 
       1.103061803593e-02       3.007401369168e+04 
       1.115466324216e-02       3.017303602360e+04 
       1.127874678510e-02       3.026869788300e+04 
       1.140286827892e-02       3.036103809157e+04 
       1.152702737470e-02       3.045009386843e+04 
       1.165122375897e-02       3.053591216266e+04 
       1.177545715243e-02       3.061852854611e+04 
       1.189972730874e-02       3.069798520903e+04 
       1.202403401335e-02       3.077431558125e+04 
       1.214837708248e-02       3.084756377487e+04 
       1.227275636211e-02       3.091776715968e+04 
       1.239717172709e-02       3.098495640107e+04 
       1.252162308031e-02       3.104918299468e+04 
       1.264611035186e-02       3.111036511108e+04 
       1.277063349839e-02       3.116875219909e+04 
       1.289519250234e-02       3.122427351459e+04 
       1.301978737141e-02       3.127686519095e+04 
       1.314441813793e-02       3.132675826463e+04 
       1.326908485837e-02       3.137388946840e+04 
       1.339378761283e-02       3.141830658916e+04 
       1.351852650461e-02       3.146005526213e+04 
       1.364330165981e-02       3.149918760968e+04 
       1.376811322698e-02       3.153556535222e+04 
       1.389296137675e-02       3.156931682315e+04 
       1.401784630156e-02       3.160064688403e+04 
       1.414276821540e-02       3.162952351192e+04 
       1.426772735353e-02       3.165590601588e+04 
       1.439272397235e-02       3.167973527481e+04 
       1.451775834915e-02       3.170121471389e+04 
       1.464283078199e-02       3.172034490991e+04 
       1.476794158957e-02       3.173708543399e+04 
       1.489309111111e-02       3.175134092005e+04 
       1.501827970632e-02       3.176346184077e+04 
       1.514350775529e-02       3.177336741555e+04 
       1.526877565847e-02       3.178097233505e+04 
       1.539408383668e-02       3.178636537978e+04 
       1.551943273109e-02       3.178952639891e+04 
       1.564482280329e-02       3.179061976021e+04 
       1.577025453526e-02       3.178962587705e+04 
       1.589572842955e-02       3.178648570568e+04 
       1.602124500924e-02       3.178133893386e+04 
       1.614680481816e-02       3.177412434765e+04 
       1.627240842093e-02       3.176487508529e+04 
       1.639805640313e-02       3.175372104681e+04 
       1.652374937146e-02       3.174080403289e+04 
       1.664948795394e-02       3.172578939780e+04 
       1.677527280002e-02       3.170872551611e+04 
       1.690110458088e-02       3.169014513039e+04 
       1.702698398961e-02       3.166962485149e+04 
       1.715291174144e-02       3.164729319329e+04 
       1.727888857404e-02       3.162318877728e+04 
       1.740491524776e-02       3.159730770716e+04 
       1.753099254592e-02       3.156960327673e+04 
       1.765712127514e-02       3.154042756691e+04 
       1.778330226564e-02       3.150940537653e+04 
       1.790953637162e-02       3.147695788470e+04 
       1.803582447156e-02       3.144274488045e+04 
       1.816216746862e-02       3.140694848035e+04 
       1.828856629106e-02       3.136956305221e+04 
       1.841502189259e-02       3.133062562841e+04 
       1.854153525284e-02       3.129023689566e+04 
       1.866810737779e-02       3.124847986066e+04 
       1.879473930021e-02       3.120512142092e+04 
       1.892143208017e-02       3.116021003935e+04 
       1.904818680551e-02       3.111411490284e+04 
       1.917500459235e-02       3.106645112262e+04 
       1.930188658565e-02       3.101750068288e+04 
       1.942883395974e-02       3.096733388821e+04 
       1.955584791890e-02       3.091570935691e+04 
       1.968292969794e-02       3.086278596651e+04 
       1.981008056283e-02       3.080850716044e+04 
       1.993730181131e-02       3.075307586925e+04 
       2.006459477357e-02       3.069641721870e+04 
       2.019196081288e-02       3.063863460028e+04 
       2.031940132634e-02       3.057951133297e+04 
       2.044691774556e-02       3.051942208069e+04 
       2.057451153743e-02       3.045803865315e+04 
       2.070218420485e-02       3.039562189905e+04 
       2.082993728758e-02       3.033204682928e+04 
       2.095777236299e-02       3.026732227464e+04 
       2.108569104696e-02       3.020163572126e+04 
       2.121369499470e-02       3.013492195546e+04 
       2.134178590168e-02       3.006720745448e+04 
       2.146996550456e-02       2.999858724950e+04 
       2.159823558209e-02       2.992882260914e+04 
       2.172659795618e-02       2.985828178565e+04 
       2.185505449283e-02       2.978670134888e+04 
       2.198360710323e-02       2.971413123641e+04 
       2.211225774483e-02       2.964076416068e+04 
       2.224100842244e-02       2.956651982442e+04 
       2.236986118938e-02       2.949141951415e+04 
       2.249881814868e-02       2.941562345338e+04 
       2.262788145429e-02       2.933887412771e+04 
       2.275705331236e-02       2.926135623904e+04 
       2.288633598249e-02       2.918303685580e+04 
       2.301573177914e-02       2.910394956919e+04 
       2.314524307298e-02       2.902407149368e+04 
       2.327487229231e-02       2.894352822330e+04 
       2.340462192455e-02       2.886231986228e+04 
       2.353449451777e-02       2.878043918456e+04 
       2.366449268225e-02       2.869786274130e+04 
       2.379461909211e-02       2.861464143665e+04 
       2.392487648698e-02       2.853074819987e+04 
       2.405526767372e-02       2.844617599208e+04 
       2.418579552827e-02       2.836106489743e+04 
       2.431646299740e-02       2.827535223664e+04 
       2.444727310069e-02       2.818916799356e+04 
       2.457822893250e-02       2.810229057533e+04 
       2.470933366396e-02       2.801504163969e+04 
       2.484059054514e-02       2.792716808026e+04 
       2.497200290717e-02       2.783877375461e+04 
       2.510357416456e-02       2.774982327413e+04 
       2.523530781746e-02       2.766047058621e+04 
       2.536720745413e-02       2.757064224522e+04 
       2.549927675340e-02       2.748038400160e+04 
       2.563151948728e-02       2.738978465194e+04 
       2.576393952359e-02       2.729855946229e+04 
       2.589654082881e-02       2.720723194566e+04 
       2.602932747084e-02       2.711514881942e+04 
       2.616230362206e-02       2.702296466766e+04 
       2.629547356238e-02       2.693030243000e+04 
       2.642884168240e-02       2.683723373554e+04 
       2.656241248677e-02       2.674388486494e+04 
       2.669619059755e-02       2.665020355004e+04 
       2.683018075785e-02       2.655622595458e+04 
       2.696438783544e-02       2.646201459461e+04 
       2.709881682662e-02       2.636744764911e+04 
       2.723347286020e-02       2.627265257369e+04 
       2.736836120160e-02       2.617754279250e+04 
       2.750348725713e-02       2.608217104318e+04 
       2.763885657847e-02       2.598653061631e+04 
       2.777447486728e-02       2.589069105768e+04 
       2.791034798000e-02       2.579460073205e+04 
       2.804648193283e-02       2.569848763356e+04 
       2.818288290698e-02       2.560204179499e+04 
       2.831955725404e-02       2.550542035151e+04 
       2.845651150158e-02       2.540860998137e+04 
       2.859375235908e-02       2.531158674101e+04 
       2.873128672398e-02       2.521446030176e+04 
       2.886912168802e-02       2.511717954615e+04 
       2.900726454390e-02       2.501985264606e+04 
       2.914572279218e-02       2.492223400838e+04 
       2.928450414844e-02       2.482470649043e+04 
       2.942361655083e-02       2.472692629758e+04 
       2.956306816786e-02       2.462905745694e+04 
       2.970286740663e-02       2.453107675808e+04 
       2.984302292131e-02       2.443301876591e+04 
       2.998354362210e-02       2.433509858092e+04 
       3.012443868456e-02       2.423675887482e+04 
       3.026571755931e-02       2.413863711493e+04 
       3.040738998228e-02       2.404033730576e+04 
       3.054946598532e-02       2.394201803412e+04 
       3.069195590741e-02       2.384363700772e+04 
       3.083487040633e-02       2.374524715564e+04 
       3.097822047089e-02       2.364682769038e+04 
       3.112201743380e-02       2.354842351934e+04 
       3.126627298511e-02       2.345001274866e+04 
       3.141099918633e-02       2.335158354637e+04 
       3.155620848524e-02       2.325323935769e+04 
       3.170191373147e-02       2.315480768206e+04 
       3.184812819282e-02       2.305637575834e+04 
       3.199486557246e-02       2.295799967013e+04 
       3.214214002696e-02       2.285963170421e+04 
       3.228996618533e-02       2.276127969619e+04 
       3.243835916899e-02       2.266309886241e+04 
       3.258733461285e-02       2.256492483645e+04 
       3.273690868750e-02       2.246659461354e+04 
       3.288709812264e-02       2.236853106562e+04 
       3.303792023171e-02       2.227041914635e+04 
       3.318939293797e-02       2.217238406364e+04 
       3.334153480205e-02       2.207436928548e+04 
       3.349436505096e-02       2.197656664948e+04 
       3.364790360889e-02       2.187872752978e+04 
       3.380217112969e-02       2.178074135276e+04 
       3.395718903136e-02       2.168318351379e+04 
       3.411297953245e-02       2.158555530115e+04 
       3.426956569079e-02       2.148800979897e+04 
       3.442697144448e-02       2.139053733077e+04 
       3.458522165545e-02       2.129314564482e+04 
       3.474434215565e-02       2.119579434188e+04 
       3.490435979628e-02       2.109857112932e+04 
       3.506530250003e-02       2.100147198847e+04 
       3.522719931678e-02       2.090442569598e+04 
       3.539008048290e-02       2.080740010644e+04 
       3.555397748446e-02       2.071058438410e+04 
       3.571892312477e-02       2.061387273943e+04 
       3.588495159637e-02       2.051707777963e+04 
       3.605209855814e-02       2.042050794967e+04 
       3.622040121761e-02       2.032405119727e+04 
       3.638989841925e-02       2.022755000045e+04 
       3.656063073904e-02       2.013116710551e+04 
       3.673264058585e-02       2.003494001576e+04 
       3.690597231039e-02       1.993875224846e+04 
       3.708067232226e-02       1.984256916573e+04 
       3.725678921591e-02       1.974656666715e+04 
       3.743437390626e-02       1.965062828348e+04 
       3.761347977496e-02       1.955480986600e+04 
       3.779416282820e-02       1.945885480456e+04 
       3.797648186732e-02       1.936316008050e+04 
       3.816049867327e-02       1.926746065452e+04 
       3.834627820650e-02       1.917182133322e+04 
       3.853388882362e-02       1.907622156804e+04 
       3.872340251272e-02       1.898066385897e+04 
       3.891489514922e-02       1.888508119544e+04 
       3.910844677433e-02       1.878964840298e+04 
       3.930414189869e-02       1.869411978558e+04 
       3.950206983382e-02       1.859874138162e+04 
       3.970232505453e-02       1.850331027320e+04 
       3.990500759573e-02       1.840787342129e+04 
       4.011022348764e-02       1.831241589202e+04 
       4.031808523383e-02       1.821694365099e+04 
       4.052871233725e-02       1.812142265938e+04 
       4.074223188001e-02       1.802592160759e+04 
       4.095877916360e-02       1.793034213276e+04 
       4.117849841712e-02       1.783469467978e+04 
       4.140154358224e-02       1.773895561382e+04 
       4.162807918503e-02       1.764307996356e+04 
       4.185828130610e-02       1.754719398544e+04 
       4.209233866265e-02       1.745123513255e+04 
       4.233045381778e-02       1.735491517055e+04 
       4.257284453539e-02       1.725858892057e+04 
       4.281974530159e-02       1.716204906967e+04 
       4.307140903750e-02       1.706530177332e+04 
       4.332810903241e-02       1.696827194171e+04 
       4.359014113145e-02       1.687107723824e+04 
       4.385782621832e-02       1.677358978169e+04 
       4.413151304095e-02       1.667576715716e+04 
       4.441158143710e-02       1.657757949128e+04 
       4.469844602830e-02       1.647908609109e+04 
