# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.00946e-05 to 124.492 h/Mpc,
# number of wavenumbers equal to 713
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_nudm                 5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.009462240743e-05      -2.151105605271e+00      -1.613329713392e+00      -1.613329713420e+00      -2.151105586353e+00      -1.613493213024e+00       4.625502654447e-01       4.624028037464e-01 
       2.254505961125e-05      -2.156319057916e+00      -1.617252071007e+00      -1.617252071750e+00      -2.156318582253e+00      -1.617415963712e+00       4.625462149790e-01       4.623992010976e-01 
       3.503639398545e-05      -2.165490517090e+00      -1.624192380176e+00      -1.624192384599e+00      -2.165487745174e+00      -1.624356954014e+00       4.625397063279e-01       4.623934824057e-01 
       4.760002062644e-05      -2.178607040670e+00      -1.634208611333e+00      -1.634208626462e+00      -2.178597627525e+00      -1.634374135899e+00       4.625307768030e-01       4.623856881262e-01 
       6.026781993044e-05      -2.195656743882e+00      -1.647391665413e+00      -1.647391704378e+00      -2.195632678253e+00      -1.647558383710e+00       4.625188524021e-01       4.623752477889e-01 
       7.307242324431e-05      -2.216622049065e+00      -1.663863825823e+00      -1.663863910031e+00      -2.216570398377e+00      -1.664031944658e+00       4.625037550323e-01       4.623619887605e-01 
       8.604748647405e-05      -2.241477316089e+00      -1.683781793836e+00      -1.683781955378e+00      -2.241378845930e+00      -1.683951472750e+00       4.624853966665e-01       4.623458299101e-01 
       9.922797506845e-05      -2.270183578803e+00      -1.707339415252e+00      -1.707339700706e+00      -2.270011167457e+00      -1.707510754166e+00       4.624637840021e-01       4.623267867620e-01 
       1.126504638230e-04      -2.302684341990e+00      -1.734770954583e+00      -1.734771427603e+00      -2.302401324215e+00      -1.734943978145e+00       4.624391889627e-01       4.623051388924e-01 
       1.263534549787e-04      -2.338898803378e+00      -1.766358246625e+00      -1.766358993091e+00      -2.338456929397e+00      -1.766532886418e+00       4.624110756747e-01       4.622803614429e-01 
       1.403777181064e-04      -2.378710963951e+00      -1.802433362955e+00      -1.802434496719e+00      -2.378048184379e+00      -1.802609436065e+00       4.623790657445e-01       4.622520868500e-01 
       1.547666552383e-04      -2.421958449622e+00      -1.843384827818e+00      -1.843386497040e+00      -2.420996442248e+00      -1.843562010572e+00       4.623430071443e-01       4.622201737135e-01 
       1.695666946080e-04      -2.468420775818e+00      -1.889666969986e+00      -1.889669365735e+00      -2.467062160367e+00      -1.889844767142e+00       4.623023598697e-01       4.621840925164e-01 
       1.848277161308e-04      -2.517800419407e+00      -1.941807038192e+00      -1.941810405155e+00      -2.515925680885e+00      -1.941984745941e+00       4.622568727077e-01       4.621436016241e-01 
       2.006035113408e-04      -2.569707524514e+00      -2.000417155347e+00      -2.000421804478e+00      -2.567171811453e+00      -2.000593817640e+00       4.622062485201e-01       4.620984110556e-01 
       2.169522798142e-04      -2.623636996834e+00      -2.066206984344e+00      -2.066213308947e+00      -2.620266746151e+00      -2.066381341259e+00       4.621501248907e-01       4.620481626947e-01 
       2.339371630338e-04      -2.678943667654e+00      -2.139999646587e+00      -2.140008143684e+00      -2.674533232684e+00      -2.140170074740e+00       4.620876099986e-01       4.619919651738e-01 
       2.516268150538e-04      -2.734818852193e+00      -2.222746945577e+00      -2.222758240163e+00      -2.729127728772e+00      -2.222911389266e+00       4.620184972284e-01       4.619296051242e-01 
       2.700960070185e-04      -2.790260800687e+00      -2.315553287903e+00      -2.315568166082e+00      -2.783011450219e+00      -2.315709181519e+00       4.619416408505e-01       4.618599226553e-01 
       2.894262593624e-04      -2.844055275907e+00      -2.419696231389e+00      -2.419715677356e+00      -2.834932851867e+00      -2.419840413127e+00       4.618570191581e-01       4.617828697204e-01 
