# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.742768934939e-10       7.643136179988e-15       5.080512765851e-13       2.854545929801e-19       9.460015681236e-09       5.821226992251e-10      -2.716983577660e-12 
    3       1.629253120273e-10       1.193595521684e-14       6.231552043014e-13       5.711297681696e-19       5.865077537410e-09       4.126000987509e-10      -2.299462047731e-12 
    4       1.523587062041e-10       1.276082558533e-14       6.277232213556e-13       9.523660189108e-19       4.085733461994e-09       3.123134059499e-10      -1.743058025137e-12 
    5       1.442530609714e-10       1.069437742954e-14       5.719105410089e-13       1.429437932086e-18       3.050337921269e-09       2.467122257855e-10      -1.206813193860e-12 
    6       1.384005004850e-10       7.408057102365e-15       4.891817905652e-13       2.002672573251e-18       2.382365737983e-09       2.007012826007e-10      -7.438592110634e-13 
    7       1.343224301396e-10       4.424439511175e-15       4.015907341665e-13       2.672439639255e-18       1.920581067441e-09       1.668480055868e-10      -3.777294194358e-13 
    8       1.316683919595e-10       2.477439653471e-15       3.216597413106e-13       3.439140523462e-18       1.585446889180e-09       1.411061476707e-10      -1.142214839900e-13 
    9       1.300577294599e-10       1.548661589818e-15       2.560805674177e-13       4.303196714483e-18       1.333925040985e-09       1.210622766132e-10       5.270879256404e-14 
   10       1.292663043072e-10       1.237933662235e-15       2.076421646940e-13       5.265037972795e-18       1.139946014019e-09       1.051394607977e-10       1.372813008871e-13 
   11       1.290889097229e-10       1.138898481459e-15       1.762573027667e-13       6.325090735228e-18       9.632006513130e-10       9.258071178258e-11       1.580814744406e-13 
   12       1.293751734759e-10       1.033237953459e-15       1.598824589625e-13       7.483767184687e-18       8.414416368844e-10       8.182872162619e-11       1.367576120901e-13 
   13       1.300236355571e-10       8.908272926652e-16       1.553262428164e-13       8.741455392359e-18       7.414812611342e-10       7.286726628271e-11       9.199858583083e-14 
