# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_nudm           12:T_dmeff               13:cdmeff2               14:(.)rho_lambda         15:(.)rho_ur             16:(.)rho_crit           17:(.)rho_tot            18:(.)p_tot              19:(.)p_tot_prime        20:gr.fac. D             21:gr.fac. f          
       1.000000000000e+14       7.559518509161e-26       4.634785000235e-09       2.157256292801e+22       1.429062974619e+04       1.429062974619e-10       1.429062974619e+18       2.676317464533e-09       2.751560535470e+44       2.473421074607e+33       1.282885514630e+34       2.725500000000e+14       3.131542370213e+06       3.815882481151e-08       1.902194177205e+44       4.653754712828e+44       4.653754712828e+44       1.551251570892e+44      -1.338578885209e+53       5.838914973297e-20       2.000000000000e+14 
       9.930486593843e+13       7.665722184696e-26       4.667526809499e-09       2.127368887303e+22       1.429062974619e+04       1.439066415441e-10       1.419129071121e+18       2.695051686785e-09       2.675846458098e+44       2.422198022217e+33       1.256317732621e+34       2.706554115769e+14       3.109773946360e+06       3.815882481151e-08       1.849851924417e+44       4.525698382665e+44       4.525698382665e+44       1.508566127505e+44      -1.292696632241e+53       8.146003098715e-08       1.433565615564e+02 
       9.861456399050e+13       7.773417915669e-26       4.700268618762e-09       2.097895552684e+22       1.429062974619e+04       1.449139880350e-10       1.409264221570e+18       2.713917048592e-09       2.602215788102e+44       2.372035768219e+33       1.230300153287e+34       2.687739937692e+14       3.088156850119e+06       3.815882481151e-08       1.798949961722e+44       4.401165749970e+44       4.401165749970e+44       1.467055249941e+44      -1.248387077872e+53       1.629200619742e-07       7.167828077820e+01 
       9.792906056653e+13       7.882626663966e-26       4.733010428026e-09       2.068830552255e+22       1.429062974619e+04       1.459283859512e-10       1.399467945949e+18       2.732914467932e-09       2.530611196824e+44       2.322912344119e+33       1.204821382262e+34       2.669056541506e+14       3.066690019527e+06       3.815882481151e-08       1.749448656977e+44       4.280059853945e+44       4.280059853945e+44       1.426686617934e+44      -1.205596314965e+53       2.443800929613e-07       4.778552051880e+01 
       9.724832231036e+13       7.993369685969e-26       4.767571226694e-09       2.040168228809e+22       1.429062974619e+04       1.469498846529e-10       1.389739767576e+18       2.752044869208e-09       2.460976933110e+44       2.274806236379e+33       1.179870261154e+34       2.650503020480e+14       3.045372412772e+06       3.815882481151e-08       1.701309468591e+44       4.162286401842e+44       4.162286401842e+44       1.387428800567e+44      -1.164272284150e+53       3.258401239484e-07       3.583914038910e+01 
       9.657231609767e+13       8.105668536687e-26       4.800313035958e-09       2.011903003513e+22       1.429062974619e+04       1.479785338454e-10       1.380079213084e+18       2.771309183292e-09       2.393258779894e+44       2.227696376995e+33       1.155435862652e+34       2.632078471159e+14       3.024202991804e+06       3.815882481151e-08       1.654494915512e+44       4.047753695544e+44       4.047753695544e+44       1.349251231802e+44      -1.124364710487e+53       4.073001549354e-07       2.867131231128e+01 
       9.590100903443e+13       8.219545073958e-26       4.833054845221e-09       1.984029374826e+22       1.429062974619e+04       1.490143835823e-10       1.370485812397e+18       2.790708347575e-09       2.327404011992e+44       2.181562134266e+33       1.131507485744e+34       2.613781997194e+14       3.003180726734e+06       3.815882481151e-08       1.608968548046e+44       3.936372560173e+44       3.936372560173e+44       1.312124186679e+44      -1.085825042303e+53       4.887601859225e-07       2.389276025940e+01 
       9.523436845525e+13       8.335021462702e-26       4.867615643889e-09       1.956541917429e+22       1.429062974619e+04       1.500574842674e-10       1.360959098706e+18       2.810243306008e-09       2.263361355047e+44       2.136383303762e+33       1.108074651029e+34       2.595612708241e+14       2.982304594578e+06       3.815882481151e-08       1.564694919476e+44       3.828056274655e+44       3.828056274655e+44       1.276018758174e+44      -1.048606392120e+53       5.702202169095e-07       2.047950879377e+01 
       9.457236192179e+13       8.452120179232e-26       4.902176442556e-09       1.929435281164e+22       1.429062974619e+04       1.511078866573e-10       1.351498608447e+18       2.829915009150e-09       2.201080945604e+44       2.092140099474e+33       1.085127096129e+34       2.577569720208e+14       2.961573579530e+06       3.815882481151e-08       1.521639558466e+44       3.722720504199e+44       3.722720504199e+44       1.240906834690e+44      -1.012663479619e+53       6.516802478965e-07       1.791957019455e+01 
       9.391495722125e+13       8.570864015630e-26       4.936737241223e-09       1.902704189999e+22       1.429062974619e+04       1.521656418639e-10       1.342103881278e+18       2.849724414214e-09       2.140514292293e+44       2.048813145151e+33       1.062654771192e+34       2.559652155129e+14       2.940986672828e+06       3.815882481151e-08       1.479768942219e+44       3.620283234638e+44       3.620283234638e+44       1.206761078171e+44      -9.779525765435e+52       7.331402788835e-07       1.592850683960e+01 
       9.326212236469e+13       8.691276084185e-26       4.971298039891e-09       1.876343440996e+22       1.429062974619e+04       1.532308013569e-10       1.332774460058e+18       2.869672485113e-09       2.081614238068e+44       2.006383465810e+33       1.040647834493e+34       2.541859141148e+14       2.920542872727e+06       3.815882481151e-08       1.439050470378e+44       3.520664708570e+44       3.520664708570e+44       1.173554902815e+44      -9.444314535051e+52       8.146003098706e-07       1.433565615564e+01 
       9.261382558559e+13       8.813379821892e-26       5.005858838558e-09       1.850347903303e+22       1.429062974619e+04       1.543034169664e-10       1.323509890822e+18       2.889760192509e-09       2.024334923495e+44       1.964832479430e+33       1.019096648125e+34       2.524189812467e+14       2.900241184444e+06       3.815882481151e-08       1.399452439641e+44       3.423787363258e+44       3.423787363258e+44       1.141262454379e+44      -9.120593286049e+52       8.960603408576e-07       1.303241468694e+01 
       9.197003533823e+13       8.937198995009e-26       5.040419637226e-09       1.824712517150e+22       1.429062974619e+04       1.553835408852e-10       1.314309722763e+18       2.909988513857e-09       1.968631751041e+44       1.924141988812e+33       9.979917737741e+33       2.506643309309e+14       2.880080620111e+06       3.815882481151e-08       1.360944019083e+44       3.329575770243e+44       3.329575770243e+44       1.109858590041e+44      -8.807968178188e+52       9.775203718446e-07       1.194638012970e+01 
       9.133072029615e+13       9.062757703690e-26       5.074980435893e-09       1.799432292868e+22       1.429062974619e+04       1.564712256714e-10       1.305173508205e+18       2.930358433453e-09       1.914461350357e+44       1.884294173609e+33       9.773239685883e+33       2.489218777871e+14       2.860060198728e+06       3.815882481151e-08       1.323495226141e+44       3.237956576615e+44       3.237956576615e+44       1.079318858833e+44      -8.506058870823e+52       1.058980402832e-06       1.102742781203e+01 
       9.069584935070e+13       9.190080386669e-26       5.111360223964e-09       1.774502309916e+22       1.429062974619e+04       1.575665242511e-10       1.296100802587e+18       2.950870942488e-09       1.861781544502e+44       1.845271582526e+33       9.570841811300e+33       2.471915370286e+14       2.840178946113e+06       3.815882481151e-08       1.287076903280e+44       3.148858447896e+44       3.148858447896e+44       1.049619482594e+44      -8.214498060187e+52       1.140440433819e-06       1.023975439688e+01 
       9.006539160943e+13       9.319191826021e-26       5.147740012035e-09       1.749917715925e+22       1.429062974619e+04       1.586694899209e-10       1.287091164436e+18       2.971527039085e-09       1.810551317112e+44       1.807057125669e+33       9.372635474115e+33       2.454732244581e+14       2.820435894857e+06       3.815882481151e-08       1.251660695284e+44       3.062212012508e+44       3.062212012508e+44       1.020737337465e+44      -7.932931032522e+52       1.221900464806e-06       9.557104103757e+00 
       8.943931639467e+13       9.450117151985e-26       5.182300810702e-09       1.725673725752e+22       1.429062974619e+04       1.597801763503e-10       1.278144155349e+18       2.992327728358e-09       1.760730780460e+44       1.769634067068e+33       9.178533870127e+33       2.437668564635e+14       2.800830084275e+06       3.815882481151e-08       1.217219027182e+44       2.977949807751e+44       2.977949807751e+44       9.926499358805e+43      -7.661015232539e+52       1.303360495792e-06       8.959785097272e+00 
       8.881759324197e+13       9.582881847853e-26       5.218680598773e-09       1.701765620549e+22       1.429062974619e+04       1.608986375848e-10       1.269259339969e+18       3.013274022457e-09       1.712281144399e+44       1.732986017345e+33       8.988451992796e+33       2.420723500141e+14       2.781360560360e+06       3.815882481151e-08       1.183725082777e+44       2.896006227283e+44       2.896006227283e+44       9.653354090587e+43      -7.398419846659e+52       1.384820526779e-06       8.432738915079e+00 
       8.820019189868e+13       9.717511754933e-26       5.255060386844e-09       1.678188746845e+22       1.429062974619e+04       1.620249280478e-10       1.260436285967e+18       3.034366940614e-09       1.665164686165e+44       1.697096926535e+33       8.802306596019e+33       2.403896226561e+14       2.762026375738e+06       3.815882481151e-08       1.151152783767e+44       2.816317470037e+44       2.816317470037e+44       9.387724899774e+43      -7.144825400550e+52       1.466280557766e-06       7.964253419797e+00 
       8.758708232243e+13       9.854033077578e-26       5.293259164318e-09       1.654938515639e+22       1.429062974619e+04       1.631591025442e-10       1.251674564019e+18       3.055607509198e-09       1.619344721000e+44       1.661951077059e+33       8.620016157667e+33       2.387185925092e+14       2.742826589618e+06       3.815882481151e-08       1.119476769443e+44       2.738821490545e+44       2.738821490545e+44       9.129404968142e+43      -6.899923370447e+52       1.547740588753e-06       7.545082187176e+00 
       8.697823467967e+13       9.992472388284e-26       5.329638952389e-09       1.632010401508e+22       1.429062974619e+04       1.643012162620e-10       1.242973747784e+18       3.076996761762e-09       1.574785573594e+44       1.627533076840e+33       8.441500843887e+33       2.370591782621e+14       2.723760267751e+06       3.815882481151e-08       1.088672376937e+44       2.663457950632e+44       2.663457950632e+44       8.878193168437e+43      -6.663415807806e+52       1.629200619740e-06       7.167828077817e+00 
       8.637361934426e+13       1.013285663287e-25       5.366018740460e-09       1.609399941727e+22       1.429062974619e+04       1.654513247758e-10       1.234333413887e+18       3.098535739094e-09       1.531452550306e+44       1.593827852559e+33       8.266682474134e+33       2.354112991685e+14       2.704826482382e+06       3.815882481151e-08       1.058715622028e+44       2.590168172432e+44       2.590168172432e+44       8.633893907778e+43      -6.435014976818e+52       1.710660650727e-06       6.826502931254e+00 
       8.577320689599e+13       1.027521313570e-25       5.404217517935e-09       1.587102735398e+22       1.429062974619e+04       1.666094840493e-10       1.225753141894e+18       3.120225489268e-09       1.489311912151e+44       1.560820643058e+33       8.095484486937e+33       2.337748750439e+14       2.686024312204e+06       3.815882481151e-08       1.029583180460e+44       2.518895092708e+44       2.518895092708e+44       8.396316975370e+43      -6.214443004346e+52       1.792120681714e-06       6.516207343469e+00 
       8.517696811915e+13       1.041956960505e-25       5.442416295409e-09       1.565114442594e+22       1.429062974619e+04       1.677757504376e-10       1.217232514294e+18       3.142067067693e-09       1.448330848536e+44       1.528496992875e+33       7.927831906367e+33       2.321498262607e+14       2.667352842315e+06       3.815882481151e-08       1.001252369787e+44       2.449583218417e+44       2.449583218417e+44       8.165277394407e+43      -6.001431541868e+52       1.873580712701e-06       6.232893980710e+00 
       8.458487400115e+13       1.056595413843e-25       5.480615072884e-09       1.543430783517e+22       1.429062974619e+04       1.689501806907e-10       1.208771116479e+18       3.164061537166e-09       1.408477451704e+44       1.496842745911e+33       7.763651309199e+33       2.305360737451e+14       2.648811164173e+06       3.815882481151e-08       9.737011317102e+43       2.382178583507e+44       2.382178583507e+44       7.940595278048e+43      -5.795721438999e+52       1.955040743688e-06       5.973190064847e+00 
       8.399689573103e+13       1.071439522812e-25       5.518813850358e-09       1.522047537660e+22       1.429062974619e+04       1.701328319555e-10       1.200368536721e+18       3.186209967927e-09       1.369720691902e+44       1.465844039229e+33       7.602870792760e+33       2.289335389729e+14       2.630398375552e+06       3.815882481151e-08       9.469080149052e+43       2.316628706898e+44       2.316628706898e+44       7.722095689357e+43      -5.597062428212e+52       2.036500774675e-06       5.734262462253e+00 
       8.341300469814e+13       1.086492176668e-25       5.557012627833e-09       1.500960542992e+22       1.429062974619e+04       1.713237617792e-10       1.192024366158e+18       3.208513437702e-09       1.332030393213e+44       1.435487296987e+33       7.445419943437e+33       2.273421439658e+14       2.612113580495e+06       3.815882481151e-08       9.208521583176e+43       2.252882551619e+44       2.252882551619e+44       7.509608505101e+43      -5.405212820357e+52       2.117960805662e-06       5.513713906012e+00 
