# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.742762868156e-10       7.642850319914e-15       5.080512494363e-13       0.000000000000e+00       9.460015456234e-09       5.821226871282e-10      -2.716983487136e-12 
    3       1.629241091588e-10       1.193538344313e-14       6.231551921043e-13       0.000000000000e+00       5.865077385376e-09       4.126000871624e-10      -2.299461970269e-12 
    4       1.523567127438e-10       1.275987250654e-14       6.277232586688e-13       0.000000000000e+00       4.085733334786e-09       3.123133954057e-10      -1.743057964405e-12 
    5       1.442500856486e-10       1.069294736247e-14       5.719106777071e-13       0.000000000000e+00       3.050337809757e-09       2.467122167572e-10      -1.206813149128e-12 
    6       1.383963560730e-10       7.406053957514e-15       4.891820965779e-13       0.000000000000e+00       2.382365642627e-09       2.007012750395e-10      -7.438591799387e-13 
    7       1.343169339062e-10       4.421766743518e-15       4.015913034040e-13       0.000000000000e+00       1.920580986710e-09       1.668479988229e-10      -3.777293993324e-13 
    8       1.316613663580e-10       2.474000259091e-15       3.216606944927e-13       0.000000000000e+00       1.585446820401e-09       1.411061413778e-10      -1.142214730331e-13 
    9       1.300490025565e-10       1.544358118082e-15       2.560820542691e-13       0.000000000000e+00       1.333924981832e-09       1.210622711002e-10       5.270879558036e-14 
   10       1.292557098785e-10       1.232668229335e-15       2.076443663685e-13       0.000000000000e+00       1.139945962672e-09       1.051394561038e-10       1.372812971472e-13 
   11       1.290762872466e-10       1.132572783688e-15       1.762604338458e-13       0.000000000000e+00       9.632006081810e-10       9.258070748568e-11       1.580814659418e-13 
