# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.742763022958e-10       7.642851104067e-15       5.080513132926e-13       0.000000000000e+00       9.460015892926e-09       5.821227113364e-10      -2.716983661547e-12 
    3       1.629241248602e-10       1.193538468678e-14       6.231552661830e-13       0.000000000000e+00       5.865077679321e-09       4.126001096160e-10      -2.299462119737e-12 
    4       1.523567283216e-10       1.275987387931e-14       6.277233312728e-13       0.000000000000e+00       4.085733579863e-09       3.123134155132e-10      -1.743058081325e-12 
    5       1.442501010836e-10       1.069294856326e-14       5.719107424942e-13       0.000000000000e+00       3.050338024268e-09       2.467122345154e-10      -1.206813235419e-12 
    6       1.383963714550e-10       7.406054829857e-15       4.891821507045e-13       0.000000000000e+00       2.382365825866e-09       2.007012901906e-10      -7.438592406238e-13 
    7       1.343169493926e-10       4.421767284303e-15       4.015913459931e-13       0.000000000000e+00       1.920581141564e-09       1.668480116728e-10      -3.777294392482e-13 
    8       1.316613823768e-10       2.474000558410e-15       3.216607266658e-13       0.000000000000e+00       1.585446952175e-09       1.411061529234e-10      -1.142214953241e-13 
    9       1.300490190694e-10       1.544358290386e-15       2.560820797279e-13       0.000000000000e+00       1.333925095076e-09       1.210622819030e-10       5.270878891530e-14 
   10       1.292557271872e-10       1.232668366161e-15       2.076443892610e-13       0.000000000000e+00       1.139946061007e-09       1.051394657786e-10       1.372813038063e-13 
   11       1.290763055529e-10       1.132572931339e-15       1.762604568281e-13       0.000000000000e+00       9.632006907320e-10       9.258071551880e-11       1.580814819374e-13 
