# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.742769009993e-10       7.643136558428e-15       5.080513074255e-13       2.854545696133e-19       9.460015892447e-09       5.821227112873e-10      -2.716983661424e-12 
    3       1.629253196018e-10       1.193595581679e-14       6.231552400284e-13       5.711297214753e-19       5.865077679061e-09       4.126001095634e-10      -2.299462119900e-12 
    4       1.523587137177e-10       1.276082624764e-14       6.277232563171e-13       9.523659411727e-19       4.085733579895e-09       3.123134154459e-10      -1.743058081782e-12 
    5       1.442530683906e-10       1.069437800895e-14       5.719105722481e-13       1.429437815635e-18       3.050338024467e-09       2.467122344061e-10      -1.206813235622e-12 
    6       1.384005079227e-10       7.408057523287e-15       4.891818166825e-13       2.002672410474e-18       2.382365825891e-09       2.007012900185e-10      -7.438592402285e-13 
    7       1.343224375103e-10       4.424439772007e-15       4.015907547669e-13       2.672439422598e-18       1.920581141819e-09       1.668480115194e-10      -3.777294383361e-13 
    8       1.316683996260e-10       2.477439797543e-15       3.216597570086e-13       3.439140245437e-18       1.585446952472e-09       1.411061528640e-10      -1.142214941671e-13 
    9       1.300577373308e-10       1.548661672466e-15       2.560805798852e-13       4.303196367664e-18       1.333925095397e-09       1.210622818946e-10       5.270878998735e-14 
   10       1.292663126978e-10       1.237933727854e-15       2.076421757415e-13       5.265037549817e-18       1.139946061317e-09       1.051394657314e-10       1.372813044696e-13 
   11       1.290889184104e-10       1.138898552447e-15       1.762573137816e-13       6.325090228782e-18       9.632006908767e-10       9.258071545787e-11       1.580814821286e-13 
   12       1.293751829412e-10       1.033238031031e-15       1.598824710240e-13       7.483766587511e-18       8.414416718179e-10       8.182872450770e-11       1.367576219735e-13 
   13       1.300236458843e-10       8.908273677533e-16       1.553262564811e-13       8.741454697230e-18       7.414812921809e-10       7.286726935068e-11       9.199859589094e-14 
   14       1.309965871645e-10       7.688340720916e-16       1.589644583146e-13       1.009851009282e-17       6.583239883445e-10       6.547439228451e-11       4.020797636792e-14 
   15       1.321933860799e-10       7.147833344755e-16       1.673632344000e-13       1.155524908105e-17       5.883407381735e-10       5.904415609299e-11      -7.131558630693e-15 
   16       1.335555290128e-10       7.282861658606e-16       1.777527801147e-13       1.311194400851e-17       5.288397864040e-10       5.351847550395e-11      -4.244908973085e-14 
   17       1.350918307578e-10       7.765995127664e-16       1.882302855871e-13       1.476882063394e-17       4.778010819151e-10       4.876218876344e-11      -6.265796377006e-14 
   18       1.367732016491e-10       8.268064170150e-16       1.976525411044e-13       1.652605664014e-17       4.335074256014e-10       4.460248955335e-11      -6.835254976274e-14 
   19       1.385927430335e-10       8.767482514336e-16       2.058254040629e-13       1.838378840800e-17       3.952531070588e-10       4.095944978399e-11      -6.227319816006e-14 
   20       1.404893989255e-10       9.361718247216e-16       2.129030824032e-13       2.034210350891e-17       3.615653176204e-10       3.768763839718e-11      -4.905015113558e-14 
   21       1.424691329527e-10       1.021647494564e-15       2.193368508272e-13       2.240106119701e-17       3.319141015328e-10       3.476621544524e-11      -3.275131499339e-14 
   22       1.445231477966e-10       1.150798797323e-15       2.257437232999e-13       2.456068354656e-17       3.055884956144e-10       3.216868600391e-11      -1.769230186362e-14 
   23       1.466522798963e-10       1.323054657426e-15       2.325891303282e-13       2.682098011567e-17       2.822259795561e-10       2.986555342358e-11      -6.268538353138e-15 
   24       1.488359602385e-10       1.530520841798e-15       2.402435136858e-13       2.918193902540e-17       2.612861746204e-10       2.779679497563e-11      -6.451824218664e-17 
   25       1.510751150311e-10       1.768539403501e-15       2.486899719821e-13       3.164355601283e-17       2.425221422354e-10       2.593195418467e-11       9.834949829482e-16 
   26       1.533605090432e-10       2.033264531835e-15       2.576907261644e-13       3.420582358011e-17       2.255936087799e-10       2.423376631207e-11      -2.159151035674e-15 
   27       1.556949438245e-10       2.325160556798e-15       2.668201543141e-13       3.686875654190e-17       2.102975160261e-10       2.269360977529e-11      -7.928982247094e-15 
