# Matter power spectrum P(k) at redshift z=0
# for k=1.00946e-05 to 124.492 h/Mpc,
# number of wavenumbers equal to 713
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.009462240743e-05       6.421828555695e+01 
       2.254505961125e-05       1.405340548081e+02 
       3.503639398545e-05       2.148503396727e+02 
       4.760002062644e-05       2.884479007146e+02 
       6.026781993044e-05       3.618755673031e+02 
       7.307242324431e-05       4.354857643974e+02 
       8.604748647405e-05       5.095542086653e+02 
       9.922797506845e-05       5.843256187211e+02 
       1.126504638230e-04       6.600163689890e+02 
       1.263534549787e-04       7.369011813039e+02 
       1.403777181064e-04       8.152320512804e+02 
       1.547666552383e-04       8.952521116114e+02 
       1.695666946080e-04       9.772311632715e+02 
       1.848277161308e-04       1.061435698702e+03 
       2.006035113408e-04       1.148150147618e+03 
       2.169522798142e-04       1.237679547110e+03 
       2.339371630338e-04       1.330364226700e+03 
       2.516268150538e-04       1.426546424452e+03 
       2.700960070185e-04       1.526618735517e+03 
       2.894262593624e-04       1.630975515089e+03 
       3.097064911117e-04       1.740072750840e+03 
       3.310336698328e-04       1.854382012353e+03 
       3.535134381426e-04       1.974425386934e+03 
       3.772606830569e-04       2.100753465797e+03 
       4.024000026768e-04       2.233964403093e+03 
       4.290660109132e-04       2.374690474545e+03 
       4.574034056474e-04       2.523607177748e+03 
       4.875667101125e-04       2.681421487977e+03 
       5.197195834170e-04       2.848869706718e+03 
       5.540335872574e-04       3.026707262294e+03 
       5.906862964197e-04       3.215696796672e+03 
       6.298586561349e-04       3.416590536106e+03 
       6.717315254505e-04       3.630111570513e+03 
       7.164814070611e-04       3.856927942673e+03 
       7.642754516026e-04       4.097627254720e+03 
       8.152659333972e-04       4.352688102284e+03 
       8.695845120546e-04       4.622448898608e+03 
       9.273366989552e-04       4.907086141906e+03 
       9.885970128911e-04       5.206589737604e+03 
       1.053405309852e-03       5.520751318711e+03 
       1.121764693252e-03       5.849159989307e+03 
       1.193641256173e-03       6.191211769761e+03 
       1.268965700769e-03       6.546120341184e+03 
       1.347636662007e-03       6.912913129582e+03 
       1.429525377859e-03       7.290546447297e+03 
       1.514481230526e-03       7.677887058467e+03 
       1.602337648742e-03       8.073736847602e+03 
       1.692917903541e-03       8.476879169890e+03 
       1.786040426791e-03       8.886105554969e+03 
       1.881523404750e-03       9.300244017239e+03 
       1.979188521292e-03       9.718173406607e+03 
       2.078863828915e-03       1.013883860626e+04 
       2.180385801262e-03       1.056126213902e+04 
       2.283600667431e-03       1.098453967491e+04 
       2.388365150148e-03       1.140785507116e+04 
