# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.00946e-05 to 124.492 h/Mpc,
# number of wavenumbers equal to 713
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_nudm                 5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.009462240743e-05      -2.151105605151e+00      -1.613329713302e+00      -1.613329713330e+00      -2.151105586233e+00      -1.613493212934e+00       4.625502654747e-01       4.624028037764e-01 
       2.254505961125e-05      -2.156319057799e+00      -1.617252070917e+00      -1.617252071660e+00      -2.156318582135e+00      -1.617415963622e+00       4.625462150090e-01       4.623992011274e-01 
       3.503639398545e-05      -2.165490516978e+00      -1.624192380088e+00      -1.624192384511e+00      -2.165487745063e+00      -1.624356953927e+00       4.625397063572e-01       4.623934824350e-01 
       4.760002062644e-05      -2.178607040545e+00      -1.634208611234e+00      -1.634208626363e+00      -2.178597627401e+00      -1.634374135800e+00       4.625307768367e-01       4.623856881598e-01 
       6.026781993044e-05      -2.195656743777e+00      -1.647391665324e+00      -1.647391704289e+00      -2.195632678148e+00      -1.647558383621e+00       4.625188524326e-01       4.623752478193e-01 
       7.307242324431e-05      -2.216622048970e+00      -1.663863825737e+00      -1.663863909946e+00      -2.216570398283e+00      -1.664031944572e+00       4.625037550619e-01       4.623619887901e-01 
       8.604748647405e-05      -2.241477316008e+00      -1.683781793756e+00      -1.683781955297e+00      -2.241378845850e+00      -1.683951472669e+00       4.624853966948e-01       4.623458299383e-01 
       9.922797506845e-05      -2.270183578726e+00      -1.707339415168e+00      -1.707339700623e+00      -2.270011167382e+00      -1.707510754083e+00       4.624637840319e-01       4.623267867917e-01 
       1.126504638230e-04      -2.302684341913e+00      -1.734770954491e+00      -1.734771427511e+00      -2.302401324140e+00      -1.734943978053e+00       4.624391889960e-01       4.623051389257e-01 
       1.263534549787e-04      -2.338898803054e+00      -1.766358246279e+00      -1.766358992745e+00      -2.338456929074e+00      -1.766532886072e+00       4.624110758014e-01       4.622803615695e-01 
       1.403777181064e-04      -2.378710963913e+00      -1.802433362878e+00      -1.802434496642e+00      -2.378048184343e+00      -1.802609435987e+00       4.623790657744e-01       4.622520868798e-01 
       1.547666552383e-04      -2.421958449603e+00      -1.843384827746e+00      -1.843386496968e+00      -2.420996442232e+00      -1.843562010500e+00       4.623430071730e-01       4.622201737422e-01 
       1.695666946080e-04      -2.468420775827e+00      -1.889666969929e+00      -1.889669365678e+00      -2.467062160378e+00      -1.889844767085e+00       4.623023598938e-01       4.621840925405e-01 
       1.848277161308e-04      -2.517800419419e+00      -1.941807038119e+00      -1.941810405082e+00      -2.515925680904e+00      -1.941984745868e+00       4.622568727395e-01       4.621436016558e-01 
       2.006035113408e-04      -2.569707524547e+00      -2.000417155281e+00      -2.000421804413e+00      -2.567171811491e+00      -2.000593817575e+00       4.622062485501e-01       4.620984110857e-01 
       2.169522798142e-04      -2.623636996889e+00      -2.066206984280e+00      -2.066213308882e+00      -2.620266746213e+00      -2.066381341194e+00       4.621501249226e-01       4.620481627265e-01 
       2.339371630338e-04      -2.678943667727e+00      -2.139999646532e+00      -2.140008143629e+00      -2.674533232763e+00      -2.140170074685e+00       4.620876100279e-01       4.619919652031e-01 
       2.516268150538e-04      -2.734818852289e+00      -2.222746945526e+00      -2.222758240112e+00      -2.729127728875e+00      -2.222911389215e+00       4.620184972583e-01       4.619296051540e-01 
       2.700960070185e-04      -2.790260800804e+00      -2.315553287858e+00      -2.315568166038e+00      -2.783011450344e+00      -2.315709181474e+00       4.619416408803e-01       4.618599226851e-01 
