# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_nudm           12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)A_nudm[0]          15:(.)rho_ncdm[1]        16:(.)p_ncdm[1]          17:(.)A_nudm[1]          18:(.)rho_ncdm[2]        19:(.)p_ncdm[2]          20:(.)A_nudm[2]          21:(.)rho_lambda         22:(.)rho_ur             23:(.)rho_crit           24:(.)rho_tot            25:(.)p_tot              26:(.)p_tot_prime        27:gr.fac. D             28:gr.fac. f          
       1.000000000000e+14       7.558501265934e-26       4.634785000235e-09       2.157546622097e+22       2.755658789278e+04       2.755658789278e-10       2.755658789278e+18       2.675957327071e-09       2.751560535470e+44       2.473421074607e+33       1.112650056054e+15       6.331470950076e+43       2.110490316692e+43       2.376062287025e-07       6.331470950076e+43       2.110490316692e+43       2.376062287025e-07       6.331470950076e+43       2.110490316692e+43       2.376062287025e-07       5.084621489637e-08       4.005606003904e+41       4.655007426521e+44       4.655007426521e+44       1.551669142166e+44      -1.339119406516e+53       5.875348293907e-19       2.000000000000e+14 
       9.930486593843e+13       7.664690650219e-26       4.667526809499e-09       2.127655194272e+22       2.755658789278e+04       2.774948400803e-10       2.736503266414e+18       2.694689028360e-09       2.675846458098e+44       2.422198022217e+33       1.089607747286e+15       6.157249276517e+43       2.052416425506e+43       2.343143464492e-07       6.157249276517e+43       2.052416425506e+43       2.343143464492e-07       6.157249276517e+43       2.052416425506e+43       2.343143464492e-07       5.084621489637e-08       3.895384637160e+41       4.526916625715e+44       4.526916625715e+44       1.508972208563e+44      -1.293218626186e+53       8.196832053058e-07       1.433565615564e+02 
       9.861456399050e+13       7.772371889164e-26       4.700268618762e-09       2.098177893053e+22       2.755658789278e+04       2.794373039609e-10       2.717480900113e+18       2.713551851558e-09       2.602215788102e+44       2.372035768219e+33       1.067042630778e+15       5.987821621879e+43       1.995940540626e+43       2.310680711181e-07       5.987821621879e+43       1.995940540626e+43       2.310680711181e-07       5.987821621879e+43       1.995940540626e+43       2.310680711181e-07       5.084621489637e-08       3.788196207173e+41       4.402350470896e+44       4.402350470896e+44       1.467450156958e+44      -1.248891179515e+53       1.639366410611e-06       7.167828077821e+01 
       9.792906056653e+13       7.881565941835e-26       4.733010428026e-09       2.069108980979e+22       2.755658789278e+04       2.813933650886e-10       2.698590764759e+18       2.732546714519e-09       2.530611196824e+44       2.322912344119e+33       1.044944824165e+15       5.823056070214e+43       1.941018690071e+43       2.278667708544e-07       5.823056070214e+43       1.941018690071e+43       2.278667708544e-07       5.823056070214e+43       1.941018690071e+43       2.278667708544e-07       5.084621489637e-08       3.683957257301e+41       4.281211975169e+44       4.281211975169e+44       1.427070658382e+44      -1.206083137597e+53       2.459049615916e-06       4.778552051881e+01 
       9.724832231036e+13       7.992294061752e-26       4.765752237290e-09       2.040442800081e+22       2.755658789278e+04       2.833631186443e-10       2.679831941171e+18       2.751674541521e-09       2.460976933110e+44       2.274806236379e+33       1.023304649743e+15       5.662824335475e+43       1.887608111825e+43       2.247098225573e-07       5.662824335475e+43       1.887608111825e+43       2.247098225573e-07       5.662824335475e+43       1.887608111825e+43       2.247098225573e-07       5.084621489637e-08       3.582586627356e+41       4.163406820402e+44       4.163406820402e+44       1.387802273460e+44      -1.164742420041e+53       3.278732821221e-06       3.583914038911e+01 
       9.657231609767e+13       8.104577801026e-26       4.798494046554e-09       2.012173770775e+22       2.755658789278e+04       2.853466604748e-10       2.661203516555e+18       2.770936263311e-09       2.393258779894e+44       2.227696376995e+33       1.002112630227e+15       5.507001661632e+43       1.835667220544e+43       2.215966117587e-07       5.507001661632e+43       1.835667220544e+43       2.215966117587e-07       5.507001661632e+43       1.835667220544e+43       2.215966117587e-07       5.084621489637e-08       3.484005390419e+41       4.048843283797e+44       4.048843283797e+44       1.349614427925e+44      -1.124818731606e+53       4.098416026526e-06       2.867131231129e+01 
       9.590100903443e+13       8.218439014552e-26       4.831235855818e-09       1.984296390781e+22       2.755658789278e+04       2.873440870981e-10       2.642704584464e+18       2.790332817155e-09       2.327404011992e+44       2.181562134266e+33       9.813594846001e+14       5.355466725541e+43       1.785155575180e+43       2.185265325035e-07       5.355466725541e+43       1.785155575180e+43       2.185265325035e-07       5.355466725541e+43       1.785155575180e+43       2.185265325035e-07       5.084621489637e-08       3.388136791385e+41       3.937432166468e+44       3.937432166468e+44       1.312477388815e+44      -1.086263501012e+53       4.918099231832e-06       2.389276025941e+01 
       9.523436845525e+13       8.333899864268e-26       4.867615643889e-09       1.956805234048e+22       2.755658789278e+04       2.893554957078e-10       2.624334244751e+18       2.809865146875e-09       2.263361355047e+44       2.136383303762e+33       9.610361240495e+14       5.208101542478e+43       1.736033847493e+43       2.154989872319e-07       5.208101542478e+43       1.736033847493e+43       2.154989872319e-07       5.208101542478e+43       1.736033847493e+43       2.154989872319e-07       5.084621489637e-08       3.294906187202e+41       3.829086723999e+44       3.829086723999e+44       1.276362241326e+44      -1.049029821851e+53       5.737782437137e-06       2.047950879378e+01 
       9.457236192179e+13       8.450982823461e-26       4.900357453153e-09       1.929694949700e+22       2.755658789278e+04       2.913809841777e-10       2.606091603526e+18       2.829534202903e-09       2.201080945604e+44       2.092140099474e+33       9.411336479866e+14       5.064791374280e+43       1.688263791427e+43       2.125133866627e-07       5.064791374280e+43       1.688263791427e+43       2.125133866627e-07       5.064791374280e+43       1.688263791427e+43       2.125133866627e-07       5.084621489637e-08       3.204240988754e+41       3.723722598898e+44       3.723722598898e+44       1.241240866292e+44      -1.013072395517e+53       6.557465642442e-06       1.791957019456e+01 
       9.391495722125e+13       8.569710681147e-26       4.936737241223e-09       1.902960260993e+22       2.755658789278e+04       2.934206510670e-10       2.587975773114e+18       2.849340942323e-09       2.140514292293e+44       2.048813145151e+33       9.216433401488e+14       4.925424640007e+43       1.641808213336e+43       2.095691496788e-07       4.925424640007e+43       1.641808213336e+43       2.095691496788e-07       4.925424640007e+43       1.641808213336e+43       2.095691496788e-07       5.084621489637e-08       3.116070604344e+41       3.621257754920e+44       3.621257754920e+44       1.207085918300e+44      -9.783474760970e+52       7.377148847747e-06       1.592850683961e+01 
