# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       3.815980519892e-10       2.124627263813e-14       7.121628620776e-13       0.000000000000e+00       4.509423287050e-09       9.667914790453e-10      -3.446180330424e-12 
    3       3.012637555943e-10       1.389237158347e-14       8.573169852002e-13       0.000000000000e+00       2.682426302573e-09       6.143244405961e-10      -1.197496000096e-12 
    4       2.504773050278e-10       6.420321930211e-15       7.010798813538e-13       0.000000000000e+00       1.799552338523e-09       4.265981935795e-10       1.252352380975e-13 
    5       2.185595922656e-10       3.217524265841e-15       4.858856341321e-13       0.000000000000e+00       1.295743341121e-09       3.142360113887e-10       5.660212194159e-13 
    6       1.983077676987e-10       1.960517897451e-15       3.212893785112e-13       0.000000000000e+00       9.768220349975e-10       2.414516945100e-10       5.205942390807e-13 
    7       1.853707876445e-10       1.200322433224e-15       2.271351346328e-13       0.000000000000e+00       7.611169153825e-10       1.914297013137e-10       3.309291850429e-13 
    8       1.772915880901e-10       7.061644974285e-16       1.796765065770e-13       0.000000000000e+00       6.081246946926e-10       1.554645021783e-10       1.764588063959e-13 
    9       1.726566852432e-10       4.359160052413e-16       1.510746644207e-13       0.000000000000e+00       4.956070186494e-10       1.287560084744e-10       9.925453482868e-14 
   10       1.705179374191e-10       3.021022858330e-16       1.269351803423e-13       0.000000000000e+00       4.104497101365e-10       1.084232429353e-10       7.420025256897e-14 
   11       1.702257069236e-10       2.389168658569e-16       1.061427880661e-13       0.000000000000e+00       3.437768960526e-10       9.350196322689e-11       6.756788403096e-14 
   12       1.713008478782e-10       2.146806653749e-16       9.290341901650e-14       0.000000000000e+00       2.919514374238e-10       8.073063672144e-11       5.987673067348e-14 
   13       1.734940046668e-10       2.136050751185e-16       8.916044561464e-14       0.000000000000e+00       2.503234267175e-10       7.039528070768e-11       4.957442147448e-14 
   14       1.765177302172e-10       2.249957458375e-16       9.218433300832e-14       0.000000000000e+00       2.164245980664e-10       6.196856876271e-11       4.022544876102e-14 
   15       1.803175721919e-10       2.419295113227e-16       9.748990912436e-14       0.000000000000e+00       1.884915303858e-10       5.500951167324e-11       3.412686065746e-14 
