# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       3.815981694421e-10       2.124627729718e-14       7.121628613889e-13       4.658930328380e-21       4.509423287050e-09       9.667914790453e-10      -3.446180330424e-12 
    3       3.012639898769e-10       1.389238086385e-14       8.573169821273e-13       9.279182323744e-21       2.682426302573e-09       6.143244405961e-10      -1.197496000096e-12 
    4       2.504776941206e-10       6.420337318570e-15       7.010798725104e-13       1.538241751230e-20       1.799552338523e-09       4.265981935795e-10       1.252352380975e-13 
    5       2.185601733362e-10       3.217547211686e-15       4.858856139471e-13       2.292543769313e-20       1.295743341121e-09       3.142360113887e-10       5.660212194159e-13 
    6       1.983085769146e-10       1.960549814380e-15       3.212893387306e-13       3.186106819700e-20       9.768220349975e-10       2.414516945100e-10       5.205942390807e-13 
    7       1.853718599960e-10       1.200364705950e-15       2.271350638509e-13       4.214216785460e-20       7.611169153825e-10       1.914297013137e-10       3.309291850429e-13 
    8       1.772929572255e-10       7.062184947500e-16       1.796763898026e-13       5.372593560154e-20       6.081246946926e-10       1.554645021783e-10       1.764588063959e-13 
    9       1.726583833181e-10       4.359830985859e-16       1.510744826821e-13       6.657827875359e-20       4.956070186494e-10       1.287560084744e-10       9.925453482868e-14 
   10       1.705199949621e-10       3.021838725527e-16       1.269349103347e-13       8.067800008766e-20       4.104497101365e-10       1.084232429353e-10       7.420025256897e-14 
   11       1.702281527193e-10       2.390143960278e-16       1.061424018428e-13       9.602056470293e-20       3.437768960526e-10       9.350196322689e-11       6.756788403096e-14 
   12       1.713037088698e-10       2.147956704936e-16       9.290288372658e-14       1.126212231523e-19       2.919514374238e-10       8.073063672144e-11       5.987673067348e-14 
