# Matter power spectrum P(k) at redshift z=0
# for k=5.23499e-06 to 105.958 h/Mpc,
# number of wavenumbers equal to 575
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       5.234991785391e-06       4.205360547611e+02 
       1.444923295173e-05       1.217001269217e+03 
       2.367700668676e-05       1.973604493915e+03 
       3.293099874673e-05       2.714674971096e+03 
       4.222398879888e-05       3.448660126520e+03 
       5.156890883351e-05       4.178503662236e+03 
       6.097890245435e-05       4.906655550998e+03 
       7.046738546766e-05       5.635442217328e+03 
       8.004810819356e-05       6.365713631084e+03 
       8.973521992642e-05       7.099090851145e+03 
       9.954333597681e-05       7.836323482683e+03 
       1.094876077322e-04       8.578567860700e+03 
       1.195837961781e-04       9.327210955005e+03 
       1.298483493239e-04       1.008301163718e+04 
       1.402984839765e-04       1.084702975646e+04 
       1.509522722984e-04       1.162031911713e+04 
       1.618287335745e-04       1.240396930792e+04 
       1.729479315836e-04       1.319904918788e+04 
       1.843310779362e-04       1.400642860355e+04 
       1.960006416769e-04       1.482722577816e+04 
       2.079804653711e-04       1.566256193608e+04 
       2.202958877771e-04       1.651349118341e+04 
       2.329738730528e-04       1.738112984182e+04 
       2.460431462392e-04       1.826659015583e+04 
       2.595343344976e-04       1.917100238986e+04 
       2.734801132374e-04       2.009552770562e+04 
       2.879153558390e-04       2.104129701887e+04 
       3.028772851424e-04       2.200945609871e+04 
       3.184056242146e-04       2.300114121248e+04 
       3.345427431115e-04       2.401745881384e+04 
       3.513337974070e-04       2.505948000991e+04 
       3.688268531547e-04       2.612822079285e+04 
       3.870729916851e-04       2.722462420158e+04 
       4.061263862366e-04       2.834951722589e+04 
       4.260443409047e-04       2.950358875235e+04 
       4.468872808378e-04       3.068739727651e+04 
       4.687186811082e-04       3.190127159542e+04 
       4.916049203903e-04       3.314524418753e+04 
       5.156150446743e-04       3.441913353350e+04 
       5.408204259922e-04       3.572227855940e+04 
       5.672943018196e-04       3.705371782663e+04 
       5.951111827701e-04       3.841193196959e+04 
       6.243461197453e-04       3.979501302146e+04 
       6.550738270942e-04       4.120033215970e+04 
       6.873676657178e-04       4.262477506127e+04 
       7.212984993420e-04       4.406464091634e+04 
       7.569334480077e-04       4.551560774611e+04 
       7.943345744599e-04       4.697272906265e+04 
       8.335575504646e-04       4.843068516727e+04 
       8.746503597512e-04       4.988365678062e+04 
       9.176521007166e-04       5.132553894385e+04 
       9.625919538105e-04       5.274994735000e+04 
       1.009488374601e-03       5.415046513536e+04 
       1.058348563534e-03       5.552073671456e+04 
       1.109168247895e-03       5.685457870454e+04 
       1.161931791804e-03       5.814617461914e+04 
       1.216612628519e-03       5.938996937135e+04 
       1.273173988175e-03       6.058110276421e+04 
       1.331569876070e-03       6.171531221860e+04 
       1.391746243361e-03       6.278877932586e+04 
       1.453642284904e-03       6.379852787968e+04 
       1.517191797952e-03       6.474218892578e+04 
       1.582324539897e-03       6.561817621387e+04 
       1.648967531945e-03       6.642552884669e+04 
       1.717046266833e-03       6.716366492216e+04 
       1.786485790977e-03       6.783288956611e+04 
       1.857211643349e-03       6.843407768279e+04 
       1.929150643947e-03       6.896836093134e+04 
       2.002231533376e-03       6.943738342458e+04 
       2.076385471563e-03       6.984304616348e+04 
       2.151546408058e-03       7.018739022000e+04 
       2.227651338940e-03       7.047266727083e+04 
       2.304640466441e-03       7.070110757375e+04 
       2.382457277290e-03       7.087527646169e+04 
       2.461048554965e-03       7.099765761023e+04 
       2.540364339628e-03       7.107064159603e+04 
       2.620357847917e-03       7.109678548815e+04 
       2.700985363039e-03       7.107838912190e+04 
       2.782206103927e-03       7.101789717273e+04 
       2.863982080657e-03       7.091750056775e+04 
       2.946277941930e-03       7.077942305529e+04 
       3.029060819166e-03       7.060586773787e+04 
       3.112300170746e-03       7.039892317395e+04 
       3.195967629036e-03       7.016057836922e+04 
       3.280036852126e-03       6.989294949469e+04 
       3.364483381630e-03       6.959782638741e+04 
       3.449284507425e-03       6.927719061677e+04 
       3.534419139878e-03       6.893269343477e+04 
       3.619867689772e-03       6.856603486470e+04 
       3.705611956012e-03       6.817868188361e+04 
       3.791635020956e-03       6.777227078832e+04 
       3.877921153170e-03       6.734833255724e+04 
       3.964455717294e-03       6.690808620777e+04 
       4.051225090660e-03       6.645303970013e+04 
       4.138216586287e-03       6.598435908860e+04 
       4.225418381857e-03       6.550324803830e+04 
       4.312819454265e-03       6.501075115727e+04 
       4.400409519356e-03       6.450790333873e+04 
       4.488178976473e-03       6.399583516179e+04 
       4.576118857443e-03       6.347521888561e+04 
       4.664220779662e-03       6.294711366632e+04 
       4.752476902956e-03       6.241222907962e+04 
       4.840879889903e-03       6.187136032527e+04 
       4.929422869353e-03       6.132507657082e+04 
       5.018099402864e-03       6.077404213921e+04 
       5.106903453820e-03       6.021873722434e+04 
       5.195829359015e-03       5.965955636159e+04 
       5.284871802481e-03       5.909707525493e+04 
       5.374025791386e-03       5.853148741016e+04 
       5.463286633826e-03       5.796310346221e+04 
       5.552649918343e-03       5.739233597794e+04 
       5.642111495038e-03       5.681938014635e+04 
       5.731667458136e-03       5.624433113939e+04 
       5.821314129889e-03       5.566747014692e+04 
       5.911048045703e-03       5.508898160828e+04 
       6.000865940385e-03       5.450904840292e+04 
       6.090764735423e-03       5.392785013985e+04 
       6.180741527216e-03       5.334561971379e+04 
       6.270793576171e-03       5.276239817410e+04 
       6.360918296597e-03       5.217846529424e+04 
       6.451113247339e-03       5.159391714041e+04 
       6.541376123090e-03       5.100907331641e+04 
       6.631704746319e-03       5.042405458139e+04 
       6.722097059780e-03       4.983908851939e+04 
       6.812551119549e-03       4.925443208716e+04 
       6.903065088547e-03       4.867019415343e+04 
       6.993637230514e-03       4.808661227010e+04 
       7.084265904405e-03       4.750393794075e+04 
       7.174949559162e-03       4.692236006596e+04 
       7.265686728848e-03       4.634199684792e+04 
       7.356476028110e-03       4.576311864958e+04 
       7.447316147942e-03       4.518587945131e+04 
       7.538205851739e-03       4.461038341329e+04 
       7.629143971605e-03       4.403688743151e+04 
       7.720129404910e-03       4.346535810134e+04 
       7.811161111069e-03       4.289595422454e+04 
