# Matter power spectrum P(k) at redshift z=0
# for k=5.23499e-06 to 105.958 h/Mpc,
# number of wavenumbers equal to 575
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       5.234991785391e-06       4.120336273777e+02 
       1.444923295173e-05       1.213200042930e+03 
       2.367700668676e-05       1.970467035341e+03 
       3.293099874673e-05       2.711575854900e+03 
       4.222398879888e-05       3.445414749154e+03 
       5.156890883351e-05       4.175060932813e+03 
       6.097890245435e-05       4.903021552979e+03 
       7.046738546766e-05       5.631655672714e+03 
       8.004810819356e-05       6.361837350027e+03 
       8.973521992642e-05       7.095207084553e+03 
       9.954333597681e-05       7.832533170013e+03 
       1.094876077322e-04       8.574989903628e+03 
       1.195837961781e-04       9.323983031915e+03 
       1.298483493239e-04       1.008029159030e+04 
       1.402984839765e-04       1.084499692362e+04 
       1.509522722984e-04       1.161917665743e+04 
       1.618287335745e-04       1.240394672997e+04 
       1.729479315836e-04       1.320040488735e+04 
       1.843310779362e-04       1.400945352318e+04 
       1.960006416769e-04       1.483224676874e+04 
       2.079804653711e-04       1.566994661766e+04 
       2.202958877771e-04       1.652365232215e+04 
       2.329738730528e-04       1.739453111306e+04 
       2.460431462392e-04       1.828375218225e+04 
       2.595343344976e-04       1.919250999155e+04 
       2.734801132374e-04       2.012203743057e+04 
       2.879153558390e-04       2.107354645310e+04 
       3.028772851424e-04       2.204827296806e+04 
       3.184056242146e-04       2.304745455917e+04 
       3.345427431115e-04       2.407231091383e+04 
       3.513337974070e-04       2.512403917897e+04 
       3.688268531547e-04       2.620379573150e+04 
       3.870729916851e-04       2.731267894302e+04 
       4.061263862366e-04       2.845168739670e+04 
       4.260443409047e-04       2.962169810486e+04 
       4.468872808378e-04       3.082347424407e+04 
       4.687186811082e-04       3.205756632601e+04 
       4.916049203903e-04       3.332424467099e+04 
       5.156150446743e-04       3.462357901495e+04 
       5.408204259922e-04       3.595517161226e+04 
       5.672943018196e-04       3.731833089961e+04 
       5.951111827701e-04       3.871180946783e+04 
       6.243461197453e-04       4.013396574855e+04 
       6.550738270942e-04       4.158242359410e+04 
       6.873676657178e-04       4.305429725822e+04 
       7.212984993420e-04       4.454607969495e+04 
       7.569334480077e-04       4.605359615708e+04 
       7.943345744599e-04       4.757198926887e+04 
       8.335575504646e-04       4.909596175818e+04 
       8.746503597512e-04       5.061964109493e+04 
       9.176521007166e-04       5.213679158735e+04 
       9.625919538105e-04       5.364082002900e+04 
       1.009488374601e-03       5.512502903278e+04 
       1.058348563534e-03       5.658272116445e+04 
       1.109168247895e-03       5.800732420149e+04 
       1.161931791804e-03       5.939260356466e+04 
       1.216612628519e-03       6.073257042675e+04 
       1.273173988175e-03       6.202193637764e+04 
       1.331569876070e-03       6.325602565064e+04 
       1.391746243361e-03       6.443062425192e+04 
       1.453642284904e-03       6.554238780538e+04 
       1.517191797952e-03       6.658859926391e+04 
       1.582324539897e-03       6.756734392873e+04 
       1.648967531945e-03       6.847736012305e+04 
       1.717046266833e-03       6.931790973892e+04 
       1.786485790977e-03       7.008899848960e+04 
       1.857211643349e-03       7.079112823598e+04 
       1.929150643947e-03       7.142504271064e+04 
       2.002231533376e-03       7.199201840166e+04 
       2.076385471563e-03       7.249362350107e+04 
       2.151546408058e-03       7.293161293320e+04 
       2.227651338940e-03       7.330801101606e+04 
       2.304640466441e-03       7.362487422362e+04 
       2.382457277290e-03       7.388466062308e+04 
       2.461048554965e-03       7.408979175898e+04 
       2.540364339628e-03       7.424263235895e+04 
       2.620357847917e-03       7.434575345064e+04 
       2.700985363039e-03       7.440148090240e+04 
       2.782206103927e-03       7.441230721876e+04 
       2.863982080657e-03       7.438046783512e+04 
       2.946277941930e-03       7.430823449276e+04 
       3.029060819166e-03       7.419785493922e+04 
       3.112300170746e-03       7.405145110382e+04 
       3.195967629036e-03       7.387103212478e+04 
       3.280036852126e-03       7.365873248592e+04 
       3.364483381630e-03       7.341633476339e+04 
       3.449284507425e-03       7.314581664276e+04 
       3.534419139878e-03       7.284880184687e+04 
       3.619867689772e-03       7.252696274075e+04 
       3.705611956012e-03       7.218172395260e+04 
       3.791635020956e-03       7.181469000570e+04 
       3.877921153170e-03       7.142735728063e+04 
       3.964455717294e-03       7.102089599040e+04 
       4.051225090660e-03       7.059678911827e+04 
       4.138216586287e-03       7.015616538672e+04 
       4.225418381857e-03       6.970020391020e+04 
       4.312819454265e-03       6.922992754106e+04 
       4.400409519356e-03       6.874636431271e+04 
       4.488178976473e-03       6.825066236718e+04 
       4.576118857443e-03       6.774350218853e+04 
       4.664220779662e-03       6.722599984979e+04 
       4.752476902956e-03       6.669892388251e+04 
       4.840879889903e-03       6.616316079177e+04 
       4.929422869353e-03       6.561938259673e+04 
       5.018099402864e-03       6.506838917915e+04 
       5.106903453820e-03       6.451080728142e+04 
       5.195829359015e-03       6.394719198787e+04 
       5.284871802481e-03       6.337830806364e+04 
       5.374025791386e-03       6.280452131640e+04 
       5.463286633826e-03       6.222632775895e+04 
       5.552649918343e-03       6.164433185553e+04 
       5.642111495038e-03       6.105889835239e+04 
       5.731667458136e-03       6.047027308934e+04 
       5.821314129889e-03       5.987888641220e+04 
       5.911048045703e-03       5.928504610541e+04 
       6.000865940385e-03       5.868903759028e+04 
       6.090764735423e-03       5.809112080775e+04 
       6.180741527216e-03       5.749159122199e+04 
       6.270793576171e-03       5.689051613568e+04 
       6.360918296597e-03       5.628819960765e+04 
       6.451113247339e-03       5.568472848789e+04 
       6.541376123090e-03       5.508041750571e+04 
       6.631704746319e-03       5.447534827254e+04 
