# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=5.23499e-06 to 105.958 h/Mpc,
# number of wavenumbers equal to 575
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_nudm                 5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_ncdm[2]              9:d_tot                 10:phi                   11:psi                
       5.234991785391e-06      -2.834710585114e+00      -2.126033424687e+00      -2.126033424725e+00      -2.834710560404e+00      -2.126172539235e+00      -2.126172539235e+00      -2.126172539235e+00      -2.126786515223e+00       2.916380169662e-01       2.913265337044e-01 
       1.444923295173e-05      -2.843104358299e+00      -2.132359715804e+00      -2.132359718939e+00      -2.843102759568e+00      -2.132498881262e+00      -2.132498881262e+00      -2.132498881262e+00      -2.133114983966e+00       2.916193947884e-01       2.913096153677e-01 
       2.367700668676e-05      -2.859207196547e+00      -2.144633687528e+00      -2.144633710487e+00      -2.859195614107e+00      -2.144771265386e+00      -2.144771265386e+00      -2.144771265386e+00      -2.145392896478e+00       2.915819838715e-01       2.912754918149e-01 
       3.293099874673e-05      -2.882733268468e+00      -2.162902513849e+00      -2.162902600150e+00      -2.882690104536e+00      -2.163033607107e+00      -2.163033607107e+00      -2.163033607107e+00      -2.163666898100e+00       2.915275362921e-01       2.912258923233e-01 
       4.222398879888e-05      -2.913279682602e+00      -2.187252233010e+00      -2.187252466103e+00      -2.913163943721e+00      -2.187367011040e+00      -2.187367011040e+00      -2.187367011040e+00      -2.188022242717e+00       2.914553838909e-01       2.911601200597e-01 
       5.156890883351e-05      -2.950314750197e+00      -2.217798441258e+00      -2.217798958026e+00      -2.950060075853e+00      -2.217880401488e+00      -2.217880401488e+00      -2.217880401488e+00      -2.218573480497e+00       2.913658487967e-01       2.910784542944e-01 
       6.097890245435e-05      -2.993182534470e+00      -2.254691740566e+00      -2.254692745973e+00      -2.992691401152e+00      -2.254715730762e+00      -2.254715730762e+00      -2.254715730762e+00      -2.255469891561e+00       2.912586926053e-01       2.909806091546e-01 
       7.046738546766e-05      -3.041104621815e+00      -2.298119694244e+00      -2.298121476274e+00      -3.040242921644e+00      -2.298049757725e+00      -2.298049757725e+00      -2.298049757725e+00      -2.298897431716e+00       2.911328570304e-01       2.908654688235e-01 
       8.004810819356e-05      -3.093175192578e+00      -2.348302232332e+00      -2.348305178485e+00      -3.091767288789e+00      -2.348089203791e+00      -2.348089203791e+00      -2.348089203791e+00      -2.349074123844e+00       2.909887905029e-01       2.907334097666e-01 
       8.973521992642e-05      -3.148370985666e+00      -2.405501459092e+00      -2.405506073403e+00      -3.146195288570e+00      -2.405080160378e+00      -2.405080160378e+00      -2.405080160378e+00      -2.406259843667e+00       2.908255519466e-01       2.905834106487e-01 
       9.954333597681e-05      -3.205550872903e+00      -2.470016834523e+00      -2.470023756057e+00      -3.202336317322e+00      -2.469303010974e+00      -2.469303010974e+00      -2.469303010974e+00      -2.470751491689e+00       2.906436557683e-01       2.904158893772e-01 
       1.094876077322e-04      -3.263467728938e+00      -2.542194178700e+00      -2.542204201699e+00      -3.258891143730e+00      -2.541080862010e+00      -2.541080862010e+00      -2.541080862010e+00      -2.542891969159e+00       2.904427527951e-01       2.902303886729e-01 
       1.195837961781e-04      -3.320771247524e+00      -2.622428028774e+00      -2.622442125849e+00      -3.314455748721e+00      -2.620780994583e+00      -2.620780994583e+00      -2.620780994583e+00      -2.623072486018e+00       2.902215651156e-01       2.900255121807e-01 
       1.298483493240e-04      -3.376030760942e+00      -2.711161053549e+00      -2.711180395654e+00      -3.367546232316e+00      -2.708814257714e+00      -2.708814257714e+00      -2.708814257714e+00      -2.711731998926e+00       2.899804295246e-01       2.898014574161e-01 
       1.402984839765e-04      -3.427749669509e+00      -2.808893362210e+00      -2.808919346638e+00      -3.416614765852e+00      -2.805643067400e+00      -2.805643067400e+00      -2.805643067400e+00      -2.809366453711e+00       2.897188511742e-01       2.895575772566e-01 
       1.509522722984e-04      -3.474388441080e+00      -2.916185543990e+00      -2.916219820448e+00      -3.460074922099e+00      -2.911783398052e+00      -2.911783398052e+00      -2.911783398052e+00      -2.916531788658e+00       2.894362506799e-01       2.892931248405e-01 
       1.618287335745e-04      -3.514396940410e+00      -3.033664593444e+00      -3.033709090840e+00      -3.496336883006e+00      -3.027809525159e+00      -3.027809525159e+00      -3.027809525159e+00      -3.033849822850e+00       2.891317983408e-01       2.890070872681e-01 
       1.729479315836e-04      -3.546259781908e+00      -3.162030710938e+00      -3.162087671500e+00      -3.523856164558e+00      -3.154359742693e+00      -3.154359742693e+00      -3.154359742693e+00      -3.162015037934e+00       2.888046889542e-01       2.886984594298e-01 
       1.843310779362e-04      -3.568541339147e+00      -3.302062241276e+00      -3.302134248632e+00      -3.541182415568e+00      -3.292139285386e+00      -3.292139285386e+00      -3.292139285386e+00      -3.301799448555e+00       2.884551231171e-01       2.883672264024e-01 
       1.960006416769e-04      -3.579945523015e+00      -3.454628049797e+00      -3.454718056681e+00      -3.547023373248e+00      -3.441930832975e+00      -3.441930832975e+00      -3.441930832975e+00      -3.454064925883e+00       2.880822277004e-01       2.880122875110e-01 
       2.079804653711e-04      -3.579376579304e+00      -3.620693187661e+00      -3.620804558588e+00      -3.540310264956e+00      -3.604597220638e+00      -3.604597220638e+00      -3.604597220638e+00      -3.619768759183e+00       2.876849290028e-01       2.876323314874e-01 
       2.202958877771e-04      -3.566029732645e+00      -3.801331157835e+00      -3.801467694524e+00      -3.520293831029e+00      -3.781091803165e+00      -3.781091803165e+00      -3.781091803165e+00      -3.799975900174e+00       2.872627059766e-01       2.872265914879e-01 
       2.329738730528e-04      -3.539462632285e+00      -3.997734316894e+00      -3.997900277786e+00      -3.486620357799e+00      -3.972464548373e+00      -3.972464548373e+00      -3.972464548373e+00      -3.995869193266e+00       2.868146080454e-01       2.867938699027e-01 
       2.460431462392e-04      -3.499688781429e+00      -4.211227630740e+00      -4.211427778793e+00      -3.439429921771e+00      -4.179872349095e+00      -4.179872349095e+00      -4.179872349095e+00      -4.208763026617e+00       2.863398130598e-01       2.863331019740e-01 
       2.595343344976e-04      -3.447254920719e+00      -4.443281726606e+00      -4.443521326172e+00      -3.379437776767e+00      -4.404586568809e+00      -4.404586568809e+00      -4.404586568809e+00      -4.440116150467e+00       2.858372733157e-01       2.858430105057e-01 
       2.734801132374e-04      -3.383317938479e+00      -4.695530832241e+00      -4.695815645813e+00      -3.308012695707e+00      -4.648005970344e+00      -4.648005970344e+00      -4.648005970344e+00      -4.691549404145e+00       2.853057758296e-01       2.853221761561e-01 
