# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.742763022630e-10       7.642851103751e-15       5.080513132213e-13       0.000000000000e+00       9.460017096587e-09       5.821227117829e-10      -2.716983661595e-12 
    3       1.629241248552e-10       1.193538468607e-14       6.231552660698e-13       0.000000000000e+00       5.865078418805e-09       4.126001103660e-10      -2.299462119701e-12 
    4       1.523567282862e-10       1.275987387897e-14       6.277233312151e-13       0.000000000000e+00       4.085733935217e-09       3.123134161562e-10      -1.743058081295e-12 
    5       1.442501010479e-10       1.069294856295e-14       5.719107424579e-13       0.000000000000e+00       3.050338164040e-09       2.467122350287e-10      -1.206813235470e-12 
    6       1.383963714279e-10       7.406054829472e-15       4.891821506487e-13       0.000000000000e+00       2.382365893434e-09       2.007012911916e-10      -7.438592407863e-13 
    7       1.343169494194e-10       4.421767283881e-15       4.015913459086e-13       0.000000000000e+00       1.920581194127e-09       1.668480131462e-10      -3.777294393979e-13 
    8       1.316613823193e-10       2.474000557961e-15       3.216607265877e-13       0.000000000000e+00       1.585447003150e-09       1.411061540933e-10      -1.142214952810e-13 
    9       1.300490189395e-10       1.544358289929e-15       2.560820796726e-13       0.000000000000e+00       1.333925146803e-09       1.210622826579e-10       5.270878911478e-14 
   10       1.292557271188e-10       1.232668365713e-15       2.076443891420e-13       0.000000000000e+00       1.139946113713e-09       1.051394669249e-10       1.372813038786e-13 
   11       1.290763055448e-10       1.132572930889e-15       1.762604566619e-13       0.000000000000e+00       9.632007205972e-10       9.258071658346e-11       1.580814817605e-13 
   12       1.293603882187e-10       1.025753440648e-15       1.598867926911e-13       0.000000000000e+00       8.414416992101e-10       8.182872525363e-11       1.367576218244e-13 
   13       1.300065208668e-10       8.820846941397e-16       1.553320401297e-13       0.000000000000e+00       7.414813175758e-10       7.286726941928e-11       9.199859598913e-14 
   14       1.309769893847e-10       7.587338319402e-16       1.589720201545e-13       0.000000000000e+00       6.583240120229e-10       6.547439264585e-11       4.020797667689e-14 
   15       1.321711781720e-10       7.032257228721e-16       1.673729230138e-13       0.000000000000e+00       5.883407604424e-10       5.904415721442e-11      -7.131558271914e-15 
