# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.742769009688e-10       7.643136559640e-15       5.080513073604e-13       2.854558424879e-19       9.460017096587e-09       5.821227117829e-10      -2.716983661595e-12 
    3       1.629253196102e-10       1.193595581879e-14       6.231552399787e-13       5.711322673546e-19       5.865078418805e-09       4.126001103660e-10      -2.299462119701e-12 
    4       1.523587137071e-10       1.276082625138e-14       6.277232563537e-13       9.523701845870e-19       4.085733935217e-09       3.123134161562e-10      -1.743058081295e-12 
    5       1.442530683911e-10       1.069437801475e-14       5.719105722214e-13       1.429444181269e-18       3.050338164040e-09       2.467122350287e-10      -1.206813235470e-12 
    6       1.384005079008e-10       7.408057531515e-15       4.891818166217e-13       2.002681323190e-18       2.382365893434e-09       2.007012911916e-10      -7.438592407863e-13 
    7       1.343224375853e-10       4.424439783262e-15       4.015907545795e-13       2.672451307448e-18       1.920581194127e-09       1.668480131462e-10      -3.777294393979e-13 
    8       1.316683996067e-10       2.477439812538e-15       3.216597565796e-13       3.439155527667e-18       1.585447003150e-09       1.411061540933e-10      -1.142214952810e-13 
    9       1.300577372652e-10       1.548661691412e-15       2.560805795229e-13       4.303215472705e-18       1.333925146803e-09       1.210622826579e-10       5.270878911478e-14 
   10       1.292663126274e-10       1.237933750686e-15       2.076421756414e-13       5.265060903270e-18       1.139946113713e-09       1.051394669249e-10       1.372813038786e-13 
   11       1.290889184666e-10       1.138898579508e-15       1.762573137465e-13       6.325118256385e-18       9.632007205972e-10       9.258071658346e-11       1.580814817605e-13 
   12       1.293751828420e-10       1.033238063122e-15       1.598824708603e-13       7.483799715106e-18       8.414416992101e-10       8.182872525363e-11       1.367576218244e-13 
   13       1.300236456180e-10       8.908274054143e-16       1.553262563443e-13       8.741493350717e-18       7.414813175758e-10       7.286726941928e-11       9.199859598913e-14 
   14       1.309965870063e-10       7.688341153757e-16       1.589644581603e-13       1.009855469810e-17       6.583240120229e-10       6.547439264585e-11       4.020797667689e-14 
   15       1.321933859856e-10       7.147833839779e-16       1.673632340189e-13       1.155530006400e-17       5.883407604424e-10       5.904415721442e-11      -7.131558271914e-15 
   16       1.335555290602e-10       7.282862226892e-16       1.777527795562e-13       1.311200179489e-17       5.288398073512e-10       5.351847648558e-11      -4.244908938191e-14 
   17       1.350918303161e-10       7.765995771141e-16       1.882302852340e-13       1.476888564937e-17       4.778011016882e-10       4.876218897199e-11      -6.265796344996e-14 
