# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.00946e-05 to 124.492 h/Mpc,
# number of wavenumbers equal to 713
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.009462240743e-05      -2.151105605149e+00      -1.613329713301e+00      -1.613329713329e+00      -2.151105586232e+00      -1.613493212933e+00       4.625502654752e-01       4.624028037769e-01 
       2.254505961125e-05      -2.156319057797e+00      -1.617252070916e+00      -1.617252071659e+00      -2.156318582134e+00      -1.617415963621e+00       4.625462150093e-01       4.623992011278e-01 
       3.503639398545e-05      -2.165490516975e+00      -1.624192380086e+00      -1.624192384509e+00      -2.165487745059e+00      -1.624356953924e+00       4.625397063581e-01       4.623934824358e-01 
       4.760002062644e-05      -2.178607040544e+00      -1.634208611233e+00      -1.634208626362e+00      -2.178597627400e+00      -1.634374135799e+00       4.625307768370e-01       4.623856881601e-01 
       6.026781993044e-05      -2.195656743786e+00      -1.647391665332e+00      -1.647391704296e+00      -2.195632678158e+00      -1.647558383628e+00       4.625188524300e-01       4.623752478167e-01 
       7.307242324431e-05      -2.216622048971e+00      -1.663863825738e+00      -1.663863909947e+00      -2.216570398284e+00      -1.664031944573e+00       4.625037550615e-01       4.623619887898e-01 
       8.604748647405e-05      -2.241477316713e+00      -1.683781794316e+00      -1.683781955857e+00      -2.241378846552e+00      -1.683951473229e+00       4.624853965032e-01       4.623458297468e-01 
       9.922797506845e-05      -2.270183578739e+00      -1.707339415181e+00      -1.707339700635e+00      -2.270011167392e+00      -1.707510754096e+00       4.624637840273e-01       4.623267867871e-01 
       1.126504638230e-04      -2.302684342067e+00      -1.734770954619e+00      -1.734771427639e+00      -2.302401324291e+00      -1.734943978181e+00       4.624391889513e-01       4.623051388810e-01 
       1.263534549787e-04      -2.338898783760e+00      -1.766358229235e+00      -1.766358975700e+00      -2.338456909931e+00      -1.766532869027e+00       4.624110818690e-01       4.622803676329e-01 
       1.403777181064e-04      -2.378710963912e+00      -1.802433362877e+00      -1.802434496641e+00      -2.378048184339e+00      -1.802609435987e+00       4.623790657743e-01       4.622520868797e-01 
       1.547666552383e-04      -2.421958449598e+00      -1.843384827743e+00      -1.843386496965e+00      -2.420996442223e+00      -1.843562010496e+00       4.623430071738e-01       4.622201737430e-01 
       1.695666946080e-04      -2.468420775836e+00      -1.889666969939e+00      -1.889669365688e+00      -2.467062160379e+00      -1.889844767095e+00       4.623023598896e-01       4.621840925363e-01 
       1.848277161308e-04      -2.517800419418e+00      -1.941807038118e+00      -1.941810405081e+00      -2.515925680893e+00      -1.941984745867e+00       4.622568727392e-01       4.621436016556e-01 
       2.006035113408e-04      -2.569707524546e+00      -2.000417155280e+00      -2.000421804412e+00      -2.567171811477e+00      -2.000593817574e+00       4.622062485498e-01       4.620984110854e-01 
       2.169522798142e-04      -2.623636996887e+00      -2.066206984279e+00      -2.066213308881e+00      -2.620266746194e+00      -2.066381341193e+00       4.621501249220e-01       4.620481627259e-01 
       2.339371630338e-04      -2.678943667727e+00      -2.139999646529e+00      -2.140008143626e+00      -2.674533232743e+00      -2.140170074682e+00       4.620876100285e-01       4.619919652037e-01 
       2.516268150538e-04      -2.734818852288e+00      -2.222746945524e+00      -2.222758240110e+00      -2.729127728846e+00      -2.222911389213e+00       4.620184972577e-01       4.619296051535e-01 
       2.700960070185e-04      -2.790260800802e+00      -2.315553287856e+00      -2.315568166035e+00      -2.783011450308e+00      -2.315709181472e+00       4.619416408796e-01       4.618599226844e-01 
       2.894262593624e-04      -2.844055276046e+00      -2.419696231348e+00      -2.419715677314e+00      -2.834932851972e+00      -2.419840413086e+00       4.618570191875e-01       4.617828697498e-01 
       3.097064911117e-04      -2.894749295614e+00      -2.536658902810e+00      -2.536684151646e+00      -2.883403489979e+00      -2.536787524068e+00       4.617632348378e-01       4.616970099703e-01 
       3.310336698328e-04      -2.940652284976e+00      -2.668159380679e+00      -2.668191977580e+00      -2.926703563663e+00      -2.668267812800e+00       4.616597743811e-01       4.616017724679e-01 
       3.535134381426e-04      -2.979840159606e+00      -2.816190559324e+00      -2.816232439247e+00      -2.962891388417e+00      -2.816273307250e+00       4.615452562757e-01       4.614956978430e-01 
       3.772606830569e-04      -3.010208661554e+00      -2.983062159865e+00      -2.983115738145e+00      -2.989865236296e+00      -2.983112789482e+00       4.614189142718e-01       4.613779165216e-01 
       4.024000026768e-04      -3.029554911871e+00      -3.171450451568e+00      -3.171518744169e+00      -3.005455382849e+00      -3.171461552871e+00       4.612793163895e-01       4.612468654903e-01 
       4.290660109132e-04      -3.035737945901e+00      -3.384452816649e+00      -3.384539578327e+00      -3.007598680284e+00      -3.384416015878e+00       4.611254673727e-01       4.611013878713e-01 
       4.574034056474e-04      -3.026902413841e+00      -3.625647928986e+00      -3.625757828144e+00      -2.994578295626e+00      -3.625553983228e+00       4.609557419534e-01       4.609396668656e-01 
       4.875667101125e-04      -3.001805705344e+00      -3.899160876011e+00      -3.899299703769e+00      -2.965368290055e+00      -3.898999878300e+00       4.607687216525e-01       4.607600657730e-01 
       5.197195834170e-04      -2.960220324009e+00      -4.209731267482e+00      -4.209906155551e+00      -2.920050907376e+00      -4.209492962755e+00       4.605628096051e-01       4.605607519788e-01 
       5.540335872574e-04      -2.903389612807e+00      -4.562782070536e+00      -4.563001754430e+00      -2.860279210886e+00      -4.562456328079e+00       4.603364048840e-01       4.603398871950e-01 
       5.906862964197e-04      -2.834446683920e+00      -4.964483999625e+00      -4.964759175738e+00      -2.789685810261e+00      -4.964061470706e+00       4.600875194763e-01       4.600952688127e-01 
       6.298586561349e-04      -2.758662033427e+00      -5.421813932287e+00      -5.422157509763e+00      -2.714091202834e+00      -5.421286672254e+00       4.598142398602e-01       4.598248240432e-01 
       6.717315254505e-04      -2.683297212647e+00      -5.942597897293e+00      -5.943025343759e+00      -2.641276329658e+00      -5.941959998706e+00       4.595145349417e-01       4.595264564791e-01 
       7.164814070611e-04      -2.616829678900e+00      -6.535530143594e+00      -6.536059795440e+00      -2.580076657025e+00      -6.534778081923e+00       4.591859756822e-01       4.591978037372e-01 
       7.642754516026e-04      -2.567375758047e+00      -7.210166966692e+00      -7.210820187136e+00      -2.538630495087e+00      -7.209299319155e+00       4.588261206553e-01       4.588366497838e-01 
       8.152659333972e-04      -2.540357261333e+00      -7.976881037033e+00      -7.977682318839e+00      -2.521860343113e+00      -7.975897436489e+00       4.584324031862e-01       4.584408128521e-01 
       8.695845120546e-04      -2.535902386709e+00      -8.846770417386e+00      -8.847747479411e+00      -2.528746150375e+00      -8.845669722653e+00       4.580018698394e-01       4.580078442032e-01 
       9.273366989552e-04      -2.547031482563e+00      -9.831531024425e+00      -9.832714371345e+00      -2.550540874309e+00      -9.830308531584e+00       4.575318231968e-01       4.575355836361e-01 
       9.885970128911e-04      -2.560053222686e+00      -1.094327636986e+01      -1.094469900270e+01      -2.571451265613e+00      -1.094192136057e+01       4.570195062393e-01       4.570217188620e-01 
       1.053405309852e-03      -2.558347149641e+00      -1.219432867784e+01      -1.219602525844e+01      -2.572985997104e+00      -1.219282279379e+01       4.564625816008e-01       4.564641356453e-01 
       1.121764693252e-03      -2.529320624116e+00      -1.359698329184e+01      -1.359898945378e+01      -2.541636901190e+00      -1.359530130868e+01       4.558592315091e-01       4.558609380513e-01 
       1.193641256173e-03      -2.471990432319e+00      -1.516327050932e+01      -1.516562171094e+01      -2.477042724941e+00      -1.516138317665e+01       4.552085368381e-01       4.552108504654e-01 
       1.268965700769e-03      -2.400531497689e+00      -1.690471543720e+01      -1.690744633407e+01      -2.395597371453e+00      -1.690259391317e+01       4.545101309598e-01       4.545130161914e-01 
       1.347636662007e-03      -2.339417814667e+00      -1.883209074819e+01      -1.883523489546e+01      -2.324906587034e+00      -1.882970982349e+01       4.537632336571e-01       4.537662534580e-01 
       1.429525377859e-03      -2.310028251201e+00      -2.095535754766e+01      -2.095894637396e+01      -2.289167202421e+00      -2.095269405222e+01       4.529692503205e-01       4.529718483231e-01 
       1.514481230526e-03      -2.315436110374e+00      -2.328348089552e+01      -2.328754479455e+01      -2.292834191865e+00      -2.328050917235e+01       4.521296030887e-01       4.521314345159e-01 
       1.602337648742e-03      -2.334766253388e+00      -2.582434134639e+01      -2.582891037488e+01      -2.314656889204e+00      -2.582102666682e+01       4.512454543711e-01       4.512465734850e-01 
