# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_nudm           12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)A_nudm[0]          15:(.)rho_ncdm[1]        16:(.)p_ncdm[1]          17:(.)A_nudm[1]          18:(.)rho_ncdm[2]        19:(.)p_ncdm[2]          20:(.)A_nudm[2]          21:(.)rho_lambda         22:(.)rho_ur             23:(.)rho_crit           24:(.)rho_tot            25:(.)p_tot              26:(.)p_tot_prime        27:gr.fac. D             28:gr.fac. f          
       1.000000000000e+14       7.558501265830e-26       4.634785000235e-09       2.157546622127e+22       1.424866277603e+04       1.424866277603e-10       1.424866277603e+18       2.675957327034e-09       2.751560535470e+44       2.473421074607e+33       1.282885514630e+34       6.331470950076e+43       2.110490316692e+43      -1.984903186728e+21       6.331470950076e+43       2.110490316692e+43      -1.984903186728e+21       6.331470950076e+43       2.110490316692e+43      -1.984903186728e+21       3.801735975007e-08       4.005606003904e+41       4.655007426650e+44       4.655007426650e+44       1.551669142166e+44      -1.339119406535e+53       5.952263597871e-20       2.000000000000e+14 
       9.930486593843e+13       7.664690650114e-26       4.667526809499e-09       2.127655194302e+22       1.424866277603e+04       1.434840341546e-10       1.414961546776e+18       2.694689028323e-09       2.675846458098e+44       2.422198022217e+33       1.256317732621e+34       6.157249276517e+43       2.052416425506e+43      -1.957403623225e+21       6.157249276517e+43       2.052416425506e+43      -1.957403623225e+21       6.157249276517e+43       2.052416425506e+43      -1.957403623225e+21       3.801735975007e-08       3.895384637160e+41       4.526916625840e+44       4.526916625840e+44       1.508972208563e+44      -1.293218626204e+53       8.304138343232e-08       1.433565615564e+02 
       9.861456399050e+13       7.772371889057e-26       4.700268618762e-09       2.098177893082e+22       1.424866277603e+04       1.444884223937e-10       1.405125667106e+18       2.713551851521e-09       2.602215788102e+44       2.372035768219e+33       1.230300153287e+34       5.987821621879e+43       1.995940540626e+43      -1.930285048578e+21       5.987821621879e+43       1.995940540626e+43      -1.930285048578e+21       5.987821621879e+43       1.995940540626e+43      -1.930285048578e+21       3.801735975007e-08       3.788196207173e+41       4.402350471019e+44       4.402350471019e+44       1.467450156958e+44      -1.248891179532e+53       1.660827668646e-07       7.167828077820e+01 
       9.792906056653e+13       7.881565941727e-26       4.733010428026e-09       2.069108981008e+22       1.424866277603e+04       1.454998413505e-10       1.395358159986e+18       2.732546714482e-09       2.530611196824e+44       2.322912344119e+33       1.204821382262e+34       5.823056070214e+43       1.941018690071e+43      -1.903542184429e+21       5.823056070214e+43       1.941018690071e+43      -1.903542184429e+21       5.823056070214e+43       1.941018690071e+43      -1.903542184429e+21       3.801735975007e-08       3.683957257301e+41       4.281211975290e+44       4.281211975290e+44       1.427070658382e+44      -1.206083137614e+53       2.491241502968e-07       4.778552051880e+01 
       9.724832231036e+13       7.992294061642e-26       4.765752237290e-09       2.040442800110e+22       1.424866277603e+04       1.465183402399e-10       1.385658550135e+18       2.751674541483e-09       2.460976933110e+44       2.274806236379e+33       1.179870261154e+34       5.662824335475e+43       1.887608111825e+43      -1.877169825549e+21       5.662824335475e+43       1.887608111825e+43      -1.877169825549e+21       5.662824335475e+43       1.887608111825e+43      -1.877169825549e+21       3.801735975007e-08       3.582586627356e+41       4.163406820520e+44       4.163406820520e+44       1.387802273460e+44      -1.164742420057e+53       3.321655337290e-07       3.583914038910e+01 
       9.657231609767e+13       8.104577800914e-26       4.798494046554e-09       2.012173770804e+22       1.424866277603e+04       1.475439686216e-10       1.376026365576e+18       2.770936263273e-09       2.393258779894e+44       2.227696376995e+33       1.155435862652e+34       5.507001661632e+43       1.835667220544e+43      -1.851162838827e+21       5.507001661632e+43       1.835667220544e+43      -1.851162838827e+21       5.507001661632e+43       1.835667220544e+43      -1.851162838827e+21       3.801735975007e-08       3.484005390419e+41       4.048843283912e+44       4.048843283912e+44       1.349614427925e+44      -1.124818731622e+53       4.152069171613e-07       2.867131231128e+01 
       9.590100903443e+13       8.218439014439e-26       4.833054845221e-09       1.984296390810e+22       1.424866277603e+04       1.485767764019e-10       1.366461137613e+18       2.790332817116e-09       2.327404011992e+44       2.181562134266e+33       1.131507485744e+34       5.355466725541e+43       1.785155575180e+43      -1.825516162263e+21       5.355466725541e+43       1.785155575180e+43      -1.825516162263e+21       5.355466725541e+43       1.785155575180e+43      -1.825516162263e+21       3.801735975007e-08       3.388136791385e+41       3.937432166581e+44       3.937432166581e+44       1.312477388815e+44      -1.086263501028e+53       4.982483005935e-07       2.389276025940e+01 
       9.523436845525e+13       8.333899864153e-26       4.867615643889e-09       1.956805234077e+22       1.424866277603e+04       1.496168138368e-10       1.356962400807e+18       2.809865146836e-09       2.263361355047e+44       2.136383303762e+33       1.108074651029e+34       5.208101542478e+43       1.736033847493e+43      -1.800224803992e+21       5.208101542478e+43       1.736033847493e+43      -1.800224803992e+21       5.208101542478e+43       1.736033847493e+43      -1.800224803992e+21       3.801735975007e-08       3.294906187201e+41       3.829086724109e+44       3.829086724109e+44       1.276362241326e+44      -1.049029821866e+53       5.812896840257e-07       2.047950879377e+01 
       9.457236192179e+13       8.450982823344e-26       4.900357453153e-09       1.929694949728e+22       1.424866277603e+04       1.506641315336e-10       1.347529692956e+18       2.829534202864e-09       2.201080945604e+44       2.092140099474e+33       1.085127096129e+34       5.064791374280e+43       1.688263791427e+43      -1.775283841305e+21       5.064791374280e+43       1.688263791427e+43      -1.775283841305e+21       5.064791374280e+43       1.688263791427e+43      -1.775283841305e+21       3.801735975007e-08       3.204240988754e+41       3.723722599006e+44       3.723722599006e+44       1.241240866292e+44      -1.013072395532e+53       6.643310674579e-07       1.791957019455e+01 
       9.391495722125e+13       8.569710681029e-26       4.934918251820e-09       1.902960261021e+22       1.424866277603e+04       1.517187804543e-10       1.338162555071e+18       2.849340942284e-09       2.140514292293e+44       2.048813145151e+33       1.062654771192e+34       4.925424640007e+43       1.641808213336e+43      -1.750688419697e+21       4.925424640007e+43       1.641808213336e+43      -1.750688419697e+21       4.925424640007e+43       1.641808213336e+43      -1.750688419697e+21       3.801735975007e-08       3.116070604344e+41       3.621257755026e+44       3.621257755026e+44       1.207085918300e+44      -9.783474761113e+52       7.473724508901e-07       1.592850683960e+01 
       9.326212236469e+13       8.690106546387e-26       4.969479050487e-09       1.876595964319e+22       1.424866277603e+04       1.527808119175e-10       1.328860531351e+18       2.869286328879e-09       2.081614238068e+44       2.006383465810e+33       1.040647834493e+34       4.789892829068e+43       1.596630943023e+43      -1.726433751916e+21       4.789892829068e+43       1.596630943023e+43      -1.726433751916e+21       4.789892829068e+43       1.596630943023e+43      -1.726433751916e+21       3.801735975007e-08       3.030326384731e+41       3.521612413297e+44       3.521612413297e+44       1.173870804391e+44      -9.448128171639e+52       8.304138343222e-07       1.433565615564e+01 
       9.261382558559e+13       8.812193853257e-26       5.004039849155e-09       1.850596928076e+22       1.424866277603e+04       1.538502776009e-10       1.319623169167e+18       2.889371333182e-09       2.024334923495e+44       1.964832479430e+33       1.019096648125e+34       4.658090416733e+43       1.552696805578e+43      -1.702515117037e+21       4.658090416733e+43       1.552696805578e+43      -1.702515117037e+21       4.658090416733e+43       1.552696805578e+43      -1.702515117037e+21       3.801735975007e-08       2.946941569679e+41       3.424708990206e+44       3.424708990206e+44       1.141569663361e+44      -9.124276203230e+52       9.134552177544e-07       1.303241468694e+01 
       9.197003533823e+13       8.935996364701e-26       5.040419637226e-09       1.824958091844e+22       1.424866277603e+04       1.549272295442e-10       1.310450019034e+18       2.909596932514e-09       1.968631751041e+44       1.924141988812e+33       9.979917737741e+33       4.529914781972e+43       1.509971593991e+43      -1.678927859538e+21       4.529914781972e+43       1.509971593991e+43      -1.678927859538e+21       4.529914781972e+43       1.509971593991e+43      -1.678927859538e+21       3.801735975007e-08       2.865851235979e+41       3.330472036988e+44       3.330472036988e+44       1.110157345623e+44      -8.811524856610e+52       9.964966011866e-07       1.194638012970e+01 
       9.133072029615e+13       9.061538177628e-26       5.074980435893e-09       1.799674465282e+22       1.424866277603e+04       1.560117201510e-10       1.301340634592e+18       2.929964111041e-09       1.914461350357e+44       1.884294173609e+33       9.773239685883e+33       4.405266127557e+43       1.468422042519e+43      -1.655667388399e+21       4.405266127557e+43       1.468422042519e+43      -1.655667388399e+21       4.405266127557e+43       1.468422042519e+43      -1.655667388399e+21       3.801735975007e-08       2.786992246900e+41       3.238828180987e+44       3.238828180987e+44       1.079609393624e+44      -8.509493637551e+52       1.079537984619e-06       1.102742781203e+01 
       9.069584935070e+13       9.188843727486e-26       5.109541234560e-09       1.774741127186e+22       1.424866277603e+04       1.571038021920e-10       1.292294572584e+18       2.950473859818e-09       1.861781544502e+44       1.845271582526e+33       9.570841811300e+33       4.284047402356e+43       1.428015800785e+43      -1.632729176202e+21       4.284047402356e+43       1.428015800785e+43      -1.632729176202e+21       4.284047402356e+43       1.428015800785e+43      -1.632729176202e+21       3.801735975007e-08       2.710303203030e+41       3.149706068526e+44       3.149706068526e+44       1.049902022804e+44      -8.217815093969e+52       1.162579368051e-06       1.023975439688e+01 
       9.006539160943e+13       9.317937793013e-26       5.145921022631e-09       1.750153224535e+22       1.424866277603e+04       1.582035288074e-10       1.283311392834e+18       2.971127176837e-09       1.810551317112e+44       1.807057125669e+33       9.372635474115e+33       4.166164225771e+43       1.388721408590e+43      -1.610108758258e+21       4.166164225771e+43       1.388721408590e+43      -1.610108758258e+21       4.166164225771e+43       1.388721408590e+43      -1.610108758258e+21       3.801735975007e-08       2.635724394471e+41       3.063036309350e+44       3.063036309350e+44       1.021012103079e+44      -7.936134368871e+52       1.245620751483e-06       9.557104103757e+00 
       8.943931639467e+13       9.448845501067e-26       5.182300810702e-09       1.725905971541e+22       1.424866277603e+04       1.593109535090e-10       1.274390658226e+18       2.991925067075e-09       1.760730780460e+44       1.769634067068e+33       9.178533870127e+33       4.051524814257e+43       1.350508271419e+43      -1.587801731729e+21       4.051524814257e+43       1.350508271419e+43      -1.587801731729e+21       4.051524814257e+43       1.350508271419e+43      -1.587801731729e+21       3.801735975007e-08       2.563197754348e+41       2.978751422601e+44       2.978751422601e+44       9.929171408304e+43      -7.664108768643e+52       1.328662134915e-06       8.959785097272e+00 
       8.881759324197e+13       9.581592331511e-26       5.218680598773e-09       1.701994648721e+22       1.424866277603e+04       1.604261301836e-10       1.265531934683e+18       3.012868542544e-09       1.712281144399e+44       1.732986017345e+33       8.988451992796e+33       3.940039909853e+43       1.313346636618e+43      -1.565803754778e+21       3.940039909853e+43       1.313346636618e+43      -1.565803754778e+21       3.940039909853e+43       1.313346636618e+43      -1.565803754778e+21       3.801735975007e-08       2.492666813600e+41       2.896785784276e+44       2.896785784276e+44       9.655952613896e+43      -7.401407346125e+52       1.411703518347e-06       8.432738915079e+00 
       8.820019189868e+13       9.716204122176e-26       5.255060386844e-09       1.678414601978e+22       1.424866277603e+04       1.615491130949e-10       1.256734791145e+18       3.033958622342e-09       1.665164686165e+44       1.697096926535e+33       8.802306596019e+33       3.831622710690e+43       1.277207570230e+43      -1.544110545721e+21       3.831622710690e+43       1.277207570230e+43      -1.544110545721e+21       3.831622710690e+43       1.277207570230e+43      -1.544110545721e+21       3.801735975007e-08       2.424076657013e+41       2.817075576134e+44       2.817075576134e+44       9.390251920097e+43      -7.147710497977e+52       1.494744901779e-06       7.964253419797e+00 
       8.758708232243e+13       9.852707073888e-26       5.291440174915e-09       1.655161241694e+22       1.424866277603e+04       1.626799568865e-10       1.247998799549e+18       3.055196332698e-09       1.619344721000e+44       1.661951077059e+33       8.620016157667e+33       3.726188803409e+43       1.242062934470e+43      -1.522717882194e+21       3.726188803409e+43       1.242062934470e+43      -1.522717882194e+21       3.726188803409e+43       1.242062934470e+43      -1.522717882194e+21       3.801735975007e-08       2.357373880462e+41       2.739558736006e+44       2.739558736006e+44       9.131862453010e+43      -6.902709575854e+52       1.577786285211e-06       7.545082187176e+00 
       8.697823467967e+13       9.991127755569e-26       5.329638952389e-09       1.632230041836e+22       1.424866277603e+04       1.638187165847e-10       1.239323534805e+18       3.076582707027e-09       1.574785573594e+44       1.627533076840e+33       8.441500843887e+33       3.623656097432e+43       1.207885365811e+43      -1.501621600331e+21       3.623656097432e+43       1.207885365811e+43      -1.501621600331e+21       3.623656097432e+43       1.207885365811e+43      -1.501621600331e+21       3.801735975007e-08       2.292506549332e+41       2.664174909473e+44       2.664174909473e+44       8.880583031242e+43      -6.666106510899e+52       1.660827668644e-06       7.167828077817e+00 
       8.637361934426e+13       1.013149310941e-25       5.366018740460e-09       1.609616539079e+22       1.424866277603e+04       1.649654476008e-10       1.230708574781e+18       3.098118785976e-09       1.531452550306e+44       1.593827852559e+33       8.266682474134e+33       3.523944761049e+43       1.174648253683e+43      -1.480817593953e+21       3.523944761049e+43       1.174648253683e+43      -1.480817593953e+21       3.523944761049e+43       1.174648253683e+43      -1.480817593953e+21       3.801735975007e-08       2.229424158081e+41       2.590865402877e+44       2.590865402877e+44       8.636218009262e+43      -6.437613451114e+52       1.743869052076e-06       6.826502931254e+00 
       8.577320689599e+13       1.027383045610e-25       5.404217517935e-09       1.587316331932e+22       1.424866277603e+04       1.661202057340e-10       1.222153500279e+18       3.119805617478e-09       1.489311912151e+44       1.560820643058e+33       8.095484486937e+33       3.426977159264e+43       1.142325719755e+43      -1.460301813772e+21       3.426977159264e+43       1.142325719755e+43      -1.460301813772e+21       3.426977159264e+43       1.142325719755e+43      -1.460301813772e+21       3.801735975007e-08       2.168077590915e+41       2.519573137618e+44       2.519573137618e+44       8.398577125072e+43      -6.216952411157e+52       1.826910435508e-06       6.516207343469e+00 
       8.517696811915e+13       1.041816750018e-25       5.440597306006e-09       1.565325079885e+22       1.424866277603e+04       1.672830471742e-10       1.213657895014e+18       3.141644256800e-09       1.448330848536e+44       1.528496992875e+33       7.927831906367e+33       3.332677793344e+43       1.110892597781e+43      -1.440070266596e+21       3.332677793344e+43       1.110892597781e+43      -1.440070266596e+21       3.332677793344e+43       1.110892597781e+43      -1.440070266596e+21       3.801735975007e-08       2.108419083552e+41       2.450242605717e+44       2.450242605717e+44       8.167475352074e+43      -6.003854934146e+52       1.909951818940e-06       6.232893980710e+00 
