# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.737117967302e-10       8.723367918881e-15       5.457956964174e-13       0.000000000000e+00       9.498418305914e-09       5.762174015530e-10      -2.896225603034e-12 
    3       1.624573893968e-10       1.465417159062e-14       6.912381069639e-13       0.000000000000e+00       5.826859302112e-09       4.079537575984e-10      -2.541995377995e-12 
    4       1.518041532761e-10       1.693428897844e-14       7.161102187306e-13       0.000000000000e+00       4.048479151650e-09       3.088985876581e-10      -2.017551743085e-12 
    5       1.434876923702e-10       1.547305457418e-14       6.700265027336e-13       0.000000000000e+00       3.018565036028e-09       2.440893373797e-10      -1.486164194781e-12 
    6       1.373856639567e-10       1.177368782977e-14       5.879380975630e-13       0.000000000000e+00       2.354972404654e-09       1.986770161280e-10      -1.004051545291e-12 
    7       1.330944343093e-10       7.685752926206e-15       4.938563921390e-13       0.000000000000e+00       1.897110263919e-09       1.653115124375e-10      -5.994390795016e-13 
    8       1.301941318324e-10       4.483022179424e-15       4.023832848782e-13       0.000000000000e+00       1.565064028033e-09       1.398983354125e-10      -2.845156689653e-13 
    9       1.283691023071e-10       2.588337025669e-15       3.221487006619e-13       0.000000000000e+00       1.315262957605e-09       1.200169620987e-10      -6.041359045953e-14 
   10       1.274025508794e-10       1.771828795390e-15       2.577315820440e-13       0.000000000000e+00       1.122184625645e-09       1.041682080577e-10       8.005843785338e-14 
   11       1.270821769524e-10       1.541034194508e-15       2.109648205884e-13       0.000000000000e+00       9.486914547952e-10       9.166231031848e-11       1.490098526815e-13 
   12       1.272071685013e-10       1.471381575266e-15       1.815501914852e-13       0.000000000000e+00       8.281712151549e-10       8.112335364454e-11       1.648998247298e-13 
   13       1.277851706232e-10       1.354931051576e-15       1.672599741172e-13       0.000000000000e+00       7.293011602223e-10       7.212932591892e-11       1.429149531017e-13 
   14       1.286481494682e-10       1.178491067241e-15       1.647069324574e-13       0.000000000000e+00       6.470955905156e-10       6.475389947327e-11       9.983386919684e-14 
   15       1.297350230315e-10       1.017720447318e-15       1.702130945502e-13       0.000000000000e+00       5.779569980298e-10       5.858274866676e-11       4.899910467363e-14 
   16       1.310642617934e-10       9.376375229823e-16       1.802377245484e-13       0.000000000000e+00       5.192131303786e-10       5.312379946902e-11       5.149928684986e-16 
   17       1.325294376964e-10       9.477145651140e-16       1.919763891226e-13       0.000000000000e+00       4.688509970924e-10       4.840215620784e-11      -3.827828090102e-14 
   18       1.341289028687e-10       1.008665210045e-15       2.033909577949e-13       0.000000000000e+00       4.251679600977e-10       4.428988801455e-11      -6.376267377924e-14 
   19       1.358790393524e-10       1.084158853478e-15       2.134642708932e-13       0.000000000000e+00       3.874607748380e-10       4.071522463431e-11      -7.547663216415e-14 
   20       1.377224993190e-10       1.140954219331e-15       2.214820694603e-13       0.000000000000e+00       3.542718088793e-10       3.755443034948e-11      -7.500221149947e-14 
   21       1.396618368418e-10       1.188178740882e-15       2.276536977338e-13       0.000000000000e+00       3.250744993890e-10       3.474039334327e-11      -6.518765028688e-14 
   22       1.416814388632e-10       1.252143070657e-15       2.326195331539e-13       0.000000000000e+00       2.991642439837e-10       3.218424494452e-11      -5.015955564758e-14 
   23       1.437746707122e-10       1.353547308577e-15       2.369724178100e-13       0.000000000000e+00       2.761811166915e-10       2.988135789221e-11      -3.330087250891e-14 
   24       1.459148348488e-10       1.509358426008e-15       2.413479730022e-13       0.000000000000e+00       2.555903884579e-10       2.782548513650e-11      -1.802999100991e-14 
   25       1.481077790640e-10       1.717003766701e-15       2.462120450355e-13       0.000000000000e+00       2.371469820435e-10       2.599623794337e-11      -6.322901076990e-15 
   26       1.503516900429e-10       1.966095661699e-15       2.519235235689e-13       0.000000000000e+00       2.205142890869e-10       2.434799120271e-11       4.697390674156e-16 
   27       1.526442788547e-10       2.250124478883e-15       2.584523887132e-13       0.000000000000e+00       2.054917395785e-10       2.284523133375e-11       2.332838882517e-15 
   28       1.549726665332e-10       2.563540864569e-15       2.655596591917e-13       0.000000000000e+00       1.918195466024e-10       2.144831270674e-11      -4.428751434590e-17 
   29       1.573446038086e-10       2.905947166089e-15       2.728596700224e-13       0.000000000000e+00       1.794264723230e-10       2.016066662281e-11      -5.511558274432e-15 
   30       1.597606321949e-10       3.278394935759e-15       2.798083388487e-13       0.000000000000e+00       1.681774566050e-10       1.899051090576e-11      -1.240708492674e-14 
   31       1.622093113685e-10       3.681215138819e-15       2.857772091619e-13       0.000000000000e+00       1.578408083861e-10       1.793498892192e-11      -1.886089461287e-14 
   32       1.646939118367e-10       4.111807035343e-15       2.903470358007e-13       0.000000000000e+00       1.483625065057e-10       1.698192256053e-11      -2.398838664438e-14 
   33       1.672126965555e-10       4.565906802111e-15       2.931131411443e-13       0.000000000000e+00       1.396753325283e-10       1.610640183902e-11      -2.712075889448e-14 
   34       1.697568522616e-10       5.040036922604e-15       2.937007926404e-13       0.000000000000e+00       1.316573699223e-10       1.527863131932e-11      -2.770312771902e-14 
   35       1.723328145442e-10       5.538313175795e-15       2.920973584494e-13       0.000000000000e+00       1.242669738961e-10       1.449745013660e-11      -2.602966501647e-14 
   36       1.749458870479e-10       6.068126585962e-15       2.884408775401e-13       0.000000000000e+00       1.174440313681e-10       1.376748819996e-11      -2.278318624942e-14 
   37       1.775956214036e-10       6.636910858170e-15       2.829141592351e-13       0.000000000000e+00       1.110988323137e-10       1.309025986061e-11      -1.875251232828e-14 
   38       1.802833378377e-10       7.246817299868e-15       2.756643204099e-13       0.000000000000e+00       1.052146235348e-10       1.246518087187e-11      -1.447363636786e-14 
   39       1.830057195302e-10       7.898323633748e-15       2.668629394538e-13       0.000000000000e+00       9.977250165381e-11       1.188828085650e-11      -1.048640467955e-14 
   40       1.857518507595e-10       8.591633571794e-15       2.567314374764e-13       0.000000000000e+00       9.472023937990e-11       1.135148564608e-11      -7.438988843309e-15 
   41       1.885088629329e-10       9.326744811035e-15       2.454705215247e-13       0.000000000000e+00       8.999040887015e-11       1.084527412949e-11      -5.910523296684e-15 
   42       1.912828638928e-10       1.010372891650e-14       2.330137439155e-13       0.000000000000e+00       8.556882994554e-11       1.036852534446e-11      -5.793971768948e-15 
   43       1.940835750135e-10       1.092250804931e-14       2.191987216986e-13       0.000000000000e+00       8.144351511621e-11       9.921291362298e-12      -6.723289941669e-15 
   44       1.969182362907e-10       1.178276018616e-14       2.038316976707e-13       0.000000000000e+00       7.758413230321e-11       9.501930436695e-12      -8.233904726704e-15 
   45       1.997911744279e-10       1.268412846184e-14       1.867122505313e-13       0.000000000000e+00       7.395278137489e-11       9.107846446133e-12      -9.842975187630e-15 
   46       2.027030658855e-10       1.362695772279e-14       1.677211590714e-13       0.000000000000e+00       7.054360328305e-11       8.738303883856e-12      -1.133331186776e-14 
   47       2.056509390025e-10       1.461175370761e-14       1.467552512400e-13       0.000000000000e+00       6.735253105045e-11       8.392214029360e-12      -1.254385468758e-14 
   48       2.086279824347e-10       1.563897697852e-14       1.237023526538e-13       0.000000000000e+00       6.436534792171e-11       8.067238981914e-12      -1.328946307079e-14 
   49       2.116232352316e-10       1.670904142275e-14       9.844074032145e-14       0.000000000000e+00       6.155693322517e-11       7.759701054214e-12      -1.335973021009e-14 
   50       2.146259020161e-10       1.782226249050e-14       7.087526438538e-14       0.000000000000e+00       5.889880309672e-11       7.465709221966e-12      -1.259720549020e-14 
   51       2.176403984006e-10       1.897868882177e-14       4.105853966354e-14       0.000000000000e+00       5.638589528363e-11       7.185109143260e-12      -1.115984383563e-14 
   52       2.206748537576e-10       2.017822232608e-14       9.101705910919e-15       0.000000000000e+00       5.401575119890e-11       6.918448708675e-12      -9.327745657321e-15 
   53       2.237367529723e-10       2.142066067919e-14      -2.485821375580e-14       0.000000000000e+00       5.178050133919e-11       6.665822153026e-12      -7.432465625546e-15 
   54       2.268328441709e-10       2.270569345914e-14      -6.065713358000e-14       0.000000000000e+00       4.966650149310e-11       6.426836722241e-12      -5.859563790135e-15 
   55       2.299684418986e-10       2.403300260866e-14      -9.814452265368e-14       0.000000000000e+00       4.765847634839e-11       6.200799470421e-12      -4.954232640505e-15 
   56       2.331453453251e-10       2.540260189979e-14      -1.373197749988e-13       0.000000000000e+00       4.575398914028e-11       5.987408355158e-12      -4.704879954985e-15 
   57       2.363632412564e-10       2.681457503156e-14      -1.782276511435e-13       0.000000000000e+00       4.395192936466e-11       5.786174439539e-12      -4.985409625854e-15 
   58       2.396201500711e-10       2.826897888850e-14      -2.209198888648e-13       0.000000000000e+00       4.224813623063e-11       5.596192585971e-12      -5.644060368266e-15 
   59       2.429123098952e-10       2.976584374134e-14      -2.654556523562e-13       0.000000000000e+00       4.063521048170e-11       5.416116699555e-12      -6.502180578404e-15 
   60       2.462340607772e-10       3.130517344778e-14      -3.119019813947e-13       0.000000000000e+00       3.910232621705e-11       5.244134971453e-12      -7.353003191636e-15 
   61       2.495798612700e-10       3.288683987930e-14      -3.603197970403e-13       0.000000000000e+00       3.763822700730e-11       5.078444830409e-12      -8.007918689209e-15 
   62       2.529511291483e-10       3.451023805639e-14      -4.107172319479e-13       0.000000000000e+00       3.624142582422e-11       4.918858381536e-12      -8.450202932786e-15 
   63       2.563507376181e-10       3.617455360867e-14      -4.630865739243e-13       0.000000000000e+00       3.491197108756e-11       4.765515034402e-12      -8.713778191973e-15 
   64       2.597809711903e-10       3.787885862509e-14      -5.174177760845e-13       0.000000000000e+00       3.364837898145e-11       4.618404868601e-12      -8.839036212946e-15 
   65       2.632434775160e-10       3.962210849859e-14      -5.736984477385e-13       0.000000000000e+00       3.244754631088e-11       4.477359732485e-12      -8.873120156943e-15 
   66       2.667392192203e-10       4.140313877063e-14      -6.319138452786e-13       0.000000000000e+00       3.130466335819e-11       4.342044341904e-12      -8.870206538748e-15 
   67       2.702684257374e-10       4.322066197585e-14      -6.920468630659e-13       0.000000000000e+00       3.021312673957e-11       4.211947378932e-12      -8.891787165191e-15 
   68       2.738310657942e-10       4.507340507272e-14      -7.540781258270e-13       0.000000000000e+00       2.916629711904e-11       4.086545210434e-12      -8.992878839367e-15 
   69       2.774284836986e-10       4.696056112546e-14      -8.179863079547e-13       0.000000000000e+00       2.816338072136e-11       3.965851462701e-12      -9.176777482395e-15 
   70       2.810620096031e-10       4.888142389677e-14      -8.837478628321e-13       0.000000000000e+00       2.720458849578e-11       3.849963326137e-12      -9.431600368638e-15 
   71       2.847324339665e-10       5.083525579191e-14      -9.513369206476e-13       0.000000000000e+00       2.628935745999e-11       3.738894382359e-12      -9.743470611461e-15 
   72       2.884399727045e-10       5.282128829883e-14      -1.020725281878e-12       0.000000000000e+00       2.541631073962e-11       3.632570117760e-12      -1.009643919803e-14 
   73       2.921842323399e-10       5.483872242833e-14      -1.091882410770e-12       0.000000000000e+00       2.458321760787e-11       3.530823437076e-12      -1.047240702414e-14 
   74       2.959641751530e-10       5.688672915419e-14      -1.164775428827e-12       0.000000000000e+00       2.378695352499e-11       3.433390176948e-12      -1.085104692895e-14 
   75       2.997780843321e-10       5.896444985332e-14      -1.239369108289e-12       0.000000000000e+00       2.302346017787e-11       3.339904619482e-12      -1.120972572985e-14 
   76       3.036242959364e-10       6.107082642052e-14      -1.315623558365e-12       0.000000000000e+00       2.228874966961e-11       3.249993065701e-12      -1.152776445856e-14 
   77       3.075036259202e-10       6.320405487438e-14      -1.393486811236e-12       0.000000000000e+00       2.158221683021e-11       3.163584172943e-12      -1.180028830535e-14 
   78       3.114173244300e-10       6.536203245053e-14      -1.472900865949e-12       0.000000000000e+00       2.090386112795e-11       3.080647320959e-12      -1.202677236589e-14 
   79       3.153663294383e-10       6.754251608462e-14      -1.553803822776e-12       0.000000000000e+00       2.025327785467e-11       3.001097136896e-12      -1.220693831154e-14 
   80       3.193512476180e-10       6.974311935990e-14      -1.636129829384e-12       0.000000000000e+00       1.962963957653e-11       2.924791019656e-12      -1.234076538247e-14 
   81       3.233723352175e-10       7.196130945462e-14      -1.719809027002e-12       0.000000000000e+00       1.903167758467e-11       2.851526664259e-12      -1.242850138084e-14 
   82       3.274294789344e-10       7.419440408957e-14      -1.804767496596e-12       0.000000000000e+00       1.845766334590e-11       2.781039586203e-12      -1.247067366385e-14 
   83       3.315221767907e-10       7.643956847555e-14      -1.890927205039e-12       0.000000000000e+00       1.790538995342e-11       2.713000645826e-12      -1.246810013696e-14 
   84       3.356498624311e-10       7.869409303129e-14      -1.978213734853e-12       0.000000000000e+00       1.737270663997e-11       2.647096058417e-12      -1.242210718402e-14 
   85       3.398129816852e-10       8.095628612235e-14      -2.066581063677e-12       0.000000000000e+00       1.685926476126e-11       2.583288087416e-12      -1.233520088829e-14 
   86       3.440120602406e-10       8.322472441089e-14      -2.155990813116e-12       0.000000000000e+00       1.636502859619e-11       2.521593230602e-12      -1.221052775841e-14 
   87       3.482473629301e-10       8.549798688563e-14      -2.246404906265e-12       0.000000000000e+00       1.588973890171e-11       2.462002503595e-12      -1.205169194262e-14 
   88       3.525188803783e-10       8.777465652821e-14      -2.337785644696e-12       0.000000000000e+00       1.543290365875e-11       2.404480350530e-12      -1.186276969985e-14 
   89       3.568263156472e-10       9.005332197948e-14      -2.430095785441e-12       0.000000000000e+00       1.499378881803e-11       2.348963554732e-12      -1.164832387078e-14 
   90       3.611690708831e-10       9.233257920580e-14      -2.523298617986e-12       0.000000000000e+00       1.457140904590e-11       2.295360149396e-12      -1.141341834889e-14 
   91       3.655462339628e-10       9.461103316540e-14      -2.617358041254e-12       0.000000000000e+00       1.416451847029e-11       2.243548328258e-12      -1.116363255157e-14 
   92       3.699565651401e-10       9.688729947468e-14      -2.712238640594e-12       0.000000000000e+00       1.377160142646e-11       2.193375356274e-12      -1.090507589112e-14 
   93       3.743988758382e-10       9.915987895024e-14      -2.807898440623e-12       0.000000000000e+00       1.339123090953e-11       2.144695070067e-12      -1.064344488937e-14 
   94       3.788732592023e-10       1.014267560316e-13      -2.904265749719e-12       0.000000000000e+00       1.302322570135e-11       2.097489197025e-12      -1.038100087270e-14 
   95       3.833800207941e-10       1.036857427610e-13      -3.001258959074e-12       0.000000000000e+00       1.266765097540e-11       2.051762353452e-12      -1.011916236259e-14 
   96       3.879192950716e-10       1.059346004487e-13      -3.098793533301e-12       0.000000000000e+00       1.232446194642e-11       2.007504528479e-12      -9.859423242186e-15 
   97       3.924910374188e-10       1.081710395940e-13      -3.196781986882e-12       0.000000000000e+00       1.199349966375e-11       1.964690524457e-12      -9.603354085867e-15 
   98       3.970950161745e-10       1.103927198068e-13      -3.295133860619e-12       0.000000000000e+00       1.167448680466e-11       1.923279397343e-12      -9.352603488872e-15 
   99       4.017308046620e-10       1.125972497289e-13      -3.393755698083e-12       0.000000000000e+00       1.136702346760e-11       1.883213897097e-12      -9.108899396862e-15 
  100       4.063977732181e-10       1.147821869551e-13      -3.492551022068e-12       0.000000000000e+00       1.107058296556e-11       1.844419908073e-12      -8.874050435522e-15 
  101       4.110950812224e-10       1.169450379545e-13      -3.591420311034e-12       0.000000000000e+00       1.078450761933e-11       1.806805889404e-12      -8.649947240150e-15 
  102       4.158216691267e-10       1.190832579922e-13      -3.690260975564e-12       0.000000000000e+00       1.050800455086e-11       1.770262315402e-12      -8.438563785245e-15 
  103       4.205762504842e-10       1.211942510502e-13      -3.788967334809e-12       0.000000000000e+00       1.024014147653e-11       1.734661115945e-12      -8.241958714103e-15 
  104       4.253575769877e-10       1.232754937182e-13      -3.887436800842e-12       0.000000000000e+00       9.980057435505e-12       1.699885894145e-12      -8.061799780780e-15 
  105       4.301652915289e-10       1.253249260954e-13      -3.985589433866e-12       0.000000000000e+00       9.727636455067e-12       1.665928433550e-12      -7.897861149494e-15 
  106       4.349991760513e-10       1.273406137931e-13      -4.083350997022e-12       0.000000000000e+00       9.482917468816e-12       1.632804245078e-12      -7.749324636022e-15 
  107       4.398588839218e-10       1.293206299487e-13      -4.180647028512e-12       0.000000000000e+00       9.245885685503e-12       1.600522735175e-12      -7.615234604586e-15 
  108       4.447439349593e-10       1.312630565092e-13      -4.277402886267e-12       0.000000000000e+00       9.016470744256e-12       1.569086984417e-12      -7.494494056920e-15 
