# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.737123618239e-10       8.723635936275e-15       5.457956903597e-13       2.680173562457e-19       9.498418305914e-09       5.762174015530e-10      -2.896225603034e-12 
    3       1.624585171212e-10       1.465470790392e-14       6.912380800179e-13       5.363129357386e-19       5.826859302112e-09       4.079537575984e-10      -2.541995377995e-12 
    4       1.518060274034e-10       1.693518344351e-14       7.161101414952e-13       8.944632493850e-19       4.048479151650e-09       3.088985876581e-10      -2.017551743085e-12 
    5       1.434904935525e-10       1.547439739246e-14       6.700263273223e-13       1.342812044424e-18       3.018565036028e-09       2.440893373797e-10      -1.486164194781e-12 
    6       1.373895690827e-10       1.177556961320e-14       5.879377539046e-13       1.881766494027e-18       2.354972404654e-09       1.986770161280e-10      -1.004051545291e-12 
    7       1.330996159450e-10       7.688264748929e-15       4.938557848288e-13       2.511783525627e-18       1.897110263919e-09       1.653115124375e-10      -5.994390795016e-13 
    8       1.302007577571e-10       4.486255614660e-15       4.023822906383e-13       3.233354679223e-18       1.565064028033e-09       1.398983354125e-10      -2.845156689653e-13 
    9       1.283773351515e-10       2.592384166594e-15       3.221471664437e-13       4.046990098034e-18       1.315262957605e-09       1.200169620987e-10      -6.041359045953e-14 
   10       1.274125478697e-10       1.776782259502e-15       2.577293237786e-13       4.953202286798e-18       1.122184625645e-09       1.041682080577e-10       8.005843785338e-14 
   11       1.270940897625e-10       1.546987111447e-15       2.109616225641e-13       5.952490279922e-18       9.486914547952e-10       9.166231031848e-11       1.490098526815e-13 
   12       1.272211432092e-10       1.478427558603e-15       1.815458063090e-13       7.045324842465e-18       8.281712151549e-10       8.112335364454e-11       1.648998247298e-13 
