# Matter power spectrum P(k) at redshift z=0
# for k=1.01244e-05 to 163.241 h/Mpc,
# number of wavenumbers equal to 626
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.012435437063e-05       6.296778822232e+01 
       2.257651330037e-05       1.382830897317e+02 
       3.506965707062e-05       2.119438736458e+02 
       4.763519422182e-05       2.846133095674e+02 
       6.030501951818e-05       3.571327355467e+02 
       7.311177979152e-05       4.297504474063e+02 
       8.608914775804e-05       5.027763830177e+02 
       9.927210722862e-05       5.765257804559e+02 
       1.126972531610e-04       6.512473445044e+02 
       1.264031100318e-04       7.271311148846e+02 
       1.404304720222e-04       8.044257742497e+02 
       1.548227684820e-04       8.834103449144e+02 
       1.696264580355e-04       9.643210994446e+02 
       1.848914544633e-04       1.047427607917e+03 
       2.006715870763e-04       1.133016638037e+03 
       2.170250976101e-04       1.221399521436e+03 
       2.340151745910e-04       1.312898927748e+03 
       2.517105245226e-04       1.407863306735e+03 
       2.701859769335e-04       1.506674048306e+03 
       2.895231170916e-04       1.609728988032e+03 
       3.098109357708e-04       1.717477000471e+03 
       3.311464795705e-04       1.830390452164e+03 
       3.536354776409e-04       1.948977354826e+03 
       3.773929110041e-04       2.073792538140e+03 
       4.025434788690e-04       2.205425923336e+03 
       4.292219025074e-04       2.344508504162e+03 
       4.575729919410e-04       2.491708330657e+03 
       4.877513850600e-04       2.647729230267e+03 
       5.199208549342e-04       2.813302097544e+03 
       5.542530722346e-04       2.989177235745e+03 
       5.909257103065e-04       3.176111251611e+03 
       6.301197960189e-04       3.374850270428e+03 
       6.720162457932e-04       3.586109586871e+03 
       7.167915877150e-04       3.810548832919e+03 
       7.646129584464e-04       4.048745024813e+03 
       8.156325728484e-04       4.301164061446e+03 
       8.699819817592e-04       4.568129210102e+03 
       9.277665379262e-04       4.849797890465e+03 
       9.890605550501e-04       5.146138664859e+03 
       1.053903645098e-03       5.456919084538e+03 
       1.122298639702e-03       5.781699760224e+03 
       1.194211346097e-03       6.119845649787e+03 
       1.269572181179e-03       6.470539592373e+03 
       1.348279509159e-03       6.832776306240e+03 
       1.430204323406e-03       7.205480037718e+03 
       1.515195796064e-03       7.587483928021e+03 
       1.603087185090e-03       7.977560251139e+03 
       1.693701631244e-03       8.374467895551e+03 
       1.786857474953e-03       8.776977835579e+03 
       1.882372846109e-03       9.183903746242e+03 
       1.980069402286e-03       9.594114994516e+03 
       2.079775194261e-03       1.000655567327e+04 
       2.181326713098e-03       1.042025110670e+04 
       2.284570219489e-03       1.083430522198e+04 
       2.389362477613e-03       1.124791870099e+04 
       2.495571018853e-03       1.166036001352e+04 
       2.603074051826e-03       1.207099020657e+04 
       2.711760119816e-03       1.247923725570e+04 
       2.821527588927e-03       1.288459712968e+04 
       2.932284032756e-03       1.328664054181e+04 
       3.043945563558e-03       1.368497975598e+04 
       3.156436146477e-03       1.407928636915e+04 
       3.269686922559e-03       1.446926962118e+04 
       3.383635557749e-03       1.485469326656e+04 
       3.498225628635e-03       1.523535153752e+04 
       3.613406050982e-03       1.561106983230e+04 
       3.729130553682e-03       1.598170045495e+04 
       3.845357198414e-03       1.634712599438e+04 
       3.962047943751e-03       1.670724713798e+04 
       4.079168251444e-03       1.706198175520e+04 
       4.196686732094e-03       1.741127559344e+04 
       4.314574827084e-03       1.775506526561e+04 
       4.432806523638e-03       1.809332809239e+04 
       4.551358099870e-03       1.842603430368e+04 
       4.670207896890e-03       1.875316718102e+04 
       4.789336115161e-03       1.907473636520e+04 
       4.908724632578e-03       1.939073203930e+04 
       5.028356841920e-03       1.970118361281e+04 
       5.148217505561e-03       2.000608265526e+04 
       5.268292625561e-03       2.030546766655e+04 
       5.388569327408e-03       2.059936912123e+04 
       5.509035755916e-03       2.088780680327e+04 
       5.629680981924e-03       2.117083183336e+04 
       5.750494918588e-03       2.144846532384e+04 
       5.871468246215e-03       2.172076285743e+04 
       5.992592344693e-03       2.198774208731e+04 
       6.113859232683e-03       2.224947912037e+04 
       6.235261512838e-03       2.250599503301e+04 
       6.356792322389e-03       2.275735107153e+04 
       6.478445288534e-03       2.300358047317e+04 
       6.600214488102e-03       2.324474087966e+04 
       6.722094411053e-03       2.348088111416e+04 
       6.844079927402e-03       2.371204631530e+04 
       6.966166257218e-03       2.393830551796e+04 
       7.088348943376e-03       2.415968608946e+04 
       7.210623826788e-03       2.437625641426e+04 
       7.332987023851e-03       2.458806070528e+04 
       7.455434905910e-03       2.479516057268e+04 
       7.577964080510e-03       2.499760258423e+04 
       7.700571374289e-03       2.519543988435e+04 
       7.823253817336e-03       2.538873186921e+04 
       7.946008628874e-03       2.557753131227e+04 
       8.068833204154e-03       2.576188689239e+04 
       8.191725102434e-03       2.594185420151e+04 
       8.314682035948e-03       2.611748197684e+04 
       8.437701859770e-03       2.628882802062e+04 
       8.560782562504e-03       2.645593727446e+04 
       8.683922257704e-03       2.661886756298e+04 
       8.807119175985e-03       2.677767296228e+04 
       8.930371657735e-03       2.693239449337e+04 
       9.053678146408e-03       2.708308556641e+04 
       9.177037182320e-03       2.722980992871e+04 
       9.300447396922e-03       2.737260592330e+04 
       9.423907507500e-03       2.751152215013e+04 
       9.547416312280e-03       2.764661936369e+04 
       9.670972685884e-03       2.777793388641e+04 
       9.794575575129e-03       2.790552514795e+04 
       9.918223995127e-03       2.802943644096e+04 
       1.004191702567e-02       2.814971976274e+04 
       1.016565380789e-02       2.826641826972e+04 
       1.028943354110e-02       2.837958166624e+04 
       1.041325547995e-02       2.848925366350e+04 
       1.053711893172e-02       2.859548191261e+04 
       1.066102325379e-02       2.869831035527e+04 
       1.078496785137e-02       2.879778516029e+04 
       1.090895217527e-02       2.889394816936e+04 
       1.103297571997e-02       2.898683918242e+04 
       1.115703802164e-02       2.907650572891e+04 
       1.128113865651e-02       2.916298186224e+04 
       1.140527723914e-02       2.924631543256e+04 
       1.152945342100e-02       2.932654254662e+04 
       1.165366688899e-02       2.940370024898e+04 
       1.177791736419e-02       2.947783320470e+04 
       1.190220460059e-02       2.954897344688e+04 
       1.202652838399e-02       2.961717219284e+04 
       1.215088853095e-02       2.968245273500e+04 
       1.227528488777e-02       2.974485524877e+04 
       1.239971732963e-02       2.980441975192e+04 
       1.252418575971e-02       2.986117055990e+04 
       1.264869010844e-02       2.991515519513e+04 
       1.277323033273e-02       2.996640370976e+04 
       1.289780641534e-02       3.001495269019e+04 
       1.302241836424e-02       3.006083390172e+04 
       1.314706621207e-02       3.010407923573e+04 
       1.327175001556e-02       3.014471994641e+04 
       1.339646985508e-02       3.018279273036e+04 
       1.352122583423e-02       3.021831713641e+04 
