# Matter power spectrum P(k) at redshift z=0
# for k=1.01244e-05 to 163.241 h/Mpc,
# number of wavenumbers equal to 626
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.012435437063e-05       6.281651834183e+01 
       2.257651330037e-05       1.382121203819e+02 
       3.506965707062e-05       2.118933731607e+02 
       4.763519422182e-05       2.845709344857e+02 
       6.030501951818e-05       3.570939871925e+02 
       7.311177979152e-05       4.297133273995e+02 
       8.608914775804e-05       5.027399360503e+02 
       9.927210722862e-05       5.764895831687e+02 
       1.126972531610e-04       6.512113045544e+02 
       1.264031100318e-04       7.270953760811e+02 
       1.404304720222e-04       8.043906675345e+02 
       1.548227684820e-04       8.833763688055e+02 
       1.696264580355e-04       9.642889239391e+02 
       1.848914544633e-04       1.047398083388e+03 
       2.006715870763e-04       1.132990813902e+03 
       2.170250976101e-04       1.221378677389e+03 
       2.340151745910e-04       1.312884611726e+03 
       2.517105245226e-04       1.407857382237e+03 
       2.701859769335e-04       1.506678756305e+03 
       2.895231170916e-04       1.609747017037e+03 
       3.098109357708e-04       1.717511584664e+03 
       3.311464795705e-04       1.830445479566e+03 
       3.536354776409e-04       1.949057502172e+03 
       3.773929110041e-04       2.073903443047e+03 
       4.025434788690e-04       2.205574383009e+03 
       4.292219025074e-04       2.344702723861e+03 
       4.575729919410e-04       2.491958216987e+03 
       4.877513850600e-04       2.648046748217e+03 
       5.199208549342e-04       2.813701689616e+03 
       5.542530722346e-04       2.989676315631e+03 
       5.909257103065e-04       3.176730781451e+03 
       6.301197960189e-04       3.375615410586e+03 
       6.720162457932e-04       3.587050428203e+03 
       7.167915877150e-04       3.811701191596e+03 
       7.646129584464e-04       4.050151275668e+03 
       8.156325728484e-04       4.302873974200e+03 
       8.699819817592e-04       4.570200747359e+03 
       9.277665379262e-04       4.852297889091e+03 
       9.890605550501e-04       5.149143343425e+03 
       1.053903645098e-03       5.460514296464e+03 
       1.122298639702e-03       5.785980932524e+03 
       1.194211346097e-03       6.124917353347e+03 
       1.269572181179e-03       6.476514732598e+03 
       1.348279509159e-03       6.839774881841e+03 
       1.430204323406e-03       7.213627736847e+03 
       1.515195796064e-03       7.596910412932e+03 
       1.603087185090e-03       7.988397295370e+03 
       1.693701631244e-03       8.386847558014e+03 
       1.786857474953e-03       8.791030757655e+03 
       1.882372846109e-03       9.199757678998e+03 
       1.980069402286e-03       9.611893625708e+03 
       2.079775194261e-03       1.002637779967e+04 
       2.181326713098e-03       1.044223015601e+04 
       2.284570219489e-03       1.085854908618e+04 
       2.389362477613e-03       1.127452986516e+04 
       2.495571018853e-03       1.168943584311e+04 
       2.603074051826e-03       1.210262340957e+04 
       2.711760119816e-03       1.251351635442e+04 
       2.821527588927e-03       1.292160693321e+04 
       2.932284032756e-03       1.332646258212e+04 
       3.043945563558e-03       1.372769256541e+04 
       3.156436146477e-03       1.412496574359e+04 
       3.269686922559e-03       1.451799074055e+04 
       3.383635557749e-03       1.490652753552e+04 
       3.498225628635e-03       1.529036451209e+04 
       3.613406050982e-03       1.566932116897e+04 
       3.729130553682e-03       1.604324398076e+04 
       3.845357198414e-03       1.641200989747e+04 
       3.962047943751e-03       1.677551420424e+04 
       4.079168251444e-03       1.713366966683e+04 
       4.196686732094e-03       1.748641732894e+04 
       4.314574827084e-03       1.783368939155e+04 
       4.432806523638e-03       1.817545928798e+04 
       4.551358099870e-03       1.851169370582e+04 
       4.670207896890e-03       1.884237282236e+04 
       4.789336115161e-03       1.916750365591e+04 
       4.908724632578e-03       1.948707404258e+04 
       5.028356841920e-03       1.980111156375e+04 
       5.148217505561e-03       2.010960607780e+04 
       5.268292625561e-03       2.041259487079e+04 
       5.388569327408e-03       2.071010739733e+04 
       5.509035755916e-03       2.100216255404e+04 
       5.629680981924e-03       2.128881089006e+04 
       5.750494918588e-03       2.157007289563e+04 
       5.871468246215e-03       2.184600379409e+04 
       5.992592344693e-03       2.211662070714e+04 
       6.113859232683e-03       2.238199954850e+04 
       6.235261512838e-03       2.264216087214e+04 
       6.356792322389e-03       2.289716558849e+04 
       6.478445288534e-03       2.314704637211e+04 
       6.600214488102e-03       2.339186036977e+04 
       6.722094411053e-03       2.363165576495e+04 
       6.844079927402e-03       2.386647693041e+04 
       6.966166257218e-03       2.409639218475e+04 
       7.088348943376e-03       2.432142779290e+04 
       7.210623826788e-03       2.454165119271e+04 
       7.332987023851e-03       2.475710537788e+04 
       7.455434905910e-03       2.496785074390e+04 
       7.577964080510e-03       2.517393243567e+04 
       7.700571374289e-03       2.537540211265e+04 
       7.823253817336e-03       2.557231763747e+04 
       7.946008628874e-03       2.576473011138e+04 
       8.068833204154e-03       2.595268642939e+04 
       8.191725102434e-03       2.613624037495e+04 
       8.314682035948e-03       2.631543876299e+04 
       8.437701859770e-03       2.649033748779e+04 
       8.560782562504e-03       2.666097944295e+04 
       8.683922257704e-03       2.682742047723e+04 
       8.807119175985e-03       2.698971264776e+04 
       8.930371657735e-03       2.714789485366e+04 
       9.053678146408e-03       2.730201849737e+04 
       9.177037182320e-03       2.745214543933e+04 
       9.300447396922e-03       2.759831198380e+04 
       9.423907507500e-03       2.774056484610e+04 
       9.547416312280e-03       2.787896308868e+04 
       9.670972685884e-03       2.801354124989e+04 
       9.794575575129e-03       2.814435729752e+04 
       9.918223995127e-03       2.827145307384e+04 
       1.004191702567e-02       2.839487936416e+04 
       1.016565380789e-02       2.851467821404e+04 
       1.028943354110e-02       2.863089846369e+04 
       1.041325547995e-02       2.874358310629e+04 
       1.053711893172e-02       2.885277931656e+04 
       1.066102325379e-02       2.895853073465e+04 
       1.078496785137e-02       2.906088345779e+04 
       1.090895217527e-02       2.915987942193e+04 
       1.103297571997e-02       2.925555870147e+04 
       1.115703802164e-02       2.934796936061e+04 
       1.128113865651e-02       2.943714603952e+04 
       1.140527723914e-02       2.952313746581e+04 
       1.152945342100e-02       2.960598065890e+04 
       1.165366688899e-02       2.968571371015e+04 
       1.177791736419e-02       2.976238251086e+04 
       1.190220460059e-02       2.983602028375e+04 
       1.202652838399e-02       2.990667968610e+04 
       1.215088853095e-02       2.997438521841e+04 
       1.227528488777e-02       3.003917845064e+04 
       1.239971732963e-02       3.010110079163e+04 
       1.252418575971e-02       3.016017776831e+04 
       1.264869010844e-02       3.021645830431e+04 
       1.277323033273e-02       3.026997361599e+04 
       1.289780641534e-02       3.032076143982e+04 
       1.302241836424e-02       3.036885454397e+04 
       1.314706621207e-02       3.041428571131e+04 
       1.327175001556e-02       3.045708695267e+04 
       1.339646985508e-02       3.049729563687e+04 
       1.352122583423e-02       3.053493165554e+04 
       1.364601807936e-02       3.057004104771e+04 
       1.377084673929e-02       3.060265212986e+04 
       1.389571198492e-02       3.063279893066e+04 
       1.402061400895e-02       3.066051258568e+04 
       1.414555302563e-02       3.068581811858e+04 
       1.427052927050e-02       3.070874963272e+04 
       1.439554300018e-02       3.072934188663e+04 
       1.452059449225e-02       3.074761982151e+04 
       1.464568404502e-02       3.076362349013e+04 
       1.477081197744e-02       3.077736848142e+04 
       1.489597862900e-02       3.078890142646e+04 
       1.502118435966e-02       3.079823875900e+04 
       1.514642954977e-02       3.080542002341e+04 
       1.527171460003e-02       3.081045860978e+04 
       1.539703993154e-02       3.081339503033e+04 
       1.552240598572e-02       3.081425652595e+04 
       1.564781322442e-02       3.081306826692e+04 
       1.577326212989e-02       3.080986144201e+04 
       1.589875320493e-02       3.080466199034e+04 
       1.602428697292e-02       3.079749630196e+04 
       1.614986397792e-02       3.078839831686e+04 
       1.627548478484e-02       3.077739403645e+04 
       1.640114997954e-02       3.076450470355e+04 
       1.652686016901e-02       3.074976608110e+04 
       1.665261598151e-02       3.073321063469e+04 
       1.677841806681e-02       3.071485237213e+04 
       1.690426709636e-02       3.069472320995e+04 
       1.703016376355e-02       3.067285209726e+04 
       1.715610878390e-02       3.064926887489e+04 
       1.728210289537e-02       3.062399633621e+04 
       1.740814685862e-02       3.059706194145e+04 
       1.753424145727e-02       3.056848898337e+04 
       1.766038749826e-02       3.053830781047e+04 
       1.778658581213e-02       3.050654192614e+04 
       1.791283725339e-02       3.047321442531e+04 
       1.803914270084e-02       3.043835945866e+04 
       1.816550305798e-02       3.040199536397e+04 
       1.829191925340e-02       3.036414565555e+04 
       1.841839224117e-02       3.032483984905e+04 
       1.854492300125e-02       3.028409694313e+04 
       1.867151253997e-02       3.024194464420e+04 
       1.879816189048e-02       3.019840405871e+04 
       1.892487211319e-02       3.015349873700e+04 
       1.905164429633e-02       3.010725775271e+04 
       1.917847955640e-02       3.005969389713e+04 
       1.930537903875e-02       3.001083825772e+04 
       1.943234391810e-02       2.996070985174e+04 
       1.955937539914e-02       2.990932773123e+04 
       1.968647471708e-02       2.985671800887e+04 
       1.981364313832e-02       2.980290573357e+04 
       1.994088196101e-02       2.974790361791e+04 
       2.006819251579e-02       2.969173790473e+04 
       2.019557616637e-02       2.963443523561e+04 
       2.032303431031e-02       2.957600052913e+04 
       2.045056837967e-02       2.951646737928e+04 
       2.057817984182e-02       2.945586573541e+04 
       2.070587020016e-02       2.939419479720e+04 
       2.083364099492e-02       2.933148551989e+04 
       2.096149380398e-02       2.926775842973e+04 
       2.108943024374e-02       2.920303140931e+04 
       2.121745196994e-02       2.913732645791e+04 
       2.134556067858e-02       2.907065899462e+04 
       2.147375810686e-02       2.900305666735e+04 
       2.160204603412e-02       2.893453825208e+04 
       2.173042628282e-02       2.886510991718e+04 
       2.185890071957e-02       2.879481444200e+04 
       2.198747125615e-02       2.872363981701e+04 
       2.211613985062e-02       2.865163380044e+04 
       2.224490850842e-02       2.857879894705e+04 
       2.237377928353e-02       2.850516198947e+04 
       2.250275427963e-02       2.843073381904e+04 
       2.263183565135e-02       2.835554104820e+04 
       2.276102560551e-02       2.827958933697e+04 
       2.289032640245e-02       2.820290811728e+04 
       2.301974035734e-02       2.812551136017e+04 
       2.314926984158e-02       2.804741708802e+04 
       2.327891728424e-02       2.796864083306e+04 
       2.340868517353e-02       2.788920001258e+04 
       2.353857605831e-02       2.780910648025e+04 
       2.366859254967e-02       2.772839562204e+04 
       2.379873732257e-02       2.764705852815e+04 
       2.392901311750e-02       2.756512959505e+04 
       2.405942274222e-02       2.748261117347e+04 
       2.418996907353e-02       2.739952957430e+04 
       2.432065505917e-02       2.731589418833e+04 
       2.445148371965e-02       2.723172537211e+04 
       2.458245815030e-02       2.714703548342e+04 
       2.471358152325e-02       2.706184137748e+04 
       2.484485708960e-02       2.697615196741e+04 
       2.497628818154e-02       2.688999217847e+04 
       2.510787821464e-02       2.680336132116e+04 
       2.523963069017e-02       2.671628712305e+04 
       2.537154919753e-02       2.662877633648e+04 
       2.550363741670e-02       2.654085000937e+04 
       2.563589912090e-02       2.645251455258e+04 
       2.576833817920e-02       2.636378681697e+04 
       2.590095855931e-02       2.627468397160e+04 
       2.603376433046e-02       2.618520976724e+04 
       2.616675966636e-02       2.609538095813e+04 
       2.629994884827e-02       2.600521213744e+04 
       2.643333626823e-02       2.591472101361e+04 
       2.656692643232e-02       2.582391543696e+04 
       2.670072396410e-02       2.573280612121e+04 
       2.683473360822e-02       2.564141049044e+04 
       2.696896023401e-02       2.554972637537e+04 
       2.710340883942e-02       2.545778370368e+04 
       2.723808455491e-02       2.536558520268e+04 
       2.737299264762e-02       2.527314306454e+04 
       2.750813852564e-02       2.518046902122e+04 
       2.764352774247e-02       2.508757556599e+04 
       2.777916600163e-02       2.499447046435e+04 
       2.791505916150e-02       2.490116537790e+04 
       2.805121324029e-02       2.480766858057e+04 
       2.818763442125e-02       2.471399618783e+04 
       2.832432905806e-02       2.462015324425e+04 
       2.846130368051e-02       2.452615272404e+04 
       2.859856500031e-02       2.443200045206e+04 
       2.873611991719e-02       2.433770612247e+04 
       2.887397552532e-02       2.424328565721e+04 
       2.901213911986e-02       2.414874098997e+04 
       2.915061820390e-02       2.405408363596e+04 
       2.928942049566e-02       2.395932576841e+04 
       2.942855393599e-02       2.386446447369e+04 
       2.956802669622e-02       2.376952052404e+04 
       2.970784718632e-02       2.367449838658e+04 
       2.984802406347e-02       2.357940727474e+04 
       2.998856624096e-02       2.348424903003e+04 
       3.012948289755e-02       2.338903654512e+04 
       3.027078348716e-02       2.329377569338e+04 
       3.041247774913e-02       2.319847186086e+04 
       3.055457571886e-02       2.310313906790e+04 
       3.069708773900e-02       2.300777893078e+04 
       3.084002447110e-02       2.291240022822e+04 
       3.098339690791e-02       2.281700197184e+04 
       3.112721638622e-02       2.272159958697e+04 
       3.127149460029e-02       2.262620081988e+04 
       3.141624361599e-02       2.253080092755e+04 
       3.156147588564e-02       2.243541958596e+04 
       3.170720426359e-02       2.234004429826e+04 
       3.185344202251e-02       2.224469342185e+04 
       3.200020287063e-02       2.214937476558e+04 
       3.214750096979e-02       2.205408280622e+04 
       3.229535095447e-02       2.195883352659e+04 
       3.244376795177e-02       2.186362116686e+04 
       3.259276760252e-02       2.176845318001e+04 
       3.274236608345e-02       2.167333827065e+04 
       3.289258013066e-02       2.157827401947e+04 
       3.304342706423e-02       2.148326730150e+04 
       3.319492481439e-02       2.138832109322e+04 
       3.334709194897e-02       2.129343973020e+04 
       3.349994770252e-02       2.119862931095e+04 
       3.365351200709e-02       2.110388208501e+04 
       3.380780552473e-02       2.100921414598e+04 
       3.396284968198e-02       2.091462212826e+04 
       3.411866670635e-02       2.082010788507e+04 
       3.427527966501e-02       2.072567212543e+04 
       3.443271250581e-02       2.063131880425e+04 
       3.459099010090e-02       2.053705065813e+04 
       3.475013829293e-02       2.044286888126e+04 
       3.491018394429e-02       2.034876824957e+04 
       3.507115498941e-02       2.025475745165e+04 
       3.523308049046e-02       2.016083816426e+04 
       3.539599069672e-02       2.006700356768e+04 
       3.555991710782e-02       1.997326456710e+04 
       3.572489254129e-02       1.987961262122e+04 
       3.589095120464e-02       1.978605026308e+04 
       3.605812877248e-02       1.969256998236e+04 
       3.622646246891e-02       1.959918171640e+04 
       3.639599115585e-02       1.950587855864e+04 
       3.656675542765e-02       1.941266174073e+04 
       3.673879771261e-02       1.931953139318e+04 
       3.691216238191e-02       1.922647930075e+04 
       3.708689586680e-02       1.913350857182e+04 
       3.726304678461e-02       1.904061336425e+04 
       3.744066607448e-02       1.894779287761e+04 
       3.761980714371e-02       1.885504599136e+04 
       3.780052602572e-02       1.876236701104e+04 
       3.798288155069e-02       1.866975282572e+04 
       3.816693553025e-02       1.857719855483e+04 
       3.835275295744e-02       1.848469756701e+04 
       3.854040222357e-02       1.839225028911e+04 
       3.872995535372e-02       1.829984290676e+04 
       3.892148826273e-02       1.820747723583e+04 
       3.911508103392e-02       1.811514845142e+04 
       3.931081822295e-02       1.802284124310e+04 
       3.950878918951e-02       1.793055436806e+04 
       3.970908846004e-02       1.783828011197e+04 
       3.991181612487e-02       1.774600714782e+04 
       4.011707827371e-02       1.765373001245e+04 
       4.032498747418e-02       1.756143597164e+04 
       4.053566329822e-02       1.746911898362e+04 
       4.074923290237e-02       1.737676667636e+04 
       4.096583166856e-02       1.728435996682e+04 
       4.118560391295e-02       1.719189897104e+04 
       4.140870367158e-02       1.709936418599e+04 
       4.163529557302e-02       1.700674250128e+04 
       4.186555580936e-02       1.691401832467e+04 
       4.209967321929e-02       1.682117444674e+04 
       4.233785049860e-02       1.672819479704e+04 
       4.258030555632e-02       1.663506366661e+04 
       4.282727303770e-02       1.654175559280e+04 
       4.307900603871e-02       1.644825414053e+04 
       4.333577804114e-02       1.635453428528e+04 
       4.359788510265e-02       1.626057467462e+04 
       4.386564834205e-02       1.616634243060e+04 
       4.413941676807e-02       1.607181679331e+04 
       4.441957050858e-02       1.597696141286e+04 
       4.470652450865e-02       1.588174697001e+04 
       4.500073277934e-02       1.578613153983e+04 
       4.530269329587e-02       1.569008069058e+04 
       4.561295366440e-02       1.559355056073e+04 
       4.593211770222e-02       1.549649339746e+04 
       4.626085310781e-02       1.539885567059e+04 
       4.659990043694e-02       1.530057870778e+04 
