# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.01244e-05 to 163.241 h/Mpc,
# number of wavenumbers equal to 626
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_nudm                 5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_ncdm[2]              9:d_tot                 10:phi                   11:psi                
       1.012435437063e-05      -2.147475511050e+00      -1.610607128868e+00      -1.610607128894e+00      -2.147475491274e+00      -1.610712516642e+00      -1.610712516642e+00      -1.610712516642e+00      -1.610703869364e+00       4.634577577357e-01       4.633703786258e-01 
       2.257651330037e-05      -2.152662477772e+00      -1.614509440851e+00      -1.614509441643e+00      -2.152661966264e+00      -1.614614996276e+00      -1.614614996276e+00      -1.614614996276e+00      -1.614606412686e+00       4.634552132337e-01       4.633680914321e-01 
       3.506965707062e-05      -2.161788674350e+00      -1.621415025645e+00      -1.621415030441e+00      -2.161785681296e+00      -1.621520577485e+00      -1.621520577485e+00      -1.621520577485e+00      -1.621512396867e+00       4.634494086015e-01       4.633627413761e-01 
       4.763519422182e-05      -2.174834941336e+00      -1.631376200425e+00      -1.631376216919e+00      -2.174824773386e+00      -1.631481074175e+00      -1.631481074175e+00      -1.631481074175e+00      -1.631474125362e+00       4.634421944485e-01       4.633561795863e-01 
       6.030501951818e-05      -2.191793212048e+00      -1.644485459576e+00      -1.644485502121e+00      -2.191767213011e+00      -1.644588226572e+00      -1.644588226572e+00      -1.644588226572e+00      -1.644584073148e+00       4.634323234826e-01       4.633471616729e-01 
       7.311177979152e-05      -2.212644844836e+00      -1.660862189293e+00      -1.660862281256e+00      -2.212589061477e+00      -1.660960402708e+00      -1.660960402708e+00      -1.660960402708e+00      -1.660961599837e+00       4.634204145113e-01       4.633363089169e-01 
       8.608914775804e-05      -2.237366369145e+00      -1.680662273222e+00      -1.680662449717e+00      -2.237260044546e+00      -1.680752126219e+00      -1.680752126219e+00      -1.680752126219e+00      -1.680762554214e+00       4.634064175002e-01       4.633235756190e-01 
       9.927210722862e-05      -2.265924660439e+00      -1.704080735897e+00      -1.704081047450e+00      -2.265738558100e+00      -1.704156659008e+00      -1.704156659008e+00      -1.704156659008e+00      -1.704181916557e+00       4.633896406375e-01       4.633082751648e-01 
       1.126972531610e-04      -2.298267713117e+00      -1.731352435212e+00      -1.731352951858e+00      -2.297962246428e+00      -1.731406615449e+00      -1.731406615449e+00      -1.731406615449e+00      -1.731454488969e+00       4.633697181404e-01       4.632900472694e-01 
       1.264031100318e-04      -2.334315868981e+00      -1.762754866398e+00      -1.762755682102e+00      -2.333839017389e+00      -1.762776679118e+00      -1.762776679118e+00      -1.762776679118e+00      -1.762857696752e+00       4.633471706020e-01       4.632694181284e-01 
