# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.731677211263e-10       7.609199381081e-15       5.084019132176e-13       0.000000000000e+00       9.462566428102e-09       5.752165243579e-10      -2.718313386378e-12 
    3       1.620716608089e-10       1.192164903478e-14       6.254564454899e-13       0.000000000000e+00       5.841430233555e-09       4.064170669639e-10      -2.301917042065e-12 
    4       1.517086569053e-10       1.277694549665e-14       6.308005406960e-13       0.000000000000e+00       4.055792558161e-09       3.071756999259e-10      -1.748015170715e-12 
    5       1.437348207545e-10       1.073451099321e-14       5.752562762155e-13       0.000000000000e+00       3.019946299844e-09       2.423239862987e-10      -1.213057944357e-12 
    6       1.379873314059e-10       7.454589247614e-15       4.923201864255e-13       0.000000000000e+00       2.353731184429e-09       1.969449629996e-10      -7.504118815342e-13 
    7       1.340338467249e-10       4.460186838379e-15       4.041243285038e-13       0.000000000000e+00       1.895903311506e-09       1.636895901003e-10      -3.838153065283e-13 
    8       1.314328116840e-10       2.494944225789e-15       3.235278918593e-13       0.000000000000e+00       1.564918880646e-09       1.384438374759e-10      -1.193061123962e-13 
    9       1.298674492572e-10       1.550230357267e-15       2.573965941367e-13       0.000000000000e+00       1.316204545493e-09       1.187449920624e-10       4.888913532150e-14 
   10       1.291152211019e-10       1.230711811025e-15       2.084915536504e-13       0.000000000000e+00       1.123835014037e-09       1.030809050605e-10       1.347626686403e-13 
   11       1.289739018629e-10       1.129464534899e-15       1.767438043565e-13       0.000000000000e+00       9.487143184612e-10       9.076807503659e-11       1.566862271613e-13 
   12       1.292423088279e-10       1.024830630454e-15       1.602079146126e-13       0.000000000000e+00       8.281914960721e-10       8.036493513712e-11       1.366096097600e-13 
   13       1.299420719601e-10       8.834174852670e-16       1.556721850945e-13       0.000000000000e+00       7.293191611429e-10       7.147824129095e-11       9.244428776899e-14 
   14       1.309092756773e-10       7.608726578489e-16       1.593221101258e-13       0.000000000000e+00       6.471117291329e-10       6.418726856772e-11       4.104456361592e-14 
   15       1.320883155611e-10       7.051206242797e-16       1.677135895148e-13       0.000000000000e+00       5.779714933703e-10       5.807927737797e-11      -5.838465279123e-15 
   16       1.334991609312e-10       7.168724952780e-16       1.781489474139e-13       0.000000000000e+00       5.192262588561e-10       5.266211839880e-11      -4.117872945523e-14 
   17       1.350401016150e-10       7.640599981955e-16       1.886885390342e-13       0.000000000000e+00       4.688629807502e-10       4.796552863385e-11      -6.154361277489e-14 
   18       1.367110455607e-10       8.138228303634e-16       1.982187417656e-13       0.000000000000e+00       4.251783917115e-10       4.386604064711e-11      -6.743838653129e-14 
   19       1.385292644110e-10       8.636887446630e-16       2.065151339903e-13       0.000000000000e+00       3.874707991155e-10       4.029690260758e-11      -6.157117667715e-14 
   20       1.404381218670e-10       9.229845081201e-16       2.136749118865e-13       0.000000000000e+00       3.542811998572e-10       3.714143655041e-11      -4.849516782051e-14 
   21       1.424411814065e-10       1.008270295292e-15       2.201716601070e-13       0.000000000000e+00       3.250830168947e-10       3.433651673787e-11      -3.224254251835e-14 
   22       1.445233472182e-10       1.137285837589e-15       2.266648478540e-13       0.000000000000e+00       2.991720619599e-10       3.179631048870e-11      -1.711410513728e-14 
   23       1.466771693784e-10       1.309412479500e-15       2.335880343958e-13       0.000000000000e+00       2.761884004821e-10       2.951631260933e-11      -5.523953951482e-15 
   24       1.488747255356e-10       1.516647686735e-15       2.412624528339e-13       0.000000000000e+00       2.555971588453e-10       2.748897150483e-11       8.987097705625e-16 
   25       1.511234040744e-10       1.754251595471e-15       2.496938674636e-13       0.000000000000e+00       2.371532626362e-10       2.569117822321e-11       2.140284997059e-15 
   26       1.534238301664e-10       2.018354606742e-15       2.586812961148e-13       0.000000000000e+00       2.205201439855e-10       2.407388908630e-11      -9.141036482189e-16 
   27       1.557758311902e-10       2.309654042011e-15       2.677612207879e-13       0.000000000000e+00       2.054972208769e-10       2.259909070828e-11      -6.686098445719e-15 
   28       1.581682186107e-10       2.629694547020e-15       2.763357057409e-13       0.000000000000e+00       1.918246771927e-10       2.122506710938e-11      -1.321049421860e-14 
   29       1.606089138724e-10       2.977282300423e-15       2.839932883669e-13       0.000000000000e+00       1.794312736587e-10       1.995460212298e-11      -1.927167306901e-14 
   30       1.630977110228e-10       3.349736645365e-15       2.903179399736e-13       0.000000000000e+00       1.681819556988e-10       1.879593214641e-11      -2.369122903382e-14 
   31       1.656220010534e-10       3.744680459930e-15       2.948926305737e-13       0.000000000000e+00       1.578450352429e-10       1.774667258333e-11      -2.536092724301e-14 
   32       1.681844183097e-10       4.164593844665e-15       2.975983615341e-13       0.000000000000e+00       1.483664885435e-10       1.679588387875e-11      -2.442050748972e-14 
   33       1.707824409375e-10       4.614039457542e-15       2.984292755113e-13       0.000000000000e+00       1.396790903193e-10       1.592054652363e-11      -2.154142296187e-14 
   34       1.734062636798e-10       5.097787210642e-15       2.974339173515e-13       0.000000000000e+00       1.316609159093e-10       1.509302315090e-11      -1.756928500370e-14 
   35       1.760619259321e-10       5.618127413827e-15       2.947678466354e-13       0.000000000000e+00       1.242703199723e-10       1.431335085380e-11      -1.326849171044e-14 
   36       1.787543654439e-10       6.176645653393e-15       2.906668971063e-13       0.000000000000e+00       1.174471904231e-10       1.358723492465e-11      -9.512757706017e-15 
   37       1.814827333784e-10       6.774741148890e-15       2.853682861924e-13       0.000000000000e+00       1.111018175405e-10       1.291710005455e-11      -7.142014437254e-15 
   38       1.842484856108e-10       7.412986845002e-15       2.788711144975e-13       0.000000000000e+00       1.052174483912e-10       1.230180287950e-11      -6.197477394180e-15 
   39       1.870485772567e-10       8.091535771208e-15       2.710982194407e-13       0.000000000000e+00       9.977517924201e-11       1.173620642131e-11      -6.434132526902e-15 
   40       1.898723409837e-10       8.810268672580e-15       2.619587790682e-13       0.000000000000e+00       9.472278155022e-11       1.121078868025e-11      -7.517332979751e-15 
   41       1.927072041400e-10       9.569003446235e-15       2.513412805394e-13       0.000000000000e+00       8.999282569200e-11       1.071459045669e-11      -9.056772654041e-15 
   42       1.955598723616e-10       1.036824986728e-14       2.390925490332e-13       0.000000000000e+00       8.557113061294e-11       1.024609226755e-11      -1.073714219072e-14 
   43       1.984407859290e-10       1.120866945091e-14       2.250298780773e-13       0.000000000000e+00       8.144570775305e-11       9.805262552141e-12      -1.221919943990e-14 
   44       2.013579552121e-10       1.209086598568e-14       2.089447067214e-13       0.000000000000e+00       7.758622331530e-11       9.390414192053e-12      -1.309946950282e-14 
   45       2.043163264991e-10       1.301538483807e-14       1.906511862603e-13       0.000000000000e+00       7.395477533193e-11       8.999022044512e-12      -1.302816235606e-14 
   46       2.073163668452e-10       1.398271720778e-14       1.701529317124e-13       0.000000000000e+00       7.054550469258e-11       8.630791956086e-12      -1.211346502140e-14 
   47       2.103545411472e-10       1.499329238782e-14       1.475234249190e-13       0.000000000000e+00       6.735434472349e-11       8.285274692495e-12      -1.063198039653e-14 
   48       2.134232933379e-10       1.604747316815e-14       1.228614586613e-13       0.000000000000e+00       6.436707879497e-11       7.960909438385e-12      -8.920998651980e-15 
   49       2.165107245419e-10       1.714555316024e-14       9.629243917699e-14       0.000000000000e+00       6.155858616835e-11       7.654940923224e-12      -7.381888529774e-15 
   50       2.196051625953e-10       1.828776670675e-14       6.793602875738e-14       0.000000000000e+00       5.890038277944e-11       7.364277386188e-12      -6.384702076517e-15 
   51       2.227110795259e-10       1.947432798836e-14       3.779569733088e-14       0.000000000000e+00       5.638740627462e-11       7.088531287527e-12      -5.943594544700e-15 
   52       2.258369383664e-10       2.070539790751e-14       5.841442385076e-15       0.000000000000e+00       5.401719787026e-11       6.827660710948e-12      -5.959162960191e-15 
   53       2.289905899291e-10       2.198107039735e-14      -2.795944618719e-14       0.000000000000e+00       5.178188769052e-11       6.581062978652e-12      -6.308304720467e-15 
   54       2.321791811442e-10       2.330137033866e-14      -6.364266756745e-14       0.000000000000e+00       4.966783096430e-11       6.347536052006e-12      -6.842960113648e-15 
   55       2.354084040074e-10       2.466624078024e-14      -1.012445700809e-13       0.000000000000e+00       4.765975178341e-11       6.125652413357e-12      -7.418240921254e-15 
   56       2.386802339254e-10       2.607550565498e-14      -1.407938058529e-13       0.000000000000e+00       4.575521327400e-11       5.915077904677e-12      -7.987879867283e-15 
   57       2.419944689739e-10       2.752889415286e-14      -1.823180960239e-13       0.000000000000e+00       4.395310489670e-11       5.715512906985e-12      -8.530290284733e-15 
   58       2.453492252638e-10       2.902604816040e-14      -2.258468459648e-13       0.000000000000e+00       4.224926574314e-11       5.526286525645e-12      -9.021147387389e-15 
   59       2.487408195885e-10       3.056651976077e-14      -2.714113246241e-13       0.000000000000e+00       4.063629635213e-11       5.346334061725e-12      -9.433275701209e-15 
   60       2.521636520721e-10       3.214976873386e-14      -3.190448438746e-13       0.000000000000e+00       3.910337052589e-11       5.174174483352e-12      -9.736536495715e-15 
   61       2.556121971738e-10       3.377522282705e-14      -3.687755524532e-13       0.000000000000e+00       3.763923153016e-11       5.008325250037e-12      -9.907694972069e-15 
   62       2.590877644207e-10       3.544248003149e-14      -4.206025219327e-13       0.000000000000e+00       3.624239231065e-11       4.848706558441e-12      -9.962864605613e-15 
   63       2.625930538563e-10       3.715114747940e-14      -4.745145868150e-13       0.000000000000e+00       3.491290130883e-11       4.695513751625e-12      -9.932178671687e-15 
   64       2.661301321352e-10       3.890078218178e-14      -5.304972023792e-13       0.000000000000e+00       3.364927469238e-11       4.548799299370e-12      -9.850653148232e-15 
   65       2.697003820668e-10       4.069089052017e-14      -5.885323896951e-13       0.000000000000e+00       3.244840920947e-11       4.408464146412e-12      -9.758390797316e-15 
   66       2.733044521595e-10       4.252092773845e-14      -6.485986806364e-13       0.000000000000e+00       3.130549504301e-11       4.274249060682e-12      -9.700785246651e-15 
   67       2.769422061649e-10       4.439029743456e-14      -7.106710628942e-13       0.000000000000e+00       3.021392866495e-11       4.145725981539e-12      -9.728725071124e-15 
   68       2.806132824698e-10       4.629826112557e-14      -7.747198181791e-13       0.000000000000e+00       2.916707058922e-11       4.022433259272e-12      -9.885362526009e-15 
   69       2.843190166780e-10       4.824364679992e-14      -8.407068863745e-13       0.000000000000e+00       2.816412701590e-11       3.904332533881e-12      -1.016285032517e-14 
   70       2.880608197432e-10       5.022508012584e-14      -9.085886624998e-13       0.000000000000e+00       2.720530888642e-11       3.791429314917e-12      -1.053716493849e-14 
   71       2.918395683552e-10       5.224106639514e-14      -9.783169565369e-13       0.000000000000e+00       2.629005318754e-11       3.683632398726e-12      -1.098062927276e-14 
   72       2.956555700814e-10       5.428998771509e-14      -1.049838910136e-12       0.000000000000e+00       2.541698298969e-11       3.580748896776e-12      -1.146177313817e-14 
   73       2.995085285079e-10       5.637010020025e-14      -1.123096913323e-12       0.000000000000e+00       2.458386748539e-11       3.482479263972e-12      -1.194519371479e-14 
   74       3.033975083808e-10       5.847953116433e-14      -1.198028521204e-12       0.000000000000e+00       2.378758202763e-11       3.388412326980e-12      -1.239141601907e-14 
