# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.731683032557e-10       7.609476105679e-15       5.084019074881e-13       2.767245531298e-19       9.462566428102e-09       5.752165243579e-10      -2.718313386378e-12 
    3       1.620728224465e-10       1.192220270084e-14       6.254564199841e-13       5.536656241058e-19       5.841430233555e-09       4.064170669639e-10      -2.301917042065e-12 
    4       1.517105872087e-10       1.277786874900e-14       6.308004675143e-13       9.232501820524e-19       4.055792558161e-09       3.071756999259e-10      -1.748015170715e-12 
    5       1.437377055672e-10       1.073589674831e-14       5.752561098001e-13       1.385747674840e-18       3.019946299844e-09       2.423239862987e-10      -1.213057944357e-12 
    6       1.379913525794e-10       7.456530746799e-15       4.923198598986e-13       1.941478977677e-18       2.353731184429e-09       1.969449629996e-10      -7.504118815342e-13 
    7       1.340391815335e-10       4.462777691964e-15       4.041237504575e-13       2.590806689753e-18       1.895903311506e-09       1.636895901003e-10      -3.838153065283e-13 
    8       1.314396323441e-10       2.498278446804e-15       3.235269436504e-13       3.334124361253e-18       1.564918880646e-09       1.384438374759e-10      -1.193061123962e-13 
    9       1.298759225591e-10       1.554402383909e-15       2.573951277177e-13       4.171845066289e-18       1.316204545493e-09       1.187449920624e-10       4.888913532150e-14 
   10       1.291255081572e-10       1.235816517261e-15       2.084893899485e-13       5.104389760443e-18       1.123835014037e-09       1.030809050605e-10       1.347626686403e-13 
   11       1.289861579701e-10       1.135597228951e-15       1.767407321933e-13       6.132175866989e-18       9.487143184612e-10       9.076807503659e-11       1.566862271613e-13 
   12       1.292566834505e-10       1.032087041298e-15       1.602036901374e-13       7.255606523377e-18       8.281914960721e-10       8.036493513712e-11       1.366096097600e-13 
   13       1.299587088123e-10       8.918937375645e-16       1.556665316891e-13       8.475060889631e-18       7.293191611429e-10       7.147824129095e-11       9.244428776899e-14 
   14       1.309283129062e-10       7.706652361158e-16       1.593147187235e-13       9.790885874261e-18       6.471117291329e-10       6.418726856772e-11       4.104456361592e-14 
   15       1.321098860131e-10       7.163263273387e-16       1.677041192662e-13       1.120338957291e-17       5.779714933703e-10       5.807927737797e-11      -5.838465279123e-15 
   16       1.335233924867e-10       7.295883823343e-16       1.781370266265e-13       1.271283664280e-17       5.192262588561e-10       5.266211839880e-11      -4.117872945523e-14 
   17       1.350671175750e-10       7.783833280707e-16       1.886737663095e-13       1.431944575504e-17       4.688629807502e-10       4.796552863385e-11      -6.154361277489e-14 
   18       1.367409650755e-10       8.298509949140e-16       1.982006872953e-13       1.602338817039e-17       4.251783917115e-10       4.386604064711e-11      -6.743838653129e-14 
