# Matter power spectrum P(k) at redshift z=0
# for k=1.01244e-05 to 163.241 h/Mpc,
# number of wavenumbers equal to 626
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.012435437063e-05       6.240924093996e+01 
       2.257651330037e-05       1.381768769011e+02 
       3.506965707062e-05       2.117973325777e+02 
       4.763519422182e-05       2.846386891300e+02 
       6.030501951818e-05       3.571545189862e+02 
       7.311177979152e-05       4.297603726393e+02 
       8.608914775804e-05       5.027897295758e+02 
       9.927210722862e-05       5.765400444256e+02 
       1.126972531610e-04       6.512506429437e+02 
       1.264031100318e-04       7.271297577513e+02 
       1.404304720222e-04       8.044252054809e+02 
       1.548227684820e-04       8.834076110955e+02 
       1.696264580355e-04       9.643208956843e+02 
       1.848914544633e-04       1.047429285137e+03 
       2.006715870763e-04       1.133018902169e+03 
       2.170250976101e-04       1.221397866518e+03 
       2.340151745910e-04       1.312896318871e+03 
       2.517105245226e-04       1.407862946544e+03 
       2.701859769335e-04       1.506672669035e+03 
       2.895231170916e-04       1.609727794227e+03 
       3.098109357708e-04       1.717478411207e+03 
       3.311464795705e-04       1.830389468647e+03 
       3.536354776409e-04       1.948977296027e+03 
       3.773929110041e-04       2.073792400588e+03 
       4.025434788690e-04       2.205425547108e+03 
       4.292219025074e-04       2.344508204274e+03 
       4.575729919410e-04       2.491708417507e+03 
       4.877513850600e-04       2.647729701071e+03 
       5.199208549342e-04       2.813303220780e+03 
       5.542530722346e-04       2.989179204724e+03 
       5.909257103065e-04       3.176114419913e+03 
       6.301197960189e-04       3.374855085460e+03 
       6.720162457932e-04       3.586116572207e+03 
       7.167915877150e-04       3.810558639175e+03 
       7.646129584464e-04       4.048758548309e+03 
       8.156325728484e-04       4.301182258423e+03 
       8.699819817592e-04       4.568153389297e+03 
       9.277665379262e-04       4.849829505805e+03 
       9.890605550501e-04       5.146178946021e+03 
       1.053903645098e-03       5.456970015894e+03 
       1.122298639702e-03       5.781762973609e+03 
       1.194211346097e-03       6.119922754268e+03 
       1.269572181179e-03       6.470632030844e+03 
       1.348279509159e-03       6.832885505281e+03 
       1.430204323406e-03       7.205606813320e+03 
       1.515195796064e-03       7.587628601430e+03 
       1.603087185090e-03       7.977722856587e+03 
       1.693701631244e-03       8.374647644037e+03 
       1.786857474953e-03       8.777173617441e+03 
       1.882372846109e-03       9.184114264884e+03 
       1.980069402286e-03       9.594338844695e+03 
       2.079775194261e-03       1.000679128016e+04 
       2.181326713098e-03       1.042049596492e+04 
       2.284570219489e-03       1.083455802918e+04 
       2.389362477613e-03       1.124817932317e+04 
       2.495571018853e-03       1.166062727322e+04 
       2.603074051826e-03       1.207126557760e+04 
       2.711760119816e-03       1.247952087133e+04 
       2.821527588927e-03       1.288489100615e+04 
       2.932284032756e-03       1.328694545043e+04 
       3.043945563558e-03       1.368529910681e+04 
       3.156436146477e-03       1.407962146929e+04 
       3.269686922559e-03       1.446962164298e+04 
       3.383635557749e-03       1.485506330155e+04 
       3.498225628635e-03       1.523574029704e+04 
       3.613406050982e-03       1.561147700677e+04 
       3.729130553681e-03       1.598212489087e+04 
       3.845357198414e-03       1.634756604522e+04 
       3.962047943751e-03       1.670770132690e+04 
       4.079168251444e-03       1.706244801922e+04 
       4.196686732094e-03       1.741175179933e+04 
       4.314574827084e-03       1.775555038522e+04 
       4.432806523638e-03       1.809382027817e+04 
       4.551358099870e-03       1.842653306179e+04 
       4.670207896890e-03       1.875367215154e+04 
       4.789336115161e-03       1.907524870518e+04 
       4.908724632578e-03       1.939125261654e+04 
       5.028356841920e-03       1.970171327073e+04 
       5.148217505561e-03       2.000662294453e+04 
       5.268292625561e-03       2.030602028964e+04 
       5.388569327408e-03       2.059993470309e+04 
       5.509035755916e-03       2.088838622468e+04 
       5.629680981924e-03       2.117142504381e+04 
       5.750494918588e-03       2.144907207193e+04 
       5.871468246215e-03       2.172138214547e+04 
       5.992592344693e-03       2.198837272722e+04 
       6.113859232683e-03       2.225011952767e+04 
       6.235261512838e-03       2.250664347994e+04 
       6.356792322389e-03       2.275800642169e+04 
       6.478445288534e-03       2.300424137274e+04 
       6.600214488102e-03       2.324540678215e+04 
       6.722094411053e-03       2.348155163723e+04 
       6.844079927402e-03       2.371272098426e+04 
       6.966166257218e-03       2.393898533072e+04 
       7.088348943376e-03       2.416037204200e+04 
       7.210623826788e-03       2.437694905750e+04 
       7.332987023851e-03       2.458876106397e+04 
       7.455434905910e-03       2.479586997507e+04 
       7.577964080510e-03       2.499832198136e+04 
       7.700571374289e-03       2.519616871839e+04 
       7.823253817336e-03       2.538947046303e+04 
       7.946008628874e-03       2.557827872145e+04 
       8.068833204154e-03       2.576264284073e+04 
       8.191725102434e-03       2.594261727530e+04 
       8.314682035948e-03       2.611825098681e+04 
       8.437701859770e-03       2.628960176504e+04 
       8.560782562504e-03       2.645671439242e+04 
       8.683922257704e-03       2.661964751893e+04 
       8.807119175985e-03       2.677845513560e+04 
       8.930371657735e-03       2.693317938230e+04 
       9.053678146408e-03       2.708387290601e+04 
       9.177037182320e-03       2.723059971107e+04 
       9.300447396922e-03       2.737339982712e+04 
       9.423907507500e-03       2.751232072137e+04 
       9.547416312280e-03       2.764742390872e+04 
       9.670972685884e-03       2.777874533120e+04 
       9.794575575129e-03       2.790634406968e+04 
       9.918223995127e-03       2.803026277634e+04 
       1.004191702567e-02       2.815055378188e+04 
       1.016565380789e-02       2.826725908007e+04 
       1.028943354110e-02       2.838042915300e+04 
       1.041325547995e-02       2.849010650445e+04 
       1.053711893172e-02       2.859633893560e+04 
       1.066102325379e-02       2.869917040828e+04 
       1.078496785137e-02       2.879864705535e+04 
       1.090895217527e-02       2.889481107733e+04 
       1.103297571997e-02       2.898770245369e+04 
       1.115703802164e-02       2.907736920944e+04 
       1.128113865651e-02       2.916384567664e+04 
       1.140527723914e-02       2.924718011437e+04 
       1.152945342100e-02       2.932740893480e+04 
       1.165366688899e-02       2.940456909916e+04 
       1.177791736419e-02       2.947870558840e+04 
       1.190220460059e-02       2.954985032315e+04 
       1.202652838399e-02       2.961805416353e+04 
       1.215088853095e-02       2.968334011294e+04 
       1.227528488777e-02       2.974574785174e+04 
       1.239971732963e-02       2.980531693472e+04 
       1.252418575971e-02       2.986207120367e+04 
       1.264869010844e-02       2.991605778910e+04 
       1.277323033273e-02       2.996730648751e+04 
       1.289780641534e-02       3.001585379724e+04 
       1.302241836424e-02       3.006173158379e+04 
       1.314706621207e-02       3.010497206740e+04 
       1.327175001556e-02       3.014560715053e+04 
       1.339646985508e-02       3.018367376489e+04 
       1.352122583423e-02       3.021919262714e+04 
       1.364601807936e-02       3.025220996941e+04 
       1.377084673929e-02       3.028275469537e+04 
       1.389571198492e-02       3.031086150653e+04 
       1.402061400895e-02       3.033656187023e+04 
       1.414555302563e-02       3.035988126452e+04 
       1.427052927050e-02       3.038085365537e+04 
       1.439554300018e-02       3.039951321486e+04 
       1.452059449225e-02       3.041588471031e+04 
       1.464568404502e-02       3.043000880710e+04 
       1.477081197744e-02       3.044190213134e+04 
       1.489597862900e-02       3.045161089414e+04 
       1.502118435966e-02       3.045915158865e+04 
       1.514642954977e-02       3.046456823294e+04 
       1.527171460003e-02       3.046787573418e+04 
       1.539703993154e-02       3.046911563654e+04 
       1.552240598572e-02       3.046831744739e+04 
       1.564781322442e-02       3.046550878763e+04 
       1.577326212989e-02       3.046072216622e+04 
       1.589875320493e-02       3.045398400085e+04 
       1.602428697292e-02       3.044532079068e+04 
       1.614986397792e-02       3.043476942147e+04 
       1.627548478484e-02       3.042235368511e+04 
       1.640114997954e-02       3.040809721733e+04 
       1.652686016901e-02       3.039203603483e+04 
       1.665261598151e-02       3.037420346364e+04 
       1.677841806681e-02       3.035461425401e+04 
       1.690426709636e-02       3.033329854148e+04 
       1.703016376355e-02       3.031028584828e+04 
