# Matter power spectrum P(k) at redshift z=0
# for k=1.01244e-05 to 163.241 h/Mpc,
# number of wavenumbers equal to 626
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.012435437063e-05       6.225866715130e+01 
       2.257651330037e-05       1.381059574225e+02 
       3.506965707062e-05       2.117468643047e+02 
       4.763519422182e-05       2.845963064155e+02 
       6.030501951818e-05       3.571157667620e+02 
       7.311177979152e-05       4.297232516710e+02 
       8.608914775804e-05       5.027532792923e+02 
       9.927210722862e-05       5.765038448332e+02 
       1.126972531610e-04       6.512146011832e+02 
       1.264031100318e-04       7.270940180432e+02 
       1.404304720222e-04       8.043900972005e+02 
       1.548227684820e-04       8.833736340492e+02 
       1.696264580355e-04       9.642887192814e+02 
       1.848914544633e-04       1.047399759991e+03 
       2.006715870763e-04       1.132993078246e+03 
       2.170250976101e-04       1.221377023773e+03 
       2.340151745910e-04       1.312882005056e+03 
       2.517105245226e-04       1.407857025553e+03 
       2.701859769335e-04       1.506677382172e+03 
       2.895231170916e-04       1.609745830182e+03 
       3.098109357708e-04       1.717513005037e+03 
       3.311464795705e-04       1.830444508557e+03 
       3.536354776409e-04       1.949057459376e+03 
       3.773929110041e-04       2.073903325853e+03 
       4.025434788690e-04       2.205574032214e+03 
       4.292219025074e-04       2.344702455583e+03 
       4.575729919410e-04       2.491958342880e+03 
       4.877513850600e-04       2.648047266906e+03 
       5.199208549342e-04       2.813702871485e+03 
       5.542530722346e-04       2.989678355988e+03 
       5.909257103065e-04       3.176734036274e+03 
       6.301197960189e-04       3.375620330220e+03 
       6.720162457932e-04       3.587057539963e+03 
       7.167915877150e-04       3.811711149814e+03 
       7.646129584464e-04       4.050164980934e+03 
       8.156325728484e-04       4.302892388030e+03 
       8.699819817592e-04       4.570225183850e+03 
       9.277665379262e-04       4.852329808690e+03 
       9.890605550501e-04       5.149183982395e+03 
       1.053903645098e-03       5.460565645593e+03 
       1.122298639702e-03       5.786044630402e+03 
       1.194211346097e-03       6.124995015608e+03 
       1.269572181179e-03       6.476607807417e+03 
       1.348279509159e-03       6.839884800410e+03 
       1.430204323406e-03       7.213755317863e+03 
       1.515195796064e-03       7.597055979093e+03 
       1.603087185090e-03       7.988560879802e+03 
       1.693701631244e-03       8.387028368894e+03 
       1.786857474953e-03       8.791227680359e+03 
       1.882372846109e-03       9.199969411129e+03 
       1.980069402286e-03       9.612118754544e+03 
       2.079775194261e-03       1.002661474365e+04 
       2.181326713098e-03       1.044247640321e+04 
       2.284570219489e-03       1.085880332976e+04 
       2.389362477613e-03       1.127479196913e+04 
       2.495571018853e-03       1.168970463058e+04 
       2.603074051826e-03       1.210290035909e+04 
       2.711760119816e-03       1.251380160564e+04 
       2.821527588927e-03       1.292190251267e+04 
       2.932284032756e-03       1.332676927175e+04 
       3.043945563558e-03       1.372801378918e+04 
       3.156436146477e-03       1.412530281999e+04 
       3.269686922559e-03       1.451834485218e+04 
       3.383635557749e-03       1.490689978129e+04 
       3.498225628635e-03       1.529075560873e+04 
       3.613406050982e-03       1.566973080759e+04 
       3.729130553681e-03       1.604367100366e+04 
       3.845357198414e-03       1.641245265145e+04 
       3.962047943751e-03       1.677597120430e+04 
       4.079168251444e-03       1.713413883945e+04 
       4.196686732094e-03       1.748689653047e+04 
       4.314574827084e-03       1.783417758644e+04 
       4.432806523638e-03       1.817595462029e+04 
       4.551358099870e-03       1.851219567894e+04 
       4.670207896890e-03       1.884288107611e+04 
       4.789336115161e-03       1.916801935335e+04 
       4.908724632578e-03       1.948759805830e+04 
       5.028356841920e-03       1.980164474903e+04 
       5.148217505561e-03       2.011014999370e+04 
       5.268292625561e-03       2.041315123120e+04 
       5.388569327408e-03       2.071067683365e+04 
       5.509035755916e-03       2.100274595306e+04 
       5.629680981924e-03       2.128940820215e+04 
       5.750494918588e-03       2.157068386987e+04 
       5.871468246215e-03       2.184662742688e+04 
       5.992592344693e-03       2.211725580297e+04 
       6.113859232683e-03       2.238264451331e+04 
       6.235261512838e-03       2.264281396733e+04 
       6.356792322389e-03       2.289782566963e+04 
       6.478445288534e-03       2.314771207705e+04 
       6.600214488102e-03       2.339253114802e+04 
       6.722094411053e-03       2.363233123250e+04 
       6.844079927402e-03       2.386715661200e+04 
       6.966166257218e-03       2.409707708475e+04 
       7.088348943376e-03       2.432211891556e+04 
       7.210623826788e-03       2.454234909542e+04 
       7.332987023851e-03       2.475781109421e+04 
       7.455434905910e-03       2.496856561217e+04 
       7.577964080510e-03       2.517465741478e+04 
       7.700571374289e-03       2.537613664379e+04 
       7.823253817336e-03       2.557306204603e+04 
       7.946008628874e-03       2.576548344779e+04 
       8.068833204154e-03       2.595344841490e+04 
       8.191725102434e-03       2.613700958656e+04 
       8.314682035948e-03       2.631621400291e+04 
       8.437701859770e-03       2.649111754559e+04 
       8.560782562504e-03       2.666176294820e+04 
       8.683922257704e-03       2.682820689042e+04 
       8.807119175985e-03       2.699050134437e+04 
       8.930371657735e-03       2.714868633562e+04 
       9.053678146408e-03       2.730281249955e+04 
       9.177037182320e-03       2.745294195546e+04 
       9.300447396922e-03       2.759911270541e+04 
       9.423907507500e-03       2.774137032500e+04 
       9.547416312280e-03       2.787977464184e+04 
       9.670972685884e-03       2.801435981113e+04 
       9.794575575129e-03       2.814518344916e+04 
       9.918223995127e-03       2.827228675275e+04 
       1.004191702567e-02       2.839572084227e+04 
       1.016565380789e-02       2.851552659186e+04 
       1.028943354110e-02       2.863175362526e+04 
       1.041325547995e-02       2.874444371860e+04 
       1.053711893172e-02       2.885364419791e+04 
       1.066102325379e-02       2.895939872364e+04 
       1.078496785137e-02       2.906175335671e+04 
       1.090895217527e-02       2.916075039490e+04 
       1.103297571997e-02       2.925643009350e+04 
       1.115703802164e-02       2.934884101637e+04 
       1.128113865651e-02       2.943801808452e+04 
       1.140527723914e-02       2.952401043779e+04 
       1.152945342100e-02       2.960685540351e+04 
       1.165366688899e-02       2.968659098883e+04 
       1.177791736419e-02       2.976326340379e+04 
       1.190220460059e-02       2.983690575774e+04 
       1.202652838399e-02       2.990757034787e+04 
       1.215088853095e-02       2.997528138348e+04 
       1.227528488777e-02       3.004007993537e+04 
       1.239971732963e-02       3.010200694565e+04 
       1.252418575971e-02       3.016108746359e+04 
       1.264869010844e-02       3.021737001753e+04 
       1.277323033273e-02       3.027088556578e+04 
       1.289780641534e-02       3.032167175579e+04 
       1.302241836424e-02       3.036976145639e+04 
       1.314706621207e-02       3.041518778188e+04 
       1.327175001556e-02       3.045798339693e+04 
       1.339646985508e-02       3.049818590673e+04 
       1.352122583423e-02       3.053581638168e+04 
       1.364601807936e-02       3.057092151309e+04 
       1.377084673929e-02       3.060353031734e+04 
       1.389571198492e-02       3.063367749597e+04 
       1.402061400895e-02       3.066139430898e+04 
       1.414555302563e-02       3.068670579198e+04 
       1.427052927050e-02       3.070964538896e+04 
       1.439554300018e-02       3.073024657909e+04 
       1.452059449225e-02       3.074853323493e+04 
       1.464568404502e-02       3.076454497655e+04 
       1.477081197744e-02       3.077829724053e+04 
       1.489597862900e-02       3.078983527867e+04 
       1.502118435966e-02       3.079917385407e+04 
       1.514642954977e-02       3.080635585710e+04 
       1.527171460003e-02       3.081139455958e+04 
       1.539703993154e-02       3.081433022221e+04 
       1.552240598572e-02       3.081519071917e+04 
       1.564781322442e-02       3.081400249989e+04 
       1.577326212989e-02       3.081079658320e+04 
       1.589875320493e-02       3.080559816546e+04 
       1.602428697292e-02       3.079843259805e+04 
       1.614986397792e-02       3.078933589958e+04 
       1.627548478484e-02       3.077833094000e+04 
       1.640114997954e-02       3.076544070917e+04 
       1.652686016901e-02       3.075070085356e+04 
       1.665261598151e-02       3.073414451569e+04 
       1.677841806681e-02       3.071578628805e+04 
       1.690426709636e-02       3.069565645918e+04 
       1.703016376355e-02       3.067378498599e+04 
       1.715610878390e-02       3.065019986647e+04 
       1.728210289537e-02       3.062492650275e+04 
       1.740814685862e-02       3.059799051103e+04 
       1.753424145727e-02       3.056941713219e+04 
       1.766038749826e-02       3.053923691054e+04 
