# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.01244e-05 to 163.241 h/Mpc,
# number of wavenumbers equal to 626
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_nudm                 5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_ncdm[2]              9:d_tot                 10:phi                   11:psi                
       1.012435437063e-05      -2.147471864420e+00      -1.610604393306e+00      -1.610604393329e+00      -2.147471846308e+00      -1.610709780974e+00      -1.610709780974e+00      -1.610709780974e+00      -1.610701133636e+00       4.634586692067e-01       4.633711853450e-01 
       2.257651330037e-05      -2.152660247699e+00      -1.614507797724e+00      -1.614507798439e+00      -2.152659779576e+00      -1.614613353091e+00      -1.614613353091e+00      -1.614613353091e+00      -1.614604769390e+00       4.634557582043e-01       4.633685326409e-01 
       3.506965707062e-05      -2.161784812000e+00      -1.621412301769e+00      -1.621412306099e+00      -2.161782073413e+00      -1.621517853579e+00      -1.621517853579e+00      -1.621517853579e+00      -1.621509672400e+00       4.634503115838e-01       4.633635419599e-01 
       4.763519422182e-05      -2.174833745854e+00      -1.631375963453e+00      -1.631375978340e+00      -2.174824441783e+00      -1.631480835258e+00      -1.631480835258e+00      -1.631480835258e+00      -1.631473886866e+00       4.634422582386e-01       4.633561433460e-01 
       6.030501951818e-05      -2.191790718834e+00      -1.644485257831e+00      -1.644485296272e+00      -2.191766927978e+00      -1.644588020409e+00      -1.644588020409e+00      -1.644588020409e+00      -1.644583867546e+00       4.634323672649e-01       4.633471081549e-01 
       7.311177979152e-05      -2.212639556641e+00      -1.660861785215e+00      -1.660861868273e+00      -2.212588505989e+00      -1.660959989375e+00      -1.660959989375e+00      -1.660959989375e+00      -1.660961187408e+00       4.634205172394e-01       4.633363177024e-01 
       8.608914775804e-05      -2.237356917247e+00      -1.680661986911e+00      -1.680662146321e+00      -2.237259601255e+00      -1.680751821788e+00      -1.680751821788e+00      -1.680751821788e+00      -1.680762251915e+00       4.634064671216e-01       4.633235353488e-01 
       9.927210722862e-05      -2.265908616439e+00      -1.704080575031e+00      -1.704080856390e+00      -2.265738256847e+00      -1.704156466661e+00      -1.704156466661e+00      -1.704156466661e+00      -1.704181727496e+00       4.633896357858e-01       4.633081850592e-01 
       1.126972531610e-04      -2.298241100576e+00      -1.731351873254e+00      -1.731352339773e+00      -2.297961425396e+00      -1.731406002998e+00      -1.731406002998e+00      -1.731406002998e+00      -1.731453880275e+00       4.633698401038e-01       4.632900891957e-01 
       1.264031100318e-04      -2.334274639095e+00      -1.762754115869e+00      -1.762754852297e+00      -2.333837959771e+00      -1.762775849630e+00      -1.762775849630e+00      -1.762775849630e+00      -1.762856872447e+00       4.633473495604e-01       4.632695228886e-01 
