# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.714772134627e-10       8.406147826308e-15       5.385998853213e-13       0.000000000000e+00       9.589614695387e-09       5.673127906708e-10      -2.846346043125e-12 
    3       1.608068064168e-10       1.417306760045e-14       6.810949497499e-13       0.000000000000e+00       5.969421550139e-09       4.034439812971e-10      -2.498143016433e-12 
    4       1.505654703399e-10       1.644558566497e-14       7.050276766091e-13       0.000000000000e+00       4.159652074141e-09       3.064088314891e-10      -1.986383439186e-12 
    5       1.425356685778e-10       1.510038355212e-14       6.598501854290e-13       0.000000000000e+00       3.105930683395e-09       2.427287479907e-10      -1.467638097479e-12 
    6       1.366141758866e-10       1.155742985815e-14       5.798157835849e-13       0.000000000000e+00       2.424629141989e-09       1.979261504879e-10      -9.960493476559e-13 
    7       1.324196002483e-10       7.593982617225e-15       4.883136114708e-13       0.000000000000e+00       1.954491282236e-09       1.649415607291e-10      -5.992399097755e-13 
    8       1.296326839820e-10       4.455787756816e-15       3.992292186528e-13       0.000000000000e+00       1.615007049643e-09       1.397974681771e-10      -2.891945480864e-13 
    9       1.278639022872e-10       2.576186126610e-15       3.208417677912e-13       0.000000000000e+00       1.360522288305e-09       1.200759481393e-10      -6.726928519266e-14 
   10       1.269170032328e-10       1.752577338350e-15       2.577711856915e-13       0.000000000000e+00       1.163519455461e-09       1.043225142823e-10       7.318463502130e-14 
   11       1.266371825873e-10       1.515324512216e-15       2.117399221214e-13       0.000000000000e+00       9.804478599131e-10       9.189696991729e-11       1.437609830185e-13 
   12       1.268138087803e-10       1.448458517913e-15       1.824081425794e-13       0.000000000000e+00       8.567736702431e-10       8.120777352635e-11       1.612868580331e-13 
   13       1.273985821722e-10       1.340633307661e-15       1.678652766887e-13       0.000000000000e+00       7.552229099788e-10       7.235452303826e-11       1.418361356169e-13 
   14       1.282520249125e-10       1.171455942048e-15       1.649903900990e-13       0.000000000000e+00       6.707297518175e-10       6.500176825624e-11       1.008107052580e-13 
   15       1.293768214626e-10       1.012579030161e-15       1.701783206595e-13       0.000000000000e+00       5.996066428058e-10       5.857450763730e-11       5.094902173584e-14 
   16       1.306819895264e-10       9.300324420170e-16       1.800594158526e-13       0.000000000000e+00       5.391260721207e-10       5.315804908042e-11       3.100260890048e-15 
   17       1.321204691488e-10       9.371798650879e-16       1.919206746298e-13       0.000000000000e+00       4.872379087426e-10       4.849326205830e-11      -3.579820528986e-14 
   18       1.337118343157e-10       9.985997074519e-16       2.035440567461e-13       0.000000000000e+00       4.421977992805e-10       4.438406578944e-11      -6.200130307550e-14 
   19       1.354507823039e-10       1.077983063580e-15       2.139225579625e-13       0.000000000000e+00       4.032934095757e-10       4.078777053419e-11      -7.479615552553e-14 
   20       1.372565395475e-10       1.140327921248e-15       2.224089971284e-13       0.000000000000e+00       3.690262567750e-10       3.759447614768e-11      -7.550518292485e-14 
   21       1.391458277133e-10       1.192148068538e-15       2.290788332684e-13       0.000000000000e+00       3.388588448603e-10       3.475067483700e-11      -6.676790024516e-14 
   22       1.411280877492e-10       1.257058595253e-15       2.343787321781e-13       0.000000000000e+00       3.120701676090e-10       3.217876371845e-11      -5.251973990760e-14 
   23       1.431894211993e-10       1.356398507046e-15       2.389116410297e-13       0.000000000000e+00       2.882924384210e-10       2.986309816391e-11      -3.609192714294e-14 
   24       1.452870166513e-10       1.509074017241e-15       2.433944108876e-13       0.000000000000e+00       2.669764637816e-10       2.778181117137e-11      -2.090600772714e-14 
   25       1.474319639020e-10       1.713745013105e-15       2.483180482098e-13       0.000000000000e+00       2.478716252386e-10       2.592596076581e-11      -8.932192680176e-15 
   26       1.496327031399e-10       1.960965379457e-15       2.540573361168e-13       0.000000000000e+00       2.306322954370e-10       2.426743096072e-11      -1.549892111799e-15 
   27       1.518806466377e-10       2.244077060705e-15       2.606205517709e-13       0.000000000000e+00       2.150524663526e-10       2.276305059438e-11       1.066321904887e-15 
