# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.714778106471e-10       8.406439515468e-15       5.385998788996e-13       2.916891262341e-19       9.589614695387e-09       5.673127906708e-10      -2.846346043125e-12 
    3       1.608079981788e-10       1.417365127008e-14       6.810949211855e-13       5.836692934942e-19       5.969421550139e-09       4.034439812971e-10      -2.498143016433e-12 
    4       1.505674508806e-10       1.644655908516e-14       7.050275947384e-13       9.734185461929e-19       4.159652074141e-09       3.064088314891e-10      -1.986383439186e-12 
    5       1.425386287967e-10       1.510184485421e-14       6.598499995001e-13       1.461296486890e-18       3.105930683395e-09       2.427287479907e-10      -1.467638097479e-12 
    6       1.366183027022e-10       1.155947760240e-14       5.798154193432e-13       2.047729086690e-18       2.424629141989e-09       1.979261504879e-10      -9.960493476559e-13 
    7       1.324250760075e-10       7.596715846622e-15       4.883129678318e-13       2.733194393716e-18       1.954491282236e-09       1.649415607291e-10      -5.992399097755e-13 
    8       1.296396859709e-10       4.459306035188e-15       3.992281650235e-13       3.518206705225e-18       1.615007049643e-09       1.397974681771e-10      -2.891945480864e-13 
    9       1.278726023509e-10       2.580589560015e-15       3.208401420754e-13       4.403299833196e-18       1.360522288305e-09       1.200759481393e-10      -6.726928519266e-14 
   10       1.269275675080e-10       1.757966579083e-15       2.577687929847e-13       5.389010127559e-18       1.163519455461e-09       1.043225142823e-10       7.318463502130e-14 
   11       1.266497713493e-10       1.521800745452e-15       2.117365340737e-13       6.475859928443e-18       9.804478599131e-10       9.189696991729e-11       1.437609830185e-13 
   12       1.268285764007e-10       1.456123431555e-15       1.824034973777e-13       7.664342098616e-18       8.567736702431e-10       8.120777352635e-11       1.612868580331e-13 
   13       1.274156771823e-10       1.349589046530e-15       1.678590795893e-13       8.954906240562e-18       7.552229099788e-10       7.235452303826e-11       1.418361356169e-13 
   14       1.282715901620e-10       1.181805048042e-15       1.649823144198e-13       1.034794713116e-17       6.707297518175e-10       6.500176825624e-11       1.008107052580e-13 
   15       1.293989943625e-10       1.024424370473e-15       1.701680091280e-13       1.184379581371e-17       5.996066428058e-10       5.857450763730e-11       5.094902173584e-14 
   16       1.307069023607e-10       9.434771278435e-16       1.800464821983e-13       1.344271367602e-17       5.391260721207e-10       5.315804908042e-11       3.100260890048e-15 
