# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.024e-05 to 131.393 h/Mpc,
# number of wavenumbers equal to 625
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_nudm                 5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.024000332904e-05      -2.135452537614e+00      -1.601589912900e+00      -1.601589912932e+00      -2.135452517278e+00      -1.601746484766e+00       4.664638585437e-01       4.663204434960e-01 
       2.280552461713e-05      -2.140627602601e+00      -1.605483290169e+00      -1.605483290971e+00      -2.140627097614e+00      -1.605640238522e+00       4.664616193672e-01       4.663186348224e-01 
       3.541321842686e-05      -2.149734207831e+00      -1.612373864626e+00      -1.612373869332e+00      -2.149731273648e+00      -1.612531465902e+00       4.664548622036e-01       4.663126377887e-01 
       4.809536248710e-05      -2.162753226059e+00      -1.622313549849e+00      -1.622313565959e+00      -2.162743275564e+00      -1.622472063017e+00       4.664458712152e-01       4.663047383154e-01 
       6.088474376952e-05      -2.179674351528e+00      -1.635392377912e+00      -1.635392419297e+00      -2.179648931354e+00      -1.635552037428e+00       4.664346992349e-01       4.662949929287e-01 
       7.381493674943e-05      -2.200489043310e+00      -1.651736806072e+00      -1.651736895553e+00      -2.200434505205e+00      -1.651897813726e+00       4.664202246879e-01       4.662822859670e-01 
       8.692059016445e-05      -2.225176992452e+00      -1.671504361663e+00      -1.671504533507e+00      -2.225073026477e+00      -1.671666875952e+00       4.664026841620e-01       4.662668610245e-01 
       1.002377259138e-04      -2.253708064027e+00      -1.694891724844e+00      -1.694892028534e+00      -2.253526033656e+00      -1.695055849586e+00       4.663819087644e-01       4.662485580172e-01 
       1.138040537698e-04      -2.286034167068e+00      -1.722135578789e+00      -1.722136082172e+00      -2.285735317006e+00      -1.722301348564e+00       4.663583365917e-01       4.662278233135e-01 
       1.276593056052e-04      -2.322086499045e+00      -1.753522707072e+00      -1.753523502103e+00      -2.321619779874e+00      -1.753690071046e+00       4.663309859280e-01       4.662036867341e-01 
       1.418455928511e-04      -2.361759394743e+00      -1.789388220125e+00      -1.789389428570e+00      -2.361059127952e+00      -1.789557021594e+00       4.663000486056e-01       4.661763507428e-01 
       1.564077908683e-04      -2.404904027090e+00      -1.830126790172e+00      -1.830128570774e+00      -2.403887234504e+00      -1.830296742163e+00       4.662652587378e-01       4.661455606854e-01 
       1.713939537924e-04      -2.451313261947e+00      -1.876200085280e+00      -1.876202643301e+00      -2.449876640838e+00      -1.876370741491e+00       4.662260078893e-01       4.661107196422e-01 
       1.868557631539e-04      -2.500704546462e+00      -1.928144426259e+00      -1.928148025252e+00      -2.498721217306e+00      -1.928315146591e+00       4.661820340293e-01       4.660715756869e-01 
       2.028490131011e-04      -2.552702387005e+00      -1.986582926099e+00      -1.986587901341e+00      -2.550018452381e+00      -1.986752834867e+00       4.661331236932e-01       4.660279233857e-01 
       2.194341342760e-04      -2.606814717583e+00      -2.052239503142e+00      -2.052246280743e+00      -2.603245577818e+00      -2.052407441005e+00       4.660787045266e-01       4.659791961580e-01 
       2.366767571814e-04      -2.662408618393e+00      -2.125953829452e+00      -2.125962948511e+00      -2.657735486796e+00      -2.126118296434e+00       4.660181745175e-01       4.659247933167e-01 
       2.546483140752e-04      -2.718682577851e+00      -2.208699301442e+00      -2.208711443002e+00      -2.712649426613e+00      -2.208858392336e+00       4.659510771343e-01       4.658642534980e-01 
       2.734266758359e-04      -2.774638353607e+00      -2.301605913828e+00      -2.301621936025e+00      -2.766949817617e+00      -2.301757243984e+00       4.658765220031e-01       4.657966735726e-01 
       2.930968166060e-04      -2.829055852049e+00      -2.405983942882e+00      -2.406004925382e+00      -2.819377043967e+00      -2.406124567740e+00       4.657940460310e-01       4.657215664022e-01 
       3.137514940720e-04      -2.880469541456e+00      -2.523354961097e+00      -2.523382262486e+00      -2.868428633069e+00      -2.523481290982e+00       4.657027709190e-01       4.656380161348e-01 
       3.354919266398e-04      -2.927160755198e+00      -2.655485375341e+00      -2.655520702880e+00      -2.912356184069e+00      -2.655593089140e+00       4.656018832648e-01       4.655451542620e-01 
       3.584284402242e-04      -2.967165084147e+00      -2.804426366575e+00      -2.804471866479e+00      -2.949179269309e+00      -2.804510333981e+00       4.654900768106e-01       4.654415985235e-01 
