# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_nudm           12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       1.000000000000e+14       7.558503632224e-26       4.634785000235e-09       2.157545946648e+22       1.408774065952e+04       1.408774065952e-10       1.408774065952e+18       2.675958164815e-09       2.751560535470e+44       2.473421074607e+33       1.339408137477e+34       3.759359733323e-08       1.903443976270e+44       4.655004511899e+44       4.655004511899e+44       1.551668170580e+44      -1.339118148791e+53       5.594061001087e-20       2.000000000000e+14 
       9.930486593843e+13       7.664693049753e-26       4.667526809499e-09       2.127654528182e+22       1.408774065952e+04       1.418635484414e-10       1.398981197569e+18       2.694689871968e-09       2.675846458098e+44       2.422198022217e+33       1.311669806183e+34       3.759359733323e-08       1.851067333040e+44       4.526913791294e+44       4.526913791294e+44       1.508971263713e+44      -1.293217411572e+53       7.804401752322e-08       1.433565615564e+02 
       9.861456399050e+13       7.772374322409e-26       4.700268618762e-09       2.098177236191e+22       1.408774065952e+04       1.428565932805e-10       1.389256402750e+18       2.713552701072e-09       2.602215788102e+44       2.372035768219e+33       1.284505918930e+34       3.759359733323e-08       1.800131926217e+44       4.402347714471e+44       4.402347714471e+44       1.467449238106e+44      -1.248890006534e+53       1.560880350464e-07       7.167828077820e+01 
       9.792906056653e+13       7.881568409264e-26       4.733010428026e-09       2.069108333218e+22       1.408774065952e+04       1.438565894334e-10       1.379599208292e+18       2.732547569979e-09       2.530611196824e+44       2.322912344119e+33       1.257904579330e+34       3.759359733323e-08       1.750598097619e+44       4.281209294592e+44       4.281209294592e+44       1.427069764814e+44      -1.206082004822e+53       2.341320525695e-07       4.778552051880e+01 
       9.724832231036e+13       7.992296563846e-26       4.765752237290e-09       2.040442161294e+22       1.408774065952e+04       1.448635855595e-10       1.370009144282e+18       2.751675402969e-09       2.460976933110e+44       2.274806236379e+33       1.231854137361e+34       3.759359733323e-08       1.702427280332e+44       4.163404213587e+44       4.163404213587e+44       1.387801404480e+44      -1.164741326094e+53       3.121760700926e-07       3.583914038910e+01 
       9.657231609767e+13       8.104580338271e-26       4.800313035958e-09       2.012173140839e+22       1.408774065952e+04       1.458776306584e-10       1.360485744073e+18       2.770937130790e-09       2.393258779894e+44       2.227696376995e+33       1.206343184268e+34       3.759359733323e-08       1.655581968676e+44       4.048840748713e+44       4.048840748713e+44       1.349613582857e+44      -1.124817675156e+53       3.902200876158e-07       2.867131231128e+01 
       9.590100903443e+13       8.218441587444e-26       4.833054845221e-09       1.984295769572e+22       1.408774065952e+04       1.468987740730e-10       1.351028544264e+18       2.790333690705e-09       2.327404011992e+44       2.181562134266e+33       1.181360547562e+34       3.759359733323e-08       1.610025689010e+44       3.937429701143e+44       3.937429701143e+44       1.312476567001e+44      -1.086262480774e+53       4.682641051389e-07       2.389276025940e+01 
       9.523436845525e+13       8.333902473306e-26       4.867615643889e-09       1.956804621446e+22       1.408774065952e+04       1.479270654915e-10       1.341637084671e+18       2.809866026540e-09       2.263361355047e+44       2.136383303762e+33       1.156895286131e+34       3.759359733323e-08       1.565722971329e+44       3.829084326512e+44       3.829084326512e+44       1.276361442125e+44      -1.049028836584e+53       5.463081226620e-07       2.047950879377e+01 
       9.457236192179e+13       8.450985469153e-26       4.900357453153e-09       1.929694345585e+22       1.408774065952e+04       1.489625549499e-10       1.332310908313e+18       2.829535088726e-09       2.201080945604e+44       2.092140099474e+33       1.132936685446e+34       3.759359733323e-08       1.522639321645e+44       3.723720267383e+44       3.723720267383e+44       1.241240089083e+44      -1.013071444022e+53       6.243521401851e-07       1.791957019455e+01 
       9.391495722125e+13       8.569713364009e-26       4.934918251820e-09       1.902959665248e+22       1.408774065952e+04       1.500052928346e-10       1.323049561383e+18       2.849341834347e-09       2.140514292293e+44       2.048813145151e+33       1.109474252871e+34       3.759359733323e-08       1.480741195137e+44       3.621255487562e+44       3.621255487562e+44       1.207085162477e+44      -9.783465572162e+52       7.023961577082e-07       1.592850683960e+01 
