# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.742730988413e-10       7.642398892928e-15       5.080225076794e-13       0.000000000000e+00       9.470087850913e-09       5.820800500556e-10      -2.716957177876e-12 
    3       1.629226162215e-10       1.193481059194e-14       6.231372448181e-13       0.000000000000e+00       5.865297570028e-09       4.125340996536e-10      -2.299398008757e-12 
    4       1.523556202952e-10       1.275920890052e-14       6.277011555215e-13       0.000000000000e+00       4.085966012072e-09       3.122751401456e-10      -1.743017487531e-12 
    5       1.442492988622e-10       1.069238711415e-14       5.718897206512e-13       0.000000000000e+00       3.050239054730e-09       2.466890278319e-10      -1.206771537400e-12 
    6       1.383960172128e-10       7.405665303208e-15       4.891630087033e-13       0.000000000000e+00       2.381932259604e-09       2.006864861390e-10      -7.438314105209e-13 
    7       1.343164066035e-10       4.421537593734e-15       4.015753234663e-13       0.000000000000e+00       1.920130273426e-09       1.668363089194e-10      -3.777110556893e-13 
    8       1.316602243202e-10       2.473882899795e-15       3.216479067123e-13       0.000000000000e+00       1.585068266728e-09       1.410946200377e-10      -1.142097373819e-13 
    9       1.300484464856e-10       1.544305995543e-15       2.560717335079e-13       0.000000000000e+00       1.333437002124e-09       1.210487823094e-10       5.271664674792e-14 
   10       1.292549198776e-10       1.232649970843e-15       2.076363779212e-13       0.000000000000e+00       1.139489030851e-09       1.051288833936e-10       1.372876172195e-13 
   11       1.290762695009e-10       1.132569694069e-15       1.762543654787e-13       0.000000000000e+00       9.631260957838e-10       9.257498217500e-11       1.580878869018e-13 
   12       1.293595118733e-10       1.025751426062e-15       1.598813038483e-13       0.000000000000e+00       8.413742209722e-10       8.182203364685e-11       1.367652498412e-13 
   13       1.300058240304e-10       8.820715702351e-16       1.553257829872e-13       0.000000000000e+00       7.414199247755e-10       7.286020358682e-11       9.200705936999e-14 
   14       1.309761406656e-10       7.587011901681e-16       1.589647934575e-13       0.000000000000e+00       6.582678619150e-10       6.546941916099e-11       4.021664589242e-14 
   15       1.321714921628e-10       7.031712245328e-16       1.673646828556e-13       0.000000000000e+00       5.882891536703e-10       5.904140781607e-11      -7.123066738754e-15 
   16       1.335304286415e-10       7.150981089912e-16       1.777550114914e-13       0.000000000000e+00       5.287921982563e-10       5.351523519481e-11      -4.244146600743e-14 
   17       1.350635207426e-10       7.617408351323e-16       1.882338239274e-13       0.000000000000e+00       4.777570151886e-10       4.875717737090e-11      -6.265187976540e-14 
   18       1.367417503953e-10       8.101797096564e-16       1.976578322590e-13       0.000000000000e+00       4.334665969789e-10       4.459775434895e-11      -6.834844162179e-14 
   19       1.385581491540e-10       8.582526347445e-16       2.058328478612e-13       0.000000000000e+00       3.952149577667e-10       4.095638378065e-11      -6.227085164808e-14 
   20       1.404518419798e-10       9.157027492420e-16       2.129131899599e-13       0.000000000000e+00       3.615296459555e-10       3.768551563308e-11      -4.904864607684e-14 
   21       1.424285039572e-10       9.990992759744e-16       2.193502560166e-13       0.000000000000e+00       3.318807280820e-10       3.476404289891e-11      -3.275016890141e-14 
   22       1.444789839435e-10       1.126065711169e-15       2.257611560307e-13       0.000000000000e+00       3.055571900416e-10       3.216596257402e-11      -1.769178476838e-14 
