# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.742736974747e-10       7.642684275494e-15       5.080225018201e-13       2.853825196861e-19       9.470087850913e-09       5.820800500556e-10      -2.716957177876e-12 
    3       1.629238108321e-10       1.193538157798e-14       6.231372187344e-13       5.709855780566e-19       5.865297570028e-09       4.125340996536e-10      -2.299398008757e-12 
    4       1.523576054762e-10       1.276016102835e-14       6.277010806813e-13       9.521256068381e-19       4.085966012072e-09       3.122751401456e-10      -1.743017487531e-12 
    5       1.442522658470e-10       1.069381619890e-14       5.718895504628e-13       1.429077139010e-18       3.050239054730e-09       2.466890278319e-10      -1.206771537400e-12 
    6       1.384001531862e-10       7.407667491114e-15       4.891626747698e-13       2.002167176175e-18       2.381932259604e-09       2.006864861390e-10      -7.438314105209e-13 
    7       1.343218941068e-10       4.424209407176e-15       4.015747323013e-13       2.671765343262e-18       1.920130273426e-09       1.668363089194e-10      -3.777110556893e-13 
    8       1.316672407608e-10       2.477321271853e-15       3.216469369710e-13       3.438272956073e-18       1.585068266728e-09       1.410946200377e-10      -1.142097373819e-13 
    9       1.300571637596e-10       1.548608293076e-15       2.560702337664e-13       4.302111422479e-18       1.333437002124e-09       1.210487823094e-10       5.271664674792e-14 
   10       1.292655041097e-10       1.237914005510e-15       2.076341650158e-13       5.263710421562e-18       1.139489030851e-09       1.051288833936e-10       1.372876172195e-13 
   11       1.290888809025e-10       1.138893721040e-15       1.762512233978e-13       6.323496310573e-18       9.631260957838e-10       9.257498217500e-11       1.580878869018e-13 
   12       1.293743047141e-10       1.033234130494e-15       1.598769831489e-13       7.481881197001e-18       8.413742209722e-10       8.182203364685e-11       1.367652498412e-13 
   13       1.300229467194e-10       8.908120419732e-16       1.553200006937e-13       8.739253082902e-18       7.414199247755e-10       7.286020358682e-11       9.200705936999e-14 
   14       1.309957359285e-10       7.687988874326e-16       1.589572333835e-13       1.009596744211e-17       6.582678619150e-10       6.546941916099e-11       4.021664589242e-14 
   15       1.321936973050e-10       7.147259276665e-16       1.673549962805e-13       1.155234052994e-17       5.882891536703e-10       5.904140781607e-11      -7.123066738754e-15 
