# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.00946e-05 to 163.221 h/Mpc,
# number of wavenumbers equal to 626
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_nudm                 5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.009464849392e-05      -2.151104681467e+00      -1.613329020460e+00      -1.613329020488e+00      -2.151104662550e+00      -1.613492563917e+00       4.625504976721e-01       4.624029961071e-01 
       2.254595584416e-05      -2.156319277974e+00      -1.617252238010e+00      -1.617252238753e+00      -2.156318802251e+00      -1.617416174732e+00       4.625462866573e-01       4.623992330935e-01 
       3.503816723294e-05      -2.165491816878e+00      -1.624193369968e+00      -1.624193374392e+00      -2.165489044495e+00      -1.624357988085e+00       4.625397694216e-01       4.623935061266e-01 
       4.760268435468e-05      -2.178609659379e+00      -1.634210630040e+00      -1.634210645177e+00      -2.178600244473e+00      -1.634376199230e+00       4.625309072834e-01       4.623857796651e-01 
       6.027139435890e-05      -2.195662741050e+00      -1.647396334639e+00      -1.647396373615e+00      -2.195638670379e+00      -1.647563098098e+00       4.625186584805e-01       4.623750156583e-01 
       7.307693559436e-05      -2.216629228720e+00      -1.663869537255e+00      -1.663869621482e+00      -2.216577567162e+00      -1.664037701665e+00       4.625039442399e-01       4.623621403190e-01 
       8.605297131448e-05      -2.241487438339e+00      -1.683790024288e+00      -1.683790185960e+00      -2.241388945083e+00      -1.683959749397e+00       4.624856518808e-01       4.623460483275e-01 
       9.923447476341e-05      -2.270198199414e+00      -1.707351587843e+00      -1.707351873358e+00      -2.270025749553e+00      -1.707522973476e+00       4.624638180665e-01       4.623267851724e-01 
       1.126580290891e-04      -2.302703057380e+00      -1.734787021453e+00      -1.734787494585e+00      -2.302419974763e+00      -1.734960092239e+00       4.624392417894e-01       4.623051572614e-01 
       1.263621455605e-04      -2.338922382860e+00      -1.766379215753e+00      -1.766379962403e+00      -2.338480405506e+00      -1.766553903179e+00       4.624110514174e-01       4.622803041377e-01 
       1.403876035795e-04      -2.378739468695e+00      -1.802459767818e+00      -1.802460901865e+00      -2.378076531557e+00      -1.802635888768e+00       4.623790711208e-01       4.622520606926e-01 
       1.547778159539e-04      -2.421992351314e+00      -1.843417746448e+00      -1.843419416103e+00      -2.421030111356e+00      -1.843594976981e+00       4.623429974700e-01       4.622201342222e-01 
       1.695792227905e-04      -2.468460484392e+00      -1.889707680384e+00      -1.889710076771e+00      -2.467101534618e+00      -1.889885524858e+00       4.623022661311e-01       4.621839708968e-01 
       1.848417171445e-04      -2.517845701773e+00      -1.941856452335e+00      -1.941859820203e+00      -2.515970495793e+00      -1.942034206390e+00       4.622568269776e-01       4.621435300553e-01 
       2.006191051407e-04      -2.569758498587e+00      -2.000476928087e+00      -2.000481578491e+00      -2.567222143750e+00      -2.000653634952e+00       4.622061801463e-01       4.620983191079e-01 
       2.169696025972e-04      -2.623693374511e+00      -2.066278821545e+00      -2.066285147936e+00      -2.620322261058e+00      -2.066453220375e+00       4.621500347128e-01       4.620480513870e-01 
       2.339563691054e-04      -2.679004831190e+00      -2.140085531618e+00      -2.140094031171e+00      -2.674593254701e+00      -2.140255997799e+00       4.620874994743e-01       4.619918361475e-01 
       2.516480789239e-04      -2.734883966751e+00      -2.222849262408e+00      -2.222860560377e+00      -2.729191356658e+00      -2.223013738766e+00       4.620183523523e-01       4.619294445308e-01 
       2.701195257346e-04      -2.790328458089e+00      -2.315674766401e+00      -2.315689649169e+00      -2.783077201705e+00      -2.315830685413e+00       4.619414648368e-01       4.618597338598e-01 
       2.894522550830e-04      -2.844123591803e+00      -2.419840126816e+00      -2.419859578950e+00      -2.834998762132e+00      -2.419984324331e+00       4.618567997657e-01       4.617826406057e-01 
       3.097352139111e-04      -2.894815755967e+00      -2.536829044135e+00      -2.536854301207e+00      -2.883466966559e+00      -2.536957668695e+00       4.617629591629e-01       4.616967277183e-01 
       3.310654007132e-04      -2.940713681197e+00      -2.668360235024e+00      -2.668392842899e+00      -2.926761308715e+00      -2.668468654579e+00       4.616594490358e-01       4.616014437160e-01 
       3.535484922061e-04      -2.979892706549e+00      -2.816427417899e+00      -2.816469312351e+00      -2.962939572719e+00      -2.816510133380e+00       4.615449009349e-01       4.614953422065e-01 
       3.772994127619e-04      -3.010247707946e+00      -2.983341357527e+00      -2.983394954946e+00      -2.989899172801e+00      -2.983391930069e+00       4.614184780106e-01       4.613774829692e-01 
       4.024428010618e-04      -3.029575653207e+00      -3.171779383844e+00      -3.171847701610e+00      -3.005470318290e+00      -3.171790398237e+00       4.612788406738e-01       4.612463952198e-01 
       4.291133146229e-04      -3.035734983382e+00      -3.384840280570e+00      -3.384927075150e+00      -3.007589359048e+00      -3.384803357084e+00       4.611249053428e-01       4.611008336776e-01 
       4.574556975369e-04      -3.026871056689e+00      -3.626104260014e+00      -3.626214202088e+00      -2.994540294113e+00      -3.626010149569e+00       4.609551184742e-01       4.609390530908e-01 
       4.876245211381e-04      -3.001742140392e+00      -3.899698273872e+00      -3.899837157202e+00      -2.965298262612e+00      -3.899537062942e+00       4.607680046018e-01       4.607593596524e-01 
       5.197834934539e-04      -2.960122991791e+00      -4.210364030715e+00      -4.210538990378e+00      -2.919947990225e+00      -4.210125457985e+00       4.605619817520e-01       4.605599354991e-01 
       5.541042244227e-04      -2.903260638087e+00      -4.563526959260e+00      -4.563746735766e+00      -2.860146488878e+00      -4.563200889223e+00       4.603354798684e-01       4.603389731077e-01 
       5.907643344400e-04      -2.834292727941e+00      -4.965360520209e+00      -4.965635814952e+00      -2.789531140388e+00      -4.964937599711e+00       4.600864908180e-01       4.600942497302e-01 
       6.299448092965e-04      -2.758494868143e+00      -5.422844539677e+00      -5.423188267714e+00      -2.713927670020e+00      -5.422316820986e+00       4.598130603334e-01       4.598236519145e-01 
       6.718265407378e-04      -2.683134103487e+00      -5.943808507249e+00      -5.944236145173e+00      -2.641122462867e+00      -5.943170083012e+00       4.595132069231e-01       4.595251330521e-01 
       7.165860532352e-04      -2.616690674494e+00      -6.536950189919e+00      -6.537480079547e+00      -2.579953279359e+00      -6.536197532456e+00       4.591844779341e-01       4.591963075049e-01 
       7.643905052204e-04      -2.567279575897e+00      -7.211829722714e+00      -7.212483238593e+00      -2.538556186467e+00      -7.210961409235e+00       4.588244451825e-01       4.588349729560e-01 
       8.153921621100e-04      -2.540314436445e+00      -7.978823518418e+00      -7.979625162666e+00      -2.521844034708e+00      -7.977839175866e+00       4.584305355533e-01       4.584389417234e-01 
       8.697226559257e-04      -2.535908299687e+00      -8.849033366431e+00      -8.850010868437e+00      -2.528779846688e+00      -8.847931841743e+00       4.579997851565e-01       4.580057550560e-01 
       9.274874509320e-04      -2.547062182833e+00      -9.834158706186e+00      -9.835342580273e+00      -2.550595672205e+00      -9.832935274007e+00       4.575295042522e-01       4.575332606268e-01 
       9.887609998824e-04      -2.560068406649e+00      -1.094631619406e+01      -1.094773944949e+01      -2.571481234508e+00      -1.094496010514e+01       4.570169233905e-01       4.570191335313e-01 
       1.053583075995e-03      -2.558303485774e+00      -1.219783075336e+01      -1.219952804190e+01      -2.572943370693e+00      -1.219632359902e+01       4.564597188964e-01       4.564612726260e-01 
       1.121956686855e-03      -2.529193133740e+00      -1.360099927142e+01      -1.360300626704e+01      -2.541495452203e+00      -1.359931582264e+01       4.558560344472e-01       4.558577425724e-01 
       1.193847821462e-03      -2.471793110885e+00      -1.516785358207e+01      -1.517020572503e+01      -2.476819814260e+00      -1.516596454573e+01       4.552050678229e-01       4.552073838767e-01 
       1.269187075031e-03      -2.400320528755e+00      -1.690991926232e+01      -1.691265120864e+01      -2.395356785496e+00      -1.690779578298e+01       4.545063415151e-01       4.545092286502e-01 
       1.347872978076e-03      -2.339266968489e+00      -1.883796824623e+01      -1.884111354963e+01      -2.324731289294e+00      -1.883558510656e+01       4.537590402361e-01       4.537620604221e-01 
       1.429776671316e-03      -2.309984681039e+00      -2.096196138983e+01      -2.096555147632e+01      -2.289111414053e+00      -2.095929540363e+01       4.529647388124e-01       4.529673355917e-01 
       1.514747450523e-03      -2.315476653214e+00      -2.329086179731e+01      -2.329492705653e+01      -2.292876862821e+00      -2.328788726848e+01       4.521247444342e-01       4.521265739039e-01 
       1.602618671174e-03      -2.334799818778e+00      -2.583254724929e+01      -2.583711774523e+01      -2.314704186228e+00      -2.582922939673e+01       4.512401902680e-01       4.512413079473e-01 
       1.693213545248e-03      -2.334770941791e+00      -2.859380297604e+01      -2.859891022137e+01      -2.319941786411e+00      -2.859009589539e+01       4.503124535876e-01       4.503132410228e-01 
       1.786350459668e-03      -2.294159489127e+00      -3.158032908809e+01      -3.158600843878e+01      -2.285811997637e+00      -3.157618171379e+01       4.493431421318e-01       4.493440263451e-01 
       1.881847568904e-03      -2.222636812799e+00      -3.479679536509e+01      -3.480308840632e+01      -2.220757752202e+00      -3.479216322059e+01       4.483343451609e-01       4.483355118956e-01 
       1.979526536666e-03      -2.156462277288e+00      -3.824689729976e+01      -3.825385463572e+01      -2.159660514392e+00      -3.824175319911e+01       4.472882893388e-01       4.472895967888e-01 
       2.079215405112e-03      -2.130218271579e+00      -4.193345406038e+01      -4.194113717278e+01      -2.135149523722e+00      -4.192778935081e+01       4.462073877998e-01       4.462085318091e-01 
       2.180750645487e-03      -2.146662529210e+00      -4.585849481155e+01      -4.586697732833e+01      -2.148248516603e+00      -4.585231102610e+01       4.450939713417e-01       4.450947537071e-01 
       2.283978490652e-03      -2.172793097137e+00      -5.002333400888e+01      -5.003270322823e+01      -2.166306795470e+00      -5.001663374540e+01       4.439500299422e-01       4.439505058429e-01 
       2.388755671666e-03      -2.168926572774e+00      -5.442869262450e+01      -5.443904760469e+01      -2.153106125717e+00      -5.442147648055e+01       4.427777570330e-01       4.427781535695e-01 
       2.494949683712e-03      -2.125515092689e+00      -5.907475662167e+01      -5.908620755349e+01      -2.103992773263e+00      -5.906703217348e+01       4.415792117715e-01       4.415797139044e-01 
       2.602438697858e-03      -2.071777199605e+00      -6.396124856637e+01      -6.397391431304e+01      -2.050766352773e+00      -6.395303994962e+01       4.403564736479e-01       4.403570804863e-01 
       2.711111219785e-03      -2.045905639880e+00      -6.908751312857e+01      -6.910151891161e+01      -2.029454285832e+00      -6.907886135273e+01       4.391115967960e-01       4.391121663898e-01 
       2.820865578879e-03      -2.055950439643e+00      -7.445256731337e+01      -7.446804133376e+01      -2.042953558604e+00      -7.444351799127e+01       4.378464963467e-01       4.378469106148e-01 
       2.931609313536e-03      -2.072059788258e+00      -8.005515475383e+01      -8.007222409544e+01      -2.058104640107e+00      -8.004574345455e+01       4.365628502052e-01       4.365631274019e-01 
       3.043258502730e-03      -2.058984150626e+00      -8.589381983443e+01      -8.591260948401e+01      -2.041387264143e+00      -8.588407030736e+01       4.352624361621e-01       4.352626784269e-01 
