# Matter power spectrum P(k) at redshift z=0
# for k=1.024e-05 to 131.393 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.024000332904e-05       6.237953895408e+01 
       2.280552461713e-05       1.342146421081e+02 
       3.541321842686e-05       2.053278235840e+02 
       4.809536248710e-05       2.756327903877e+02 
       6.088474376952e-05       3.456837843756e+02 
       7.381493674943e-05       4.159647829000e+02 
       8.692059016445e-05       4.866964548062e+02 
       1.002377259138e-04       5.581320019660e+02 
       1.138040537698e-04       6.304676577816e+02 
       1.276593056052e-04       7.039961450295e+02 
       1.418455928511e-04       7.789271480322e+02 
       1.564077908683e-04       8.555075167692e+02 
       1.713939537924e-04       9.340047956874e+02 
       1.868557631539e-04       1.014680377282e+03 
       2.028490131011e-04       1.097810562555e+03 
       2.194341342760e-04       1.183701750407e+03 
       2.366767571814e-04       1.272679584533e+03 
       2.546483140752e-04       1.365088218395e+03 
       2.734266758359e-04       1.461308115488e+03 
       2.930968166060e-04       1.561738250386e+03 
       3.137514940720e-04       1.666818100491e+03 
       3.354919266398e-04       1.777019655861e+03 
       3.584284402242e-04       1.892857789213e+03 
       3.826810466122e-04       2.014879279420e+03 
       4.083799022941e-04       2.143673566911e+03 
       4.356655814603e-04       2.279866774201e+03 
       4.646890802524e-04       2.424126939749e+03 
       4.956114527848e-04       2.577152733726e+03 
       5.286029654524e-04       2.739669022379e+03 
       5.638416484241e-04       2.912417981021e+03 
       6.015111271569e-04       3.096146412158e+03 
       6.417976383870e-04       3.291586434240e+03 
       6.848861804694e-04       3.499435842059e+03 
       7.309558213851e-04       3.720333351487e+03 
       7.801742889150e-04       3.954831546455e+03 
       8.326920888000e-04       4.203365792970e+03 
       8.886365212960e-04       4.466230943364e+03 
       9.481060689878e-04       4.743554409789e+03 
       1.011165679607e-03       5.035275473512e+03 
       1.077843441892e-03       5.341138623620e+03 
       1.148129039684e-03       5.660691483665e+03 
       1.221974180741e-03       5.993294249955e+03 
       1.299294965623e-03       6.338139260681e+03 
       1.379975935554e-03       6.694235621197e+03 
       1.463875362660e-03       7.060561385715e+03 
       1.550831252532e-03       7.435995669567e+03 
       1.640667525353e-03       7.819370710356e+03 
       1.733199913602e-03       8.209512429318e+03 
       1.828241233237e-03       8.605263046612e+03 
       1.925605819936e-03       9.005514169466e+03 
       2.025113046725e-03       9.409200858294e+03 
       2.126589938212e-03       9.815331069075e+03 
       2.229872964014e-03       1.022299136484e+04 
       2.334809131420e-03       1.063133914753e+04 
       2.441256510756e-03       1.103961304085e+04 
       2.549084323615e-03       1.144712645244e+04 
       2.658172710728e-03       1.185326105737e+04 
       2.768412278116e-03       1.225747550466e+04 
       2.879703500958e-03       1.265928205694e+04 
       2.991956046557e-03       1.305825570433e+04 
       3.105088062073e-03       1.345402324275e+04 
       3.219025459678e-03       1.384625446362e+04 
       3.333701221479e-03       1.423467096402e+04 
       3.449054738646e-03       1.461901920880e+04 
       3.565031193278e-03       1.499909413847e+04 
       3.681580987298e-03       1.537470626992e+04 
       3.798659219665e-03       1.574571114632e+04 
       3.916225211198e-03       1.611196180905e+04 
       4.034242074984e-03       1.647335712268e+04 
       4.152676329593e-03       1.682980350212e+04 
       4.271497551886e-03       1.718122511772e+04 
       4.390678066053e-03       1.752755723662e+04 
       4.510192665559e-03       1.786875615329e+04 
       4.630018364750e-03       1.820477376557e+04 
       4.750134177111e-03       1.853558625828e+04 
       4.870520917354e-03       1.886118177913e+04 
       4.991161024784e-03       1.918156356510e+04 
       5.112038405596e-03       1.949673381903e+04 
       5.233138292024e-03       1.980666309925e+04 
       5.354447116461e-03       2.011140529425e+04 
       5.475952398867e-03       2.041095899137e+04 
       5.597642645989e-03       2.070533670167e+04 
       5.719507261061e-03       2.099457640385e+04 
