# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.742736977395e-10       7.642684273732e-15       5.080225018043e-13       2.853798660430e-19       9.470085708852e-09       5.820800508296e-10      -2.716957178789e-12 
    3       1.629238108714e-10       1.193538157418e-14       6.231372185390e-13       5.709802705559e-19       5.865296063754e-09       4.125340986011e-10      -2.299398009467e-12 
    4       1.523576054851e-10       1.276016102094e-14       6.277010804543e-13       9.521167605380e-19       4.085965070323e-09       3.122751385462e-10      -1.743017488847e-12 
    5       1.442522658795e-10       1.069381618696e-14       5.718895504472e-13       1.429063868713e-18       3.050238591022e-09       2.466890261913e-10      -1.206771538176e-12 
    6       1.384001531855e-10       7.407667473851e-15       4.891626749688e-13       2.002148596388e-18       2.381932049270e-09       2.006864840329e-10      -7.438314097889e-13 
    7       1.343218940696e-10       4.424209383645e-15       4.015747325190e-13       2.671740568174e-18       1.920130147239e-09       1.668363061235e-10      -3.777110542682e-13 
    8       1.316672408351e-10       2.477321240949e-15       3.216469372685e-13       3.438241099546e-18       1.585068158624e-09       1.410946172547e-10      -1.142097368301e-13 
    9       1.300571639008e-10       1.548608254269e-15       2.560702335911e-13       4.302071598058e-18       1.333436895858e-09       1.210487799863e-10       5.271664621911e-14 
   10       1.292655042185e-10       1.237913957952e-15       2.076341651455e-13       5.263661742501e-18       1.139488922951e-09       1.051288808645e-10       1.372876168727e-13 
   11       1.290888808898e-10       1.138893663814e-15       1.762512236627e-13       6.323437889876e-18       9.631260333014e-10       9.257498029882e-11       1.580878877558e-13 
   12       1.293743048550e-10       1.033234064163e-15       1.598769830566e-13       7.481812147481e-18       8.413741634429e-10       8.182203180038e-11       1.367652515289e-13 
   13       1.300229470376e-10       8.908119644091e-16       1.553200015320e-13       8.739172517249e-18       7.414198715485e-10       7.286020249328e-11       9.200706064914e-14 
   14       1.309957362928e-10       7.687987961996e-16       1.589572340750e-13       1.009587447297e-17       6.582678122655e-10       6.546941824781e-11       4.021664583666e-14 
   15       1.321936976123e-10       7.147258260768e-16       1.673549961043e-13       1.155223427000e-17       5.882891071577e-10       5.904140616832e-11      -7.123068250721e-15 
   16       1.335553760608e-10       7.282097517023e-16       1.777428196716e-13       1.310852421426e-17       5.287921545121e-10       5.351523324505e-11      -4.244146836326e-14 
   17       1.350913381074e-10       7.765097632464e-16       1.882187154884e-13       1.476497003517e-17       4.777569738953e-10       4.875717617627e-11      -6.265188201163e-14 
   18       1.367725609455e-10       8.267063196427e-16       1.976393658728e-13       1.652174939794e-17       4.334665578938e-10       4.459775338326e-11      -6.834844300232e-14 
   19       1.385920721072e-10       8.766373897872e-16       2.058105554681e-13       1.837899867625e-17       3.952149206304e-10       4.095638246385e-11      -6.227085189387e-14 
   20       1.404889932473e-10       9.360460947486e-16       2.128865784460e-13       2.033680544627e-17       3.615296106023e-10       3.768551406863e-11      -4.904864549385e-14 
   21       1.424689965219e-10       1.021501586644e-15       2.193188063757e-13       2.239522897464e-17       3.318806943488e-10       3.476404142551e-11      -3.275016782907e-14 
   22       1.445229282961e-10       1.150627218633e-15       2.257243243691e-13       2.455429135775e-17       3.055571577694e-10       3.216596151848e-11      -1.769178341795e-14 
   23       1.466520835356e-10       1.322852387065e-15       2.325684408107e-13       2.681400218032e-17       2.821964980133e-10       2.986254443551e-11      -6.268548778748e-15 
   24       1.488364838253e-10       1.530283703171e-15       2.402214365493e-13       2.917434959637e-17       2.612583966236e-10       2.779444913421e-11      -6.428952976584e-17 
   25       1.510764876987e-10       1.768263774757e-15       2.486665216493e-13       3.163532937617e-17       2.424959273811e-10       2.593041762215e-11       9.845776038999e-16 
   26       1.533620270346e-10       2.032947121005e-15       2.576660973955e-13       3.419693405761e-17       2.255688291438e-10       2.423206704126e-11      -2.157069312710e-15 
   27       1.556961980231e-10       2.324797260530e-15       2.667945123198e-13       3.685917848820e-17       2.102740557588e-10       2.269126581767e-11      -7.926138675028e-15 
   28       1.580746923348e-10       2.645047045865e-15       2.755041958055e-13       3.962209276952e-17       1.963481018429e-10       2.129713609229e-11      -1.440174417112e-14 
   29       1.605042511833e-10       2.992408048421e-15       2.833498983143e-13       4.248575235366e-17       1.837195610290e-10       2.003861847651e-11      -2.037360637393e-14 
   30       1.629802226934e-10       3.364175009855e-15       2.898431105964e-13       4.545026024524e-17       1.722523317541e-10       1.888994789476e-11      -2.465690216030e-14 
   31       1.654863539477e-10       3.757970686633e-15       2.944990914666e-13       4.851574670295e-17       1.617119911883e-10       1.781617849835e-11      -2.614459321065e-14 
   32       1.680298559184e-10       4.176353207715e-15       2.972241296591e-13       5.168239062936e-17       1.520440376768e-10       1.681631042361e-11      -2.501358236708e-14 
   33       1.706165168323e-10       4.624012060020e-15       2.980767074748e-13       5.495041247106e-17       1.431802007798e-10       1.589451475160e-11      -2.199196766063e-14 
   34       1.732431683896e-10       5.105849271162e-15       2.971672248533e-13       5.832006870784e-17       1.349964902420e-10       1.504889653617e-11      -1.797555064651e-14 
   35       1.759082073308e-10       5.624179679427e-15       2.946408814971e-13       6.179163847450e-17       1.274507772106e-10       1.427382407649e-11      -1.370461718400e-14 
   36       1.786026264864e-10       6.180579901004e-15       2.906959927463e-13       6.536543821254e-17       1.204821438089e-10       1.355722113200e-11      -9.997687332019e-15 
   37       1.813129543362e-10       6.776435939261e-15       2.855347177795e-13       6.904180921457e-17       1.139995057434e-10       1.288407120801e-11      -7.640844589456e-15 
   38       1.840448694328e-10       7.412303006919e-15       2.791644598101e-13       7.282105115639e-17       1.079860355199e-10       1.225288938615e-11      -6.676234488003e-15 
   39       1.868060555829e-10       8.088311394392e-15       2.715323314856e-13       7.670347051401e-17       1.024226760016e-10       1.166399058410e-11      -6.878531338323e-15 
   40       1.895991362777e-10       8.804313664081e-15       2.625772574573e-13       8.068940057116e-17       9.725639064779e-11       1.111473220327e-11      -7.937635410169e-15 
   41       1.924231312354e-10       9.560101552034e-15       2.522131851598e-13       8.477917043659e-17       9.241862529723e-11       1.060074236609e-11      -9.484716247863e-15 
   42       1.952797952523e-10       1.035618696197e-14       2.402741849369e-13       8.897299583641e-17       8.789504606200e-11       1.012073842996e-11      -1.119521705715e-14 
   43       1.981683633524e-10       1.119324344551e-14       2.265500490846e-13       9.327105566235e-17       8.367351514589e-11       9.672819902497e-12      -1.270910459457e-14 
   44       2.010832566370e-10       1.207188975593e-14       2.107987800601e-13       9.767352108321e-17       7.972316121367e-11       9.252938550818e-12      -1.359778932754e-14 
   45       2.040174771781e-10       1.299267985821e-14       1.928042906207e-13       1.021805261770e-16       7.600537919437e-11       8.856286662184e-12      -1.348941800964e-14 
   46       2.069750449650e-10       1.395607565035e-14       1.725746274631e-13       1.067920706495e-16       7.251426355155e-11       8.482353858937e-12      -1.249851226902e-14 
   47       2.099615269738e-10       1.496246157342e-14       1.501997222162e-13       1.115080870998e-16       6.924572757108e-11       8.131095418717e-12      -1.091821101177e-14 
   48       2.129803074573e-10       1.601214824429e-14       1.257983673624e-13       1.163284651649e-16       6.618531133098e-11       7.801429931025e-12      -9.105756315174e-15 
   49       2.160323667597e-10       1.710536937980e-14       9.951971850481e-14       1.212530493118e-16       6.330741053247e-11       7.491160437118e-12      -7.486072564646e-15 
   50       2.191171297511e-10       1.824231462224e-14       7.150444652496e-14       1.262816359257e-16       6.058297900373e-11       7.197662460606e-12      -6.450454229776e-15 
   51       2.222357957789e-10       1.942324565593e-14       4.175227748416e-14       1.314139687658e-16       5.800689012406e-11       6.920351224494e-12      -6.011905682821e-15 
   52       2.253885302616e-10       2.064840629243e-14       1.022109468679e-14       1.366497384595e-16       5.557666933627e-11       6.658747817785e-12      -6.062434027681e-15 
   53       2.285733072711e-10       2.191798797056e-14      -2.313624083846e-14       1.419885809108e-16       5.328430602195e-11       6.411729080448e-12      -6.468439028152e-15 
   54       2.317857386823e-10       2.323212837009e-14      -5.837228689991e-14       1.474300750592e-16       5.111588109359e-11       6.177484832286e-12      -7.069356180869e-15 
   55       2.350211253580e-10       2.459087179489e-14      -9.553826878138e-14       1.529737886773e-16       4.905580403612e-11       5.954051552844e-12      -7.708346583319e-15 
   56       2.382815988135e-10       2.599404197366e-14      -1.346609526391e-13       1.586194342195e-16       4.710160977773e-11       5.741166658251e-12      -8.336403096042e-15 
   57       2.415704544365e-10       2.744133523191e-14      -1.757607215685e-13       1.643667477643e-16       4.525218537777e-11       5.538799949552e-12      -8.931729621766e-15 
   58       2.448900024489e-10       2.893235314067e-14      -2.188583356737e-13       1.702154440064e-16       4.350329401182e-11       5.346597650426e-12      -9.469854206895e-15 
   59       2.482414836286e-10       3.046659964066e-14      -2.639750501380e-13       1.761652158877e-16       4.184738215269e-11       5.163862095177e-12      -9.923520690877e-15 
   60       2.516249850323e-10       3.204347816648e-14      -3.111327332954e-13       1.822157342275e-16       4.027338675154e-11       4.989531416734e-12      -1.026258035558e-14 
   61       2.550401696427e-10       3.366236808154e-14      -3.603495879927e-13       1.883667150672e-16       3.876980215170e-11       4.822494096344e-12      -1.046372962053e-14 
   62       2.584888473556e-10       3.532288053749e-14      -4.116259263017e-13       1.946181402028e-16       3.733512147978e-11       4.662661069203e-12      -1.054252239938e-14 
   63       2.619728341526e-10       3.702465520334e-14      -4.649553967760e-13       2.009700857231e-16       3.596940744231e-11       4.510099315609e-12      -1.052838369147e-14 
   64       2.654931318047e-10       3.876728567020e-14      -5.203290783926e-13       2.074226604081e-16       3.467115178448e-11       4.364708739068e-12      -1.045559761490e-14 
   65       2.690498694192e-10       4.055031909191e-14      -5.777354591182e-13       2.139760075078e-16       3.343718590011e-11       4.226212479211e-12      -1.036351146354e-14 
   66       2.726422449883e-10       4.237325582567e-14      -6.371604144761e-13       2.206303065216e-16       3.226259144158e-11       4.094147224689e-12      -1.029673976391e-14 
   67       2.762684669359e-10       4.423554907272e-14      -6.985871861126e-13       2.273857749774e-16       3.114061092972e-11       3.967853526090e-12      -1.030536833222e-14 
   68       2.799266744651e-10       4.613650555925e-14      -7.619935696769e-13       2.342426615021e-16       3.006444928140e-11       3.846659003112e-12      -1.043205783695e-14 
   69       2.836180458115e-10       4.807496501354e-14      -8.273428646939e-13       2.412012194258e-16       2.903330209392e-11       3.730492727196e-12      -1.066986390354e-14 
   70       2.873442176911e-10       5.004955479845e-14      -8.945910439682e-13       2.482617310008e-16       2.804739387787e-11       3.619378498660e-12      -1.099619756026e-14 
   71       2.911063294062e-10       5.205878028626e-14      -9.636892908748e-13       2.554245171654e-16       2.710615492289e-11       3.513248298749e-12      -1.138504087370e-14 
