# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.742730991069e-10       7.642398893820e-15       5.080225076636e-13       0.000000000000e+00       9.470085708852e-09       5.820800508296e-10      -2.716957178789e-12 
    3       1.629226162624e-10       1.193481059345e-14       6.231372446227e-13       0.000000000000e+00       5.865296063754e-09       4.125340986011e-10      -2.299398009467e-12 
    4       1.523556203066e-10       1.275920890195e-14       6.277011552944e-13       0.000000000000e+00       4.085965070323e-09       3.122751385462e-10      -1.743017488847e-12 
    5       1.442492988986e-10       1.069238711547e-14       5.718897206354e-13       0.000000000000e+00       3.050238591022e-09       2.466890261913e-10      -1.206771538176e-12 
    6       1.383960172176e-10       7.405665304524e-15       4.891630089019e-13       0.000000000000e+00       2.381932049270e-09       2.006864840329e-10      -7.438314097889e-13 
    7       1.343164065735e-10       4.421537594979e-15       4.015753236833e-13       0.000000000000e+00       1.920130147239e-09       1.668363061235e-10      -3.777110542682e-13 
    8       1.316602244039e-10       2.473882900748e-15       3.216479070087e-13       0.000000000000e+00       1.585068158624e-09       1.410946172547e-10      -1.142097368301e-13 
    9       1.300484466385e-10       1.544305996560e-15       2.560717333310e-13       0.000000000000e+00       1.333436895858e-09       1.210487799863e-10       5.271664621911e-14 
   10       1.292549200005e-10       1.232649971962e-15       2.076363780486e-13       0.000000000000e+00       1.139488922951e-09       1.051288808645e-10       1.372876168727e-13 
   11       1.290762695052e-10       1.132569695260e-15       1.762543657404e-13       0.000000000000e+00       9.631260333014e-10       9.257498029882e-11       1.580878877558e-13 
   12       1.293595120342e-10       1.025751428775e-15       1.598813037516e-13       0.000000000000e+00       8.413741634429e-10       8.182203180038e-11       1.367652515289e-13 
   13       1.300058243718e-10       8.820715732278e-16       1.553257838196e-13       0.000000000000e+00       7.414198715485e-10       7.286020249328e-11       9.200706064914e-14 
   14       1.309761410566e-10       7.587011918910e-16       1.589647941415e-13       0.000000000000e+00       6.582678122655e-10       6.546941824781e-11       4.021664583666e-14 
   15       1.321714925005e-10       7.031712291836e-16       1.673646826700e-13       0.000000000000e+00       5.882891071577e-10       5.904140616832e-11      -7.123068250721e-15 
   16       1.335304288556e-10       7.150981154955e-16       1.777550130342e-13       0.000000000000e+00       5.287921545121e-10       5.351523324505e-11      -4.244146836326e-14 
   17       1.350635212930e-10       7.617408356190e-16       1.882338263650e-13       0.000000000000e+00       4.777569738953e-10       4.875717617627e-11      -6.265188201163e-14 
   18       1.367417512799e-10       8.101797110018e-16       1.976578340785e-13       0.000000000000e+00       4.334665578938e-10       4.459775338326e-11      -6.834844300232e-14 
   19       1.385581502163e-10       8.582526410851e-16       2.058328487294e-13       0.000000000000e+00       3.952149206304e-10       4.095638246385e-11      -6.227085189387e-14 
   20       1.404518431348e-10       9.157027546670e-16       2.129131908068e-13       0.000000000000e+00       3.615296106023e-10       3.768551406863e-11      -4.904864549385e-14 
   21       1.424285052153e-10       9.990992780506e-16       2.193502571947e-13       0.000000000000e+00       3.318806943488e-10       3.476404142551e-11      -3.275016782907e-14 
   22       1.444789853983e-10       1.126065715169e-15       2.257611568517e-13       0.000000000000e+00       3.055571577694e-10       3.216596151848e-11      -1.769178341795e-14 
   23       1.466045809616e-10       1.296031673054e-15       2.326112211773e-13       0.000000000000e+00       2.821964980133e-10       2.986254443551e-11      -6.268548778748e-15 
   24       1.487853154435e-10       1.501104043926e-15       2.402707527290e-13       0.000000000000e+00       2.612583966236e-10       2.779444913421e-11      -6.428952976584e-17 
   25       1.510215492154e-10       1.736625763316e-15       2.487229825819e-13       0.000000000000e+00       2.424959273811e-10       2.593041762215e-11       9.845776038999e-16 
   26       1.533032157602e-10       1.998751737911e-15       2.577303318440e-13       0.000000000000e+00       2.255688291438e-10       2.423206704126e-11      -2.157069312710e-15 
   27       1.556334128668e-10       2.287945910767e-15       2.668671680568e-13       0.000000000000e+00       2.102740557588e-10       2.269126581767e-11      -7.926138675028e-15 
   28       1.580078337250e-10       2.605441604485e-15       2.755859383386e-13       0.000000000000e+00       1.963481018429e-10       2.129713609229e-11      -1.440174417112e-14 
   29       1.604332213242e-10       2.949950870698e-15       2.834414095600e-13       0.000000000000e+00       1.837195610290e-10       2.003861847651e-11      -2.037360637393e-14 
   30       1.629049255851e-10       3.318768968316e-15       2.899450873259e-13       0.000000000000e+00       1.722523317541e-10       1.888994789476e-11      -2.465690216030e-14 
   31       1.654066954204e-10       3.709519208158e-15       2.946122432838e-13       0.000000000000e+00       1.617119911883e-10       1.781617849835e-11      -2.614459321065e-14 
   32       1.679457440499e-10       4.124760271380e-15       2.973491757554e-13       0.000000000000e+00       1.520440376768e-10       1.681631042361e-11      -2.501358236708e-14 
   33       1.705278621586e-10       4.569182218053e-15       2.982143739462e-13       0.000000000000e+00       1.431802007798e-10       1.589451475160e-11      -2.199196766063e-14 
   34       1.731498840805e-10       5.047687676250e-15       2.973182414526e-13       0.000000000000e+00       1.349964902420e-10       1.504889653617e-11      -1.797555064651e-14 
   35       1.758102095092e-10       5.562592102791e-15       2.948059757689e-13       0.000000000000e+00       1.274507772106e-10       1.427382407649e-11      -1.370461718400e-14 
   36       1.784998344963e-10       6.115472754268e-15       2.908758855564e-13       0.000000000000e+00       1.204821438089e-10       1.355722113200e-11      -9.997687332019e-15 
   37       1.812052909428e-10       6.707716310789e-15       2.857301180724e-13       0.000000000000e+00       1.139995057434e-10       1.288407120801e-11      -7.640844589456e-15 
   38       1.839322608306e-10       7.339878744100e-15       2.793760550387e-13       0.000000000000e+00       1.079860355199e-10       1.225288938615e-11      -6.676234488003e-15 
   39       1.866884315713e-10       8.012091154118e-15       2.717607804862e-13       0.000000000000e+00       1.024226760016e-10       1.166399058410e-11      -6.878531338323e-15 
   40       1.894764305128e-10       8.724206950645e-15       2.628231840935e-13       0.000000000000e+00       9.725639064779e-11       1.111473220327e-11      -7.937635410169e-15 
   41       1.922952813386e-10       9.476018787445e-15       2.524771704721e-13       0.000000000000e+00       9.241862529723e-11       1.060074236609e-11      -9.484716247863e-15 
   42       1.951467423802e-10       1.026803966670e-14       2.405567549545e-13       0.000000000000e+00       8.789504606200e-11       1.012073842996e-11      -1.119521705715e-14 
   43       1.980300521651e-10       1.110094434442e-14       2.268516650483e-13       0.000000000000e+00       8.367351514589e-11       9.672819902497e-12      -1.270910459457e-14 
   44       2.009396354246e-10       1.197535285668e-14       2.111198293315e-13       0.000000000000e+00       7.972316121367e-11       9.252938550818e-12      -1.359778932754e-14 
   45       2.038684977968e-10       1.289182057441e-14       1.931450775339e-13       0.000000000000e+00       7.600537919437e-11       8.856286662184e-12      -1.348941800964e-14 
   46       2.068206621090e-10       1.385081106980e-14       1.729353648957e-13       0.000000000000e+00       7.251426355155e-11       8.482353858937e-12      -1.249851226902e-14 
   47       2.098016979281e-10       1.485271062819e-14       1.505805219933e-13       0.000000000000e+00       6.924572757108e-11       8.131095418717e-12      -1.091821101177e-14 
   48       2.128149920325e-10       1.589783184629e-14       1.261992299875e-13       0.000000000000e+00       6.618531133098e-11       7.801429931025e-12      -9.105756315174e-15 
   49       2.158615272240e-10       1.698641056091e-14       9.994052252074e-14       0.000000000000e+00       6.330741053247e-11       7.491160437118e-12      -7.486072564646e-15 
   50       2.189407306795e-10       1.811863869605e-14       7.194494032600e-14       0.000000000000e+00       6.058297900373e-11       7.197662460606e-12      -6.450454229776e-15 
   51       2.220538036323e-10       1.929478044057e-14       4.221208012836e-14       0.000000000000e+00       5.800689012406e-11       6.920351224494e-12      -6.011905682821e-15 
   52       2.252009131590e-10       2.051508229679e-14       1.069968951088e-14       0.000000000000e+00       5.557666933627e-11       6.658747817785e-12      -6.062434027681e-15 
   53       2.283800348299e-10       2.177973856998e-14      -2.263951544481e-14       0.000000000000e+00       5.328430602195e-11       6.411729080448e-12      -6.468439028152e-15 
   54       2.315867818534e-10       2.308888998744e-14      -5.785824695753e-14       0.000000000000e+00       5.111588109359e-11       6.177484832286e-12      -7.069356180869e-15 
   55       2.348164564450e-10       2.444258401972e-14      -9.500788931301e-14       0.000000000000e+00       4.905580403612e-11       5.954051552844e-12      -7.708346583319e-15 
   56       2.380711921160e-10       2.584064746512e-14      -1.341153556831e-13       0.000000000000e+00       4.710160977773e-11       5.741166658251e-12      -8.336403096042e-15 
   57       2.413542864142e-10       2.728277979357e-14      -1.752011770681e-13       0.000000000000e+00       4.525218537777e-11       5.538799949552e-12      -8.931729621766e-15 
   58       2.446680517094e-10       2.876858586048e-14      -2.182862671529e-13       0.000000000000e+00       4.350329401182e-11       5.346597650426e-12      -9.469854206895e-15 
   59       2.480137309167e-10       3.029757303369e-14      -2.633920404163e-13       0.000000000000e+00       4.184738215269e-11       5.163862095177e-12      -9.923520690877e-15 
   60       2.513914132209e-10       3.186914832032e-14      -3.105405302404e-13       0.000000000000e+00       4.027338675154e-11       4.989531416734e-12      -1.026258035558e-14 
   61       2.548007640533e-10       3.348269462796e-14      -3.597501063432e-13       0.000000000000e+00       3.876980215170e-11       4.822494096344e-12      -1.046372962053e-14 
   62       2.582435971496e-10       3.513782605099e-14      -4.110212365833e-13       0.000000000000e+00       3.733512147978e-11       4.662661069203e-12      -1.054252239938e-14 
   63       2.617217328964e-10       3.683418504844e-14      -4.643477242820e-13       0.000000000000e+00       3.596940744231e-11       4.510099315609e-12      -1.052838369147e-14 
   64       2.652361777385e-10       3.857136801093e-14      -5.197208057920e-13       0.000000000000e+00       3.467115178448e-11       4.364708739068e-12      -1.045559761490e-14 
   65       2.687870657387e-10       4.034892489851e-14      -5.771291289767e-13       0.000000000000e+00       3.343718590011e-11       4.226212479211e-12      -1.036351146354e-14 
   66       2.723736001372e-10       4.216635887832e-14      -6.365587316892e-13       0.000000000000e+00       3.226259144158e-11       4.094147224689e-12      -1.029673976391e-14 
   67       2.759939949112e-10       4.402312596242e-14      -6.979930202522e-13       0.000000000000e+00       3.114061092972e-11       3.967853526090e-12      -1.030536833222e-14 
   68       2.796463950377e-10       4.591853554045e-14      -7.614099593743e-13       0.000000000000e+00       3.006444928140e-11       3.846659003112e-12      -1.043205783695e-14 
   69       2.833319844470e-10       4.785142938344e-14      -8.267730288100e-13       0.000000000000e+00       2.903330209392e-11       3.730492727196e-12      -1.066986390354e-14 
   70       2.870524057310e-10       4.982043664814e-14      -8.940383872013e-13       0.000000000000e+00       2.804739387787e-11       3.619378498660e-12      -1.099619756026e-14 
   71       2.908088043488e-10       5.182406438215e-14      -9.631574073332e-13       0.000000000000e+00       2.710615492289e-11       3.513248298749e-12      -1.138504087370e-14 
   72       2.946017952174e-10       5.386069462705e-14      -1.034076583295e-12       0.000000000000e+00       2.620818026873e-11       3.411937535893e-12      -1.180681595471e-14 
   73       2.984314293014e-10       5.592858152147e-14      -1.106737437639e-12       0.000000000000e+00       2.535118867622e-11       3.315180291974e-12      -1.222825396444e-14 
   74       3.022971602038e-10       5.802584840417e-14      -1.181076428543e-12       0.000000000000e+00       2.453198159826e-11       3.222604568589e-12      -1.261226412019e-14 
   75       3.061978107559e-10       6.015048491720e-14      -1.257024856971e-12       0.000000000000e+00       2.374640215089e-11       3.133727533311e-12      -1.291780270144e-14 
   76       3.101322017195e-10       6.230051098171e-14      -1.334518785092e-12       0.000000000000e+00       2.299036502987e-11       3.048075921632e-12      -1.310923450740e-14 
   77       3.141012441048e-10       6.447450965072e-14      -1.413531084850e-12       0.000000000000e+00       2.226325378097e-11       2.965583098806e-12      -1.318667762871e-14 
   78       3.181061694707e-10       6.667118661298e-14      -1.494045092091e-12       0.000000000000e+00       2.156507137517e-11       2.886256103964e-12      -1.316097991021e-14 
   79       3.221478821495e-10       6.888921245683e-14      -1.576045224393e-12       0.000000000000e+00       2.089540546215e-11       2.810054765948e-12      -1.304478002588e-14 
   80       3.262269394140e-10       7.112722319516e-14      -1.659517093513e-12       0.000000000000e+00       2.025340930189e-11       2.736889515988e-12      -1.285257113528e-14 
   81       3.303435316452e-10       7.338382079037e-14      -1.744447617845e-12       0.000000000000e+00       1.963778269626e-11       2.666619200389e-12      -1.260076453980e-14 
   82       3.344974624995e-10       7.565757367928e-14      -1.830825134861e-12       0.000000000000e+00       1.904675292068e-11       2.599048893207e-12      -1.230775333912e-14 
   83       3.386881290760e-10       7.794701729815e-14      -1.918639513565e-12       0.000000000000e+00       1.847805565570e-11       2.533927708939e-12      -1.199397608754e-14 
   84       3.429148619140e-10       8.025059090269e-14      -2.007871336894e-12       0.000000000000e+00       1.792948404639e-11       2.471009468601e-12      -1.167826316307e-14 
   85       3.471780531881e-10       8.256643484399e-14      -2.098457142112e-12       0.000000000000e+00       1.740068223215e-11       2.410251044695e-12      -1.136604050731e-14 
   86       3.514781800514e-10       8.489256049145e-14      -2.190318597390e-12       0.000000000000e+00       1.689161556765e-11       2.351643040182e-12      -1.105927793391e-14 
   87       3.558154478529e-10       8.722691041198e-14      -2.283372849308e-12       0.000000000000e+00       1.640201955130e-11       2.295148744322e-12      -1.076003370687e-14 
   88       3.601897763523e-10       8.956735782425e-14      -2.377532451607e-12       0.000000000000e+00       1.593139030522e-11       2.240703001715e-12      -1.047045572149e-14 
   89       3.646007859355e-10       9.191170605299e-14      -2.472705293942e-12       0.000000000000e+00       1.547897505524e-11       2.188211081345e-12      -1.019278268531e-14 
   90       3.690477838288e-10       9.425768798327e-14      -2.568794530632e-12       0.000000000000e+00       1.504376261084e-11       2.137547545623e-12      -9.929345299080e-15 
   91       3.735297503144e-10       9.660296551481e-14      -2.665698509409e-12       0.000000000000e+00       1.462447384517e-11       2.088555119423e-12      -9.682567437704e-15 
   92       3.780453249452e-10       9.894512901621e-14      -2.763310700176e-12       0.000000000000e+00       1.421955217500e-11       2.041043559131e-12      -9.454967331178e-15 
   93       3.825932174638e-10       1.012817870485e-13      -2.861528336105e-12       0.000000000000e+00       1.382753207315e-11       1.994836345307e-12      -9.248572951834e-15 
   94       3.871735411973e-10       1.036108521568e-13      -2.960279978370e-12       0.000000000000e+00       1.344822868372e-11       1.949921250316e-12      -9.063065032429e-15 
   95       3.917866556508e-10       1.059302972531e-13      -3.059501984710e-12       0.000000000000e+00       1.308171035599e-11       1.906320430420e-12      -8.897355641745e-15 
   96       3.964327518242e-10       1.082380698603e-13      -3.159130214169e-12       0.000000000000e+00       1.272793228119e-11       1.864044151773e-12      -8.750142324786e-15 
   97       4.011118442563e-10       1.105320928063e-13      -3.259100075435e-12       0.000000000000e+00       1.238673216164e-11       1.823090315930e-12      -8.619901242636e-15 
   98       4.058237630698e-10       1.128102649171e-13      -3.359346575190e-12       0.000000000000e+00       1.205782587993e-11       1.783443985353e-12      -8.504880312310e-15 
   99       4.105681460163e-10       1.150704617103e-13      -3.459804366449e-12       0.000000000000e+00       1.174080316804e-11       1.745076908924e-12      -8.403092346611e-15 
