# Matter power spectrum P(k) at redshift z=0
# for k=1.00946e-05 to 163.221 h/Mpc,
# number of wavenumbers equal to 626
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.009464849392e-05       6.410239231102e+01 
       2.254595584416e-05       1.405380146232e+02 
       3.503816723294e-05       2.148612440252e+02 
       4.760268435468e-05       2.884535487349e+02 
       6.027139435890e-05       3.619277666102e+02 
       7.307693559436e-05       4.354974575526e+02 
       8.605297131448e-05       5.095677449413e+02 
       9.923447476341e-05       5.843623412528e+02 
       1.126580290891e-04       6.600570320339e+02 
       1.263621455605e-04       7.369519384159e+02 
       1.403876035795e-04       8.152866923720e+02 
       1.547778159539e-04       8.953135648011e+02 
       1.695792227905e-04       9.773026975743e+02 
       1.848417171445e-04       1.061512228002e+03 
       2.006191051407e-04       1.148235098742e+03 
       2.169696025972e-04       1.237773474686e+03 
       2.339563691054e-04       1.330467776513e+03 
       2.516480789239e-04       1.426660769834e+03 
       2.701195257346e-04       1.526744656600e+03 
       2.894522550830e-04       1.631114280860e+03 
       3.097352139111e-04       1.740225711255e+03 
       3.310654007132e-04       1.854550241928e+03 
       3.535484922061e-04       1.974610011182e+03 
       3.772994127619e-04       2.100956816668e+03 
       4.024428010618e-04       2.234187716470e+03 
       4.291133146229e-04       2.374936243121e+03 
       4.574556975369e-04       2.523877249736e+03 
       4.876245211381e-04       2.681718494385e+03 
       5.197834934539e-04       2.849196230940e+03 
       5.541042244227e-04       3.027065909222e+03 
       5.907643344400e-04       3.216090432096e+03 
       6.299448092965e-04       3.417022167106e+03 
       6.718265407378e-04       3.630584122766e+03 
       7.165860532352e-04       3.857444314189e+03 
       7.643905052204e-04       4.098190264410e+03 
       8.153921621100e-04       4.353300275541e+03 
       8.697226559257e-04       4.623112441807e+03 
       9.274874509320e-04       4.907802791769e+03 
       9.887609998824e-04       5.207360790658e+03 
       1.053583075995e-03       5.521577457888e+03 
       1.121956686855e-03       5.850040948128e+03 
       1.193847821462e-03       6.192146785862e+03 
       1.269187075031e-03       6.547108090730e+03 
       1.347872978076e-03       6.913951420018e+03 
       1.429776671316e-03       7.291632794071e+03 
       1.514747450523e-03       7.679018376796e+03 
       1.602618671174e-03       8.074909230288e+03 
       1.693213545248e-03       8.478089002586e+03 
       1.786350459668e-03       8.887349021613e+03 
       1.881847568904e-03       9.301517495010e+03 
       1.979526536666e-03       9.719471290073e+03 
       2.079215405112e-03       1.014015705784e+04 
       2.180750645487e-03       1.056259713607e+04 
       2.283978490652e-03       1.098588715696e+04 
       2.388755671666e-03       1.140921115609e+04 
       2.494949683712e-03       1.183182975427e+04 
       2.602438697858e-03       1.225307560487e+04 
       2.711111219785e-03       1.267235688721e+04 
       2.820865578879e-03       1.308914811129e+04 
       2.931609313536e-03       1.350298573809e+04 
       3.043258502730e-03       1.391347312463e+04 
       3.155737080483e-03       1.432024530123e+04 
       3.268976158968e-03       1.472298981307e+04 
       3.382913377512e-03       1.512145039078e+04 
       3.497492288292e-03       1.551538562386e+04 
       3.612661784761e-03       1.590460054048e+04 
       3.728375575478e-03       1.628892389693e+04 
       3.844591703630e-03       1.666820990504e+04 
       3.961272110993e-03       1.704234589011e+04 
       4.078382244082e-03       1.741122102469e+04 
       4.195890699678e-03       1.777476418937e+04 
       4.313768906639e-03       1.813289622647e+04 
       4.431990840826e-03       1.848557838866e+04 
       4.550532770055e-03       1.883276567682e+04 
       4.669373026086e-03       1.917442625715e+04 
       4.788491800896e-03       1.951053330316e+04 
       4.907870964669e-03       1.984111892523e+04 
       5.027493903171e-03       2.016615876479e+04 
       5.147345372394e-03       2.048566461778e+04 
       5.267411368582e-03       2.079964939908e+04 
       5.387679011919e-03       2.110812750726e+04 
       5.508136442378e-03       2.141112838375e+04 
       5.628772726370e-03       2.170868148063e+04 
       5.749577773000e-03       2.200079800905e+04 
       5.870542258865e-03       2.228752888649e+04 
       5.991657560450e-03       2.256890804192e+04 
       6.112915693289e-03       2.284497644376e+04 
       6.234309257161e-03       2.311576750609e+04 
       6.355831386653e-03       2.338132549993e+04 
       6.477475706524e-03       2.364168662529e+04 
       6.599236291355e-03       2.389690987095e+04 
       6.721107629027e-03       2.414705205173e+04 
       6.843084587634e-03       2.439212085827e+04 
       6.965162385466e-03       2.463221241039e+04 
       7.087336563750e-03       2.486734804278e+04 
       7.209602961865e-03       2.509756850954e+04 
       7.331957694789e-03       2.532294310328e+04 
       7.454397132541e-03       2.554358323664e+04 
       7.576917881437e-03       2.575941589241e+04 
       7.699516766966e-03       2.597054155867e+04 
       7.822190818144e-03       2.617702124797e+04 
       7.944937253195e-03       2.637889459730e+04 
       8.067753466432e-03       2.657622387209e+04 
       8.190637016235e-03       2.676905569370e+04 
       8.313585614016e-03       2.695743321626e+04 
       8.436597114079e-03       2.714140535660e+04 
       8.559669504301e-03       2.732102117735e+04 
       8.682800897556e-03       2.749632794394e+04 
       8.805989523813e-03       2.766738274947e+04 
       8.929233722859e-03       2.783423066207e+04 
       9.052531937575e-03       2.799690697039e+04 
       9.175882707736e-03       2.815548220355e+04 
       9.299284664283e-03       2.830999425961e+04 
       9.422736524020e-03       2.846048873651e+04 
       9.546237084713e-03       2.860702088509e+04 
       9.669785220550e-03       2.874962462237e+04 
       9.793379877934e-03       2.888834820668e+04 
       9.917020071586e-03       2.902323825421e+04 
       1.004070488092e-02       2.915433720038e+04 
       1.016443344671e-02       2.928168596013e+04 
       1.028820496794e-02       2.940533191613e+04 
       1.041201869892e-02       2.952531889071e+04 
       1.053587394662e-02       2.964170236212e+04 
       1.065977006814e-02       2.975451632043e+04 
       1.078370646837e-02       2.986380419765e+04 
       1.090768259788e-02       2.996961264111e+04 
       1.103169795086e-02       3.007197718190e+04 
       1.115575206324e-02       3.017094642889e+04 
       1.127984451099e-02       3.026654703609e+04 
       1.140397490846e-02       3.035882910150e+04 
       1.152814290686e-02       3.044782682426e+04 
       1.165234819288e-02       3.053358767195e+04 
       1.177659048739e-02       3.061614688167e+04 
       1.190086954417e-02       3.069554660570e+04 
       1.202518514882e-02       3.077182096120e+04 
       1.214953711769e-02       3.084501525787e+04 
       1.227392529690e-02       3.091515762946e+04 
       1.239834956144e-02       3.098229458498e+04 
       1.252280981431e-02       3.104645798594e+04 
       1.264730598575e-02       3.110759944029e+04 
