# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.00946e-05 to 163.221 h/Mpc,
# number of wavenumbers equal to 626
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_nudm                 5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.009464849392e-05      -2.151104681468e+00      -1.613329020460e+00      -1.613329020488e+00      -2.151104662550e+00      -1.613492563917e+00       4.625504976720e-01       4.624029961070e-01 
       2.254595584416e-05      -2.156319277976e+00      -1.617252238011e+00      -1.617252238754e+00      -2.156318802253e+00      -1.617416174733e+00       4.625462866568e-01       4.623992330930e-01 
       3.503816723294e-05      -2.165491816880e+00      -1.624193369970e+00      -1.624193374394e+00      -2.165489044497e+00      -1.624357988087e+00       4.625397694210e-01       4.623935061260e-01 
       4.760268435468e-05      -2.178609659376e+00      -1.634210630038e+00      -1.634210645175e+00      -2.178600244470e+00      -1.634376199228e+00       4.625309072842e-01       4.623857796660e-01 
       6.027139435890e-05      -2.195662741031e+00      -1.647396334625e+00      -1.647396373600e+00      -2.195638670360e+00      -1.647563098083e+00       4.625186584856e-01       4.623750156633e-01 
       7.307693559436e-05      -2.216629228720e+00      -1.663869537255e+00      -1.663869621483e+00      -2.216577567163e+00      -1.664037701666e+00       4.625039442398e-01       4.623621403189e-01 
       8.605297131448e-05      -2.241487480105e+00      -1.683790056175e+00      -1.683790217847e+00      -2.241388986850e+00      -1.683959781287e+00       4.624856410706e-01       4.623460375196e-01 
       9.923447476341e-05      -2.270198199414e+00      -1.707351587843e+00      -1.707351873358e+00      -2.270025749556e+00      -1.707522973476e+00       4.624638180668e-01       4.623267851728e-01 
       1.126580290891e-04      -2.302703058795e+00      -1.734787022514e+00      -1.734787495645e+00      -2.302419976181e+00      -1.734960093300e+00       4.624392414363e-01       4.623051569083e-01 
       1.263621455605e-04      -2.338922385186e+00      -1.766379217740e+00      -1.766379964390e+00      -2.338480407832e+00      -1.766553905166e+00       4.624110507172e-01       4.622803034379e-01 
       1.403876035795e-04      -2.378739468696e+00      -1.802459767820e+00      -1.802460901867e+00      -2.378076531565e+00      -1.802635888770e+00       4.623790711208e-01       4.622520606927e-01 
       1.547778159539e-04      -2.421992351313e+00      -1.843417746443e+00      -1.843419416098e+00      -2.421030111366e+00      -1.843594976976e+00       4.623429974730e-01       4.622201342251e-01 
       1.695792227905e-04      -2.468460484414e+00      -1.889707680411e+00      -1.889710076799e+00      -2.467101534653e+00      -1.889885524886e+00       4.623022661217e-01       4.621839708873e-01 
       1.848417171445e-04      -2.517845701775e+00      -1.941856452336e+00      -1.941859820204e+00      -2.515970495816e+00      -1.942034206391e+00       4.622568269787e-01       4.621435300564e-01 
       2.006191051407e-04      -2.569758498589e+00      -2.000476928088e+00      -2.000481578492e+00      -2.567222143780e+00      -2.000653634953e+00       4.622061801475e-01       4.620983191091e-01 
       2.169696025972e-04      -2.623693374513e+00      -2.066278821549e+00      -2.066285147941e+00      -2.620322261094e+00      -2.066453220379e+00       4.621500347128e-01       4.620480513870e-01 
       2.339563691054e-04      -2.679004831194e+00      -2.140085531621e+00      -2.140094031174e+00      -2.674593254750e+00      -2.140255997802e+00       4.620874994755e-01       4.619918361488e-01 
       2.516480789239e-04      -2.734883966753e+00      -2.222849262413e+00      -2.222860560382e+00      -2.729191356716e+00      -2.223013738771e+00       4.620183523530e-01       4.619294445315e-01 
       2.701195257346e-04      -2.790328458093e+00      -2.315674766406e+00      -2.315689649174e+00      -2.783077201779e+00      -2.315830685418e+00       4.619414648382e-01       4.618597338612e-01 
       2.894522550830e-04      -2.844123591806e+00      -2.419840126822e+00      -2.419859578957e+00      -2.834998762219e+00      -2.419984324338e+00       4.618567997669e-01       4.617826406069e-01 
       3.097352139111e-04      -2.894815755972e+00      -2.536829044142e+00      -2.536854301214e+00      -2.883466966665e+00      -2.536957668702e+00       4.617629591648e-01       4.616967277201e-01 
       3.310654007132e-04      -2.940713681200e+00      -2.668360235033e+00      -2.668392842908e+00      -2.926761308838e+00      -2.668468654588e+00       4.616594490374e-01       4.616014437176e-01 
       3.535484922061e-04      -2.979892706554e+00      -2.816427417910e+00      -2.816469312362e+00      -2.962939572860e+00      -2.816510133391e+00       4.615449009368e-01       4.614953422084e-01 
       3.772994127619e-04      -3.010247707951e+00      -2.983341357540e+00      -2.983394954960e+00      -2.989899172958e+00      -2.983391930082e+00       4.614184780127e-01       4.613774829713e-01 
       4.024428010618e-04      -3.029575653220e+00      -3.171779383860e+00      -3.171847701626e+00      -3.005470318467e+00      -3.171790398254e+00       4.612788406769e-01       4.612463952229e-01 
       4.291133146229e-04      -3.035734983315e+00      -3.384840280574e+00      -3.384927075154e+00      -3.007589359159e+00      -3.384803357088e+00       4.611249053506e-01       4.611008336854e-01 
       4.574556975369e-04      -3.026871056666e+00      -3.626104260034e+00      -3.626214202109e+00      -2.994540294267e+00      -3.626010149589e+00       4.609551184739e-01       4.609390530905e-01 
       4.876245211381e-04      -3.001742139886e+00      -3.899698273765e+00      -3.899837157122e+00      -2.965298262262e+00      -3.899537062858e+00       4.607680045409e-01       4.607593595915e-01 
       5.197834934539e-04      -2.960122991097e+00      -4.210364030128e+00      -4.210538989791e+00      -2.919947989676e+00      -4.210125457398e+00       4.605619820223e-01       4.605599357693e-01 
       5.541042244227e-04      -2.903260645394e+00      -4.563526961172e+00      -4.563746737690e+00      -2.860146493186e+00      -4.563200891146e+00       4.603354794744e-01       4.603389727136e-01 
       5.907643344400e-04      -2.834292727974e+00      -4.965360520264e+00      -4.965635815006e+00      -2.789531140447e+00      -4.964937599765e+00       4.600864908252e-01       4.600942497374e-01 
       6.299448092965e-04      -2.758494868164e+00      -5.422844539732e+00      -5.423188267770e+00      -2.713927669992e+00      -5.422316821041e+00       4.598130603373e-01       4.598236519184e-01 
       6.718265407378e-04      -2.683134103533e+00      -5.943808507336e+00      -5.944236145257e+00      -2.641122462779e+00      -5.943170083097e+00       4.595132069301e-01       4.595251330590e-01 
       7.165860532352e-04      -2.616690674540e+00      -6.536950190014e+00      -6.537480079641e+00      -2.579953279196e+00      -6.536197532550e+00       4.591844779405e-01       4.591963075113e-01 
       7.643905052204e-04      -2.567279575955e+00      -7.211829722842e+00      -7.212483238718e+00      -2.538556186271e+00      -7.210961409360e+00       4.588244451905e-01       4.588349729641e-01 
       8.153921621100e-04      -2.540314436520e+00      -7.978823518609e+00      -7.979625162849e+00      -2.521844034533e+00      -7.977839176050e+00       4.584305355652e-01       4.584389417353e-01 
       8.697226559257e-04      -2.535908299768e+00      -8.849033366646e+00      -8.850010868645e+00      -2.528779846592e+00      -8.847931841953e+00       4.579997851679e-01       4.580057550674e-01 
       9.274874509320e-04      -2.547062199405e+00      -9.834158703735e+00      -9.835342577806e+00      -2.550595688755e+00      -9.832935271548e+00       4.575295096350e-01       4.575332660092e-01 
       9.887609998824e-04      -2.560068406722e+00      -1.094631619437e+01      -1.094773944979e+01      -2.571481234740e+00      -1.094496010544e+01       4.570169234031e-01       4.570191335438e-01 
       1.053583075995e-03      -2.558303485840e+00      -1.219783075373e+01      -1.219952804227e+01      -2.572943371079e+00      -1.219632359938e+01       4.564597189099e-01       4.564612726396e-01 
       1.121956686855e-03      -2.529193235065e+00      -1.360099927702e+01      -1.360300627270e+01      -2.541495536962e+00      -1.359931582832e+01       4.558560379056e-01       4.558577460307e-01 
       1.193847821462e-03      -2.471793110239e+00      -1.516785358235e+01      -1.517020572530e+01      -2.476819813796e+00      -1.516596454600e+01       4.552050679480e-01       4.552073840019e-01 
       1.269187075031e-03      -2.400320528848e+00      -1.690991926304e+01      -1.691265120934e+01      -2.395356785603e+00      -1.690779578369e+01       4.545063415343e-01       4.545092286693e-01 
       1.347872978076e-03      -2.339266969592e+00      -1.883796824754e+01      -1.884111355091e+01      -2.324731290105e+00      -1.883558510785e+01       4.537590404634e-01       4.537620606493e-01 
       1.429776671316e-03      -2.309984681198e+00      -2.096196139099e+01      -2.096555147744e+01      -2.289111413754e+00      -2.095929540477e+01       4.529647388379e-01       4.529673356172e-01 
       1.514747450523e-03      -2.315476653366e+00      -2.329086179879e+01      -2.329492705797e+01      -2.292876862611e+00      -2.328788726992e+01       4.521247444649e-01       4.521265739346e-01 
       1.602618671174e-03      -2.334799818951e+00      -2.583254725116e+01      -2.583711774704e+01      -2.314704186438e+00      -2.582922939856e+01       4.512401902999e-01       4.512413079791e-01 
       1.693213545248e-03      -2.334770943964e+00      -2.859380298007e+01      -2.859891022534e+01      -2.319941788904e+00      -2.859009589937e+01       4.503124536926e-01       4.503132411277e-01 
       1.786350459668e-03      -2.294159489311e+00      -3.158032909103e+01      -3.158600844165e+01      -2.285811998386e+00      -3.157618171666e+01       4.493431421728e-01       4.493440263861e-01 
       1.881847568904e-03      -2.222636813016e+00      -3.479679536889e+01      -3.480308841001e+01      -2.220757752644e+00      -3.479216322430e+01       4.483343452089e-01       4.483355119436e-01 
       1.979526536666e-03      -2.156462277533e+00      -3.824689730422e+01      -3.825385464007e+01      -2.159660514293e+00      -3.824175320347e+01       4.472882893898e-01       4.472895968398e-01 
       2.079215405112e-03      -2.130218271848e+00      -4.193345406578e+01      -4.194113717805e+01      -2.135149523328e+00      -4.192778935610e+01       4.462073878610e-01       4.462085318703e-01 
       2.180750645487e-03      -2.146662529471e+00      -4.585849481807e+01      -4.586697733468e+01      -2.148248516489e+00      -4.585231103248e+01       4.450939714147e-01       4.450947537800e-01 
       2.283978490652e-03      -2.172793097486e+00      -5.002333401676e+01      -5.003270323591e+01      -2.166306796107e+00      -5.001663375311e+01       4.439500300107e-01       4.439505059113e-01 
       2.388755671666e-03      -2.168926573135e+00      -5.442869263389e+01      -5.443904761384e+01      -2.153106126824e+00      -5.442147648974e+01       4.427777571113e-01       4.427781536477e-01 
       2.494949683712e-03      -2.125515093043e+00      -5.907475663243e+01      -5.908620756400e+01      -2.103992774101e+00      -5.906703218403e+01       4.415792118502e-01       4.415797139832e-01 
       2.602438697858e-03      -2.071777200013e+00      -6.396124857943e+01      -6.397391432577e+01      -2.050766352874e+00      -6.395303996240e+01       4.403564737361e-01       4.403570805745e-01 
       2.711111219785e-03      -2.045905640352e+00      -6.908751314379e+01      -6.910151892645e+01      -2.029454285466e+00      -6.907886136763e+01       4.391115968911e-01       4.391121664849e-01 
       2.820865578879e-03      -2.055950441146e+00      -7.445256734032e+01      -7.446804136026e+01      -2.042953559253e+00      -7.444351801784e+01       4.378464965844e-01       4.378469108524e-01 
       2.931609313536e-03      -2.072059811402e+00      -8.005515477441e+01      -8.007222411543e+01      -2.058104680967e+00      -8.004574347464e+01       4.365628500060e-01       4.365631272025e-01 
       3.043258502730e-03      -2.058984151132e+00      -8.589381985759e+01      -8.591260950658e+01      -2.041387265643e+00      -8.588407033002e+01       4.352624362752e-01       4.352626785400e-01 
       3.155737080483e-03      -2.014180357594e+00      -9.196685472184e+01      -9.198748804295e+01      -1.984060371189e+00      -9.195678833121e+01       4.339466017945e-01       4.339468451205e-01 
       3.268976158968e-03      -1.969620754108e+00      -9.827240709165e+01      -9.829500571508e+01      -1.902960525434e+00      -9.826205215374e+01       4.326168277879e-01       4.326171016631e-01 
       3.382913377512e-03      -1.955057839557e+00      -1.048085413051e+02      -1.048332242094e+02      -1.846675185519e+00      -1.047979358922e+02       4.312746872280e-01       4.312749223066e-01 
       3.497492288292e-03      -1.964261219428e+00      -1.115731332444e+02      -1.116000222855e+02      -1.834404498109e+00      -1.115623197539e+02       4.299212925012e-01       4.299214320041e-01 
       3.612661784761e-03      -1.963197597503e+00      -1.185640112765e+02      -1.185932334008e+02      -1.835469185387e+00      -1.185530270997e+02       4.285578258455e-01       4.285579009050e-01 
       3.728375575478e-03      -1.931092701243e+00      -1.257789063262e+02      -1.258105978186e+02      -1.812701921622e+00      -1.257677890151e+02       4.271852866332e-01       4.271853763716e-01 
       3.844591703630e-03      -1.886407735767e+00      -1.332154845235e+02      -1.332497926584e+02      -1.768403278322e+00      -1.332042851548e+02       4.258046477078e-01       4.258047874033e-01 
       3.961272110993e-03      -1.866401027326e+00      -1.408714001721e+02      -1.409084875910e+02      -1.736704332345e+00      -1.408601943569e+02       4.244169687291e-01       4.244171183710e-01 
       4.078382244082e-03      -1.883435710679e+00      -1.487441905868e+02      -1.487842393031e+02      -1.737093199386e+00      -1.487330755665e+02       4.230229739638e-01       4.230230754801e-01 
       4.195890699678e-03      -1.909678978667e+00      -1.568314586795e+02      -1.568746626338e+02      -1.749751951251e+00      -1.568205349534e+02       4.216235550129e-01       4.216236022749e-01 
       4.313768906639e-03      -1.909118585838e+00      -1.651306719226e+02      -1.651772478312e+02      -1.741833285561e+00      -1.651200492904e+02       4.202192442387e-01       4.202192849939e-01 
       4.431990840826e-03      -1.879446268959e+00      -1.736394058072e+02      -1.736895822202e+02      -1.709071523168e+00      -1.736292037786e+02       4.188108527340e-01       4.188109287344e-01 
       4.550532770055e-03      -1.673372567970e+00      -1.823551378616e+02      -1.824091578210e+02      -1.669595456903e+00      -1.823454646367e+02       4.173988642256e-01       4.173988642256e-01 
       4.669373026086e-03      -1.667698492455e+00      -1.912753489936e+02      -1.913334635315e+02      -1.663934193279e+00      -1.912663930087e+02       4.159835483198e-01       4.159835483198e-01 
       4.788491800896e-03      -1.662016074038e+00      -2.003974958475e+02      -2.004599644497e+02      -1.658264604211e+00      -2.003894131662e+02       4.145661510528e-01       4.145661510528e-01 
       4.907870964669e-03      -1.656327294769e+00      -2.097192927372e+02      -2.097863786987e+02      -1.652588667042e+00      -2.097122433113e+02       4.131471667606e-01       4.131471667606e-01 
       5.027493903171e-03      -1.650632901355e+00      -2.192381331120e+02      -2.193101032267e+02      -1.646907128864e+00      -2.192322806188e+02       4.117267822160e-01       4.117267822160e-01 
       5.147345372394e-03      -1.644934357543e+00      -2.289515696965e+02      -2.290286904113e+02      -1.641221448557e+00      -2.289470782670e+02       4.103053621393e-01       4.103053621393e-01 
       5.267411368582e-03      -1.639233538286e+00      -2.388571307447e+02      -2.389396761082e+02      -1.635533497699e+00      -2.388541716334e+02       4.088833744247e-01       4.088833744247e-01 
       5.387679011919e-03      -1.633531808356e+00      -2.489523380375e+02      -2.490405815297e+02      -1.629844638303e+00      -2.489510827762e+02       4.074611595758e-01       4.074611595758e-01 
       5.508136442378e-03      -1.627830941251e+00      -2.592347766551e+02      -2.593290005181e+02      -1.624156640050e+00      -2.592354048542e+02       4.060391600125e-01       4.060391600125e-01 
       5.628772726370e-03      -1.622132021868e+00      -2.697020216767e+02      -2.698025171085e+02      -1.618470585074e+00      -2.697047211905e+02       4.046176462685e-01       4.046176462685e-01 
       5.749577773000e-03      -1.616435864005e+00      -2.803515206567e+02      -2.804585910314e+02      -1.612787285890e+00      -2.803564903207e+02       4.031968214725e-01       4.031968214725e-01 
       5.870542258865e-03      -1.610744531823e+00      -2.911809567489e+02      -2.912949225478e+02      -1.607108802525e+00      -2.911884104416e+02       4.017772006313e-01       4.017772006313e-01 
       5.991657560450e-03      -1.605056951691e+00      -3.021879039618e+02      -3.023091041602e+02      -1.601434061064e+00      -3.021980717989e+02       4.003585152660e-01       4.003585152660e-01 
       6.112915693289e-03      -1.599375333308e+00      -3.133699856314e+02      -3.134987734349e+02      -1.595765267861e+00      -3.133831103789e+02       3.989413169653e-01       3.989413169653e-01 
       6.234309257161e-03      -1.593700860307e+00      -3.247247638438e+02      -3.248615183790e+02      -1.590103604126e+00      -3.247411107337e+02       3.975259010315e-01       3.975259010315e-01 
