# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.742730990475e-10       7.642398885922e-15       5.080225076859e-13       0.000000000000e+00       9.470088235065e-09       5.820800520811e-10      -2.716957176478e-12 
    3       1.629226162428e-10       1.193481058224e-14       6.231372443333e-13       0.000000000000e+00       5.865297833838e-09       4.125341002271e-10      -2.299398007636e-12 
    4       1.523556202265e-10       1.275920889013e-14       6.277011548158e-13       0.000000000000e+00       4.085966175576e-09       3.122751403515e-10      -1.743017487204e-12 
    5       1.442492987369e-10       1.069238710493e-14       5.718897200637e-13       0.000000000000e+00       3.050239133912e-09       2.466890279330e-10      -1.206771537766e-12 
    6       1.383960171004e-10       7.405665296406e-15       4.891630082209e-13       0.000000000000e+00       2.381932294832e-09       2.006864864635e-10      -7.438314111199e-13 
    7       1.343164064826e-10       4.421537589656e-15       4.015753228936e-13       0.000000000000e+00       1.920130294631e-09       1.668363093865e-10      -3.777110561398e-13 
    8       1.316602241562e-10       2.473882897520e-15       3.216479063304e-13       0.000000000000e+00       1.585068284852e-09       1.410946202891e-10      -1.142097376273e-13 
    9       1.300484462978e-10       1.544305993929e-15       2.560717333553e-13       0.000000000000e+00       1.333437019720e-09       1.210487824365e-10       5.271664661219e-14 
   10       1.292549197210e-10       1.232649969360e-15       2.076363777782e-13       0.000000000000e+00       1.139489048782e-09       1.051288838009e-10       1.372876171444e-13 
   11       1.290762693453e-10       1.132569692589e-15       1.762543652210e-13       0.000000000000e+00       9.631261059679e-10       9.257498255902e-11       1.580878868703e-13 
   12       1.293595116649e-10       1.025751424604e-15       1.598813035799e-13       0.000000000000e+00       8.413742303985e-10       8.182203380050e-11       1.367652497640e-13 
   13       1.300058237673e-10       8.820715687773e-16       1.553257826644e-13       0.000000000000e+00       7.414199335322e-10       7.286020353711e-11       9.200705913159e-14 
   14       1.309761403977e-10       7.587011888733e-16       1.589647930687e-13       0.000000000000e+00       6.582678700983e-10       6.546941936605e-11       4.021664556935e-14 
   15       1.321714919235e-10       7.031712230518e-16       1.673646825459e-13       0.000000000000e+00       5.882891613520e-10       5.904140827990e-11      -7.123066890260e-15 
   16       1.335304283218e-10       7.150981074292e-16       1.777550109533e-13       0.000000000000e+00       5.287922054978e-10       5.351523542163e-11      -4.244146582311e-14 
   17       1.350635203901e-10       7.617408338032e-16       1.882338234890e-13       0.000000000000e+00       4.777570220372e-10       4.875717730106e-11      -6.265187940691e-14 
   18       1.367417500715e-10       8.101797083810e-16       1.976578317052e-13       0.000000000000e+00       4.334666034722e-10       4.459775450490e-11      -6.834844148038e-14 
   19       1.385581488499e-10       8.582526331350e-16       2.058328470043e-13       0.000000000000e+00       3.952149639465e-10       4.095638427816e-11      -6.227085185742e-14 
   20       1.404518416207e-10       9.157027468980e-16       2.129131889857e-13       0.000000000000e+00       3.615296518486e-10       3.768551592315e-11      -4.904864635600e-14 
   21       1.424285035347e-10       9.990992727692e-16       2.193502551295e-13       0.000000000000e+00       3.318807337130e-10       3.476404283887e-11      -3.275016898274e-14 
   22       1.444789835450e-10       1.126065707414e-15       2.257611553075e-13       0.000000000000e+00       3.055571954331e-10       3.216596269842e-11      -1.769178458394e-14 
   23       1.466045789709e-10       1.296031658820e-15       2.326112200390e-13       0.000000000000e+00       2.821965341304e-10       2.986254572574e-11      -6.268549775232e-15 
   24       1.487853133936e-10       1.501104023073e-15       2.402707506473e-13       0.000000000000e+00       2.612584312954e-10       2.779445076111e-11      -6.429021658793e-17 
   25       1.510215471586e-10       1.736625737623e-15       2.487229791204e-13       0.000000000000e+00       2.424959607078e-10       2.593041940336e-11       9.845773047382e-16 
   26       1.533032136847e-10       1.998751710011e-15       2.577303280190e-13       0.000000000000e+00       2.255688612265e-10       2.423206839199e-11      -2.157069242202e-15 
   27       1.556334106634e-10       2.287945881237e-15       2.668671645440e-13       0.000000000000e+00       2.102740866901e-10       2.269126655067e-11      -7.926138417033e-15 
   28       1.580078312089e-10       2.605441571131e-15       2.755859349646e-13       0.000000000000e+00       1.963481316967e-10       2.129713662830e-11      -1.440174404519e-14 
   29       1.604332184481e-10       2.949950831454e-15       2.834414061329e-13       0.000000000000e+00       1.837195898781e-10       2.003861924184e-11      -2.037360651400e-14 
   30       1.629049225460e-10       3.318768922372e-15       2.899450839362e-13       0.000000000000e+00       1.722523596658e-10       1.888994909209e-11      -2.465690235455e-14 
   31       1.654066926250e-10       3.709519155979e-15       2.946122402788e-13       0.000000000000e+00       1.617120182168e-10       1.781618007912e-11      -2.614459295718e-14 
   32       1.679457417288e-10       4.124760213389e-15       2.973491733367e-13       0.000000000000e+00       1.520440638751e-10       1.681631223167e-11      -2.501358145921e-14 
   33       1.705278601933e-10       4.569182154145e-15       2.982143719976e-13       0.000000000000e+00       1.431802261978e-10       1.589451655660e-11      -2.199196645200e-14 
   34       1.731498820213e-10       5.047687605661e-15       2.973182395729e-13       0.000000000000e+00       1.349965149215e-10       1.504889806234e-11      -1.797554997775e-14 
   35       1.758102069681e-10       5.562592024017e-15       2.948059736998e-13       0.000000000000e+00       1.274508011922e-10       1.427382517084e-11      -1.370461757431e-14 
   36       1.784998312986e-10       6.115472664938e-15       2.908758833579e-13       0.000000000000e+00       1.204821671302e-10       1.355722184584e-11      -9.997688639143e-15 
   37       1.812052871350e-10       6.707716207966e-15       2.857301160927e-13       0.000000000000e+00       1.139995284359e-10       1.288407178803e-11      -7.640846045469e-15 
   38       1.839322565194e-10       7.339878626178e-15       2.793760535158e-13       0.000000000000e+00       1.079860576155e-10       1.225289007011e-11      -6.676235397872e-15 
   39       1.866884268781e-10       8.012091021680e-15       2.717607793948e-13       0.000000000000e+00       1.024226975320e-10       1.166399152766e-11      -6.878531334454e-15 
   40       1.894764255733e-10       8.724206806932e-15       2.628231830860e-13       0.000000000000e+00       9.725641164092e-11       1.111473345705e-11      -7.937634536637e-15 
   41       1.922952762914e-10       9.476018637799e-15       2.524771689236e-13       0.000000000000e+00       9.241864577590e-11       1.060074387745e-11      -9.484714939779e-15 
   42       1.951467373197e-10       1.026803951446e-14       2.405567523712e-13       0.000000000000e+00       8.789506604884e-11       1.012074013229e-11      -1.119521575110e-14 
   43       1.980300471181e-10       1.110094418924e-14       2.268516612245e-13       0.000000000000e+00       8.367353466345e-11       9.672821742866e-12      -1.270910359721e-14 
   44       2.009396303362e-10       1.197535269382e-14       2.111198244124e-13       0.000000000000e+00       7.972318028239e-11       9.252940494150e-12      -1.359778878215e-14 
   45       2.038684925441e-10       1.289182039524e-14       1.931450719877e-13       0.000000000000e+00       7.600539783170e-11       8.856288691810e-12      -1.348941789599e-14 
   46       2.068206566118e-10       1.385081086681e-14       1.729353591747e-13       0.000000000000e+00       7.251428177522e-11       8.482355964505e-12      -1.249851251950e-14 
   47       2.098016921906e-10       1.485271039681e-14       1.505805164183e-13       0.000000000000e+00       6.924574539912e-11       8.131097593423e-12      -1.091821154251e-14 
   48       2.128149861585e-10       1.589783158549e-14       1.261992247181e-13       0.000000000000e+00       6.618532878054e-11       7.801432172426e-12      -9.105757024815e-15 
   49       2.158615214339e-10       1.698641027386e-14       9.994051752313e-14       0.000000000000e+00       6.330742761854e-11       7.491162747983e-12      -7.486073333125e-15 
   50       2.189407252823e-10       1.811863838951e-14       7.194493539346e-14       0.000000000000e+00       6.058299573866e-11       7.197664847203e-12      -6.450454926137e-15 
   51       2.220537988499e-10       1.929478012022e-14       4.221207508024e-14       0.000000000000e+00       5.800690652021e-11       6.920353686256e-12      -6.011906203159e-15 
   52       2.252009090592e-10       2.051508196549e-14       1.069968425859e-14       0.000000000000e+00       5.557668540623e-11       6.658750343338e-12      -6.062434311089e-15 
   53       2.283800313008e-10       2.177973822736e-14      -2.263952088107e-14       0.000000000000e+00       5.328432177782e-11       6.411731645969e-12      -6.468439064678e-15 
   54       2.315867785754e-10       2.308888962930e-14      -5.785825243119e-14       0.000000000000e+00       5.111589654626e-11       6.177487399780e-12      -7.069356019869e-15 
   55       2.348164529200e-10       2.444258363851e-14      -9.500789455954e-14       0.000000000000e+00       4.905581919501e-11       5.954054072386e-12      -7.708346326764e-15 
   56       2.380711878857e-10       2.584064705383e-14      -1.341153604161e-13       0.000000000000e+00       4.710162465239e-11       5.741169083434e-12      -8.336402841375e-15 
   57       2.413542811338e-10       2.728277934697e-14      -1.752011810080e-13       0.000000000000e+00       4.525219997808e-11       5.538802242875e-12      -8.931729443371e-15 
   58       2.446680451687e-10       2.876858537545e-14      -2.182862700311e-13       0.000000000000e+00       4.350330834747e-11       5.346599785005e-12      -9.469854151710e-15 
   59       2.480137230621e-10       3.029757250956e-14      -2.633920419792e-13       0.000000000000e+00       4.184739623282e-11       5.163864056541e-12      -9.923520773801e-15 
