# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.742736976811e-10       7.642684268952e-15       5.080225018266e-13       2.853829833035e-19       9.470088235065e-09       5.820800520811e-10      -2.716957176478e-12 
    3       1.629238108537e-10       1.193538156920e-14       6.231372182496e-13       5.709865053178e-19       5.865297833838e-09       4.125341002271e-10      -2.299398007636e-12 
    4       1.523576054079e-10       1.276016101951e-14       6.277010799756e-13       9.521271523307e-19       4.085966175576e-09       3.122751403515e-10      -1.743017487204e-12 
    5       1.442522657224e-10       1.069381619201e-14       5.718895498752e-13       1.429079457354e-18       3.050239133912e-09       2.466890279330e-10      -1.206771537766e-12 
    6       1.384001530747e-10       7.407667487559e-15       4.891626742873e-13       2.002170422025e-18       2.381932294832e-09       2.006864864635e-10      -7.438314111199e-13 
    7       1.343218939871e-10       4.424209407426e-15       4.015747317285e-13       2.671769671315e-18       1.920130294631e-09       1.668363093865e-10      -3.777110561398e-13 
    8       1.316672405983e-10       2.477321275143e-15       3.216469365889e-13       3.438278521066e-18       1.585068284852e-09       1.410946202891e-10      -1.142097376273e-13 
    9       1.300571635736e-10       1.548608298418e-15       2.560702336135e-13       4.302118379190e-18       1.333437019720e-09       1.210487824365e-10       5.271664661219e-14 
   10       1.292655039555e-10       1.237914012531e-15       2.076341648722e-13       5.263718924808e-18       1.139489048782e-09       1.051288838009e-10       1.372876171444e-13 
   11       1.290888807497e-10       1.138893729765e-15       1.762512231394e-13       6.323506515202e-18       9.631261059679e-10       9.257498255902e-11       1.580878868703e-13 
   12       1.293743045091e-10       1.033234141096e-15       1.598769828796e-13       7.481893257889e-18       8.413742303985e-10       8.182203380050e-11       1.367652497640e-13 
   13       1.300229464601e-10       8.908120545865e-16       1.553200003697e-13       8.739267154945e-18       7.414199335322e-10       7.286020353711e-11       9.200705913159e-14 
   14       1.309957356650e-10       7.687989023744e-16       1.589572329932e-13       1.009598368021e-17       6.582678700983e-10       6.546941936605e-11       4.021664556935e-14 
   15       1.321936970707e-10       7.147259447423e-16       1.673549959689e-13       1.155235908901e-17       5.882891613520e-10       5.904140827990e-11      -7.123066890260e-15 
   16       1.335553755670e-10       7.282098850780e-16       1.777428175767e-13       1.310866568711e-17       5.287922054978e-10       5.351523542163e-11      -4.244146582311e-14 
   17       1.350913372493e-10       7.765099205564e-16       1.882187125955e-13       1.476512920371e-17       4.777570220372e-10       4.875717730106e-11      -6.265187940691e-14 
   18       1.367725597870e-10       8.267064948693e-16       1.976393634792e-13       1.652192730369e-17       4.334666034722e-10       4.459775450490e-11      -6.834844148038e-14 
   19       1.385920707960e-10       8.766375794433e-16       2.058105537190e-13       1.837919636032e-17       3.952149639465e-10       4.095638427816e-11      -6.227085185742e-14 
   20       1.404889917940e-10       9.360463053804e-16       2.128865765968e-13       2.033702394930e-17       3.615296518486e-10       3.768551592315e-11      -4.904864635600e-14 
   21       1.424689949079e-10       1.021501821593e-15       2.193188042782e-13       2.239546933674e-17       3.318807337130e-10       3.476404283887e-11      -3.275016898274e-14 
   22       1.445229265154e-10       1.150627473969e-15       2.257243227878e-13       2.455455461847e-17       3.055571954331e-10       3.216596269842e-11      -1.769178458394e-14 
   23       1.466520816237e-10       1.322852659816e-15       2.325684396304e-13       2.681428937864e-17       2.821965341304e-10       2.986254572574e-11      -6.268549775232e-15 
   24       1.488364818607e-10       1.530283994227e-15       2.402214344202e-13       2.917466177069e-17       2.612584312954e-10       2.779445076111e-11      -6.429021658793e-17 
   25       1.510764857339e-10       1.768264086923e-15       2.486665181347e-13       3.163566756436e-17       2.424959607078e-10       2.593041940336e-11       9.845773047382e-16 
   26       1.533620250581e-10       2.032947457942e-15       2.576660935113e-13       3.419729929705e-17       2.255688612265e-10       2.423206839199e-11      -2.157069242202e-15 
   27       1.556961959257e-10       2.324797623838e-15       2.667945087415e-13       3.685957181584e-17       2.102740866901e-10       2.269126655067e-11      -7.926138417033e-15 
   28       1.580746899319e-10       2.645047434374e-15       2.755041923593e-13       3.962251522196e-17       1.963481316967e-10       2.129713662830e-11      -1.440174404519e-14 
   29       1.605042484279e-10       2.992408461087e-15       2.833498948082e-13       4.248620496726e-17       1.837195898781e-10       2.003861924184e-11      -2.037360651400e-14 
   30       1.629802197827e-10       3.364175446886e-15       2.898431071203e-13       4.545074405621e-17       1.722523596658e-10       1.888994909209e-11      -2.465690235455e-14 
   31       1.654863512886e-10       3.757971149510e-15       2.944990883677e-13       4.851626274744e-17       1.617120182168e-10       1.781618007912e-11      -2.614459295718e-14 
   32       1.680298537416e-10       4.176353697876e-15       2.972241271389e-13       5.168293994356e-17       1.520440638751e-10       1.681631223167e-11      -2.501358145921e-14 
   33       1.706165150193e-10       4.624012578373e-15       2.980767054168e-13       5.495099609131e-17       1.431802261978e-10       1.589451655660e-11      -2.199196645200e-14 
   34       1.732431664910e-10       5.105849817953e-15       2.971672228563e-13       5.832068767072e-17       1.349965149215e-10       1.504889806234e-11      -1.797554997775e-14 
   35       1.759082049586e-10       5.624180254162e-15       2.946408793028e-13       6.179229381685e-17       1.274508011922e-10       1.427382517084e-11      -1.370461757431e-14 
   36       1.786026234660e-10       6.180580502314e-15       2.906959904150e-13       6.536613097159e-17       1.204821671302e-10       1.355722184584e-11      -9.997688639143e-15 
   37       1.813129507142e-10       6.776436565212e-15       2.855347156596e-13       6.904254042794e-17       1.139995284359e-10       1.288407178803e-11      -7.640846045469e-15 
   38       1.840448653159e-10       7.412303656905e-15       2.791644581398e-13       7.282182186198e-17       1.079860576155e-10       1.225289007011e-11      -6.676235397872e-15 
   39       1.868060510927e-10       8.088312069991e-15       2.715323302405e-13       7.670428175005e-17       1.024226975320e-10       1.166399152766e-11      -6.878531334454e-15 
   40       1.895991315497e-10       8.804314369527e-15       2.625772562904e-13       8.069025337621e-17       9.725641164092e-11       1.111473345705e-11      -7.937634536637e-15 
   41       1.924231264084e-10       9.560102293656e-15       2.522131834473e-13       8.478006584955e-17       9.241864577590e-11       1.060074387745e-11      -9.484714939779e-15 
   42       1.952797904207e-10       1.035618774409e-14       2.402741821862e-13       8.897393489625e-17       8.789506604884e-11       1.012074013229e-11      -1.119521575110e-14 
   43       1.981683585431e-10       1.119324426877e-14       2.265500450915e-13       9.327203940798e-17       8.367353466345e-11       9.672821742866e-12      -1.270910359721e-14 
   44       2.010832517949e-10       1.207189061655e-14       2.107987749713e-13       9.767455055347e-17       7.972318028239e-11       9.252940494150e-12      -1.359778878215e-14 
   45       2.040174721804e-10       1.299268074853e-14       1.928042849066e-13       1.021816024106e-16       7.600539783170e-11       8.856288691810e-12      -1.348941789599e-14 
   46       2.069750397316e-10       1.395607656383e-14       1.725746215780e-13       1.067931946847e-16       7.251428177522e-11       8.482355964505e-12      -1.249851251950e-14 
   47       2.099615215087e-10       1.496246250644e-14       1.501997164833e-13       1.115092599742e-16       6.924574539912e-11       8.131097593423e-12      -1.091821154251e-14 
   48       2.129803018645e-10       1.601214919678e-14       1.257983619438e-13       1.163296879155e-16       6.618532878054e-11       7.801432172426e-12      -9.105757024815e-15 
   49       2.160323612595e-10       1.710537035587e-14       9.951971336955e-14       1.212543229747e-16       6.330742761854e-11       7.491162747983e-12      -7.486073333125e-15 
   50       2.191171246526e-10       1.824231562960e-14       7.150444146923e-14       1.262829615362e-16       6.058299573866e-11       7.197664847203e-12      -6.450454926137e-15 
   51       2.222357913039e-10       1.942324670116e-14       4.175227233044e-14       1.314153473581e-16       5.800690652021e-11       6.920353686256e-12      -6.011906203159e-15 
   52       2.253885264781e-10       2.064840737935e-14       1.022108934969e-14       1.366511710668e-16       5.557668540623e-11       6.658750343338e-12      -6.062434311089e-15 
   53       2.285733040671e-10       2.191798909971e-14      -2.313624633540e-14       1.419900685652e-16       5.328432177782e-11       6.411731645969e-12      -6.468439064678e-15 
   54       2.317857357383e-10       2.323212953817e-14      -5.837229240667e-14       1.474316187914e-16       5.111589654626e-11       6.177487399780e-12      -7.069356019869e-15 
   55       2.350211221759e-10       2.459087299528e-14      -9.553827402991e-14       1.529753895167e-16       4.905581919501e-11       5.954054072386e-12      -7.708346326764e-15 
   56       2.382815949351e-10       2.599404320023e-14      -1.346609573394e-13       1.586210931947e-16       4.710162465239e-11       5.741169083434e-12      -8.336402841375e-15 
   57       2.415704495170e-10       2.744133648032e-14      -1.757607254372e-13       1.643684659028e-16       4.525219997808e-11       5.538802242875e-12      -8.931729443371e-15 
   58       2.448899962782e-10       2.893235440869e-14      -2.188583384383e-13       1.702172223351e-16       4.350330834747e-11       5.346599785005e-12      -9.469854151710e-15 
   59       2.482414761531e-10       3.046660092852e-14      -2.639750515410e-13       1.761670554324e-16       4.184739623282e-11       5.163864056541e-12      -9.923520773801e-15 
   60       2.516249763778e-10       3.204347947718e-14      -3.111327330987e-13       1.822176360131e-16       4.027340058421e-11       4.989533204703e-12      -1.026258055468e-14 
   61       2.550401600972e-10       3.366236942053e-14      -3.603495859903e-13       1.883686801177e-16       3.876981574381e-11       4.822495723466e-12      -1.046372988073e-14 
   62       2.584888372171e-10       3.532288191001e-14      -4.116259223592e-13       1.946201695420e-16       3.733513483832e-11       4.662662547835e-12      -1.054252266427e-14 
   63       2.619728236832e-10       3.702465661353e-14      -4.649553908495e-13       2.009721803747e-16       3.596942057452e-11       4.510100653932e-12      -1.052838391301e-14 
   64       2.654931212227e-10       3.876728712095e-14      -5.203290705409e-13       2.074248213956e-16       3.467116469762e-11       4.364709940370e-12      -1.045559775501e-14 
   65       2.690498588918e-10       4.055032058464e-14      -5.777354495151e-13       2.139782358548e-16       3.343719860118e-11       4.226213541129e-12      -1.036351149577e-14 
   66       2.726422346225e-10       4.237325736017e-14      -6.371604034234e-13       2.206326032519e-16       3.226260393705e-11       4.094148138423e-12      -1.029673967519e-14 
   67       2.762684567704e-10       4.423555064690e-14      -6.985871740537e-13       2.273881411149e-16       3.114062322525e-11       3.967854275584e-12      -1.030536812467e-14 
   68       2.799266644722e-10       4.613650716942e-14      -7.619935571641e-13       2.342450980709e-16       3.006446138181e-11       3.846659567109e-12      -1.043205752674e-14 
   69       2.836180359339e-10       4.807496665612e-14      -8.273428522052e-13       2.412037274502e-16       2.903331400413e-11       3.730493090625e-12      -1.066986351017e-14 
   70       2.873442078504e-10       5.004955647057e-14      -8.945910318448e-13       2.482643115048e-16       2.804740560299e-11       3.619378656540e-12      -1.099619710359e-14 
   71       2.911063195012e-10       5.205878198579e-14      -9.636892793023e-13       2.554271711730e-16       2.710616646814e-11       3.513248257388e-12      -1.138504037378e-14 
   72       2.949049793309e-10       5.410102369404e-14      -1.034583895541e-12       2.626926676355e-16       2.620819163927e-11       3.411937314143e-12      -1.180681543171e-14 
   73       2.987402315304e-10       5.617453431645e-14      -1.107216206462e-12       2.700612038721e-16       2.535119987701e-11       3.315179922520e-12      -1.222825343844e-14 
   74       3.026115226174e-10       5.827743591278e-14      -1.181522470096e-12       2.775332262177e-16       2.453199263392e-11       3.222604099286e-12      -1.261226361105e-14 
   75       3.065176680173e-10       6.040771699108e-14      -1.257433783797e-12       2.851092259190e-16       2.374641302548e-11       3.133727028561e-12      -1.291780222865e-14 
