# Matter power spectrum P(k) at redshift z=0
# for k=1.00946e-05 to 130.37 h/Mpc,
# number of wavenumbers equal to 714
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.009464849392e-05       6.410242190472e+01 
       2.254595584416e-05       1.405380272472e+02 
       3.503816723294e-05       2.148612520239e+02 
       4.760268435468e-05       2.884535556179e+02 
       6.027139435890e-05       3.619277697976e+02 
       7.307693559436e-05       4.354974612967e+02 
       8.605297131448e-05       5.095683233234e+02 
       9.923447476341e-05       5.843623439685e+02 
       1.126580290891e-04       6.600570498714e+02 
       1.263621455605e-04       7.369518940898e+02 
       1.403876035795e-04       8.152866941401e+02 
       1.547778159539e-04       8.953135665824e+02 
       1.695792227905e-04       9.773026988462e+02 
       1.848417171445e-04       1.061512229277e+03 
       2.006191051407e-04       1.148235099915e+03 
       2.169696025972e-04       1.237773475692e+03 
       2.339563691054e-04       1.330467777461e+03 
       2.516480789239e-04       1.426660770653e+03 
       2.701195257346e-04       1.526744657347e+03 
       2.894522550830e-04       1.631114281508e+03 
       3.097352139111e-04       1.740225711831e+03 
       3.310654007132e-04       1.854550242422e+03 
       3.535484922061e-04       1.974610011603e+03 
       3.772994127619e-04       2.100956817021e+03 
       4.024428010618e-04       2.234187716763e+03 
       4.291133146229e-04       2.374936234297e+03 
       4.574556975369e-04       2.523877249851e+03 
       4.876245211381e-04       2.681718494326e+03 
       5.197834934539e-04       2.849196243742e+03 
       5.541042244227e-04       3.027065909179e+03 
       5.907643344400e-04       3.216090431970e+03 
       6.299448092965e-04       3.417022166890e+03 
       6.718265407378e-04       3.630584122566e+03 
       7.165860532352e-04       3.857444313833e+03 
       7.643905052204e-04       4.098190263970e+03 
       8.153921621100e-04       4.353300274987e+03 
       8.697226559257e-04       4.623112441227e+03 
       9.274874509320e-04       4.907802729653e+03 
       9.887609998824e-04       5.207360789804e+03 
       1.053583075995e-03       5.521577456918e+03 
       1.121956686855e-03       5.850041046961e+03 
       1.193847821462e-03       6.192146784676e+03 
       1.269187075031e-03       6.547108089321e+03 
       1.347872978076e-03       6.913951418322e+03 
       1.429776671316e-03       7.291632792014e+03 
       1.514747450523e-03       7.679018374268e+03 
       1.602618671174e-03       8.074909227246e+03 
       1.693213545248e-03       8.478088997861e+03 
       1.786350459668e-03       8.887349017256e+03 
       1.881847568904e-03       9.301517489906e+03 
       1.979526536666e-03       9.719471284021e+03 
       2.079215405112e-03       1.014015705079e+04 
