# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.00946e-05 to 130.37 h/Mpc,
# number of wavenumbers equal to 714
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_nudm                 5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.009464849392e-05      -2.151104681607e+00      -1.613329020565e+00      -1.613329020593e+00      -2.151104662689e+00      -1.613492564022e+00       4.625504976371e-01       4.624029960722e-01 
       2.254595584416e-05      -2.156319278109e+00      -1.617252238113e+00      -1.617252238856e+00      -2.156318802386e+00      -1.617416174835e+00       4.625462866227e-01       4.623992330590e-01 
       3.503816723294e-05      -2.165491817011e+00      -1.624193370072e+00      -1.624193374496e+00      -2.165489044628e+00      -1.624357988189e+00       4.625397693867e-01       4.623935060917e-01 
       4.760268435468e-05      -2.178609659528e+00      -1.634210630159e+00      -1.634210645296e+00      -2.178600244622e+00      -1.634376199349e+00       4.625309072432e-01       4.623857796250e-01 
       6.027139435890e-05      -2.195662741108e+00      -1.647396334693e+00      -1.647396373669e+00      -2.195638670436e+00      -1.647563098152e+00       4.625186584618e-01       4.623750156396e-01 
       7.307693559436e-05      -2.216629228832e+00      -1.663869537356e+00      -1.663869621583e+00      -2.216577567273e+00      -1.664037701766e+00       4.625039442048e-01       4.623621402840e-01 
       8.605297131448e-05      -2.241487513988e+00      -1.683790081857e+00      -1.683790243529e+00      -2.241389020729e+00      -1.683959806972e+00       4.624856324614e-01       4.623460289112e-01 
       9.923447476341e-05      -2.270198199504e+00      -1.707351587941e+00      -1.707351873456e+00      -2.270025749641e+00      -1.707522973574e+00       4.624638180314e-01       4.623267851374e-01 
       1.126580290891e-04      -2.302703059869e+00      -1.734787023355e+00      -1.734787496487e+00      -2.302419977250e+00      -1.734960094141e+00       4.624392411518e-01       4.623051566238e-01 
       1.263621455605e-04      -2.338922382574e+00      -1.766379215550e+00      -1.766379962200e+00      -2.338480405218e+00      -1.766553902976e+00       4.624110514870e-01       4.622803042073e-01 
