# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.00946e-05 to 130.37 h/Mpc,
# number of wavenumbers equal to 714
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_nudm                 5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.009464849392e-05      -2.151104682866e+00      -1.613329021512e+00      -1.613329021540e+00      -2.151104663948e+00      -1.613492564969e+00       4.625504973212e-01       4.624029957568e-01 
       2.254595584416e-05      -2.156319279352e+00      -1.617252239060e+00      -1.617252239803e+00      -2.156318803628e+00      -1.617416175782e+00       4.625462863061e-01       4.623992327429e-01 
       3.503816723294e-05      -2.165491818217e+00      -1.624193371013e+00      -1.624193375437e+00      -2.165489045832e+00      -1.624357989130e+00       4.625397690704e-01       4.623935057760e-01 
       4.760268435468e-05      -2.178609660625e+00      -1.634210631048e+00      -1.634210646184e+00      -2.178600245715e+00      -1.634376200238e+00       4.625309069423e-01       4.623857793246e-01 
       6.027139435890e-05      -2.195662742226e+00      -1.647396335638e+00      -1.647396374614e+00      -2.195638671549e+00      -1.647563099097e+00       4.625186581391e-01       4.623750153174e-01 
       7.307693559436e-05      -2.216629229846e+00      -1.663869538270e+00      -1.663869622498e+00      -2.216577568279e+00      -1.664037702681e+00       4.625039438885e-01       4.623621399682e-01 
       8.605297131448e-05      -2.241487514756e+00      -1.683790082644e+00      -1.683790244316e+00      -2.241389021486e+00      -1.683959807758e+00       4.624856321831e-01       4.623460286335e-01 
       9.923447476341e-05      -2.270198200323e+00      -1.707351588833e+00      -1.707351874348e+00      -2.270025750445e+00      -1.707522974466e+00       4.624638177126e-01       4.623267848191e-01 
       1.126580290891e-04      -2.302703058192e+00      -1.734787022451e+00      -1.734787495582e+00      -2.302419975554e+00      -1.734960093236e+00       4.624392414264e-01       4.623051568989e-01 
       1.263621455605e-04      -2.338921998879e+00      -1.766378856232e+00      -1.766379602876e+00      -2.338480022757e+00      -1.766553543646e+00       4.624111808456e-01       4.622804334691e-01 
       1.403876035795e-04      -2.378739469137e+00      -1.802459768729e+00      -1.802460902776e+00      -2.378076531968e+00      -1.802635889679e+00       4.623790707700e-01       4.622520603424e-01 
       1.547778159539e-04      -2.421992351575e+00      -1.843417747334e+00      -1.843419416989e+00      -2.421030111579e+00      -1.843594977868e+00       4.623429971167e-01       4.622201338693e-01 
       1.695792227905e-04      -2.468460484459e+00      -1.889707681242e+00      -1.889710077629e+00      -2.467101534640e+00      -1.889885525716e+00       4.623022657755e-01       4.621839705416e-01 
       1.848417171445e-04      -2.517845701616e+00      -1.941856453140e+00      -1.941859821009e+00      -2.515970495586e+00      -1.942034207195e+00       4.622568266272e-01       4.621435297054e-01 
       2.006191051407e-04      -2.569758498203e+00      -2.000476928847e+00      -2.000481579251e+00      -2.567222143309e+00      -2.000653635711e+00       4.622061797965e-01       4.620983187586e-01 
       2.169696025972e-04      -2.623693373887e+00      -2.066278822259e+00      -2.066285148650e+00      -2.620322260369e+00      -2.066453221088e+00       4.621500343617e-01       4.620480510364e-01 
