# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.742730867028e-10       7.642398328607e-15       5.080224603093e-13       0.000000000000e+00       9.470087213575e-09       5.820800329887e-10      -2.716957052261e-12 
    3       1.629226047033e-10       1.193480968072e-14       6.231371907087e-13       0.000000000000e+00       5.865297139520e-09       4.125340832378e-10      -2.299397899033e-12 
    4       1.523556088496e-10       1.275920789487e-14       6.277011024206e-13       0.000000000000e+00       4.085965709703e-09       3.122751250695e-10      -1.743017401528e-12 
    5       1.442492875180e-10       1.069238623461e-14       5.718896732503e-13       0.000000000000e+00       3.050238841157e-09       2.466890142908e-10      -1.206771473939e-12 
    6       1.383960059601e-10       7.405664664311e-15       4.891629690712e-13       0.000000000000e+00       2.381932099388e-09       2.006864749380e-10      -7.438313662267e-13 
    7       1.343163953140e-10       4.421537197835e-15       4.015752922125e-13       0.000000000000e+00       1.920130143136e-09       1.668362996667e-10      -3.777110269635e-13 
    8       1.316602125990e-10       2.473882680997e-15       3.216478829466e-13       0.000000000000e+00       1.585068155318e-09       1.410946112375e-10      -1.142097217182e-13 
    9       1.300484343550e-10       1.544305869786e-15       2.560717146669e-13       0.000000000000e+00       1.333436904502e-09       1.210487736539e-10       5.271665092689e-14 
   10       1.292549071821e-10       1.232649870751e-15       2.076363612044e-13       0.000000000000e+00       1.139488943733e-09       1.051288760283e-10       1.372876117331e-13 
   11       1.290762561560e-10       1.132569585723e-15       1.762543487602e-13       0.000000000000e+00       9.631260266038e-10       9.257497666813e-11       1.580878748866e-13 
   12       1.293594973198e-10       1.025751307580e-15       1.598812856694e-13       0.000000000000e+00       8.413741595429e-10       8.182202846179e-11       1.367652347643e-13 
   13       1.300058080690e-10       8.820714554183e-16       1.553257623995e-13       0.000000000000e+00       7.414198698595e-10       7.286019825087e-11       9.200704459950e-14 
   14       1.309761232929e-10       7.587010901876e-16       1.589647698548e-13       0.000000000000e+00       6.582678125280e-10       6.546941476389e-11       4.021663387435e-14 
   15       1.321714737500e-10       7.031711389572e-16       1.673646561311e-13       0.000000000000e+00       5.882891090167e-10       5.904140474332e-11      -7.123074443864e-15 
   16       1.335304087968e-10       7.150980296131e-16       1.777549811156e-13       0.000000000000e+00       5.287921576852e-10       5.351523208284e-11      -4.244146861478e-14 
   17       1.350634993700e-10       7.617407548801e-16       1.882337898301e-13       0.000000000000e+00       4.777569781611e-10       4.875717344787e-11      -6.265187748759e-14 
   18       1.367417280128e-10       8.101796260810e-16       1.976577942233e-13       0.000000000000e+00       4.334665630592e-10       4.459775111224e-11      -6.834843595863e-14 
   19       1.385581260038e-10       8.582525475242e-16       2.058328052346e-13       0.000000000000e+00       3.952149265509e-10       4.095638186969e-11      -6.227084452583e-14 
   20       1.404518177812e-10       9.157026591492e-16       2.129131417436e-13       0.000000000000e+00       3.615296171384e-10       3.768551378807e-11      -4.904863931598e-14 
   21       1.424284787010e-10       9.990991822394e-16       2.193502017249e-13       0.000000000000e+00       3.318807013898e-10       3.476404050205e-11      -3.275016352034e-14 
   22       1.444789581397e-10       1.126065610528e-15       2.257610959801e-13       0.000000000000e+00       3.055571652454e-10       3.216596040673e-11      -1.769178072012e-14 
   23       1.466045534658e-10       1.296031550606e-15       2.326111552806e-13       0.000000000000e+00       2.821965058516e-10       2.986254375905e-11      -6.268547197701e-15 
   24       1.487852881613e-10       1.501103898200e-15       2.402706809493e-13       0.000000000000e+00       2.612584047404e-10       2.779444917083e-11      -6.428860311927e-17 
   25       1.510215224376e-10       1.736625593031e-15       2.487229048729e-13       0.000000000000e+00       2.424959357092e-10       2.593041798469e-11       9.845781708556e-16 
   26       1.533031895436e-10       1.998751545411e-15       2.577302494267e-13       0.000000000000e+00       2.255688376423e-10       2.423206673872e-11      -2.157069017316e-15 
   27       1.556333870070e-10       2.287945695060e-15       2.668670815581e-13       0.000000000000e+00       2.102740643935e-10       2.269126452054e-11      -7.926138541864e-15 
   28       1.580078078145e-10       2.605441359509e-15       2.755858472947e-13       0.000000000000e+00       1.963481105813e-10       2.129713447237e-11      -1.440174399412e-14 
   29       1.604331952063e-10       2.949950590848e-15       2.834413135901e-13       0.000000000000e+00       1.837195698421e-10       2.003861725653e-11      -2.037360586295e-14 
   30       1.629048995796e-10       3.318768650655e-15       2.899449865819e-13       0.000000000000e+00       1.722523406176e-10       1.888994749460e-11      -2.465690093678e-14 
   31       1.654066702782e-10       3.709518852318e-15       2.946121384046e-13       0.000000000000e+00       1.617120000835e-10       1.781617897355e-11      -2.614459088568e-14 
   32       1.679457202745e-10       4.124759876167e-15       2.973490671282e-13       0.000000000000e+00       1.520440465875e-10       1.681631157060e-11      -2.501357893445e-14 
   33       1.705278397136e-10       4.569181780087e-15       2.982142613908e-13       0.000000000000e+00       1.431802096916e-10       1.589451610048e-11      -2.199196370589e-14 
   34       1.731498623999e-10       5.047687189963e-15       2.973181242850e-13       0.000000000000e+00       1.349964991424e-10       1.504889741082e-11      -1.797554725784e-14 
   35       1.758101880295e-10       5.562591562332e-15       2.948058535968e-13       0.000000000000e+00       1.274507860889e-10       1.427382405015e-11      -1.370461507599e-14 
   36       1.784998128509e-10       6.115472154167e-15       2.908757586069e-13       0.000000000000e+00       1.204821526560e-10       1.355722023395e-11      -9.997686469265e-15 
   37       1.812052689867e-10       6.707715646227e-15       2.857299871399e-13       0.000000000000e+00       1.139995145516e-10       1.288406990957e-11      -7.640844216274e-15 
   38       1.839322385390e-10       7.339878011493e-15       2.793759207557e-13       0.000000000000e+00       1.079860442828e-10       1.225288816080e-11      -6.676233883847e-15 
   39       1.866884090266e-10       8.012090351524e-15       2.717606430461e-13       0.000000000000e+00       1.024226847137e-10       1.166398975403e-11      -6.878530085805e-15 
   40       1.894764079283e-10       8.724206078109e-15       2.628230431458e-13       0.000000000000e+00       9.725639930431e-11       1.111473189619e-11      -7.937633475658e-15 
   41       1.922952590356e-10       9.476017846448e-15       2.524770251800e-13       0.000000000000e+00       9.241863389392e-11       1.060074251651e-11      -9.484713966132e-15 
   42       1.951467206068e-10       1.026803865650e-14       2.405566046201e-13       0.000000000000e+00       8.789505459539e-11       1.012073893835e-11      -1.119521477777e-14 
   43       1.980300310237e-10       1.110094326051e-14       2.268515093433e-13       0.000000000000e+00       8.367352361321e-11       9.672820683034e-12      -1.270910256544e-14 
   44       2.009396148416e-10       1.197535169007e-14       2.111196683803e-13       0.000000000000e+00       7.972316961260e-11       9.252939536540e-12      -1.359778766864e-14 
   45       2.038684775440e-10       1.289181931220e-14       1.931449118875e-13       0.000000000000e+00       7.600538752288e-11       8.856287806793e-12      -1.348941671146e-14 
   46       2.068206420044e-10       1.385080970036e-14       1.729351951301e-13       0.000000000000e+00       7.251427180814e-11       8.482355126640e-12      -1.249851127775e-14 
   47       2.098016779080e-10       1.485270914303e-14       1.505803485796e-13       0.000000000000e+00       6.924573575470e-11       8.131096783045e-12      -1.091821025087e-14 
   48       2.128149721756e-10       1.589783024074e-14       1.261990532642e-13       0.000000000000e+00       6.618531944081e-11       7.801431377148e-12      -9.105755682814e-15 
   49       2.158615077768e-10       1.698640883483e-14       9.994034266487e-14       0.000000000000e+00       6.330741856772e-11       7.491161964290e-12      -7.486071931057e-15 
   50       2.189407120249e-10       1.811863685312e-14       7.194475736888e-14       0.000000000000e+00       6.058298696352e-11       7.197664079646e-12      -6.450453448332e-15 
   51       2.220537860669e-10       1.929477848294e-14       4.221189412543e-14       0.000000000000e+00       5.800689800786e-11       6.920352938468e-12      -6.011904647157e-15 
   52       2.252008968119e-10       2.051508022317e-14       1.069950059671e-14       0.000000000000e+00       5.557667714387e-11       6.658749615162e-12      -6.062432695098e-15 
   53       2.283800196341e-10       2.177973637503e-14      -2.263970704406e-14       0.000000000000e+00       5.328431375334e-11       6.411730932848e-12      -6.468437430764e-15 
   54       2.315867675151e-10       2.308888766114e-14      -5.785844091097e-14       0.000000000000e+00       5.111588874882e-11       6.177486692129e-12      -7.069354437289e-15 
   55       2.348164424699e-10       2.444258154798e-14      -9.500808518988e-14       0.000000000000e+00       4.905581161519e-11       5.954053356955e-12      -7.708344885918e-15 
   56       2.380711780211e-10       2.584064483472e-14      -1.341155530182e-13       0.000000000000e+00       4.710161728088e-11       5.741168351348e-12      -8.336401616522e-15 
   57       2.413542717981e-10       2.728277699376e-14      -1.752013753806e-13       0.000000000000e+00       4.525219280549e-11       5.538801492608e-12      -8.931728479089e-15 
   58       2.446680362691e-10       2.876858288347e-14      -2.182864659479e-13       0.000000000000e+00       4.350330136470e-11       5.346599023519e-12      -9.469853457987e-15 
   59       2.480137144658e-10       3.029756987508e-14      -2.633922391868e-13       0.000000000000e+00       4.184738943135e-11       5.163863300469e-12      -9.923520320910e-15 
   60       2.513913957086e-10       3.186914497961e-14      -3.105407284689e-13       0.000000000000e+00       4.027339395647e-11       4.989532481589e-12      -1.026258026782e-14 
   61       2.548007455611e-10       3.348269110799e-14      -3.597503035277e-13       0.000000000000e+00       3.876980928326e-11       4.822495069460e-12      -1.046372964645e-14 
   62       2.582435778159e-10       3.513782235400e-14      -4.110214323403e-13       0.000000000000e+00       3.733512853847e-11       4.662661993706e-12      -1.054252237565e-14 
