# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_nudm           12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       1.000000000000e+14       7.558503632228e-26       4.634785000235e-09       2.157545946647e+22       1.429059281648e+04       1.429059281648e-10       1.429059281648e+18       2.675958164816e-09       2.751560535470e+44       2.473421074607e+33       1.282885514630e+34       3.815882356171e-08       1.903443976270e+44       4.655004511893e+44       4.655004511893e+44       1.551668170580e+44      -1.339118148790e+53       5.840412799665e-20       2.000000000000e+14 
       9.930486593843e+13       7.664693049757e-26       4.667526809499e-09       2.127654528181e+22       1.429059281648e+04       1.439062696620e-10       1.419125403822e+18       2.694689871970e-09       2.675846458098e+44       2.422198022217e+33       1.256317732621e+34       3.815882356171e-08       1.851067333040e+44       4.526913791288e+44       4.526913791288e+44       1.508971263713e+44      -1.293217411571e+53       8.148092750352e-08       1.433565615564e+02 
       9.861456399050e+13       7.772374322413e-26       4.700268618762e-09       2.098177236190e+22       1.429059281648e+04       1.449136135496e-10       1.409260579763e+18       2.713552701074e-09       2.602215788102e+44       2.372035768219e+33       1.230300153287e+34       3.815882356171e-08       1.800131926217e+44       4.402347714465e+44       4.402347714465e+44       1.467449238106e+44      -1.248890006533e+53       1.629618550070e-07       7.167828077820e+01 
       9.792906056653e+13       7.881568409269e-26       4.733010428026e-09       2.069108333217e+22       1.429059281648e+04       1.459280088445e-10       1.399464329457e+18       2.732547569981e-09       2.530611196824e+44       2.322912344119e+33       1.204821382262e+34       3.815882356171e-08       1.750598097619e+44       4.281209294587e+44       4.281209294587e+44       1.427069764814e+44      -1.206082004821e+53       2.444427825104e-07       4.778552051880e+01 
       9.724832231036e+13       7.992296563851e-26       4.765752237290e-09       2.040442161293e+22       1.429059281648e+04       1.469495049064e-10       1.389736176223e+18       2.751675402971e-09       2.460976933110e+44       2.274806236379e+33       1.179870261154e+34       3.815882356171e-08       1.702427280332e+44       4.163404213582e+44       4.163404213582e+44       1.387801404480e+44      -1.164741326094e+53       3.259237100139e-07       3.583914038910e+01 
       9.657231609767e+13       8.104580338276e-26       4.800313035958e-09       2.012173140838e+22       1.429059281648e+04       1.479781514407e-10       1.380075646697e+18       2.770937130792e-09       2.393258779894e+44       2.227696376995e+33       1.155435862652e+34       3.815882356171e-08       1.655581968676e+44       4.048840748708e+44       4.048840748708e+44       1.349613582857e+44      -1.124817675155e+53       4.074046375173e-07       2.867131231128e+01 
       9.590100903443e+13       8.218441587449e-26       4.833054845221e-09       1.984295769571e+22       1.429059281648e+04       1.490139985008e-10       1.370482270801e+18       2.790333690707e-09       2.327404011992e+44       2.181562134266e+33       1.131507485744e+34       3.815882356171e-08       1.610025689010e+44       3.937429701138e+44       3.937429701138e+44       1.312476567001e+44      -1.086262480774e+53       4.888855650207e-07       2.389276025940e+01 
       9.523436845525e+13       8.333902473311e-26       4.867615643889e-09       1.956804621445e+22       1.429059281648e+04       1.500570964903e-10       1.360955581729e+18       2.809866026542e-09       2.263361355047e+44       2.136383303762e+33       1.108074651029e+34       3.815882356171e-08       1.565722971329e+44       3.829084326507e+44       3.829084326507e+44       1.276361442125e+44      -1.049028836583e+53       5.703664925241e-07       2.047950879377e+01 
       9.457236192179e+13       8.450985469158e-26       4.900357453153e-09       1.929694345584e+22       1.429059281648e+04       1.511074961657e-10       1.351495115917e+18       2.829535088728e-09       2.201080945604e+44       2.092140099474e+33       1.085127096129e+34       3.815882356171e-08       1.522639321645e+44       3.723720267378e+44       3.723720267378e+44       1.241240089083e+44      -1.013071444021e+53       6.518474200275e-07       1.791957019455e+01 
       9.391495722125e+13       8.569713364014e-26       4.934918251820e-09       1.902959665247e+22       1.429059281648e+04       1.521652486389e-10       1.342100413026e+18       2.849341834349e-09       2.140514292293e+44       2.048813145151e+33       1.062654771192e+34       3.815882356171e-08       1.480741195137e+44       3.621255487557e+44       3.621255487557e+44       1.207085162477e+44      -9.783465572156e+52       7.333283475309e-07       1.592850683960e+01 
