# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.742736082405e-10       7.642679810655e-15       5.080221377502e-13       2.853765728660e-19       9.470080176007e-09       5.820799084602e-10      -2.716956182329e-12 
    3       1.629237211391e-10       1.193537447706e-14       6.231367973212e-13       5.709736837612e-19       5.865292339421e-09       4.125339679276e-10      -2.299397153973e-12 
    4       1.523575166825e-10       1.276015318321e-14       6.277006676384e-13       9.521057815844e-19       4.085962489585e-09       3.122750218863e-10      -1.743016817824e-12 
    5       1.442521779222e-10       1.069380932524e-14       5.718891817059e-13       1.429047398518e-18       3.050236821799e-09       2.466889234031e-10      -1.206771043133e-12 
    6       1.384000657829e-10       7.407662478720e-15       4.891623665929e-13       2.002125535231e-18       2.381930756112e-09       2.006863963385e-10      -7.438310652779e-13 
    7       1.343218059855e-10       4.424206271777e-15       4.015744892073e-13       2.671709815621e-18       1.920129105603e-09       1.668362310862e-10      -3.777108326572e-13 
    8       1.316671500013e-10       2.477319498418e-15       3.216467522418e-13       3.438201554403e-18       1.585067267197e-09       1.410945487745e-10      -1.142096172491e-13 
    9       1.300570700747e-10       1.548607226218e-15       2.560700869688e-13       4.302022158349e-18       1.333436111197e-09       1.210487154489e-10       5.271667844186e-14 
   10       1.292654059770e-10       1.237913119280e-15       2.076340352662e-13       5.263601305475e-18       1.139488220859e-09       1.051288231732e-10       1.372875766248e-13 
   11       1.290887768250e-10       1.138892749340e-15       1.762510938304e-13       6.323365352042e-18       9.631254808509e-10       9.257493379180e-11       1.580877972210e-13 
   12       1.293741921958e-10       1.033233057402e-15       1.598768413766e-13       7.481726404663e-18       8.413736722983e-10       8.182199082312e-11       1.367651349365e-13 
   13       1.300228238360e-10       8.908109716567e-16       1.553198409033e-13       8.739072464670e-18       7.414194318889e-10       7.286016449523e-11       9.200694442109e-14 
   14       1.309956020764e-10       7.687979027770e-16       1.589570505881e-13       1.009575900535e-17       6.582674164521e-10       6.546938477996e-11       4.021655177642e-14 
   15       1.321935542994e-10       7.147250292577e-16       1.673547875864e-13       1.155210228168e-17       5.882887489077e-10       5.904137814165e-11      -7.123126543428e-15 
   16       1.335552222420e-10       7.282089871111e-16       1.777425834168e-13       1.310837459931e-17       5.287918286490e-10       5.351520703565e-11      -4.244148691685e-14 
   17       1.350911733569e-10       7.765089711718e-16       1.882184498979e-13       1.476480168753e-17       4.777566761644e-10       4.875714908401e-11      -6.265186540669e-14 
   18       1.367723879405e-10       8.267054809877e-16       1.976390698464e-13       1.652156121154e-17       4.334662848556e-10       4.459772945633e-11      -6.834840191352e-14 
   19       1.385918923742e-10       8.766365033019e-16       2.058102241742e-13       1.837878954514e-17       3.952146690797e-10       4.095636387963e-11      -6.227079884256e-14 
   20       1.404888058723e-10       9.360451668945e-16       2.128862029234e-13       2.033657426473e-17       3.615293781140e-10       3.768549795138e-11      -4.904859243823e-14 
   21       1.424688017092e-10       1.021500611418e-15       2.193183826022e-13       2.239497463728e-17       3.318804787598e-10       3.476402547468e-11      -3.275012356769e-14 
   22       1.445227286141e-10       1.150626169551e-15       2.257238562171e-13       2.455401275958e-17       3.055569572831e-10       3.216594599848e-11      -1.769175186606e-14 
   23       1.466518822336e-10       1.322851226116e-15       2.325679326648e-13       2.681369821681e-17       2.821963109992e-10       2.986253030955e-11      -6.268530250557e-15 
   24       1.488362840231e-10       1.530282387165e-15       2.402208907002e-13       2.917401916348e-17       2.612582217234e-10       2.779443718934e-11      -6.428112614703e-17 
   25       1.510762912963e-10       1.768262273722e-15       2.486659394284e-13       3.163497137036e-17       2.424957633780e-10       2.593040710121e-11       9.845794905688e-16 
   26       1.533618343638e-10       2.032945422721e-15       2.576654793216e-13       3.419654737583e-17       2.255686750289e-10       2.423205560182e-11      -2.157070513017e-15 
   27       1.556960090680e-10       2.324795348114e-15       2.667938580194e-13       3.685876202785e-17       2.102739106317e-10       2.269125265370e-11      -7.926139591742e-15 
   28       1.580745071484e-10       2.645044892076e-15       2.755035041389e-13       3.962164542841e-17       1.963479649426e-10       2.129712276865e-11      -1.440174173657e-14 
   29       1.605040699589e-10       2.992405627793e-15       2.833491687648e-13       4.248527302989e-17       1.837194316285e-10       2.003860662126e-11      -2.037359864497e-14 
   30       1.629800458532e-10       3.364172303793e-15       2.898423438974e-13       4.544974783714e-17       1.722522092019e-10       1.888993833457e-11      -2.465688891239e-14 
   31       1.654861821041e-10       3.757967683149e-15       2.944982894681e-13       4.851520010900e-17       1.617118749670e-10       1.781617113171e-11      -2.614457601284e-14 
   32       1.680296893469e-10       4.176349892383e-15       2.972232935994e-13       5.168180874808e-17       1.520439272952e-10       1.681630460622e-11      -2.501356311747e-14 
   33       1.706163552446e-10       4.624008412338e-15       2.980758372205e-13       5.494979420093e-17       1.431800957815e-10       1.589450934589e-11      -2.199194808558e-14 
   34       1.732430109829e-10       5.105845264421e-15       2.971663190191e-13       5.831941294717e-17       1.349963902392e-10       1.504889004954e-11      -1.797553217735e-14 
   35       1.759080533810e-10       5.624175285298e-15       2.946399392838e-13       6.179094412138e-17       1.274506818376e-10       1.427381558571e-11      -1.370460079912e-14 
   36       1.786024755972e-10       6.180575091039e-15       2.906950146775e-13       6.536470416480e-17       1.204820527351e-10       1.355721071554e-11      -9.997673403267e-15 
   37       1.813128064713e-10       6.776430685278e-15       2.855337056373e-13       6.904103436966e-17       1.139994186914e-10       1.288405991888e-11      -7.640832855633e-15 
   38       1.840447246678e-10       7.412297281735e-15       2.791634153071e-13       7.282023441152e-17       1.079859522202e-10       1.225287830102e-11      -6.676224470525e-15 
   39       1.868059140535e-10       8.088305172370e-15       2.715312557852e-13       7.670261076613e-17       1.024225961939e-10       1.166398047409e-11      -6.878522454476e-15 
   40       1.895989982041e-10       8.804306921621e-15       2.625761510183e-13       8.068849671691e-17       9.725631410202e-11       1.111472344419e-11      -7.937626968058e-15 
   41       1.924229969122e-10       9.560094266826e-15       2.522120477603e-13       8.477822137228e-17       9.241855182318e-11       1.060073493086e-11      -9.484707499257e-15 
   42       1.952796649150e-10       1.035617910797e-14       2.402730163246e-13       8.897200045836e-17       8.789497547662e-11       1.012073217430e-11      -1.119520744639e-14 
   43       1.981682371306e-10       1.119323499085e-14       2.265488491872e-13       9.327001286695e-17       8.367344727229e-11       9.672814642553e-12      -1.270909387544e-14 
   44       2.010831345402e-10       1.207188066193e-14       2.107975490285e-13       9.767242976697e-17       7.972309589297e-11       9.252934060754e-12      -1.359777763182e-14 
   45       2.040173591124e-10       1.299267008031e-14       1.928030288695e-13       1.021793852367e-16       7.600531629065e-11       8.856282686088e-12      -1.348940582249e-14 
   46       2.069749308540e-10       1.395606514556e-14       1.725733356945e-13       1.067908789823e-16       7.251420293125e-11       8.482350170909e-12      -1.249850008177e-14 
   47       2.099614168048e-10       1.496245030319e-14       1.501984014598e-13       1.115068436038e-16       6.924566910196e-11       8.131091849160e-12      -1.091819920779e-14 
   48       2.129802013014e-10       1.601213617551e-14       1.257970190240e-13       1.163271687390e-16       6.618525488874e-11       7.801426380624e-12      -9.105745143097e-15 
   49       2.160322647925e-10       1.710535648590e-14       9.951834441717e-14       1.212516988559e-16       6.330735600795e-11       7.491156891627e-12      -7.486062110183e-15 
   50       2.191170322350e-10       1.824230088202e-14       7.150304883899e-14       1.262802303407e-16       6.058292630520e-11       7.197658984116e-12      -6.450444420120e-15 
   51       2.222357029159e-10       1.942323104454e-14       4.175085802454e-14       1.314125069540e-16       5.800683916221e-11       6.920347879355e-12      -6.011896403209e-15 
   52       2.253884421423e-10       2.064839077820e-14       1.021965470226e-14       1.366482193246e-16       5.557662002270e-11       6.658744639364e-12      -6.062425153620e-15 
   53       2.285732238602e-10       2.191797151390e-14      -2.313770078016e-14       1.419870033582e-16       5.328425827281e-11       6.411726072250e-12      -6.468430426134e-15 
   54       2.317856598032e-10       2.323211092232e-14      -5.837376702214e-14       1.474284379959e-16       5.111583483357e-11       6.177481960831e-12      -7.069347709170e-15 
   55       2.350210506976e-10       2.459085329978e-14      -9.553976991900e-14       1.529720910120e-16       4.905575919953e-11       5.954048751147e-12      -7.708338100211e-15 
   56       2.382815279945e-10       2.599402237767e-14      -1.346624750939e-13       1.586176748626e-16       4.710156629986e-11       5.741163858174e-12      -8.336394492250e-15 
   57       2.415703870383e-10       2.744131448776e-14      -1.757622646988e-13       1.643649256275e-16       4.525214319406e-11       5.538797092035e-12      -8.931720834839e-15 
   58       2.448899380088e-10       2.893233120850e-14      -2.188598977511e-13       1.702135580030e-16       4.350325305994e-11       5.346594687602e-12      -9.469845229108e-15 
   59       2.482414216436e-10       3.046657648922e-14      -2.639766281979e-13       1.761632649325e-16       4.184734237479e-11       5.163858992596e-12      -9.923511577497e-15 
   60       2.516249249607e-10       3.204345377432e-14      -3.111343229811e-13       1.822137172370e-16       4.027334809665e-11       4.989528155688e-12      -1.026257123349e-14 
   61       2.550401109370e-10       3.366234243545e-14      -3.603511838246e-13       1.883646309595e-16       3.876976457605e-11       4.822490674348e-12      -1.046372067651e-14 
   62       2.584887895949e-10       3.532285362155e-14      -4.116275233480e-13       1.946159878969e-16       3.733508494016e-11       4.662657494231e-12      -1.054251380109e-14 
