# Matter power spectrum P(k) at redshift z=0
# for k=1.00946e-05 to 130.37 h/Mpc,
# number of wavenumbers equal to 714
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.009464849392e-05       6.412444395352e+01 
       2.254595584416e-05       1.405476357808e+02 
       3.503816723294e-05       2.148673175142e+02 
       4.760268435468e-05       2.884579298743e+02 
       6.027139435890e-05       3.619312020902e+02 
       7.307693559436e-05       4.355002491478e+02 
       8.605297131448e-05       5.095700946875e+02 
       9.923447476341e-05       5.843643428992e+02 
       1.126580290891e-04       6.600587569707e+02 
       1.263621455605e-04       7.369457844583e+02 
       1.403876035795e-04       8.152880423777e+02 
       1.547778159539e-04       8.953147669697e+02 
       1.695792227905e-04       9.773037715832e+02 
       1.848417171445e-04       1.061513192040e+03 
       2.006191051407e-04       1.148235964637e+03 
       2.169696025972e-04       1.237774252734e+03 
       2.339563691054e-04       1.330468475104e+03 
       2.516480789239e-04       1.426661395809e+03 
       2.701195257346e-04       1.526745215629e+03 
       2.894522550830e-04       1.631114777580e+03 
       3.097352139111e-04       1.740226149271e+03 
       3.310654007132e-04       1.854550625170e+03 
       3.535484922061e-04       1.974610342013e+03 
       3.772994127619e-04       2.100957097375e+03 
       4.024428010618e-04       2.234187948898e+03 
       4.291133146229e-04       2.374936383244e+03 
       4.574556975369e-04       2.523877389781e+03 
       4.876245211381e-04       2.681718589661e+03 
       5.197834934539e-04       2.849196288900e+03 
       5.541042244227e-04       3.027065909231e+03 
       5.907643344400e-04       3.216090397100e+03 
       6.299448092965e-04       3.417022089072e+03 
       6.718265407378e-04       3.630584001784e+03 
       7.165860532352e-04       3.857444149854e+03 
       7.643905052204e-04       4.098190056551e+03 
       8.153921621100e-04       4.353300023823e+03 
       8.697226559257e-04       4.623112145615e+03 
       9.274874509320e-04       4.907802474271e+03 
       9.887609998824e-04       5.207360404058e+03 
       1.053583075995e-03       5.521577025234e+03 
       1.121956686855e-03       5.850040416514e+03 
       1.193847821462e-03       6.192146259417e+03 
       1.269187075031e-03       6.547107516564e+03 
       1.347872978076e-03       6.913950733914e+03 
       1.429776671316e-03       7.291631944124e+03 
       1.514747450523e-03       7.679017332567e+03 
       1.602618671174e-03       8.074907958544e+03 
       1.693213545248e-03       8.478087458633e+03 
       1.786350459668e-03       8.887347181067e+03 
       1.881847568904e-03       9.301515306241e+03 
       1.979526536666e-03       9.719468705894e+03 
       2.079215405112e-03       1.014015402789e+04 
       2.180750645487e-03       1.056259360634e+04 
       2.283978490652e-03       1.098588307089e+04 
       2.388755671666e-03       1.140920645364e+04 
       2.494949683712e-03       1.183182437288e+04 
       2.602438697858e-03       1.225306974104e+04 
       2.711111219785e-03       1.267235106676e+04 
       2.820865578879e-03       1.308914203761e+04 
       2.931609313536e-03       1.350297951120e+04 
       3.043258502730e-03       1.391346660426e+04 
       3.155737080483e-03       1.432023871323e+04 
       3.268976158968e-03       1.472298293642e+04 
       3.382913377512e-03       1.512144328726e+04 
       3.497492288292e-03       1.551537842086e+04 
       3.612661784761e-03       1.590459315739e+04 
       3.728375575478e-03       1.628891641920e+04 
       3.844591703630e-03       1.666820235627e+04 
       3.961272110993e-03       1.704233781548e+04 
       4.078382244082e-03       1.741121294081e+04 
       4.195890699678e-03       1.777475578838e+04 
       4.313768906639e-03       1.813288783669e+04 
       4.431990840826e-03       1.848556983537e+04 
       4.550532770055e-03       1.883275700717e+04 
       4.669373026086e-03       1.917441729210e+04 
       4.788491800896e-03       1.951052434452e+04 
       4.907870964669e-03       1.984110967308e+04 
       5.027493903171e-03       2.016614955834e+04 
       5.147345372394e-03       2.048565515310e+04 
       5.267411368582e-03       2.079963964266e+04 
       5.387679011919e-03       2.110811777793e+04 
       5.508136442378e-03       2.141111840208e+04 
       5.628772726370e-03       2.170867127720e+04 
       5.749577773000e-03       2.200078792965e+04 
       5.870542258865e-03       2.228751865108e+04 
       5.991657560450e-03       2.256889753049e+04 
       6.112915693289e-03       2.284496578952e+04 
       6.234309257161e-03       2.311575668961e+04 
       6.355831386653e-03       2.338131453673e+04 
       6.477475706524e-03       2.364167552447e+04 
       6.599236291355e-03       2.389689864737e+04 
       6.721107629027e-03       2.414704070741e+04 
       6.843084587634e-03       2.439210971465e+04 
       6.965162385466e-03       2.463220114065e+04 
       7.087336563750e-03       2.486733665677e+04 
       7.209602961865e-03       2.509755702422e+04 
       7.331957694789e-03       2.532293151822e+04 
       7.454397132541e-03       2.554357113950e+04 
       7.576917881437e-03       2.575940362061e+04 
       7.699516766966e-03       2.597052924871e+04 
       7.822190818144e-03       2.617700886181e+04 
       7.944937253195e-03       2.637888210996e+04 
       8.067753466432e-03       2.657621131257e+04 
       8.190637016235e-03       2.676904301006e+04 
       8.313585614016e-03       2.695742051726e+04 
       8.436597114079e-03       2.714139251380e+04 
       8.559669504301e-03       2.732100828768e+04 
       8.682800897556e-03       2.749631501592e+04 
       8.805989523813e-03       2.766736977173e+04 
       8.929233722859e-03       2.783421766699e+04 
       9.052531937575e-03       2.799689353410e+04 
       9.175882707736e-03       2.815546878335e+04 
       9.299284664283e-03       2.830998080544e+04 
       9.422736524020e-03       2.846047518185e+04 
       9.546237084713e-03       2.860700734774e+04 
       9.669785220550e-03       2.874961132247e+04 
       9.793379877934e-03       2.888833428758e+04 
       9.917020071586e-03       2.902322434215e+04 
       1.004070488092e-02       2.915432330599e+04 
       1.016443344671e-02       2.928167211127e+04 
       1.028820496794e-02       2.940531780642e+04 
       1.041201869892e-02       2.952530469526e+04 
       1.053587394662e-02       2.964168817444e+04 
       1.065977006814e-02       2.975450213841e+04 
       1.078370646837e-02       2.986378962908e+04 
       1.090768259788e-02       2.996959814795e+04 
       1.103169795086e-02       3.007196269369e+04 
       1.115575206324e-02       3.017093136702e+04 
       1.127984451099e-02       3.026653220296e+04 
       1.140397490846e-02       3.035881433244e+04 
       1.152814290686e-02       3.044781210052e+04 
       1.165234819288e-02       3.053357258809e+04 
       1.177659048739e-02       3.061613186066e+04 
       1.190086954417e-02       3.069553154440e+04 
       1.202518514882e-02       3.077180597726e+04 
       1.214953711769e-02       3.084499992330e+04 
       1.227392529690e-02       3.091514232475e+04 
       1.239834956144e-02       3.098227934810e+04 
       1.252280981431e-02       3.104644240439e+04 
       1.264730598575e-02       3.110758396656e+04 
       1.277183803251e-02       3.116591189160e+04 
       1.289640593717e-02       3.122137159967e+04 
       1.302100970753e-02       3.127391839685e+04 
       1.314564937606e-02       3.132374817684e+04 
       1.327032499934e-02       3.137083393462e+04 
       1.339503665758e-02       3.141519686092e+04 
       1.351978445419e-02       3.145689558496e+04 
       1.364456851541e-02       3.149597280126e+04 
       1.376938898987e-02       3.153230223720e+04 
       1.389424604833e-02       3.156600089340e+04 
       1.401913988334e-02       3.159728397081e+04 
       1.414407070898e-02       3.162611056993e+04 
       1.426903876066e-02       3.165243849292e+04 
       1.439404429485e-02       3.167621923823e+04 
       1.451908758897e-02       3.169765170558e+04 
       1.464416894118e-02       3.171673217947e+04 
       1.476928867029e-02       3.173342322800e+04 
       1.489444711564e-02       3.174763372124e+04 
       1.501964463704e-02       3.175971267679e+04 
       1.514488161469e-02       3.176955726162e+04 
       1.527015844916e-02       3.177712986510e+04 
       1.539547556136e-02       3.178247384693e+04 
       1.552083339260e-02       3.178559287181e+04 
       1.564623240455e-02       3.178664082915e+04 
       1.577167307934e-02       3.178560376634e+04 
       1.589715591960e-02       3.178241781363e+04 
       1.602268144854e-02       3.177722525739e+04 
       1.614825021010e-02       3.176997305449e+04 
       1.627386276901e-02       3.176067864049e+04 
       1.639951971098e-02       3.174948966999e+04 
       1.652522164284e-02       3.173652058429e+04 
       1.665096919269e-02       3.172147177041e+04 
       1.677676301015e-02       3.170436925813e+04 
       1.690260376649e-02       3.168574792573e+04 
       1.702849215493e-02       3.166518958467e+04 
       1.715442889084e-02       3.164281601657e+04 
       1.728041471200e-02       3.161867591413e+04 
       1.740645037890e-02       3.159275745868e+04 
       1.753253667499e-02       3.156501540022e+04 
       1.765867440702e-02       3.153580308465e+04 
       1.778486440536e-02       3.150474421656e+04 
       1.791110752433e-02       3.147225828165e+04 
       1.803740464255e-02       3.143801294759e+04 
       1.816375666334e-02       3.140218130820e+04 
       1.829016451508e-02       3.136476501070e+04 
       1.841662915165e-02       3.132579197096e+04 
       1.854315155281e-02       3.128536911250e+04 
       1.866973272471e-02       3.124357982480e+04 
       1.879637370027e-02       3.120018951709e+04 
       1.892307553971e-02       3.115524777033e+04 
       1.904983933102e-02       3.110912084610e+04 
       1.917666619051e-02       3.106142688996e+04 
       1.930355726329e-02       3.101244655959e+04 
       1.943051372387e-02       3.096225131727e+04 
       1.955753677670e-02       3.091059763725e+04 
       1.968462765677e-02       3.085764266156e+04 
       1.981178763021e-02       3.080333617157e+04 
       1.993901799497e-02       3.074787868041e+04 
       2.006632008140e-02       3.069119377088e+04 
       2.019369525299e-02       3.063338412432e+04 
       2.032114490701e-02       3.057423327507e+04 
       2.044867047529e-02       3.051411467351e+04 
       2.057627342491e-02       3.045271374393e+04 
       2.070395525899e-02       3.039026971111e+04 
       2.083171751748e-02       3.032666864406e+04 
       2.095956177799e-02       3.026192247494e+04 
       2.108748965660e-02       3.019621301873e+04 
       2.121550280877e-02       3.012947621203e+04 
       2.134360293018e-02       3.006173516896e+04 
