# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.742725151137e-10       7.642369486522e-15       5.080201128384e-13       0.000000000000e+00       9.470033378786e-09       5.820791044078e-10      -2.716950611716e-12 
    3       1.629220247163e-10       1.193476392457e-14       6.231344688695e-13       0.000000000000e+00       5.865260403689e-09       4.125332206867e-10      -2.299392378236e-12 
    4       1.523550345359e-10       1.275915737889e-14       6.276984373294e-13       0.000000000000e+00       4.085941122803e-09       3.122743565799e-10      -1.743013071597e-12 
    5       1.442487198665e-10       1.069234205248e-14       5.718872934059e-13       0.000000000000e+00       3.050223521782e-09       2.466883424407e-10      -1.206768280646e-12 
    6       1.383954422772e-10       7.405632577164e-15       4.891609789086e-13       0.000000000000e+00       2.381921986740e-09       2.006858904189e-10      -7.438291389398e-13 
    7       1.343158257343e-10       4.421517319810e-15       4.015737229961e-13       0.000000000000e+00       1.920122357351e-09       1.668357840467e-10      -3.777095858106e-13 
    8       1.316596276897e-10       2.473871701043e-15       3.216466879312e-13       0.000000000000e+00       1.585061487402e-09       1.410941455640e-10      -1.142089401555e-13 
    9       1.300478309710e-10       1.544299563259e-15       2.560707686813e-13       0.000000000000e+00       1.333430941995e-09       1.210483459810e-10       5.271685781367e-14 
   10       1.292542746498e-10       1.232644847748e-15       2.076355240927e-13       0.000000000000e+00       1.139483502969e-09       1.051284837723e-10       1.372873382728e-13 
   11       1.290755840343e-10       1.132564151083e-15       1.762535100407e-13       0.000000000000e+00       9.631219354108e-10       9.257465253196e-11       1.580872715792e-13 
   12       1.293587713460e-10       1.025745370635e-15       1.598803729787e-13       0.000000000000e+00       8.413705056557e-10       8.182174696294e-11       1.367644680269e-13 
   13       1.300050175618e-10       8.820656947802e-16       1.553247297554e-13       0.000000000000e+00       7.414165843208e-10       7.285995322554e-11       9.200629037468e-14 
   14       1.309752625160e-10       7.586960615956e-16       1.589635891890e-13       0.000000000000e+00       6.582648401716e-10       6.546919409457e-11       4.021603130701e-14 
   15       1.321705498667e-10       7.031668584136e-16       1.673633134885e-13       0.000000000000e+00       5.882864053602e-10       5.904119937772e-11      -7.123444527055e-15 
   16       1.335294157258e-10       7.150940905628e-16       1.777534634106e-13       0.000000000000e+00       5.287896863072e-10       5.351504020565e-11      -4.244158680287e-14 
   17       1.350624449544e-10       7.617367498180e-16       1.882320812385e-13       0.000000000000e+00       4.777547089444e-10       4.875699823718e-11      -6.265177438829e-14 
