# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.742731137304e-10       7.642654825133e-15       5.080201069793e-13       2.853385647565e-19       9.470033378786e-09       5.820791044078e-10      -2.716950611716e-12 
    3       1.629232192937e-10       1.193533482269e-14       6.231344427865e-13       5.708976638433e-19       5.865260403689e-09       4.125332206867e-10      -2.299392378236e-12 
    4       1.523570196619e-10       1.276010936019e-14       6.276983624910e-13       9.519790736555e-19       4.085941122803e-09       3.122743565799e-10      -1.743013071597e-12 
    5       1.442516867691e-10       1.069377091743e-14       5.718871232215e-13       1.428857321868e-18       3.050223521782e-09       2.466883424407e-10      -1.206768280646e-12 
    6       1.383995781362e-10       7.407634457300e-15       4.891606449830e-13       2.001859403862e-18       2.381921986740e-09       2.006858904189e-10      -7.438291389398e-13 
    7       1.343213130861e-10       4.424188722849e-15       4.015731318451e-13       2.671354937687e-18       1.920122357351e-09       1.668357840467e-10      -3.777095858106e-13 
    8       1.316666439369e-10       2.477309545383e-15       3.216457182129e-13       3.437745231874e-18       1.585061487402e-09       1.410941455640e-10      -1.142089401555e-13 
    9       1.300565480053e-10       1.548601201068e-15       2.560692689752e-13       4.301451686931e-18       1.333430941995e-09       1.210483459810e-10       5.271685781367e-14 
   10       1.292648585916e-10       1.237908075990e-15       2.076333112397e-13       5.262903974770e-18       1.139483502969e-09       1.051284837723e-10       1.372873382728e-13 
   11       1.290881950907e-10       1.138887210227e-15       1.762503680340e-13       6.322528445956e-18       9.631219354108e-10       9.257465253196e-11       1.580872715792e-13 
   12       1.293735637831e-10       1.033226931132e-15       1.598760523815e-13       7.480737202039e-18       8.413705056557e-10       8.182174696294e-11       1.367644680269e-13 
   13       1.300221397846e-10       8.908048317717e-16       1.553189475985e-13       8.737918240113e-18       7.414165843208e-10       7.285995322554e-11       9.200629037468e-14 
   14       1.309948572465e-10       7.687922185953e-16       1.589560292932e-13       1.009442703021e-17       6.582648401716e-10       6.546919409457e-11       4.021603130701e-14 
   15       1.321927544070e-10       7.147198010608e-16       1.673536271413e-13       1.155057982518e-17       5.882864053602e-10       5.904119937772e-11      -7.123444527055e-15 
   16       1.335543622906e-10       7.282038517732e-16       1.777412703228e-13       1.310664892971e-17       5.287896863072e-10       5.351504020565e-11      -4.244158680287e-14 
   17       1.350902610562e-10       7.765035678920e-16       1.882169707019e-13       1.476286007335e-17       4.777547089444e-10       4.875699823718e-11      -6.265177438829e-14 
   18       1.367714311529e-10       8.266997172569e-16       1.976374187549e-13       1.651939092279e-17       4.334644717718e-10       4.459759431571e-11      -6.834817569934e-14 
   19       1.385908939009e-10       8.766303691487e-16       2.058083789229e-13       1.837637785430e-17       3.952129903464e-10       4.095624281482e-11      -6.227050263197e-14 
