# Matter power spectrum P(k) at redshift z=0
# for k=1.00946e-05 to 130.37 h/Mpc,
# number of wavenumbers equal to 714
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.009464849392e-05       6.424764467421e+01 
       2.254595584416e-05       1.406013644734e+02 
       3.503816723294e-05       2.149012323085e+02 
       4.760268435468e-05       2.884824077489e+02 
       6.027139435890e-05       3.619333728174e+02 
       7.307693559436e-05       4.355158365855e+02 
       8.605297131448e-05       5.095823367690e+02 
       9.923447476341e-05       5.843755186987e+02 
       1.126580290891e-04       6.600685201371e+02 
       1.263621455605e-04       7.369543015593e+02 
       1.403876035795e-04       8.152955804998e+02 
       1.547778159539e-04       8.953214789578e+02 
       1.695792227905e-04       9.773097699274e+02 
       1.848417171445e-04       1.061518574465e+03 
       2.006191051407e-04       1.148240799469e+03 
       2.169696025972e-04       1.237778597172e+03 
       2.339563691054e-04       1.330472375748e+03 
       2.516480789239e-04       1.426664891090e+03 
       2.701195257346e-04       1.526748337043e+03 
       2.894522550830e-04       1.631117551184e+03 
       3.097352139111e-04       1.740228594948e+03 
       3.310654007132e-04       1.854552765176e+03 
       3.535484922061e-04       1.974612189379e+03 
       3.772994127619e-04       2.100958664869e+03 
       4.024428010618e-04       2.234189246802e+03 
       4.291133146229e-04       2.374937459599e+03 
       4.574556975369e-04       2.523878172270e+03 
       4.876245211381e-04       2.681719122937e+03 
       5.197834934539e-04       2.849196584356e+03 
       5.541042244227e-04       3.027065957574e+03 
       5.907643344400e-04       3.216090202120e+03 
       6.299448092965e-04       3.417021653936e+03 
       6.718265407378e-04       3.630583326168e+03 
       7.165860532352e-04       3.857443233141e+03 
       7.643905052204e-04       4.098188896949e+03 
       8.153921621100e-04       4.353298619186e+03 
       8.697226559257e-04       4.623110493326e+03 
       9.274874509320e-04       4.907800575742e+03 
       9.887609998824e-04       5.207358247529e+03 
       1.053583075995e-03       5.521574611908e+03 
       1.121956686855e-03       5.850037743243e+03 
       1.193847821462e-03       6.192143323187e+03 
       1.269187075031e-03       6.547104314656e+03 
       1.347872978076e-03       6.913946911460e+03 
       1.429776671316e-03       7.291627204068e+03 
       1.514747450523e-03       7.679011509056e+03 
       1.602618671174e-03       8.074900866014e+03 
       1.693213545248e-03       8.478078705126e+03 
       1.786350459668e-03       8.887336916059e+03 
       1.881847568904e-03       9.301503098844e+03 
       1.979526536666e-03       9.719454293092e+03 
       2.079215405112e-03       1.014013712741e+04 
       2.180750645487e-03       1.056257391993e+04 
       2.283978490652e-03       1.098586028080e+04 
       2.388755671666e-03       1.140918022832e+04 
       2.494949683712e-03       1.183179435638e+04 
       2.602438697858e-03       1.225303793716e+04 
       2.711111219785e-03       1.267231860389e+04 
       2.820865578879e-03       1.308910837558e+04 
       2.931609313536e-03       1.350294475849e+04 
       3.043258502730e-03       1.391343025100e+04 
       3.155737080483e-03       1.432020198756e+04 
       3.268976158968e-03       1.472294460098e+04 
       3.382913377512e-03       1.512140369394e+04 
       3.497492288292e-03       1.551533823057e+04 
       3.612661784761e-03       1.590455201352e+04 
       3.728375575478e-03       1.628887475390e+04 
       3.844591703630e-03       1.666815991992e+04 
       3.961272110993e-03       1.704229282956e+04 
       4.078382244082e-03       1.741116790960e+04 
       4.195890699678e-03       1.777470899283e+04 
       4.313768906639e-03       1.813284117844e+04 
       4.431990840826e-03       1.848552125974e+04 
       4.550532770055e-03       1.883270872943e+04 
       4.669373026086e-03       1.917436737058e+04 
       4.788491800896e-03       1.951047446533e+04 
       4.907870964669e-03       1.984105816182e+04 
       5.027493903171e-03       2.016609830697e+04 
       5.147345372394e-03       2.048560256772e+04 
       5.267411368582e-03       2.079958533102e+04 
       5.387679011919e-03       2.110806362182e+04 
       5.508136442378e-03       2.141106297064e+04 
       5.628772726370e-03       2.170861448301e+04 
       5.749577773000e-03       2.200073224294e+04 
       5.870542258865e-03       2.228746168547e+04 
       5.991657560450e-03       2.256883902620e+04 
       6.112915693289e-03       2.284490649084e+04 
       6.234309257161e-03       2.311569647437e+04 
