# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.00946e-05 to 130.37 h/Mpc,
# number of wavenumbers equal to 714
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_nudm                 5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.009464849392e-05      -2.151105363924e+00      -1.613329533937e+00      -1.613329533964e+00      -2.151105344918e+00      -1.613493077445e+00       4.625503263942e-01       4.624028251334e-01 
       2.254595584416e-05      -2.156319950232e+00      -1.617252750337e+00      -1.617252751078e+00      -2.156319474068e+00      -1.617416687106e+00       4.625461152878e-01       4.623990620275e-01 
       3.503816723294e-05      -2.165492470508e+00      -1.624193879754e+00      -1.624193884175e+00      -2.165489697065e+00      -1.624358497912e+00       4.625395980587e-01       4.623933350657e-01 
       4.760268435468e-05      -2.178610283259e+00      -1.634211133814e+00      -1.634211148944e+00      -2.178600866411e+00      -1.634376703035e+00       4.625307367171e-01       4.623856093984e-01 
       6.027139435890e-05      -2.195662775121e+00      -1.647396415297e+00      -1.647396454253e+00      -2.195638701265e+00      -1.647563178724e+00       4.625186282020e-01       4.623749856560e-01 
       7.307693559436e-05      -2.216629778026e+00      -1.663870032380e+00      -1.663870116593e+00      -2.216578111991e+00      -1.664038196794e+00       4.625037729606e-01       4.623619693335e-01 
       8.605297131448e-05      -2.241487932002e+00      -1.683790508498e+00      -1.683790670150e+00      -2.241389432631e+00      -1.683960233592e+00       4.624854818293e-01       4.623458785658e-01 
       9.923447476341e-05      -2.270198639126e+00      -1.707352067082e+00      -1.707352352568e+00      -2.270026181278e+00      -1.707523452678e+00       4.624636468202e-01       4.623266142112e-01 
       1.126580290891e-04      -2.302703434376e+00      -1.734787493745e+00      -1.734787966840e+00      -2.302420341678e+00      -1.734960564470e+00       4.624390695320e-01       4.623049852837e-01 
       1.263621455605e-04      -2.338922296169e+00      -1.766379312808e+00      -1.766380059407e+00      -2.338480307690e+00      -1.766554000133e+00       4.624110100458e-01       4.622802629422e-01 
       1.403876035795e-04      -2.378739684247e+00      -1.802460212270e+00      -1.802461346260e+00      -2.378076732251e+00      -1.802636333101e+00       4.623788999575e-01       4.622518897961e-01 
       1.547778159539e-04      -2.421992476695e+00      -1.843418175920e+00      -1.843419845505e+00      -2.421030219244e+00      -1.843595406301e+00       4.623428263429e-01       4.622199633540e-01 
       1.695792227905e-04      -2.468460512007e+00      -1.889708092641e+00      -1.889710488944e+00      -2.467101541987e+00      -1.889885936925e+00       4.623020951532e-01       4.621838001692e-01 
       1.848417171445e-04      -2.517845625214e+00      -1.941856845753e+00      -1.941860213519e+00      -2.515970396157e+00      -1.942034599577e+00       4.622566559597e-01       4.621433592786e-01 
       2.006191051407e-04      -2.569758311294e+00      -2.000477300061e+00      -2.000481950344e+00      -2.567221930523e+00      -2.000654006651e+00       4.622060091847e-01       4.620981483774e-01 
       2.169696025972e-04      -2.623693070923e+00      -2.066279169443e+00      -2.066285495691e+00      -2.620321928723e+00      -2.066453567951e+00       4.621498638187e-01       4.620478807130e-01 
       2.339563691054e-04      -2.679004406764e+00      -2.140085852509e+00      -2.140094351894e+00      -2.674592798834e+00      -2.140256318319e+00       4.620873286579e-01       4.619916655394e-01 
       2.516480789239e-04      -2.734883418306e+00      -2.222849553057e+00      -2.222860850829e+00      -2.729190774293e+00      -2.223014028991e+00       4.620181816099e-01       4.619292739841e-01 
       2.701195257346e-04      -2.790327784075e+00      -2.315675023133e+00      -2.315689905671e+00      -2.783076491618e+00      -2.315830941664e+00       4.619412941793e-01       4.618595633843e-01 
       2.894522550830e-04      -2.844122792775e+00      -2.419840345488e+00      -2.419859797355e+00      -2.834997925332e+00      -2.419984542465e+00       4.618566292086e-01       4.617824702163e-01 
       3.097352139111e-04      -2.894814835298e+00      -2.536829219904e+00      -2.536854476664e+00      -2.883466007040e+00      -2.536957843864e+00       4.617627888394e-01       4.616965575472e-01 
       3.310654007132e-04      -2.940712644428e+00      -2.668360362976e+00      -2.668392970489e+00      -2.926760232742e+00      -2.668468781868e+00       4.616592786992e-01       4.616012735161e-01 
       3.535484922061e-04      -2.979891563661e+00      -2.816427491832e+00      -2.816469385863e+00      -2.962938391223e+00      -2.816510206585e+00       4.615447307338e-01       4.614951721257e-01 
       3.772994127619e-04      -3.010246472529e+00      -2.983341370616e+00      -2.983394967546e+00      -2.989897900472e+00      -2.983391942363e+00       4.614183079431e-01       4.613773130053e-01 
       4.024428010618e-04      -3.029574343235e+00      -3.171779328280e+00      -3.171847645477e+00      -3.005468974359e+00      -3.171790341811e+00       4.612786707619e-01       4.612462253944e-01 
