# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.714772138206e-10       8.406147822966e-15       5.385998857399e-13       0.000000000000e+00       9.589614741306e-09       5.673127920531e-10      -2.846346041254e-12 
    3       1.608068066782e-10       1.417306759956e-14       6.810949496730e-13       0.000000000000e+00       5.969421608753e-09       4.034439834789e-10      -2.498143016379e-12 
    4       1.505654708630e-10       1.644558566446e-14       7.050276760406e-13       0.000000000000e+00       4.159652140224e-09       3.064088343457e-10      -1.986383441271e-12 
    5       1.425356688888e-10       1.510038355093e-14       6.598501850698e-13       0.000000000000e+00       3.105930754134e-09       2.427287504931e-10      -1.467638100494e-12 
    6       1.366141756599e-10       1.155742985551e-14       5.798157841295e-13       0.000000000000e+00       2.424629215719e-09       1.979261524177e-10      -9.960493502274e-13 
    7       1.324196001055e-10       7.593982614991e-15       4.883136118372e-13       0.000000000000e+00       1.954491357542e-09       1.649415627929e-10      -5.992399115273e-13 
    8       1.296326841566e-10       4.455787756256e-15       3.992292182577e-13       0.000000000000e+00       1.615007125905e-09       1.397974703767e-10      -2.891945491637e-13 
    9       1.278639024583e-10       2.576186126772e-15       3.208417672462e-13       0.000000000000e+00       1.360522365537e-09       1.200759498187e-10      -6.726928577181e-14 
   10       1.269170031764e-10       1.752577338204e-15       2.577711853755e-13       0.000000000000e+00       1.163519532857e-09       1.043225155398e-10       7.318463477070e-14 
   11       1.266371825067e-10       1.515324511676e-15       2.117399219575e-13       0.000000000000e+00       9.804478927082e-10       9.189697068479e-11       1.437609829873e-13 
   12       1.268138086542e-10       1.448458517203e-15       1.824081424270e-13       0.000000000000e+00       8.567737004587e-10       8.120777463171e-11       1.612868581081e-13 
   13       1.273985820474e-10       1.340633306848e-15       1.678652765118e-13       0.000000000000e+00       7.552229379928e-10       7.235452377065e-11       1.418361357238e-13 
   14       1.282520246447e-10       1.171455941016e-15       1.649903898805e-13       0.000000000000e+00       6.707297779301e-10       6.500176859675e-11       1.008107052747e-13 
   15       1.293768212883e-10       1.012579028858e-15       1.701783203531e-13       0.000000000000e+00       5.996066672597e-10       5.857450833836e-11       5.094902166370e-14 
   16       1.306819892846e-10       9.300324403421e-16       1.800594155522e-13       0.000000000000e+00       5.391260951146e-10       5.315805020305e-11       3.100260893194e-15 
   17       1.321204689264e-10       9.371798629993e-16       1.919206742465e-13       0.000000000000e+00       4.872379304413e-10       4.849326279137e-11      -3.579820511612e-14 
   18       1.337118340593e-10       9.985997049031e-16       2.035440562967e-13       0.000000000000e+00       4.421978198056e-10       4.438406622566e-11      -6.200130293927e-14 
   19       1.354507819632e-10       1.077983060508e-15       2.139225574889e-13       0.000000000000e+00       4.032934290776e-10       4.078777102004e-11      -7.479615557024e-14 
