# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.714778110054e-10       8.406439513477e-15       5.385998793182e-13       2.916904769999e-19       9.589614741306e-09       5.673127920531e-10      -2.846346041254e-12 
    3       1.608079984410e-10       1.417365127189e-14       6.810949211086e-13       5.836719952051e-19       5.969421608753e-09       4.034439834789e-10      -2.498143016379e-12 
    4       1.505674514049e-10       1.644655908915e-14       7.050275941699e-13       9.734230494338e-19       4.159652140224e-09       3.064088343457e-10      -1.986383441271e-12 
    5       1.425386291097e-10       1.510184485977e-14       6.598499991408e-13       1.461303242459e-18       3.105930754134e-09       2.427287504931e-10      -1.467638100494e-12 
    6       1.366183024782e-10       1.155947760922e-14       5.798154198876e-13       2.047738545631e-18       2.424629215719e-09       1.979261524177e-10      -9.960493502274e-13 
    7       1.324250758683e-10       7.596715857001e-15       4.883129681979e-13       2.733207007339e-18       1.954491357542e-09       1.649415627929e-10      -5.992399115273e-13 
    8       1.296396861501e-10       4.459306050847e-15       3.992281646278e-13       3.518222925111e-18       1.615007125905e-09       1.397974703767e-10      -2.891945491637e-13 
    9       1.278726025279e-10       2.580589580454e-15       3.208401415294e-13       4.403320111188e-18       1.360522365537e-09       1.200759498187e-10      -6.726928577181e-14 
   10       1.269275674587e-10       1.757966603723e-15       2.577687926674e-13       5.389034915742e-18       1.163519532857e-09       1.043225155398e-10       7.318463477070e-14 
   11       1.266497712771e-10       1.521800774660e-15       2.117365339078e-13       6.475889679103e-18       9.804478927082e-10       9.189697068479e-11       1.437609829873e-13 
   12       1.268285762845e-10       1.456123466007e-15       1.824034972227e-13       7.664377264197e-18       8.567737004587e-10       8.120777463171e-11       1.612868581081e-13 
   13       1.274156770691e-10       1.349589086743e-15       1.678590794091e-13       8.954947273603e-18       7.552229379928e-10       7.235452377065e-11       1.418361357238e-13 
   14       1.282715899075e-10       1.181805094354e-15       1.649823141970e-13       1.034799448423e-17       6.707297779301e-10       6.500176859675e-11       1.008107052747e-13 
   15       1.293989942034e-10       1.024424423281e-15       1.701680088161e-13       1.184384993935e-17       5.996066672597e-10       5.857450833836e-11       5.094902166370e-14 
   16       1.307069021361e-10       9.434771874998e-16       1.800464818911e-13       1.344277502664e-17       5.391260951146e-10       5.315805020305e-11       3.100260893194e-15 
