# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.00946e-05 to 163.221 h/Mpc,
# number of wavenumbers equal to 626
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.009464849392e-05      -2.151104681472e+00      -1.613329020464e+00      -1.613329020492e+00      -2.151104662555e+00      -1.613492563921e+00       4.625504976709e-01       4.624029961058e-01 
       2.254595584416e-05      -2.156319277973e+00      -1.617252238009e+00      -1.617252238752e+00      -2.156318802250e+00      -1.617416174731e+00       4.625462866575e-01       4.623992330937e-01 
       3.503816723294e-05      -2.165491816877e+00      -1.624193369968e+00      -1.624193374391e+00      -2.165489044494e+00      -1.624357988084e+00       4.625397694218e-01       4.623935061268e-01 
       4.760268435468e-05      -2.178609659354e+00      -1.634210630022e+00      -1.634210645158e+00      -2.178600244449e+00      -1.634376199211e+00       4.625309072897e-01       4.623857796714e-01 
       6.027139435890e-05      -2.195662740991e+00      -1.647396334594e+00      -1.647396373570e+00      -2.195638670319e+00      -1.647563098052e+00       4.625186584959e-01       4.623750156736e-01 
       7.307693559436e-05      -2.216629228720e+00      -1.663869537255e+00      -1.663869621483e+00      -2.216577567162e+00      -1.664037701666e+00       4.625039442395e-01       4.623621403186e-01 
       8.605297131448e-05      -2.241487438338e+00      -1.683790024287e+00      -1.683790185960e+00      -2.241388945082e+00      -1.683959749397e+00       4.624856518809e-01       4.623460483276e-01 
       9.923447476341e-05      -2.270198199420e+00      -1.707351587850e+00      -1.707351873364e+00      -2.270025749558e+00      -1.707522973483e+00       4.624638180640e-01       4.623267851699e-01 
       1.126580290891e-04      -2.302703058865e+00      -1.734787022565e+00      -1.734787495696e+00      -2.302419976247e+00      -1.734960093351e+00       4.624392414182e-01       4.623051568902e-01 
       1.263621455605e-04      -2.338921998030e+00      -1.766378855135e+00      -1.766379601780e+00      -2.338480021928e+00      -1.766553542549e+00       4.624111812492e-01       4.622804338721e-01 
       1.403876035795e-04      -2.378739468695e+00      -1.802459767817e+00      -1.802460901864e+00      -2.378076531554e+00      -1.802635888767e+00       4.623790711209e-01       4.622520606928e-01 
       1.547778159539e-04      -2.421992351310e+00      -1.843417746444e+00      -1.843419416100e+00      -2.421030111348e+00      -1.843594976978e+00       4.623429974709e-01       4.622201342230e-01 
       1.695792227905e-04      -2.468460484396e+00      -1.889707680389e+00      -1.889710076777e+00      -2.467101534615e+00      -1.889885524864e+00       4.623022661286e-01       4.621839708942e-01 
       1.848417171445e-04      -2.517845701772e+00      -1.941856452333e+00      -1.941859820201e+00      -2.515970495783e+00      -1.942034206388e+00       4.622568269778e-01       4.621435300556e-01 
       2.006191051407e-04      -2.569758498586e+00      -2.000476928085e+00      -2.000481578489e+00      -2.567222143736e+00      -2.000653634950e+00       4.622061801461e-01       4.620983191077e-01 
       2.169696025972e-04      -2.623693374509e+00      -2.066278821543e+00      -2.066285147935e+00      -2.620322261040e+00      -2.066453220373e+00       4.621500347125e-01       4.620480513867e-01 
       2.339563691054e-04      -2.679004831189e+00      -2.140085531616e+00      -2.140094031169e+00      -2.674593254679e+00      -2.140255997798e+00       4.620874994737e-01       4.619918361470e-01 
       2.516480789239e-04      -2.734883966750e+00      -2.222849262406e+00      -2.222860560374e+00      -2.729191356631e+00      -2.223013738764e+00       4.620183523520e-01       4.619294445305e-01 
       2.701195257346e-04      -2.790328458087e+00      -2.315674766399e+00      -2.315689649167e+00      -2.783077201670e+00      -2.315830685411e+00       4.619414648361e-01       4.618597338590e-01 
       2.894522550830e-04      -2.844123591802e+00      -2.419840126812e+00      -2.419859578947e+00      -2.834998762091e+00      -2.419984324328e+00       4.618567997652e-01       4.617826406052e-01 
       3.097352139111e-04      -2.894815755965e+00      -2.536829044132e+00      -2.536854301204e+00      -2.883466966509e+00      -2.536957668691e+00       4.617629591619e-01       4.616967277173e-01 
       3.310654007132e-04      -2.940713681195e+00      -2.668360235019e+00      -2.668392842895e+00      -2.926761308658e+00      -2.668468654574e+00       4.616594490351e-01       4.616014437153e-01 
       3.535484922061e-04      -2.979892706548e+00      -2.816427417894e+00      -2.816469312346e+00      -2.962939572655e+00      -2.816510133375e+00       4.615449009343e-01       4.614953422058e-01 
       3.772994127619e-04      -3.010247707943e+00      -2.983341357520e+00      -2.983394954940e+00      -2.989899172727e+00      -2.983391930062e+00       4.614184780095e-01       4.613774829681e-01 
       4.024428010618e-04      -3.029575653202e+00      -3.171779383836e+00      -3.171847701602e+00      -3.005470318207e+00      -3.171790398230e+00       4.612788406724e-01       4.612463952183e-01 
       4.291133146229e-04      -3.035734981207e+00      -3.384840278920e+00      -3.384927073500e+00      -3.007589356802e+00      -3.384803355434e+00       4.611249059170e-01       4.611008342518e-01 
       4.574556975369e-04      -3.026871056685e+00      -3.626104260003e+00      -3.626214202078e+00      -2.994540294028e+00      -3.626010149558e+00       4.609551184728e-01       4.609390530894e-01 
       4.876245211381e-04      -3.001742140004e+00      -3.899698273759e+00      -3.899837157109e+00      -2.965298262146e+00      -3.899537062846e+00       4.607680045527e-01       4.607593596034e-01 
       5.197834934539e-04      -2.960122985334e+00      -4.210364030527e+00      -4.210538990189e+00      -2.919947982326e+00      -4.210125457794e+00       4.605619804111e-01       4.605599341586e-01 
       5.541042244227e-04      -2.903260645381e+00      -4.563526961116e+00      -4.563746737634e+00      -2.860146493046e+00      -4.563200891091e+00       4.603354794686e-01       4.603389727078e-01 
       5.907643344400e-04      -2.834292727945e+00      -4.965360520193e+00      -4.965635814936e+00      -2.789531140378e+00      -4.964937599694e+00       4.600864908185e-01       4.600942497307e-01 
       6.299448092965e-04      -2.758494868102e+00      -5.422844539625e+00      -5.423188267666e+00      -2.713927670006e+00      -5.422316820937e+00       4.598130603274e-01       4.598236519085e-01 
       6.718265407378e-04      -2.683134103443e+00      -5.943808507186e+00      -5.944236145114e+00      -2.641122462890e+00      -5.943170082952e+00       4.595132069167e-01       4.595251330457e-01 
       7.165860532352e-04      -2.616690674470e+00      -6.536950189870e+00      -6.537480079499e+00      -2.579953279432e+00      -6.536197532408e+00       4.591844779306e-01       4.591963075015e-01 
       7.643905052204e-04      -2.567279575868e+00      -7.211829722652e+00      -7.212483238532e+00      -2.538556186558e+00      -7.210961409174e+00       4.588244451784e-01       4.588349729519e-01 
       8.153921621100e-04      -2.540314436430e+00      -7.978823518418e+00      -7.979625162659e+00      -2.521844034807e+00      -7.977839175859e+00       4.584305355567e-01       4.584389417268e-01 
       8.697226559257e-04      -2.535908299641e+00      -8.849033366317e+00      -8.850010868327e+00      -2.528779846727e+00      -8.847931841632e+00       4.579997851502e-01       4.580057550497e-01 
       9.274874509320e-04      -2.547062141875e+00      -9.834158625158e+00      -9.835342499284e+00      -2.550595628830e+00      -9.832935193024e+00       4.575295446879e-01       4.575333010611e-01 
       9.887609998824e-04      -2.560068406616e+00      -1.094631619393e+01      -1.094773944936e+01      -2.571481234401e+00      -1.094496010501e+01       4.570169233849e-01       4.570191335256e-01 
       1.053583075995e-03      -2.558303485743e+00      -1.219783075318e+01      -1.219952804173e+01      -2.572943370516e+00      -1.219632359884e+01       4.564597188895e-01       4.564612726192e-01 
       1.121956686855e-03      -2.529193133813e+00      -1.360099927135e+01      -1.360300626696e+01      -2.541495452122e+00      -1.359931582257e+01       4.558560344238e-01       4.558577425491e-01 
       1.193847821462e-03      -2.471793110928e+00      -1.516785358184e+01      -1.517020572481e+01      -2.476819814182e+00      -1.516596454550e+01       4.552050678011e-01       4.552073838549e-01 
       1.269187075031e-03      -2.400320528716e+00      -1.690991926200e+01      -1.691265120833e+01      -2.395356785449e+00      -1.690779578267e+01       4.545063415067e-01       4.545092286418e-01 
       1.347872978076e-03      -2.339266969432e+00      -1.883796824622e+01      -1.884111354963e+01      -2.324731290373e+00      -1.883558510656e+01       4.537590404270e-01       4.537620606129e-01 
       1.429776671316e-03      -2.309984680999e+00      -2.096196138930e+01      -2.096555147580e+01      -2.289111414233e+00      -2.095929540311e+01       4.529647388025e-01       4.529673355818e-01 
       1.514747450523e-03      -2.315476653114e+00      -2.329086179662e+01      -2.329492705584e+01      -2.292876862858e+00      -2.328788726779e+01       4.521247444251e-01       4.521265738948e-01 
       1.602618671174e-03      -2.334799818692e+00      -2.583254724841e+01      -2.583711774437e+01      -2.314704186126e+00      -2.582922939587e+01       4.512401902530e-01       4.512413079322e-01 
       1.693213545248e-03      -2.334770940559e+00      -2.859380297410e+01      -2.859891021946e+01      -2.319941785050e+00      -2.859009589347e+01       4.503124535319e-01       4.503132409671e-01 
       1.786350459668e-03      -2.294159489040e+00      -3.158032908671e+01      -3.158600843744e+01      -2.285811997287e+00      -3.157618171244e+01       4.493431421126e-01       4.493440263259e-01 
       1.881847568904e-03      -2.222636812731e+00      -3.479679536375e+01      -3.480308840499e+01      -2.220757752025e+00      -3.479216321925e+01       4.483343451440e-01       4.483355118787e-01 
       1.979526536666e-03      -2.156462277174e+00      -3.824689729768e+01      -3.825385463370e+01      -2.159660514439e+00      -3.824175319707e+01       4.472882893150e-01       4.472895967650e-01 
       2.079215405112e-03      -2.130218271451e+00      -4.193345405784e+01      -4.194113717030e+01      -2.135149523902e+00      -4.192778934833e+01       4.462073877715e-01       4.462085317808e-01 
       2.180750645487e-03      -2.146662530510e+00      -4.585849480864e+01      -4.586697732549e+01      -2.148248517118e+00      -4.585231102325e+01       4.450939712906e-01       4.450947536560e-01 
       2.283978490652e-03      -2.172793096973e+00      -5.002333400520e+01      -5.003270322464e+01      -2.166306795173e+00      -5.001663374180e+01       4.439500299103e-01       4.439505058110e-01 
       2.388755671666e-03      -2.168926572603e+00      -5.442869262008e+01      -5.443904760039e+01      -2.153106125198e+00      -5.442147647623e+01       4.427777569959e-01       4.427781535324e-01 
       2.494949683712e-03      -2.125515092520e+00      -5.907475661656e+01      -5.908620754850e+01      -2.103992772868e+00      -5.906703216848e+01       4.415792117341e-01       4.415797138671e-01 
       2.602438697858e-03      -2.071777199415e+00      -6.396124856027e+01      -6.397391430709e+01      -2.050766352726e+00      -6.395303994365e+01       4.403564736067e-01       4.403570804451e-01 
       2.711111219785e-03      -2.045905639660e+00      -6.908751312148e+01      -6.910151890469e+01      -2.029454286003e+00      -6.907886134579e+01       4.391115967517e-01       4.391121663454e-01 
       2.820865578879e-03      -2.055950451303e+00      -7.445256732888e+01      -7.446804134935e+01      -2.042953559732e+00      -7.444351800685e+01       4.378464970776e-01       4.378469113456e-01 
       2.931609313536e-03      -2.072059774680e+00      -8.005515472755e+01      -8.007222406943e+01      -2.058104625434e+00      -8.004574342851e+01       4.365628494814e-01       4.365631266780e-01 
       3.043258502730e-03      -2.058984150386e+00      -8.589381982363e+01      -8.591260947348e+01      -2.041387263438e+00      -8.588407029679e+01       4.352624361081e-01       4.352626783729e-01 
       3.155737080483e-03      -2.014180356842e+00      -9.196685468305e+01      -9.198748800515e+01      -1.984060369633e+00      -9.195678829326e+01       4.339466016154e-01       4.339468449414e-01 
       3.268976158968e-03      -1.969620753533e+00      -9.827240705492e+01      -9.829500567947e+01      -1.902960525616e+00      -9.826205211796e+01       4.326168276456e-01       4.326171015208e-01 
       3.382913377512e-03      -1.955057838612e+00      -1.048085412557e+02      -1.048332241612e+02      -1.846675185952e+00      -1.047979358438e+02       4.312746870291e-01       4.312749221077e-01 
       3.497492288292e-03      -1.964261218410e+00      -1.115731331888e+02      -1.116000222313e+02      -1.834404497488e+00      -1.115623196995e+02       4.299212922918e-01       4.299214317947e-01 
       3.612661784761e-03      -1.963197596934e+00      -1.185640112154e+02      -1.185932333412e+02      -1.835469182776e+00      -1.185530270400e+02       4.285578256966e-01       4.285579007561e-01 
       3.728375575478e-03      -1.931092700226e+00      -1.257789062573e+02      -1.258105977516e+02      -1.812701919102e+00      -1.257677889478e+02       4.271852864048e-01       4.271853761431e-01 
       3.844591703630e-03      -1.886407733748e+00      -1.332154846928e+02      -1.332497928274e+02      -1.768403286525e+00      -1.332042853238e+02       4.258046506958e-01       4.258047903912e-01 
       3.961272110993e-03      -1.866401026248e+00      -1.408714000880e+02      -1.409084875093e+02      -1.736704332718e+00      -1.408601942747e+02       4.244169684816e-01       4.244171181236e-01 
       4.078382244082e-03      -1.883435709481e+00      -1.487441904944e+02      -1.487842392133e+02      -1.737093199455e+00      -1.487330754763e+02       4.230229737063e-01       4.230230752227e-01 
       4.195890699678e-03      -1.909678976421e+00      -1.568314585752e+02      -1.568746625324e+02      -1.749751949375e+00      -1.568205348515e+02       4.216235547182e-01       4.216236019803e-01 
       4.313768906639e-03      -1.909118538363e+00      -1.651306712811e+02      -1.651772471942e+02      -1.741833231028e+00      -1.651200486529e+02       4.202192416205e-01       4.202192823758e-01 
       4.431990840826e-03      -1.879446267791e+00      -1.736394056877e+02      -1.736895821042e+02      -1.709071521003e+00      -1.736292036620e+02       4.188108524524e-01       4.188109284528e-01 
       4.550532770055e-03      -1.673372566818e+00      -1.823551377328e+02      -1.824091576961e+02      -1.669595455754e+00      -1.823454645112e+02       4.173988639384e-01       4.173988639384e-01 
       4.669373026086e-03      -1.667698491279e+00      -1.912753488552e+02      -1.913334633972e+02      -1.663934192105e+00      -1.912663928738e+02       4.159835480264e-01       4.159835480264e-01 
       4.788491800896e-03      -1.662016072829e+00      -2.003974956980e+02      -2.004599643048e+02      -1.658264603005e+00      -2.003894130206e+02       4.145661507512e-01       4.145661507512e-01 
       4.907870964669e-03      -1.656327293415e+00      -2.097192925715e+02      -2.097863785379e+02      -1.652588665692e+00      -2.097122431498e+02       4.131471664229e-01       4.131471664229e-01 
       5.027493903171e-03      -1.650632900101e+00      -2.192381329409e+02      -2.193101030611e+02      -1.646907127613e+00      -2.192322804523e+02       4.117267819033e-01       4.117267819033e-01 
       5.147345372394e-03      -1.644934356243e+00      -2.289515695118e+02      -2.290286902324e+02      -1.641221447261e+00      -2.289470780873e+02       4.103053618152e-01       4.103053618152e-01 
       5.267411368582e-03      -1.639233536997e+00      -2.388571305513e+02      -2.389396759213e+02      -1.635533496412e+00      -2.388541714455e+02       4.088833741031e-01       4.088833741031e-01 
       5.387679011919e-03      -1.633531807057e+00      -2.489523378335e+02      -2.490405813328e+02      -1.629844637007e+00      -2.489510825782e+02       4.074611592518e-01       4.074611592518e-01 
