# Matter power spectrum P(k) at redshift z=0
# for k=1.00946e-05 to 163.221 h/Mpc,
# number of wavenumbers equal to 626
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.009464849392e-05       6.410239330593e+01 
       2.254595584416e-05       1.405380143745e+02 
       3.503816723294e-05       2.148612438236e+02 
       4.760268435468e-05       2.884535478484e+02 
       6.027139435890e-05       3.619277653082e+02 
       7.307693559436e-05       4.354974575762e+02 
       8.605297131448e-05       5.095669985453e+02 
       9.923447476341e-05       5.843623414585e+02 
       1.126580290891e-04       6.600570353109e+02 
       1.263621455605e-04       7.369442583953e+02 
       1.403876035795e-04       8.152866923474e+02 
       1.547778159539e-04       8.953135648715e+02 
       1.695792227905e-04       9.773026972554e+02 
       1.848417171445e-04       1.061512228001e+03 
       2.006191051407e-04       1.148235098756e+03 
       2.169696025972e-04       1.237773474658e+03 
       2.339563691054e-04       1.330467776523e+03 
       2.516480789239e-04       1.426660769816e+03 
       2.701195257346e-04       1.526744656603e+03 
       2.894522550830e-04       1.631114280843e+03 
       3.097352139111e-04       1.740225711255e+03 
       3.310654007132e-04       1.854550241908e+03 
       3.535484922061e-04       1.974610011158e+03 
       3.772994127619e-04       2.100956816642e+03 
       4.024428010618e-04       2.234187716447e+03 
       4.291133146229e-04       2.374936235289e+03 
       4.574556975369e-04       2.523877249666e+03 
       4.876245211381e-04       2.681718494262e+03 
       5.197834934539e-04       2.849196242757e+03 
       5.541042244227e-04       3.027065909147e+03 
       5.907643344400e-04       3.216090432004e+03 
       6.299448092965e-04       3.417022166981e+03 
       6.718265407378e-04       3.630584122602e+03 
       7.165860532352e-04       3.857444314021e+03 
       7.643905052204e-04       4.098190264200e+03 
       8.153921621100e-04       4.353300275326e+03 
       8.697226559257e-04       4.623112441478e+03 
       9.274874509320e-04       4.907802648392e+03 
       9.887609998824e-04       5.207360790247e+03 
       1.053583075995e-03       5.521577457399e+03 
       1.121956686855e-03       5.850040979960e+03 
       1.193847821462e-03       6.192146785703e+03 
       1.269187075031e-03       6.547108089939e+03 
       1.347872978076e-03       6.913951419083e+03 
       1.429776671316e-03       7.291632792920e+03 
       1.514747450523e-03       7.679018375388e+03 
       1.602618671174e-03       8.074909228611e+03 
       1.693213545248e-03       8.478088999218e+03 
       1.786350459668e-03       8.887349019236e+03 
       1.881847568904e-03       9.301517492314e+03 
       1.979526536666e-03       9.719471286820e+03 
       2.079215405112e-03       1.014015705409e+04 
       2.180750645487e-03       1.056259713185e+04 
       2.283978490652e-03       1.098588715199e+04 
       2.388755671666e-03       1.140921115042e+04 
       2.494949683712e-03       1.183182974803e+04 
       2.602438697858e-03       1.225307559768e+04 
       2.711111219785e-03       1.267235687920e+04 
       2.820865578879e-03       1.308914810700e+04 
       2.931609313536e-03       1.350298572272e+04 
       3.043258502730e-03       1.391347311387e+04 
       3.155737080483e-03       1.432024528941e+04 
       3.268976158968e-03       1.472298980233e+04 
       3.382913377512e-03       1.512145037682e+04 
       3.497492288292e-03       1.551538560874e+04 
       3.612661784761e-03       1.590460052441e+04 
       3.728375575478e-03       1.628892387950e+04 
       3.844591703630e-03       1.666820994590e+04 
       3.961272110993e-03       1.704234587024e+04 
       4.078382244082e-03       1.741122100358e+04 
       4.195890699678e-03       1.777476416629e+04 
       4.313768906639e-03       1.813289608713e+04 
       4.431990840826e-03       1.848557836385e+04 
       4.550532770055e-03       1.883276565089e+04 
       4.669373026086e-03       1.917442623010e+04 
       4.788491800896e-03       1.951053327481e+04 
       4.907870964669e-03       1.984111889468e+04 
       5.027493903171e-03       2.016615873417e+04 
       5.147345372394e-03       2.048566458562e+04 
       5.267411368582e-03       2.079964936635e+04 
       5.387679011919e-03       2.110812747370e+04 
       5.508136442378e-03       2.141112834923e+04 
       5.628772726370e-03       2.170868144537e+04 
       5.749577773000e-03       2.200079797059e+04 
       5.870542258865e-03       2.228752884969e+04 
       5.991657560450e-03       2.256890800463e+04 
       6.112915693289e-03       2.284497640588e+04 
       6.234309257161e-03       2.311576746801e+04 
       6.355831386653e-03       2.338132546150e+04 
       6.477475706524e-03       2.364168658662e+04 
       6.599236291355e-03       2.389690983217e+04 
       6.721107629027e-03       2.414705201321e+04 
       6.843084587634e-03       2.439212081995e+04 
